id,Country,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15
0,Afghanistan,153962,153967,153972,153977,153982,153987,153992,153997,154002,154007,154012,154017,154022,154027,154032,154037,154042,154047,154052,154057,154062,154067,154072,154077,154081,154085,154088,154092,154095,154098,154101,154103,154105,154108,154110,154112,154113,154115,154116,154118,154119,154120,154121,154122,154123,154124,154125,154126,154127,154127,154128,154129,154129,154130,154130,154130,154130,154130,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131,154131
1,Albania,156162,157031,157897,158766,159633,160499,161366,162229,163092,163948,164805,165653,166500,167339,168175,169001,169824,170636,171444,172241,173032,173812,174585,175346,176100,176840,177573,178293,179004,179701,180389,181063,181727,182377,183017,183642,184257,184857,185447,186021,186586,187134,187673,188196,188708,189206,189693,190165,190626,191073,191510,191932,192344,192742,193129,193504,193868,194219,194560,194889,195209,195516,195814,196100,196378,196644,196902,197150,197389,197618,197839,198051,198255,198451,198639,198819,198992,199157,199316,199468,199613,199751,199884,200011,200132,200247,200357,200462,200562,200657,200748,200834,200916,200993,201067,201137
2,Algeria,199822,199875,199927,199978,200028,200077,200125,200172,200218,200263,200307,200350,200392,200433,200473,200512,200550,200587,200623,200658,200692,200725,200757,200788,200818,200847,200875,200902,200928,200953,200977,201000,201022,201043,201063,201082,201099,201115,201129,201141,201152,201163,201172,201180,201187,201194,201199,201205,201209,201213,201217,201220,201223,201225,201228,201229,201231,201233,201234,201235,201236,201237,201238,201238,201238,201238,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239,201239
3,Andorra,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083,15083
4,Angola,50348,50513,50676,50840,51002,51164,51324,51484,51643,51802,51959,52117,52272,52428,52582,52736,52888,53041,53192,53343,53492,53641,53788,53936,54082,54227,54372,54516,54658,54801,54941,55082,55221,55360,55497,55635,55770,55906,56039,56173,56305,56437,56568,56698,56826,56955,57082,57208,57333,57458,57581,57704,57826,57947,58067,58186,58304,58422,58538,58654,58769,58883,58996,59108,59219,59329,59439,59547,59655,59762,59868,59973,60077,60180,60282,60384,60485,60585,60683,60782,60879,60975,61071,61166,61259,61352,61444,61536,61626,61716,61806,61896,61986,62076,62166,62256
5,Antigua and Barbuda,2166,2181,2196,2210,2225,2239,2253,2267,2281,2294,2308,2320,2333,2345,2358,2369,2381,2393,2404,2415,2426,2436,2447,2457,2467,2476,2486,2495,2504,2512,2521,2529,2537,2544,2552,2559,2567,2574,2581,2587,2594,2600,2607,2612,2618,2624,2629,2635,2640,2645,2650,2654,2659,2663,2667,2671,2675,2679,2683,2686,2690,2693,2696,2699,2702,2704,2707,2709,2711,2714,2716,2719,2721,2723,2725,2727,2729,2731,2732,2733,2735,2736,2737,2738,2739,2741,2742,2743,2744,2745,2746,2747,2747,2748,2749,2750
6,Argentina,5223604,5225508,5227365,5229175,5230938,5232654,5234323,5235945,5237520,5239048,5240529,5241963,5243350,5244690,5245983,5247229,5248428,5249580,5250685,5251743,5252754,5253718,5254635,5255505,5256328,5257104,5257833,5258518,5259160,5259763,5260327,5260857,5261351,5261815,5262247,5262652,5263029,5263381,5263709,5264015,5264299,5264563,5264809,5265037,5265249,5265445,5265627,5265796,5265952,5266096,5266229,5266352,5266465,5266570,5266666,5266755,5266837,5266912,5266981,5267044,5267102,5267155,5267204,5267248,5267289,5267326,5267360,5267391,5267420,5267445,5267469,5267490,5267509,5267527,5267543,5267557,5267570,5267582,5267593,5267603,5267612,5267619,5267627,5267633,5267639,5267644,5267649,5267653,5267657,5267660,5267663,5267666,5267668,5267670,5267671,5267671
7,Armenia,248397,248917,249440,249961,250485,251008,251534,252058,252585,253111,253638,254165,254693,255221,255750,256278,256807,257335,257864,258392,258921,259448,259977,260503,261030,261555,262081,262605,263129,263651,264173,264692,265211,265727,266244,266757,267270,267779,268288,268793,269298,269799,270299,270795,271289,271780,272269,272754,273237,273716,274193,274665,275135,275600,276063,276520,276976,277426,277874,278316,278755,279189,279620,280045,280468,280884,281297,281705,282109,282507,282901,283290,283675,284054,284428,284797,285160,285520,285872,286220,286561,286898,287229,287555,287874,288189,288497,288801,289099,289392,289679,289961,290238,290510,290777,291039
8,Australia,73603,75218,76797,78340,79847,81318,82753,84152,85515,86842,88133,89388,90607,91790,92937,94048,95122,96158,97156,98116,99038,99922,100768,101576,102346,103078,103772,104428,105046,105626,106168,106677,107151,107594,108004,108385,108736,109060,109357,109630,109880,110107,110314,110501,110671,110824,110961,111084,111194,111292,111379,111456,111524,111585,111637,111683,111723,111758,111788,111814,111836,111855,111871,111884,111896,111906,111914,111921,111926,111930,111934,111937,111940,111942,111943,111945,111946,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947,111947
9,Austria,708173,709775,711388,713020,714662,716322,717989,719674,721366,723075,724790,726522,728258,730009,731765,733535,735308,737095,738884,740685,742487,744301,746115,747939,749761,751594,753424,755262,757096,758938,760775,762619,764456,766299,768134,769973,771805,773639,775463,777290,779106,780922,782727,784532,786324,788114,789891,791665,793424,795180,796921,798656,800376,802089,803786,805475,807147,808812,810457,812094,813712,815321,816910,818488,820046,821594,823120,824635,826129,827610,829070,830517,831942,833354,834744,836120,837473,838813,840130,841432,842712,843977,845219,846446,847651,848840,850007,851159,852288,853401,854498,855579,856644,857693,858726,859743
