id,Country,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15
0,Afghanistan,55384,55415,55443,55472,55498,55525,55550,55575,55597,55620,55642,55664,55684,55702,55722,55739,55757,55774,55791,55807,55821,55835,55849,55862,55875,55888,55899,55910,55921,55931,55941,55950,55960,55969,55977,55985,55993,56000,56008,56015,56021,56027,56034,56040,56045,56051,56055,56061,56066,56070,56075,56079,56083,56087,56091,56094,56098,56102,56104,56108,56111,56114,56117,56119,56122,56125,56128,56130,56132,56134,56136,56138,56140,56142,56144,56145,56147,56149,56151,56152,56153,56155,56156,56157,56158,56159,56160,56162,56162,56163,56164,56166,56167,56167,56168,56170
1,Albania,87528,88334,89135,89935,90736,91535,92335,93139,93939,94740,95542,96345,97148,97952,98757,99561,100368,101174,101977,102774,103564,104354,105144,105934,106723,107512,108300,109088,109874,110660,111445,112230,113012,113793,114574,115354,116131,116906,117680,118452,119223,119991,120758,121524,122285,123044,123802,124557,125310,126059,126807,127550,128292,129030,129765,130497,131226,131951,132673,133391,134106,134818,135526,136230,136930,137626,138317,139007,139689,140369,141045,141717,142383,143045,143703,144357,145006,145651,146290,146925,147556,148182,148802,149418,150029,150636,151237,151833,152424,153011,153593,154169,154741,155308,155869,156426
2,Algeria,109559,109818,110078,110338,110598,110859,111118,111378,111634,111891,112147,112403,112659,112912,113167,113419,113671,113922,114173,114423,114672,114921,115170,115416,115663,115908,116154,116400,116642,116885,117128,117370,117611,117851,118090,118331,118569,118805,119042,119279,119515,119750,119985,120220,120455,120688,120921,121153,121386,121618,121848,122079,122310,122539,122768,122998,123225,123453,123681,123907,124134,124360,124585,124810,125035,125258,125482,125706,125928,126150,126372,126593,126814,127034,127255,127474,127693,127912,128131,128349,128566,128785,129001,129219,129435,129651,129867,130082,130298,130514,130728,130942,131156,131368,131580,131790
3,Andorra,10312,10344,10376,10406,10435,10464,10490,10516,10540,10564,10588,10610,10632,10651,10670,10689,10707,10724,10740,10756,10770,10784,10798,10810,10822,10834,10845,10855,10865,10875,10884,10893,10901,10909,10916,10922,10928,10934,10942,10946,10951,10956,10961,10964,10969,10972,10976,10979,10981,10984,10986,10989,10992,10993,10995,10997,10999,11001,11003,11004,11006,11007,11007,11009,11009,11010,11011,11011,11012,11012,11012,11012,11013,11013,11013,11013,11014,11014,11014,11015,11015,11016,11016,11016,11017,11017,11017,11017,11017,11018,11018,11018,11018,11018,11018,11018
4,Angola,20163,20196,20228,20258,20288,20316,20344,20370,20396,20421,20446,20469,20492,20514,20536,20556,20578,20597,20616,20635,20655,20672,20691,20708,20724,20743,20758,20775,20790,20806,20822,20837,20851,20865,20881,20894,20907,20922,20934,20948,20960,20972,20985,20998,21011,21023,21034,21045,21057,21068,21079,21090,21100,21111,21123,21133,21142,21154,21163,21174,21182,21193,21202,21210,21220,21229,21238,21247,21256,21265,21274,21282,21290,21299,21306,21315,21322,21331,21338,21346,21353,21361,21368,21376,21382,21391,21397,21405,21411,21418,21425,21432,21438,21444,21450,21457
5,Antigua and Barbuda,316,320,324,327,331,335,339,343,348,354,358,364,369,376,383,390,397,406,414,425,435,445,457,470,483,497,513,529,546,565,586,606,629,654,680,708,738,770,804,841,881,921,966,1014,1066,1121,1179,1242,1311,1385,1464,1549,1640,1738,1842,1952,2072,2199,2334,2478,2629,2791,2962,3141,3332,3531,3739,3959,4187,4426,4674,4931,5198,5472,5755,6046,6344,6648,6956,7271,7590,7910,8234,8558,8883,9207,9531,9852,10171,10488,10801,11112,11417,11720,12019,12314
6,Argentina,1993295,1999483,2005547,2011515,2017393,2023204,2028933,2034530,2039968,2045286,2050491,2055578,2060542,2065391,2070148,2074822,2079415,2083921,2088345,2092686,2096949,2101130,2105232,2109250,2113182,2117025,2120778,2124438,2128002,2131476,2134866,2138178,2141418,2144589,2147699,2150749,2153745,2156684,2159567,2162393,2165163,2167875,2170527,2173119,2175648,2178115,2180520,2182866,2185156,2187389,2189575,2191713,2193808,2195861,2197875,2199850,2201786,2203684,2205543,2207362,2209141,2210879,2212575,2214230,2215844,2217418,2218955,2220455,2221921,2223356,2224760,2226135,2227483,2228805,2230101,2231370,2232613,2233828,2235017,2236178,2237312,2238419,2239497,2240551,2241578,2242582,2243563,2244522,2245460,2246379,2247279,2248161,2249025,2249870,2250696,2251503
7,Armenia,168300,168389,168476,168561,168644,168725,168805,168884,168963,169039,169115,169190,169264,169337,169411,169483,169557,169629,169701,169773,169846,169920,169993,170067,170142,170217,170293,170369,170447,170524,170604,170684,170765,170847,170929,171014,171098,171184,171271,171359,171449,171539,171631,171723,171818,171913,172010,172107,172206,172305,172407,172508,172613,172717,172824,172932,173041,173151,173262,173375,173489,173603,173720,173838,173958,174078,174199,174322,174447,174572,174698,174826,174955,175085,175217,175350,175484,175619,175755,175893,176031,176171,176312,176454,176598,176742,176887,177034,177182,177331,177481,177633,177785,177939,178092,178247
8,Australia,28871,28874,28879,28882,28885,28889,28893,28896,28898,28902,28905,28907,28910,28912,28914,28917,28919,28923,28924,28927,28928,28929,28931,28932,28933,28935,28937,28938,28939,28941,28942,28944,28944,28945,28947,28947,28948,28950,28951,28953,28953,28955,28955,28956,28958,28958,28959,28960,28960,28961,28961,28962,28962,28963,28964,28964,28965,28966,28967,28968,28968,28969,28970,28971,28971,28972,28972,28974,28974,28975,28976,28976,28977,28978,28978,28978,28980,28980,28981,28981,28982,28983,28983,28984,28984,28985,28985,28986,28987,28988,28990,28992,28993,28994,28994,28994
9,Austria,426093,427342,428580,429804,431018,432224,433420,434607,435782,436945,438099,439242,440375,441498,442611,443712,444804,445885,446956,448016,449066,450106,451136,452155,453164,454164,455155,456134,457105,458066,459018,459962,460895,461819,462734,463640,464537,465427,466306,467177,468038,468891,469736,470571,471399,472217,473028,473830,474623,475409,476186,476954,477715,478468,479213,479950,480680,481401,482115,482820,483518,484210,484893,485569,486238,486899,487553,488199,488838,489471,490097,490716,491327,491933,492530,493121,493707,494283,494855,495421,495979,496532,497078,497617,498151,498678,499199,499715,500224,500727,501225,501716,502201,502679,503151,503617
