id,Country,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12
0,Afghanistan,55330,55392,55452,55512,55570,55628,55685,55742,55794,55848,55899,55950,56000,56050,56097,56145,56193,56239,56284,56329,56372,56416,56458,56500,56541,56581,56621,56662,56699,56737,56775,56812,56849,56884,56920,56955,56990,57023,57058,57091,57124,57157,57189,57221,57252,57282,57314,57345,57373,57403,57433,57461,57490,57518,57546,57575,57603,57630,57656,57684,57710,57737,57763,57790,57814,57840,57865,57890,57915,57941,57965,57990,58014,58038,58063,58086,58109,58133,58156,58179,58202,58225,58248,58270,58293,58316,58338,58361,58383,58406,58427,58447,58467,58486,58505,58524
1,Albania,84212,85306,86412,87530,88657,89801,90972,92174,93410,94674,95962,97280,98622,99987,101375,102786,104217,105673,107153,108657,110188,111749,113339,114963,116620,118313,120041,121804,123604,125439,127308,129208,131142,133107,135102,137129,139187,141279,143405,145565,147761,149996,152269,154583,156939,159336,161775,164256,166778,169340,171942,174583,177263,179983,182740,185537,188372,191248,194166,197125,200127,203173,206263,209398,212579,215805,219076,222390,225750,229151,232596,236083,239611,243180,246790,250443,254137,257872,261650,265470,269334,273241,277191,281184,285218,289294,293412,297569,301765,306000,310273,314581,318926,323306,327721,332172
2,Algeria,108629,108883,109138,109392,109647,109903,110158,110414,110670,110927,111183,111440,111697,111954,112211,112469,112727,112985,113244,113502,113761,114020,114280,114540,114799,115060,115320,115581,115843,116103,116366,116627,116889,117152,117415,117679,117941,118205,118470,118733,118999,119265,119529,119795,120061,120327,120594,120861,121128,121396,121664,121931,122201,122469,122738,123008,123278,123549,123818,124089,124360,124631,124903,125175,125448,125720,125994,126267,126541,126814,127089,127363,127639,127914,128190,128465,128741,129017,129295,129573,129850,130128,130406,130684,130963,131241,131521,131800,132081,132360,132641,132922,133202,133483,133763,134043
3,Andorra,10206,10257,10306,10355,10403,10450,10497,10544,10590,10636,10680,10724,10767,10811,10852,10894,10936,10977,11018,11058,11098,11135,11174,11212,11250,11287,11323,11360,11395,11430,11465,11498,11533,11566,11599,11632,11664,11696,11728,11758,11790,11820,11850,11880,11909,11937,11966,11995,12022,12050,12077,12105,12132,12157,12183,12209,12234,12258,12282,12307,12331,12355,12378,12402,12424,12447,12469,12491,12512,12534,12555,12576,12597,12617,12637,12656,12676,12695,12714,12733,12752,12770,12788,12805,12823,12841,12858,12875,12891,12908,12924,12940,12956,12971,12987,13004
4,Angola,20062,20119,20174,20229,20282,20334,20385,20434,20482,20529,20575,20620,20664,20708,20750,20792,20832,20873,20912,20950,20989,21026,21062,21098,21133,21168,21203,21236,21269,21302,21334,21367,21398,21429,21459,21490,21519,21549,21579,21607,21636,21664,21692,21719,21746,21775,21801,21827,21855,21881,21906,21933,21959,21984,22009,22035,22060,22085,22109,22135,22159,22185,22208,22232,22256,22281,22305,22329,22352,22376,22400,22423,22447,22471,22494,22518,22541,22564,22587,22610,22634,22657,22680,22703,22726,22750,22773,22796,22819,22841,22863,22884,22905,22928,22952,22978
5,Antigua and Barbuda,288,304,319,337,354,372,393,415,438,464,491,520,551,585,622,661,704,750,799,852,909,970,1036,1106,1183,1265,1355,1450,1552,1663,1782,1909,2046,2192,2352,2520,2701,2897,3104,3327,3565,3818,4091,4380,4688,5017,5367,5737,6132,6550,6992,7461,7955,8476,9023,9599,10203,10836,11497,12186,12905,13649,14421,15219,16042,16888,17756,18644,19551,20473,21409,22356,23311,24273,25237,26201,27161,28121,29100,30100,31117,32152,33200,34262,35334,36416,37502,38593,39686,40778,41869,42952,44028,45096,46150,47189
6,Argentina,1976689,1985482,1994111,2002622,2011035,2019334,2027519,2035594,2043565,2051434,2059189,2066817,2074319,2081705,2088977,2096146,2103209,2110169,2117026,2123792,2130466,2137050,2143545,2149948,2156263,2162487,2168625,2174677,2180647,2186532,2192335,2198058,2203701,2209263,2214748,2220154,2225483,2230735,2235915,2241018,2246049,2251007,2255895,2260712,2265460,2270138,2274749,2279292,2283770,2288196,2292574,2296905,2301187,2305424,2309614,2313760,2317860,2321915,2325925,2329894,2333818,2337701,2341540,2345338,2349096,2352812,2356488,2360125,2363722,2367279,2370799,2374280,2377723,2381130,2384498,2387831,2391128,2394388,2397615,2400805,2403962,2407082,2410170,2413225,2416246,2419235,2422191,2425116,2428007,2430868,2433698,2436499,2439269,2442010,2444723,2447407
7,Armenia,167937,168155,168370,168582,168791,169000,169206,169410,169613,169814,170013,170211,170407,170601,170793,170984,171172,171359,171544,171728,171910,172091,172271,172449,172625,172801,172975,173147,173318,173488,173656,173823,173989,174152,174316,174477,174638,174796,174954,175110,175266,175420,175573,175723,175873,176022,176169,176316,176461,176604,176748,176890,177030,177169,177307,177444,177580,177714,177848,177980,178112,178242,178371,178499,178626,178752,178876,179000,179124,179245,179366,179484,179604,179722,179838,179954,180068,180183,180295,180407,180518,180628,180737,180845,180952,181059,181164,181268,181372,181475,181575,181678,181777,181877,181977,182076
8,Australia,28851,28860,28869,28878,28887,28895,28905,28913,28923,28931,28940,28948,28957,28965,28973,28981,28990,28998,29007,29014,29023,29030,29040,29047,29056,29063,29072,29080,29087,29096,29104,29111,29119,29128,29136,29144,29152,29160,29168,29176,29183,29190,29198,29206,29213,29221,29228,29235,29243,29250,29257,29264,29272,29279,29287,29293,29301,29307,29313,29320,29328,29335,29341,29348,29355,29362,29369,29376,29383,29389,29396,29401,29409,29416,29423,29430,29436,29442,29449,29455,29461,29468,29475,29481,29488,29494,29501,29507,29513,29519,29525,29532,29539,29547,29557,29569
9,Austria,422522,423941,425368,426802,428234,429663,431092,432522,433954,435388,436825,438263,439704,441146,442593,444042,445492,446946,448400,449857,451315,452774,454235,455696,457158,458620,460084,461547,463010,464474,465937,467400,468864,470325,471787,473247,474708,476166,477624,479080,480535,481988,483439,484890,486337,487784,489227,490670,492110,493547,494982,496415,497844,499271,500695,502116,503534,504948,506359,507767,509172,510573,511968,513362,514751,516136,517516,518894,520265,521634,522997,524356,525710,527060,528404,529745,531081,532409,533735,535055,536370,537679,538983,540282,541576,542863,544144,545422,546692,547958,549219,550475,551725,552970,554209,555441
