,State,214,220,227,234,241,215,216,217,218,219,221,222,223,224,225,226,228,229,230,231,232,233,235,236,237,238,239,240,242,243,244,248,255
0,Washington,1863,49,49,49,49,35,36,34,35,34,34,33,33,32,31,31,33,33,31,33,35,32,33,33,33,34,35,34,31,34,34,3668,3664
1,Illinois,8089,200,237,280,309,122,123,128,130,129,134,138,141,142,148,147,156,161,174,179,190,181,200,195,205,212,209,216,213,224,217,24564,24579
2,California,12153,819,714,643,601,502,486,469,458,453,434,419,420,406,394,391,375,367,369,363,362,356,346,346,348,351,350,337,342,339,346,35760,35519
3,Arizona,4771,227,228,236,237,93,88,85,87,83,80,81,82,82,80,82,83,83,88,93,88,91,96,96,96,99,93,97,102,100,106,6558,6585
4,Massachusetts,8921,32,17,7,1,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
5,Wisconsin,1081,55,63,73,83,38,37,37,37,36,37,37,37,36,36,39,39,41,40,43,43,45,45,46,46,50,49,50,51,49,49,6640,6653
6,Texas,11696,966,850,765,716,451,442,433,423,413,387,379,369,362,342,345,325,317,318,302,302,298,298,294,299,294,294,294,290,290,293,29956,29941
7,Nebraska,378,20,20,21,23,11,11,11,10,9,10,9,9,9,9,9,8,9,9,9,10,10,9,9,9,10,10,9,10,10,10,1543,1569
8,Utah,385,17,15,16,17,18,17,18,18,18,17,17,17,17,18,18,18,19,18,20,19,19,18,19,19,20,20,20,22,22,19,2435,2433
9,Oregon,417,20,21,21,21,16,16,16,16,15,15,14,15,14,14,14,14,14,13,14,13,14,13,13,14,15,14,13,13,15,13,1529,1539
10,Florida,10325,677,557,473,411,333,323,307,300,293,277,268,261,248,240,232,217,199,198,190,186,181,170,169,166,162,159,158,164,157,156,15143,14988
11,New York,32851,100,101,109,116,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,4,4,4,4,4,4,4,4,5372,5431
12,Rhode Island,1030,7,7,7,7,8,9,9,9,8,8,8,8,8,8,8,8,8,8,7,8,8,7,7,7,8,8,7,7,7,7,487,484
13,Georgia,5132,303,273,263,255,195,191,191,185,183,178,176,172,173,171,170,169,169,174,167,177,170,175,181,171,178,175,173,184,183,176,16927,17036
14,New Hampshire,429,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,147,146
15,North Carolina,2531,193,237,309,352,87,90,90,91,89,93,94,97,101,106,106,120,123,133,134,146,146,153,162,167,180,170,176,183,186,184,20072,19931
16,New Jersey,15946,80,73,77,81,43,41,42,40,40,38,41,40,42,42,42,41,44,43,45,48,46,47,50,49,47,51,50,52,52,49,3176,3158
