,State,163,171,178,185,192,199,206,213,164,165,166,167,168,169,170,172,173,174,175,176,177,179,180,181,182,183,184,186,187,188,189,190,191,193,194,195,196,197,198,200,201,202,203,204,205,207,208,209,210
0,Washington,1352,59,51,44,37,31,26,12,82,81,79,79,77,75,75,75,73,71,67,71,71,61,63,66,61,59,52,57,55,54,52,51,49,46,43,49,44,45,46,43,39,39,38,30,35,35,32,37,28
1,Illinois,7005,168,138,111,87,70,56,25,57,55,54,54,51,49,48,48,46,44,42,41,41,37,36,37,36,34,34,28,30,32,28,28,28,24,23,21,27,22,21,22,18,19,21,15,18,19,15,13,16
2,California,6315,576,548,498,446,386,334,164,932,941,951,953,949,956,934,944,889,911,931,900,896,798,817,806,816,761,800,755,714,731,656,653,745,659,642,699,686,663,557,606,546,649,509,598,575,493,476,485,449
3,Arizona,1798,267,262,244,220,190,163,82,231,232,233,237,237,238,242,237,233,230,237,228,223,231,232,207,219,214,213,224,211,213,186,201,205,196,175,180,188,177,164,194,168,163,155,171,152,160,137,151,126
4,Massachusetts,8149,111,89,71,55,43,34,16,16,16,15,15,14,14,13,13,12,11,12,11,11,10,10,9,8,9,9,8,8,8,8,7,7,5,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3
5,Wisconsin,796,44,39,33,28,23,19,9,56,56,55,54,53,53,52,50,48,49,47,49,45,44,46,42,43,42,40,39,36,34,34,34,34,30,33,28,27,28,27,23,26,26,26,22,23,24,21,20,18
6,Texas,2907,252,248,234,209,182,155,77,817,824,842,848,855,838,856,824,852,834,827,804,805,799,785,802,793,775,732,737,757,672,718,678,727,633,716,583,721,570,588,526,596,488,497,544,555,441,447,500,486
7,Nebraska,284,13,10,8,6,5,3,1,15,14,14,14,13,13,13,13,12,12,11,11,10,10,9,9,9,9,7,8,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4
8,Utah,181,13,11,10,8,7,5,2,34,35,34,34,33,33,31,31,32,31,30,30,29,29,27,26,25,28,25,26,25,24,22,24,23,21,19,23,19,20,19,18,17,16,15,15,16,15,12,15,14
9,Oregon,209,16,15,14,12,10,8,4,35,34,34,34,34,36,33,33,34,34,34,33,31,34,31,30,33,28,28,28,25,25,25,30,25,28,26,23,26,21,23,19,18,21,19,19,18,21,17,19,18
10,Florida,3684,464,508,517,492,454,410,210,1176,1224,1250,1308,1328,1352,1383,1430,1479,1447,1471,1479,1443,1478,1500,1528,1448,1480,1482,1432,1511,1452,1386,1369,1402,1433,1428,1470,1313,1367,1221,1436,1280,1363,1331,1221,1177,1221,1251,1112,1229
11,New York,32192,221,179,144,116,92,73,35,127,122,118,118,112,110,109,99,94,96,91,87,89,82,83,82,74,71,70,64,64,66,65,62,58,51,55,54,52,48,49,47,44,38,41,40,36,39,36,32,29
12,Rhode Island,960,34,27,21,17,13,10,4,6,6,5,5,5,5,5,4,4,4,4,4,4,3,4,4,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1
