,State,154,164,171,178,185,192,199,206,155,156,157,158,159,160,161,162,163,165,166,167,168,169,170,172,173,174,175,176,177,179,180,181,182,183,184,186,187,188,189,190,191,193,194,195,196,197,198,200,201
0,Washington,1293,52,44,37,31,25,20,4,59,58,57,57,54,55,55,50,50,47,48,45,48,43,46,44,37,38,36,36,38,32,34,33,32,30,28,32,29,31,28,26,24,23,25,20,24,21,21,19,22
1,Illinois,6770,253,204,166,132,107,85,21,69,66,65,62,61,60,58,57,55,51,49,49,45,47,44,45,41,40,38,35,37,34,33,31,30,27,28,27,27,25,23,25,27,21,23,25,20,23,17,17,16
2,California,5725,656,610,558,494,427,360,91,834,838,850,842,870,841,862,825,818,848,858,809,817,789,772,742,750,751,716,687,741,717,647,640,672,600,593,636,659,621,592,555,595,509,505,590,446,428,518,431,423
3,Arizona,1467,292,316,320,307,284,257,67,343,358,371,383,398,400,416,414,425,435,449,460,460,437,438,431,451,463,450,460,496,459,474,454,434,450,434,405,456,421,434,405,407,421,411,354,391,362,354,351,370
4,Massachusetts,7938,118,96,76,60,48,39,9,19,18,18,17,17,16,16,15,15,14,13,13,12,13,11,11,11,11,10,10,9,9,9,8,8,9,8,6,7,7,6,7,7,6,5,6,5,5,5,5,5
5,Wisconsin,757,34,28,23,18,15,12,2,34,33,33,32,31,32,31,29,29,27,26,27,26,26,24,23,21,23,22,21,21,19,18,19,19,17,16,17,15,13,12,17,15,13,13,14,12,13,11,11,10
6,Texas,2462,282,278,264,238,207,180,47,647,651,664,673,664,678,691,671,666,675,668,686,673,654,661,667,687,692,672,658,637,632,643,592,624,566,531,550,528,554,509,533,459,530,503,505,467,458,466,343,399
7,Nebraska,257,10,8,6,5,4,3,0,16,15,15,15,14,13,13,13,13,12,12,12,12,10,10,10,9,9,9,10,9,7,7,8,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,4
8,Utah,163,14,13,11,9,7,6,1,30,29,29,29,29,30,28,28,28,27,26,26,25,25,25,24,23,23,22,21,20,20,20,20,18,17,19,17,16,18,16,16,15,15,15,14,14,16,13,11,14
9,Oregon,195,16,15,13,12,10,8,2,30,30,30,29,29,29,28,29,28,28,27,28,28,28,27,25,26,24,23,25,23,21,24,22,23,22,21,22,20,18,20,19,19,17,17,17,17,17,15,12,14
10,Florida,3281,246,229,205,183,158,134,35,474,474,478,484,477,470,470,464,454,442,435,423,440,446,432,427,407,398,412,433,398,394,351,347,343,354,352,347,332,337,298,294,312,291,289,314,279,274,228,216,267
11,New York,31974,225,180,143,114,89,69,17,140,135,134,127,125,123,116,113,110,106,102,99,90,90,90,89,82,81,78,82,72,73,62,66,60,61,60,52,53,54,49,43,42,46,42,39,36,48,37,35,32
12,Rhode Island,912,27,21,17,13,10,7,1,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1
13,Georgia,2698,291,260,227,195,163,138,34,258,256,251,251,256,254,249,236,242,233,230,230,227,230,209,199,200,188,191,200,185,179,176,179,170,169,153,158,161,145,157,149,147,116,128,123,136,120,142,107,121
14,New Hampshire,347,10,8,6,4,3,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,North Carolina,1325,64,52,43,35,28,21,5,114,112,108,108,107,104,102,98,95,97,89,85,88,83,80,80,77,75,66,74,68,66,64,60,55,51,54,54,54,49,49,44,41,44,36,37,42,35,38,35,32
16,New Jersey,14944,196,156,126,99,79,63,15,36,36,35,33,34,32,30,29,29,29,27,26,26,24,24,21,22,20,21,21,19,18,18,17,17,15,15,12,15,14,13,12,13,12,11,11,9,10,10,8,10
17,Colorado,1667,47,37,30,24,19,15,3,33,31,30,30,29,29,27,26,25,23,23,24,24,22,21,20,21,20,18,18,17,17,15,17,14,14,13,14,13,11,12,12,10,11,10,10,9,9,9,9,8
18,Maryland,3108,90,73,58,46,36,28,6,54,53,51,50,48,47,46,47,44,41,40,36,38,35,38,33,31,29,29,29,28,26,25,26,24,24,21,22,22,21,21,21,21,18,15,16,17,16,14,15,13
19,Nevada,494,16,14,12,10,8,6,1,26,26,25,25,25,24,24,23,23,21,22,21,22,21,22,19,19,19,18,18,18,17,16,15,17,16,14,15,14,12,13,13,13,12,12,12,12,11,10,10,10
20,Tennessee,556,50,44,38,32,26,21,5,44,44,42,42,41,41,40,40,41,39,38,37,36,35,34,33,33,33,31,29,31,31,27,28,27,28,24,23,24,25,21,25,22,22,16,18,20,21,19,21,17
21,Hawaii,17,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Indiana,2578,64,49,38,29,21,16,3,32,31,30,29,28,26,27,24,25,22,23,21,21,20,20,19,17,15,17,17,15,13,14,13,13,13,12,11,11,10,10,9,9,9,8,7,7,7,8,5,6
23,Kentucky,538,23,19,16,13,10,8,2,34,34,33,32,32,31,31,31,30,28,26,26,25,26,24,24,24,23,24,22,19,20,19,20,17,17,17,16,16,15,15,14,12,17,13,14,13,12,11,12,11
24,Minnesota,1432,75,64,53,43,35,28,7,37,36,35,35,33,32,32,31,31,30,28,28,28,26,26,24,24,24,23,21,21,22,20,19,21,18,17,19,17,17,13,14,15,14,15,12,14,13,10,11,11
25,Oklahoma,372,18,17,15,13,11,9,2,38,38,37,38,37,38,37,36,36,36,37,35,36,35,36,32,32,32,30,30,28,29,29,27,26,26,30,24,24,23,23,23,23,19,23,21,20,18,18,19,18
26,Pennsylvania,6518,246,201,165,130,103,81,20,61,60,58,58,56,54,53,52,49,47,43,44,42,42,41,37,38,38,38,35,34,33,31,28,27,28,27,23,25,24,22,23,23,20,18,18,18,15,17,15,16
27,South Carolina,683,54,52,48,43,37,32,8,91,91,93,94,91,93,95,94,94,91,89,92,87,91,88,83,84,83,85,83,78,77,73,74,71,77,70,70,80,68,69,69,62,60,61,50,64,57,63,53,58
28,District of Columbia,541,8,6,4,3,2,1,0,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
29,Kansas,260,11,9,8,6,5,3,0,12,12,11,12,11,11,11,10,10,10,9,10,9,9,8,8,9,7,8,8,7,7,7,7,7,6,6,5,5,6,5,5,5,4,5,5,4,4,4,3,4
30,Missouri,998,76,66,56,47,39,32,7,40,39,38,39,37,36,36,36,34,35,32,33,33,32,30,31,28,27,28,27,26,24,25,23,23,23,19,21,20,18,19,17,19,17,17,16,17,14,15,15,12
31,Vermont,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,1661,53,44,35,29,23,18,4,77,75,75,72,70,69,66,65,62,57,57,56,55,53,53,48,47,46,45,44,43,43,43,36,39,39,36,33,29,33,29,34,28,28,27,25,26,25,20,23,21
33,Connecticut,4287,48,36,26,19,13,9,2,18,17,17,16,15,15,14,14,13,12,12,11,11,10,9,9,8,9,8,8,7,6,7,6,6,5,6,5,5,4,3,4,4,3,3,3,3,2,3,3,2
34,Iowa,690,31,26,21,17,14,11,2,36,36,35,35,34,33,32,31,31,29,29,27,27,26,27,24,23,25,23,21,21,20,21,17,19,17,19,18,16,16,15,16,14,13,14,13,12,13,14,11,11
35,Louisiana,3152,126,109,93,78,64,53,13,105,103,103,98,98,95,91,91,93,87,86,85,80,78,80,71,74,78,73,67,65,66,70,61,64,63,59,57,55,50,55,53,55,45,42,44,42,53,45,43,38
36,Ohio,2755,163,140,118,96,79,65,16,95,94,94,91,89,89,86,81,79,75,76,72,78,73,70,66,66,66,63,66,59,58,52,48,53,51,53,47,46,43,45,46,39,38,38,40,30,33,33,35,34
37,Michigan,6114,158,128,103,83,66,52,12,29,28,27,27,27,26,25,24,23,22,23,21,21,21,19,19,17,17,18,16,16,15,15,13,13,13,15,11,12,12,11,11,9,11,10,9,8,8,9,8,9
38,South Dakota,84,2,2,1,1,0,0,0,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
39,Arkansas,240,43,41,38,35,30,26,6,43,43,43,44,43,43,44,42,45,44,43,42,44,44,43,44,40,44,39,41,38,36,36,37,38,37,35,33,31,34,32,33,31,30,29,30,28,26,26,25,23
40,Delaware,505,17,14,10,8,6,5,1,7,7,7,7,6,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1
41,Mississippi,1011,132,121,108,93,80,66,17,83,83,83,83,82,81,80,83,81,74,74,75,79,72,78,78,72,74,71,60,64,67,59,50,58,61,55,58,53,52,45,48,48,43,42,38,40,42,38,42,39
