,State,197,206,213,220,227,198,199,200,201,202,203,204,205,207,208,209,210,211,212,214,215,216,217,218,219,221,222,223,224,225,226,234,241
0,Washington,1653,55,58,56,60,42,39,40,40,38,39,38,39,39,40,39,40,38,38,40,42,42,42,41,42,45,45,44,45,43,46,5743,3293
1,Illinois,7791,194,234,272,284,103,105,109,109,109,112,115,115,120,122,126,129,128,141,141,153,144,159,160,162,162,169,179,169,175,176,18502,10561
2,California,10021,705,585,502,471,543,527,512,486,479,459,449,434,402,381,377,366,350,339,323,306,305,301,286,284,270,280,269,272,270,279,26703,15286
3,Arizona,4002,358,322,289,273,262,252,246,236,232,228,222,212,201,197,191,189,183,181,172,168,170,159,158,162,148,151,154,152,152,146,8981,5073
4,Massachusetts,8691,136,153,167,176,20,20,21,21,22,22,22,23,23,23,25,25,25,27,29,28,30,29,31,32,31,31,31,33,33,32,4704,2682
5,Wisconsin,978,79,91,104,113,40,39,39,39,39,40,40,38,39,40,40,40,40,42,46,43,46,45,50,46,51,47,49,52,47,50,7891,4521
6,Texas,8569,1121,1272,1430,1505,553,555,558,564,563,561,568,573,577,585,607,627,645,653,694,726,755,770,786,816,848,865,868,880,881,876,89380,47354
7,Nebraska,340,22,24,28,26,10,10,10,10,10,10,10,10,10,10,10,10,9,10,12,10,11,11,12,12,11,12,12,12,12,12,2447,1409
8,Utah,330,28,30,33,33,19,20,20,19,19,20,19,18,18,20,19,20,21,21,23,23,23,23,23,25,26,22,24,24,25,24,3142,1814
9,Oregon,339,23,25,29,32,20,20,20,20,21,19,20,20,20,20,19,20,19,20,20,21,20,20,22,23,23,21,23,23,22,21,2469,1401
10,Florida,7747,875,743,666,612,367,353,345,335,325,322,313,305,282,270,264,261,244,242,225,224,211,207,208,200,206,185,191,194,195,186,29722,16831
11,New York,32741,128,136,150,149,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,5,5977,3397
12,Rhode Island,1014,14,18,23,27,8,8,8,9,8,8,8,9,9,9,10,10,10,10,11,12,12,13,13,15,13,13,15,15,15,14,1139,656
13,Georgia,4026,395,410,446,452,248,250,248,248,244,251,248,244,243,239,246,251,253,251,258,263,260,268,263,266,279,278,273,281,280,285,26376,15085
14,New Hampshire,419,0,2,5,3,4,5,4,5,5,5,5,5,5,5,5,5,5,6,7,6,6,7,7,7,7,8,7,8,8,8,364,213
15,North Carolina,2126,214,206,213,203,117,115,115,113,112,109,109,110,108,107,102,106,103,103,98,102,104,106,102,103,105,107,106,104,105,103,10659,6093
16,New Jersey,15849,123,123,127,136,49,46,47,46,47,46,47,47,48,48,49,51,52,53,55,57,58,57,60,63,65,65,66,69,68,66,4179,2417
17,Colorado,1852,44,38,34,30,26,23,23,25,23,23,23,21,22,20,20,18,19,19,18,17,17,17,17,15,16,16,16,15,15,16,2098,1191
18,Maryland,3551,116,115,118,117,73,71,74,73,71,73,74,71,71,73,71,70,73,70,71,72,73,70,66,74,72,73,71,72,73,70,6164,3540
19,Nevada,900,86,89,90,87,71,70,69,71,70,68,69,70,67,68,65,66,65,64,69,65,65,66,63,66,69,65,65,66,65,65,6923,3969
20,Tennessee,1186,238,233,232,230,71,69,68,65,65,67,63,64,63,61,62,61,64,62,59,59,60,58,62,60,61,58,58,58,61,61,12157,6873
