,State,204,213,220,227,234,205,206,207,208,209,210,211,212,214,215,216,217,218,219,221,222,223,224,225,226,228,229,230,231,232,233,241,248
0,Washington,1736,49,52,53,55,41,42,40,39,40,40,41,39,39,39,39,39,39,38,38,41,40,39,38,40,39,40,39,41,43,40,4932,2813
1,Illinois,7905,194,225,263,281,120,120,117,118,121,122,122,124,126,128,131,132,140,143,152,157,156,161,166,170,173,183,171,173,179,175,18782,10782
2,California,10870,1130,1571,2011,2282,532,544,556,571,587,600,619,641,697,724,759,808,862,932,1056,1107,1172,1220,1265,1330,1415,1419,1441,1462,1493,1484,152729,84427
3,Arizona,4383,233,190,165,144,320,301,282,271,261,250,239,237,216,206,199,191,189,181,169,171,167,160,157,163,155,156,155,156,152,156,4293,2419
4,Massachusetts,8790,84,60,46,36,17,16,15,15,15,14,14,14,12,12,10,10,10,10,9,8,7,8,7,7,6,6,7,6,6,6,886,509
5,Wisconsin,1018,54,63,75,80,40,39,39,38,38,37,38,37,38,38,37,41,40,40,40,42,40,44,44,45,46,46,46,43,45,44,6497,3723
6,Texas,9771,997,1010,997,995,514,505,496,487,487,486,481,477,472,466,458,460,451,458,451,463,455,454,470,467,465,472,464,477,478,468,47280,26978
7,Nebraska,360,16,14,13,14,16,15,16,15,15,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,14,1573,911
8,Utah,353,21,22,21,21,19,18,18,18,17,17,18,17,17,17,16,17,16,15,17,17,18,17,16,16,16,17,16,17,16,17,2076,1216
9,Oregon,383,17,20,21,21,19,18,20,18,19,19,18,17,18,17,18,19,17,19,18,18,20,19,18,19,18,18,21,19,20,20,2263,1262
10,Florida,8913,879,944,1022,1075,353,353,354,350,350,349,344,343,351,359,363,372,394,398,407,438,453,458,450,484,474,496,504,499,512,515,68872,39108
11,New York,32780,113,114,119,126,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,4,4,4,5045,2940
12,Rhode Island,1019,14,19,20,20,10,9,10,10,9,10,10,10,10,10,11,11,12,12,11,13,13,14,14,15,16,16,15,16,15,15,1067,616
13,Georgia,4538,386,402,422,434,241,241,241,243,243,241,243,242,241,243,246,250,245,256,266,256,260,266,270,269,266,264,265,282,264,283,25782,14771
