,State,158,159,164,168,169,170,171,172,173,174,175,176,177,160,178,179,180,181,182,183,184,185,186,187,161,162,163,165,166,167
0,Washington,1310,65,14,78,81,87,92,102,110,119,129,134,147,66,144,156,164,164,176,176,170,183,187,187,68,66,66,66,71,74
1,Illinois,6888,100,23,63,63,59,60,60,59,60,60,62,61,98,61,62,61,61,65,65,62,64,63,62,98,92,86,73,70,65
2,California,5932,711,122,728,762,808,867,919,983,1044,1103,1149,1229,705,1279,1312,1346,1398,1432,1435,1472,1511,1504,1525,697,680,671,672,688,706
3,Arizona,1594,388,81,409,432,443,454,484,486,508,539,553,570,400,589,597,613,627,639,651,649,666,665,645,405,395,395,394,400,405
4,Massachusetts,8060,22,11,10,9,8,7,6,7,7,7,7,6,22,6,6,6,7,6,6,6,5,6,6,21,19,18,13,12,11
5,Wisconsin,777,63,7,30,28,25,26,25,26,26,27,27,27,63,29,29,28,29,29,30,31,30,29,31,62,57,49,40,35,31
6,Texas,2628,686,147,955,1039,1142,1251,1391,1492,1620,1771,1904,2046,711,2146,2214,2294,2377,2430,2509,2524,2590,2609,2650,734,738,744,785,835,888
7,Nebraska,267,20,3,15,14,13,14,13,14,13,13,13,14,19,13,13,13,13,12,13,13,14,14,13,19,18,17,16,17,16
8,Utah,167,39,9,35,35,35,35,38,40,41,40,43,44,40,45,45,50,48,44,49,48,49,49,50,38,38,36,35,33,34
9,Oregon,202,36,6,25,26,24,26,28,31,31,32,35,34,38,37,39,38,39,41,42,44,43,42,42,38,35,32,27,26,25
10,Florida,3419,879,242,1590,1754,1940,2177,2463,2790,3025,3335,3726,3912,956,4194,4442,4655,4807,4956,5039,5188,5357,5272,5474,1013,1056,1076,1189,1284,1408
11,New York,32078,144,18,73,71,66,66,68,70,71,69,72,72,143,76,71,74,75,78,78,80,78,78,81,135,124,113,90,82,77
12,Rhode Island,927,5,1,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3
13,Georgia,2778,240,46,222,227,233,246,252,267,277,300,306,324,243,340,337,359,359,361,363,354,372,378,388,241,235,224,219,212,216
14,New Hampshire,367,2,2,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1
15,North Carolina,1352,196,56,201,198,200,199,209,215,216,220,231,244,198,237,239,252,252,255,250,275,268,265,262,199,200,202,192,197,192
16,New Jersey,14975,45,16,21,21,19,18,17,16,16,16,15,14,46,15,14,13,13,13,13,12,11,12,13,42,38,35,29,26,24
17,Colorado,1676,40,6,30,30,30,29,31,31,33,33,33,36,40,36,36,37,38,41,39,38,40,39,38,40,38,37,31,31,30
18,Maryland,3168,67,10,33,31,27,24,24,24,22,21,20,20,65,19,18,17,17,17,17,17,16,16,16,64,60,55,44,41,36
19,Nevada,500,65,20,117,126,138,147,166,177,192,208,233,250,69,252,276,274,276,294,301,300,311,310,310,74,79,83,92,99,107
20,Tennessee,584,60,21,55,57,53,56,57,58,60,62,61,63,61,69,68,65,70,66,69,69,68,67,68,62,62,58,57,55,54
21,Hawaii,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Indiana,2619,55,9,36,35,33,34,32,35,34,34,34,32,56,32,36,35,35,35,35,35,38,36,35,55,52,48,42,37,37
23,Kentucky,558,51,7,42,43,43,45,48,48,53,50,50,55,52,60,57,64,60,64,59,65,66,69,66,52,50,47,44,42,41
24,Minnesota,1460,48,15,40,41,39,42,41,46,46,47,47,50,49,48,51,51,53,55,56,55,55,57,56,48,46,44,42,42,40
25,Oklahoma,385,58,9,51,56,59,60,67,70,68,78,76,83,58,85,86,86,89,96,99,93,100,102,97,54,55,53,49,50,50
26,Pennsylvania,6606,73,24,50,49,47,47,48,53,54,51,55,56,70,56,58,55,61,57,66,59,62,64,60,72,70,64,55,52,49
27,South Carolina,716,174,67,279,303,337,357,409,437,489,523,558,590,184,626,657,676,700,717,732,746,778,775,770,192,195,199,221,239,258
28,District of Columbia,550,5,1,4,3,4,3,3,3,3,2,3,3,5,3,2,2,2,2,2,2,2,2,2,5,5,5,4,5,4
29,Kansas,269,14,6,15,15,16,18,19,20,21,23,24,24,15,26,27,27,26,30,29,28,29,30,30,14,15,14,14,13,14
30,Missouri,1014,45,19,52,52,53,60,63,71,74,79,84,82,48,91,95,95,99,100,102,99,102,99,105,48,44,44,44,46,49
31,Vermont,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,1732,99,14,54,52,48,46,46,46,48,48,50,47,99,47,49,52,47,52,49,50,50,52,51,97,89,80,66,61,57
33,Connecticut,4316,25,4,12,12,10,10,10,10,11,11,12,12,24,12,12,13,12,11,12,11,12,13,13,23,20,18,16,14,13
34,Iowa,706,45,8,32,32,31,34,37,39,40,47,49,51,44,54,57,56,58,60,63,60,62,61,67,42,43,37,33,32,32
35,Louisiana,3199,113,20,87,86,92,97,105,110,122,127,134,141,110,146,149,154,159,170,164,169,163,172,176,104,98,91,85,82,84
36,Ohio,2807,116,30,133,141,151,162,175,186,206,219,234,242,120,244,259,272,278,295,291,297,299,310,295,123,119,120,120,122,127
37,Michigan,6157,43,10,23,22,22,21,22,23,22,23,24,25,40,25,26,27,27,27,27,28,27,28,29,40,36,34,26,27,23
38,South Dakota,91,2,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1
39,Arkansas,264,66,23,82,85,91,93,104,110,121,125,138,137,68,144,155,160,162,169,169,167,171,181,181,69,69,68,70,74,76
40,Delaware,507,9,2,7,8,7,7,7,7,8,9,9,8,8,9,9,9,9,9,9,9,10,10,10,8,8,7,7,7,7
41,Mississippi,1039,84,27,92,102,111,131,137,150,161,173,187,202,85,210,227,240,241,249,257,257,260,267,264,90,85,84,83,87,92
42,New Mexico,492,22,4,18,17,17,19,19,19,20,19,22,21,23,22,21,24,22,23,24,25,25,25,23,23,23,20,19,19,18
43,North Dakota,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
44,Wyoming,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
45,Alaska,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
46,Maine,104,4,0,1,1,1,1,1,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,4,3,2,2,1,1
47,Alabama,919,104,41,102,105,111,114,121,128,133,136,145,145,105,153,156,162,165,171,170,170,169,177,176,105,104,102,100,101,100
48,Idaho,91,13,0,3,2,1,1,2,2,2,2,2,3,14,3,2,3,3,3,3,3,3,3,3,13,12,10,6,5,3
49,Montana,22,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1
