,State,162,171,178,185,192,199,206,213,163,164,165,166,167,168,169,170,172,173,174,175,176,177,179,180,181,182,183,184,186,187,188,189,190,191,193,194,195,196,197,198,200,201,202,203,204,205,207,208,209
0,Washington,1342,53,46,39,32,26,22,7,72,72,69,68,66,68,66,64,60,62,60,57,58,55,54,53,52,51,52,46,51,44,46,46,42,39,40,38,35,34,34,36,32,32,27,28,29,29,26,27,28
1,Illinois,6987,236,191,157,126,100,81,29,81,78,77,75,72,71,68,66,62,59,59,58,58,57,49,50,50,48,47,47,45,41,41,39,35,37,35,34,33,31,30,31,29,30,27,25,28,26,24,22,20
2,California,6265,524,494,448,388,340,292,109,879,886,886,890,886,876,883,852,824,844,813,811,807,787,776,809,787,787,701,722,696,724,638,697,701,659,597,618,626,607,535,540,604,505,570,518,537,493,482,468,521
3,Arizona,1764,427,456,456,434,405,366,141,335,347,359,364,379,375,391,392,412,412,428,395,420,420,408,410,405,420,408,429,427,422,410,405,384,381,371,401,358,352,432,377,394,342,391,392,335,319,332,305,327
4,Massachusetts,8132,96,78,63,50,39,32,11,14,14,13,13,13,12,12,11,11,11,11,10,9,10,8,9,8,9,8,8,8,7,7,7,6,6,6,5,5,6,4,5,5,4,4,4,4,5,3,3,3
5,Wisconsin,793,47,41,35,30,24,20,7,55,53,54,52,52,51,49,49,47,47,45,45,45,43,42,40,38,39,39,33,36,38,34,34,35,31,33,28,29,31,27,25,24,26,29,24,22,21,23,21,18
6,Texas,2835,381,403,397,377,344,303,118,1116,1157,1184,1230,1252,1269,1271,1323,1298,1305,1288,1255,1368,1297,1350,1302,1264,1266,1323,1293,1368,1287,1225,1212,1122,1142,1219,1118,1196,1145,1351,1161,1035,1083,1321,931,1037,1102,845,930,1039
7,Nebraska,282,14,11,9,7,5,4,1,17,17,16,16,15,15,14,13,14,13,13,12,12,12,11,10,11,10,10,9,9,9,8,8,8,8,8,7,7,7,6,7,6,6,6,6,6,5,5,5,4
8,Utah,176,13,11,10,8,7,5,2,33,33,33,32,32,31,31,30,29,29,28,29,28,27,25,26,26,25,25,25,24,21,21,22,22,21,20,18,17,17,17,18,16,17,16,13,14,15,13,16,15
9,Oregon,209,14,12,11,9,8,6,2,29,29,28,28,28,28,28,27,26,25,26,27,24,27,24,24,23,23,23,21,19,20,20,20,18,19,19,18,18,18,18,17,18,16,17,15,14,13,13,16,16
10,Florida,3617,276,273,259,237,212,186,73,762,772,788,778,802,800,809,773,807,797,765,795,824,751,772,776,734,738,806,763,737,719,725,723,650,644,723,638,626,638,667,621,589,587,563,566,520,522,534,513,453
11,New York,32112,204,163,130,104,83,65,23,117,114,107,107,103,102,99,96,91,88,90,82,83,78,77,72,63,67,62,62,57,54,58,55,52,51,49,47,47,40,47,45,35,41,38,34,34,37,32,31,29
12,Rhode Island,959,22,17,13,10,8,6,2,4,4,4,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,Georgia,2849,219,211,190,168,144,123,46,399,403,405,399,408,407,401,402,390,398,394,380,380,382,368,379,363,346,386,345,360,331,302,355,322,285,309,332,301,331,285,262,266,273,273,245,236,224,200,225,211
14,New Hampshire,375,11,9,7,5,4,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,North Carolina,1409,98,87,75,64,54,45,16,167,167,163,163,163,156,156,154,153,154,148,148,140,143,129,136,132,131,116,127,125,113,111,115,97,100,100,103,107,93,91,81,70,77,78,80,71,75,66,60,73
16,New Jersey,15107,164,133,105,83,67,52,18,28,27,26,25,25,24,23,22,22,20,20,19,19,19,17,17,17,16,15,15,14,13,12,13,11,11,10,11,10,9,10,9,9,9,9,7,8,8,7,8,6
17,Colorado,1701,41,34,28,22,18,14,5,40,39,39,38,36,35,34,34,32,30,31,30,30,29,28,25,27,26,25,22,24,23,22,20,21,20,17,17,16,17,16,17,15,15,15,14,12,12,13,12,11
18,Maryland,3212,83,68,55,45,35,28,10,53,52,50,50,47,46,47,45,41,40,38,39,39,36,35,34,32,32,31,29,28,25,28,28,24,26,20,22,20,20,20,21,18,19,19,18,17,16,14,17,14
19,Nevada,525,33,33,31,28,24,21,7,80,81,81,82,81,84,79,83,81,81,81,76,79,83,77,81,74,73,67,78,74,69,69,70,70,69,64,55,51,64,63,62,64,58,57,54,50,54,49,55,43
20,Tennessee,620,104,101,94,84,72,61,23,103,103,104,105,105,105,107,103,107,100,105,102,104,95,94,97,94,96,91,92,85,88,95,85,82,88,83,78,81,79,74,83,72,72,61,64,73,55,64,61,59
