forecast_date,target,target_end_date,location,type,quantile,value
2021-10-31,1 wk ahead inc case,2021-11-06,AT,quantile,0.010,28211
2021-10-31,1 wk ahead inc case,2021-11-06,BE,quantile,0.010,45900
2021-10-31,1 wk ahead inc case,2021-11-06,BG,quantile,0.010,28452
2021-10-31,1 wk ahead inc case,2021-11-06,HR,quantile,0.010,22025
2021-10-31,1 wk ahead inc case,2021-11-06,CY,quantile,0.010,1019
2021-10-31,1 wk ahead inc case,2021-11-06,CZ,quantile,0.010,32191
2021-10-31,1 wk ahead inc case,2021-11-06,DK,quantile,0.010,11719
2021-10-31,1 wk ahead inc case,2021-11-06,EE,quantile,0.010,12140
2021-10-31,1 wk ahead inc case,2021-11-06,FI,quantile,0.010,4299
2021-10-31,1 wk ahead inc case,2021-11-06,FR,quantile,0.010,39199
2021-10-31,1 wk ahead inc case,2021-11-06,DE,quantile,0.010,156764
2021-10-31,1 wk ahead inc case,2021-11-06,GR,quantile,0.010,23490
2021-10-31,1 wk ahead inc case,2021-11-06,HU,quantile,0.010,19879
2021-10-31,1 wk ahead inc case,2021-11-06,IS,quantile,0.010,515
2021-10-31,1 wk ahead inc case,2021-11-06,IE,quantile,0.010,14394
2021-10-31,1 wk ahead inc case,2021-11-06,IT,quantile,0.010,43845
2021-10-31,1 wk ahead inc case,2021-11-06,LV,quantile,0.010,14282
2021-10-31,1 wk ahead inc case,2021-11-06,LI,quantile,0.010,29
2021-10-31,1 wk ahead inc case,2021-11-06,LT,quantile,0.010,16271
2021-10-31,1 wk ahead inc case,2021-11-06,LU,quantile,0.010,1044
2021-10-31,1 wk ahead inc case,2021-11-06,MT,quantile,0.010,63
2021-10-31,1 wk ahead inc case,2021-11-06,NL,quantile,0.010,46788
2021-10-31,1 wk ahead inc case,2021-11-06,NO,quantile,0.010,7372
2021-10-31,1 wk ahead inc case,2021-11-06,PL,quantile,0.010,68149
2021-10-31,1 wk ahead inc case,2021-11-06,PT,quantile,0.010,5115
2021-10-31,1 wk ahead inc case,2021-11-06,RO,quantile,0.010,74609
2021-10-31,1 wk ahead inc case,2021-11-06,SK,quantile,0.010,25558
2021-10-31,1 wk ahead inc case,2021-11-06,SI,quantile,0.010,15439
2021-10-31,1 wk ahead inc case,2021-11-06,ES,quantile,0.010,11938
2021-10-31,1 wk ahead inc case,2021-11-06,SE,quantile,0.010,6964
2021-10-31,1 wk ahead inc case,2021-11-06,CH,quantile,0.010,9995
2021-10-31,1 wk ahead inc case,2021-11-06,GB,quantile,0.010,236699
2021-10-31,2 wk ahead inc case,2021-11-13,AT,quantile,0.010,36391
2021-10-31,2 wk ahead inc case,2021-11-13,BE,quantile,0.010,64349
2021-10-31,2 wk ahead inc case,2021-11-13,BG,quantile,0.010,31459
2021-10-31,2 wk ahead inc case,2021-11-13,HR,quantile,0.010,29365
2021-10-31,2 wk ahead inc case,2021-11-13,CY,quantile,0.010,1025
2021-10-31,2 wk ahead inc case,2021-11-13,CZ,quantile,0.010,55200
2021-10-31,2 wk ahead inc case,2021-11-13,DK,quantile,0.010,16504
2021-10-31,2 wk ahead inc case,2021-11-13,EE,quantile,0.010,14788
2021-10-31,2 wk ahead inc case,2021-11-13,FI,quantile,0.010,5557
2021-10-31,2 wk ahead inc case,2021-11-13,FR,quantile,0.010,42292
2021-10-31,2 wk ahead inc case,2021-11-13,DE,quantile,0.010,262646
2021-10-31,2 wk ahead inc case,2021-11-13,GR,quantile,0.010,28226
2021-10-31,2 wk ahead inc case,2021-11-13,HU,quantile,0.010,30607
2021-10-31,2 wk ahead inc case,2021-11-13,IS,quantile,0.010,615
2021-10-31,2 wk ahead inc case,2021-11-13,IE,quantile,0.010,15201
2021-10-31,2 wk ahead inc case,2021-11-13,IT,quantile,0.010,89670
2021-10-31,2 wk ahead inc case,2021-11-13,LV,quantile,0.010,13843
2021-10-31,2 wk ahead inc case,2021-11-13,LI,quantile,0.010,32
2021-10-31,2 wk ahead inc case,2021-11-13,LT,quantile,0.010,15218
2021-10-31,2 wk ahead inc case,2021-11-13,LU,quantile,0.010,1280
2021-10-31,2 wk ahead inc case,2021-11-13,MT,quantile,0.010,51
2021-10-31,2 wk ahead inc case,2021-11-13,NL,quantile,0.010,62221
2021-10-31,2 wk ahead inc case,2021-11-13,NO,quantile,0.010,12470
2021-10-31,2 wk ahead inc case,2021-11-13,PL,quantile,0.010,134433
2021-10-31,2 wk ahead inc case,2021-11-13,PT,quantile,0.010,5412
2021-10-31,2 wk ahead inc case,2021-11-13,RO,quantile,0.010,65682
2021-10-31,2 wk ahead inc case,2021-11-13,SK,quantile,0.010,38268
2021-10-31,2 wk ahead inc case,2021-11-13,SI,quantile,0.010,21240
2021-10-31,2 wk ahead inc case,2021-11-13,ES,quantile,0.010,12521
2021-10-31,2 wk ahead inc case,2021-11-13,SE,quantile,0.010,11173
2021-10-31,2 wk ahead inc case,2021-11-13,CH,quantile,0.010,13494
2021-10-31,2 wk ahead inc case,2021-11-13,GB,quantile,0.010,208517
