id,Country,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29
0,Afghanistan,67743,68485,69280,70135,71064,72070,73159,74331,75590,76941,78390,79946,81612,83398,85309,87353,89541,91883,94387,97063,99921,102970,106223,109693,113392,117335,121539,126018,130788,135869,141278,147035,153162,159676,166607,173976,181809,190133,198981,208380,218365,228970,240229,252179,264862,278320,292597,307739,323797,340820,358862,377981,398239,419692,442411,466459,491911,518841,547323,577441,609277,642920,678458,715986,755600,797403,841492,887974,936961,988560,1042887,1100053,1160181,1223380,1289777,1359487,1432627,1509318,1589673,1673809,1761836,1853857,1949976,2050290,2154884,2263838,2377227,2495106,2617525,2744520,2876109,3012298,3153076,3298413,3448259,3602548
1,Albania,132244,132283,132322,132359,132395,132431,132466,132500,132534,132567,132598,132630,132660,132691,132721,132749,132777,132805,132833,132859,132886,132910,132936,132959,132984,133007,133030,133053,133075,133097,133118,133139,133159,133179,133198,133218,133237,133255,133273,133290,133308,133324,133342,133358,133373,133390,133406,133420,133435,133450,133464,133478,133492,133505,133517,133530,133542,133555,133567,133578,133590,133602,133613,133625,133636,133646,133657,133667,133677,133686,133696,133705,133714,133723,133732,133740,133749,133757,133764,133773,133780,133788,133795,133803,133810,133817,133824,133830,133836,133843,133849,133856,133863,133870,133876,133883
2,Algeria,127646,127952,128268,128598,128942,129303,129676,130061,130463,130879,131309,131758,132221,132700,133198,133712,134242,134792,135359,135947,136554,137180,137826,138494,139183,139892,140625,141383,142161,142965,143794,144647,145526,146432,147365,148326,149314,150333,151380,152457,153567,154709,155883,157090,158333,159610,160921,162271,163659,165086,166550,168057,169604,171194,172828,174506,176229,178000,179817,181682,183598,185566,187587,189659,191788,193971,196213,198515,200875,203297,205782,208332,210948,213631,216384,219207,222102,225071,228117,231239,234442,237725,241090,244542,248078,251704,255421,259230,263135,267135,271234,275436,279740,284150,288668,293297
3,Andorra,13671,13681,13691,13700,13709,13719,13728,13737,13747,13756,13767,13777,13786,13797,13808,13817,13828,13838,13848,13859,13869,13880,13892,13902,13914,13924,13936,13948,13959,13970,13982,13993,14004,14016,14028,14040,14052,14063,14075,14086,14098,14110,14122,14133,14145,14157,14168,14180,14192,14203,14215,14226,14238,14249,14260,14272,14283,14294,14306,14317,14328,14338,14349,14359,14370,14381,14391,14401,14411,14421,14432,14442,14452,14462,14472,14482,14492,14502,14512,14521,14530,14540,14549,14558,14567,14577,14585,14594,14602,14611,14620,14629,14637,14645,14654,14662
4,Angola,33338,33704,34076,34453,34842,35237,35642,36055,36478,36907,37348,37798,38258,38725,39202,39688,40185,40692,41210,41740,42281,42834,43399,43976,44564,45163,45776,46400,47038,47689,48356,49035,49729,50438,51161,51900,52654,53424,54209,55011,55829,56666,57519,58391,59282,60190,61117,62065,63032,64017,65026,66055,67105,68178,69274,70393,71536,72702,73893,75110,76352,77620,78915,80238,81589,82968,84379,85818,87288,88790,90324,91890,93490,95122,96792,98496,100238,102016,103833,105688,107585,109521,111498,113519,115583,117692,119845,122045,124293,126587,128929,131317,133751,136232,138761,141336
5,Antigua and Barbuda,1258,1261,1265,1268,1273,1278,1284,1289,1296,1305,1312,1321,1331,1342,1354,1367,1382,1398,1416,1434,1456,1479,1505,1533,1563,1597,1633,1673,1719,1767,1821,1879,1944,2013,2091,2174,2266,2366,2477,2596,2727,2870,3025,3195,3378,3579,3796,4031,4287,4563,4863,5186,5533,5908,6309,6739,7200,7690,8212,8766,9351,9968,10618,11299,12009,12750,13516,14307,15121,15953,16801,17662,18532,19405,20278,21147,22010,22859,23693,24507,25299,26066,26805,27515,28193,28839,29453,30032,30578,31091,31572,32022,32439,32824,33177,33498
6,Argentina,3622135,3656561,3691610,3727367,3763828,3800984,3838763,3877159,3916259,3955927,3996039,4036545,4077419,4118667,4160266,4202232,4244566,4287245,4330246,4373546,4417124,4460956,4505020,4549289,4593740,4638349,4683091,4727941,4772965,4818154,4863483,4908933,4954481,5000104,5045778,5091483,5137196,5182896,5228560,5274168,5319698,5365491,5411578,5457964,5504658,5551666,5599001,5646662,5694657,5742987,5791655,5840660,5889999,5939669,5989668,6039991,6090633,6141586,6192846,6244411,6296272,6348426,6400865,6453584,6506577,6559839,6613356,6667126,6721135,6775372,6829826,6884485,6939334,6994358,7049543,7104873,7160331,7215900,7271565,7327308,7383112,7438959,7494832,7550715,7606588,7662433,7718236,7773975,7829634,7885194,7940639,7995875,8050819,8105454,8159770,8213752
7,Armenia,222269,222453,222633,222809,222979,223145,223309,223466,223623,223774,223923,224069,224212,224353,224490,224624,224755,224881,225005,225126,225243,225358,225470,225578,225683,225787,225887,225985,226079,226172,226262,226351,226436,226519,226599,226678,226754,226829,226902,226972,227041,227107,227173,227235,227297,227357,227415,227471,227526,227580,227632,227683,227732,227780,227827,227872,227916,227959,228001,228042,228081,228118,228155,228192,228226,228261,228295,228328,228359,228390,228419,228449,228477,228504,228530,228556,228581,228605,228629,228652,228674,228696,228717,228737,228758,228777,228795,228814,228833,228852,228870,228889,228907,228926,228944,228963
8,Australia,30063,30077,30093,30107,30123,30141,30157,30176,30195,30214,30235,30254,30275,30298,30320,30344,30368,30394,30418,30444,30472,30498,30526,30555,30583,30613,30644,30675,30706,30739,30772,30805,30840,30875,30910,30945,30982,31017,31056,31093,31132,31169,31208,31249,31288,31330,31371,31412,31456,31497,31541,31584,31628,31673,31717,31763,31809,31854,31900,31946,31992,32040,32088,32133,32181,32229,32277,32325,32373,32421,32471,32519,32567,32617,32665,32713,32763,32811,32859,32907,32955,33005,33053,33101,33149,33195,33243,33291,33337,33385,33431,33477,33523,33569,33613,33659
9,Austria,642583,643227,643853,644459,645047,645616,646164,646692,647195,647680,648145,648592,649021,649433,649828,650206,650569,650917,651248,651565,651867,652156,652432,652694,652944,653182,653411,653628,653834,654031,654219,654398,654569,654731,654885,655034,655173,655308,655436,655558,655675,655787,655894,655997,656094,656187,656278,656364,656447,656525,656603,656675,656746,656813,656880,656942,657004,657062,657118,657173,657226,657278,657328,657376,657422,657467,657511,657553,657594,657633,657671,657709,657746,657781,657815,657849,657881,657912,657943,657972,658001,658029,658057,658083,658109,658133,658157,658182,658204,658227,658249,658270,658291,658310,658327,658343
