id,Country,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17
0,Afghanistan,91458,93425,95485,97637,99899,102277,104784,107434,110233,113188,116315,119626,123134,126855,130801,134987,139421,144123,149107,154400,160032,166025,172401,179187,186411,194102,202290,211004,220279,230152,240658,251840,263741,276406,289883,304220,319473,335695,352943,371281,390768,411476,433471,456828,481622,507932,535840,565427,596774,629971,665108,702281,741584,783112,826970,873249,922053,973480,1027629,1084595,1144472,1207352,1273321,1342462,1414848,1490549,1569625,1652125,1738090,1827546,1920508,2016975,2116931,2220345,2327163,2437316,2550716,2667254,2786798,2909198,3034282,3161858,3291713,3423614,3557313,3692541,3829016,3966443,4104820,4244147,4384425,4525655,4667838,4810977,4955073,5100129
1,Albania,132461,132471,132483,132493,132504,132515,132525,132536,132548,132558,132569,132580,132591,132602,132613,132625,132636,132645,132657,132667,132677,132687,132698,132708,132719,132730,132741,132751,132762,132772,132781,132792,132802,132812,132822,132830,132840,132850,132859,132869,132877,132887,132896,132904,132913,132922,132931,132940,132949,132956,132965,132972,132981,132988,132995,133004,133011,133018,133025,133032,133039,133045,133053,133060,133066,133074,133079,133087,133092,133097,133105,133110,133116,133122,133127,133132,133138,133143,133148,133154,133160,133165,133171,133175,133181,133185,133189,133195,133199,133203,133207,133211,133217,133221,133225,133228
2,Algeria,133742,134118,134498,134879,135258,135641,136027,136416,136806,137195,137582,137967,138349,138730,139107,139483,139858,140233,140608,140983,141358,141732,142108,142485,142861,143240,143619,143997,144375,144749,145123,145495,145866,146237,146605,146974,147341,147708,148073,148440,148807,149178,149551,149929,150310,150695,151087,151481,151882,152288,152702,153123,153551,153989,154434,154890,155355,155831,156317,156815,157326,157848,158385,158934,159498,160077,160670,161280,161907,162550,163212,163891,164590,165307,166044,166802,167582,168383,169207,170053,170923,171817,172736,173678,174649,175644,176667,177716,178795,179903,181040,182205,183401,184624,185876,187159
3,Andorra,13826,13847,13870,13895,13919,13948,13976,14006,14038,14073,14110,14150,14193,14239,14287,14338,14393,14451,14513,14579,14649,14724,14804,14888,14978,15074,15175,15283,15398,15518,15648,15782,15927,16079,16239,16410,16588,16775,16975,17183,17403,17632,17871,18124,18388,18662,18948,19246,19556,19877,20209,20553,20908,21273,21648,22033,22428,22830,23241,23658,24083,24513,24946,25383,25822,26263,26705,27146,27584,28021,28453,28880,29301,29715,30122,30521,30909,31290,31658,32017,32366,32705,33033,33351,33655,33950,34231,34503,34762,35010,35251,35491,35729,35963,36194,36423
4,Angola,36790,37020,37250,37477,37702,37926,38148,38368,38589,38806,39023,39239,39455,39669,39883,40096,40308,40517,40726,40936,41143,41349,41555,41760,41965,42168,42371,42572,42773,42974,43174,43373,43570,43768,43965,44161,44357,44550,44745,44937,45131,45322,45513,45704,45893,46084,46271,46458,46646,46832,47018,47203,47387,47570,47753,47936,48117,48298,48477,48657,48836,49013,49190,49367,49543,49718,49892,50065,50238,50409,50582,50752,50922,51091,51259,51426,51593,51759,51925,52089,52253,52417,52578,52739,52900,53059,53220,53377,53533,53688,53840,53991,54139,54286,54432,54576
5,Antigua and Barbuda,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,1276,1277,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1292,1292,1293,1294,1295,1296,1296,1296,1297,1297,1297,1297,1298,1299,1300,1301,1302,1302,1303,1303,1304,1305,1305,1305,1305,1306,1307,1307,1307,1307,1308,1309,1310,1311,1311,1311,1311,1312,1312,1312,1312,1312,1312,1312,1313,1313,1314,1314,1315,1315,1315,1315,1315,1316,1316,1316,1316,1316,1316,1316,1316,1316,1317,1319,1322
6,Argentina,4145482,4175967,4206305,4236326,4266025,4295393,4324419,4353182,4381845,4410351,4438693,4466870,4494873,4522698,4550281,4577480,4604392,4631034,4657411,4683534,4709408,4735041,4760428,4785542,4810371,4834900,4859117,4883006,4906558,4929766,4952636,4975163,4997348,5019186,5040672,5061797,5082559,5102950,5122962,5142596,5161849,5180718,5199204,5217307,5235027,5252366,5269322,5285895,5302085,5317894,5333324,5348375,5363052,5377355,5391289,5404859,5418067,5430917,5443413,5455561,5467361,5478818,5489937,5500723,5511183,5521322,5531147,5540662,5549875,5558792,5567419,5575760,5583825,5591617,5599145,5606414,5613429,5620198,5626726,5633021,5639087,5644931,5650560,5655978,5661192,5666208,5671031,5675668,5680124,5684399,5688494,5692407,5696139,5699690,5703060,5706249
7,Armenia,223723,223801,223879,223955,224030,224107,224182,224259,224335,224409,224483,224557,224630,224703,224775,224847,224918,224990,225059,225129,225197,225267,225334,225401,225468,225534,225599,225663,225728,225791,225854,225915,225977,226038,226098,226157,226215,226273,226331,226388,226443,226498,226553,226607,226659,226712,226763,226814,226865,226915,226963,227012,227059,227105,227153,227197,227241,227286,227330,227373,227416,227456,227498,227539,227579,227618,227657,227696,227732,227770,227806,227842,227877,227912,227946,227980,228013,228046,228078,228109,228141,228173,228202,228232,228261,228290,228318,228347,228373,228401,228428,228454,228480,228504,228529,228554
8,Australia,30273,30291,30309,30328,30347,30368,30388,30408,30429,30451,30473,30497,30519,30542,30567,30591,30617,30643,30669,30696,30723,30751,30780,30808,30838,30867,30897,30927,30959,30990,31023,31055,31087,31121,31155,31189,31223,31259,31295,31331,31367,31404,31441,31479,31516,31555,31594,31631,31671,31709,31749,31789,31829,31869,31909,31949,31990,32031,32072,32112,32153,32194,32235,32276,32317,32357,32398,32439,32479,32520,32561,32601,32641,32681,32720,32760,32799,32837,32877,32915,32954,32991,33029,33067,33103,33140,33176,33212,33246,33280,33312,33343,33374,33403,33431,33459
9,Austria,648732,648970,649204,649433,649658,649876,650087,650289,650485,650676,650859,651037,651208,651372,651529,651680,651824,651962,652094,652218,652338,652450,652557,652659,652755,652846,652932,653011,653086,653156,653224,653285,653343,653398,653448,653495,653539,653579,653616,653652,653683,653713,653740,653765,653787,653809,653828,653846,653861,653876,653889,653901,653912,653922,653931,653939,653946,653952,653958,653964,653968,653972,653976,653980,653983,653985,653987,653989,653990,653993,653994,653994,653996,653997,653998,654000,654001,654002,654003,654004,654006,654006,654006,654007,654007,654008,654009,654009,654009,654010,654010,654011,654012,654012,654012,654012
10,Azerbaijan,335196,335264,335326,335385,335439,335491,335538,335583,335626,335666,335702,335737,335770,335799,335828,335855,335879,335902,335924,335943,335963,335980,335996,336011,336025,336038,336051,336063,336074,336084,336094,336103,336112,336119,336127,336133,336140,336145,336151,336156,336161,336166,336170,336173,336177,336180,336183,336187,336190,336192,336195,336197,336200,336202,336204,336206,336207,336208,336210,336211,336211,336213,336214,336214,336215,336216,336217,336218,336218,336219,336220,336221,336222,336223,336224,336225,336226,336227,336228,336229,336229,336230,336230,336230,336231,336231,336232,336233,336233,336234,336234,336235,336235,336235,336235,336235
11,The Bahamas,12199,12243,12287,12332,12379,12425,12474,12522,12572,12624,12676,12731,12788,12847,12905,12966,13030,13094,13159,13226,13295,13365,13435,13507,13582,13657,13733,13811,13891,13971,14052,14135,14221,14305,14393,14479,14569,14658,14749,14842,14934,15030,15124,15220,15318,15415,15513,15614,15715,15816,15917,16021,16125,16229,16335,16441,16547,16653,16762,16871,16979,17088,17197,17308,17419,17530,17641,17753,17864,17976,18090,18201,18315,18427,18541,18653,18767,18879,18993,19106,19220,19333,19445,19558,19671,19784,19897,20010,20121,20232,20343,20454,20565,20674,20785,20892
12,Bahrain,259523,261258,262923,264523,266057,267522,268921,270254,271521,272726,273868,274950,275966,276920,277812,278644,279421,280142,280814,281434,282004,282530,283011,283452,283857,284224,284559,284863,285138,285386,285610,285812,285992,286155,286299,286428,286544,286646,286737,286818,286889,286952,287007,287056,287099,287137,287169,287197,287221,287243,287260,287277,287290,287301,287312,287319,287327,287332,287337,287342,287344,287348,287352,287354,287356,287358,287359,287361,287362,287363,287365,287365,287365,287365,287366,287366,287366,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368,287368
13,Bangladesh,829972,832818,835820,838966,842233,845597,849041,852580,856215,859945,863798,867802,871974,876328,880856,885552,890408,895413,900561,905858,911319,916963,922807,928862,935145,941657,948402,955370,962560,969975,977621,985508,993652,1002069,1010773,1019779,1029095,1038725,1048672,1058940,1069534,1080461,1091735,1103370,1115385,1127793,1140612,1153854,1167527,1181642,1196207,1211233,1226731,1242718,1259212,1276228,1293789,1311911,1330613,1349908,1369815,1390349,1411521,1433355,1455865,1479078,1503015,1527697,1553150,1579396,1606459,1634360,1663119,1692765,1723319,1754806,1787256,1820695,1855157,1890670,1927264,1964969,2003818,2043840,2085068,2127533,2171271,2216317,2262711,2310486,2359685,2410345,2462507,2516214,2571503,2628421
