id,Country,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31,2022-04-01,2022-04-02,2022-04-03,2022-04-04,2022-04-05,2022-04-06,2022-04-07,2022-04-08,2022-04-09,2022-04-10,2022-04-11,2022-04-12,2022-04-13,2022-04-14,2022-04-15,2022-04-16,2022-04-17,2022-04-18,2022-04-19,2022-04-20,2022-04-21,2022-04-22,2022-04-23,2022-04-24,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-04-30,2022-05-01,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-14,2022-05-15,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-22,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29
0,"Washington",1410499,1410929,1411055,1411172,1411282,1411389,1411470,1411540,1411606,1411668,1411725,1411775,1411816,1411851,1411883,1411911,1411937,1411959,1411979,1411996,1412011,1412025,1412037,1412048,1412057,1412065,1412073,1412079,1412085,1412090,1412095,1412099,1412103,1412106,1412109,1412111,1412114,1412116,1412117,1412119,1412120,1412121,1412122,1412123,1412124,1412125,1412125,1412126,1412126,1412127,1412127,1412128,1412128,1412128,1412128,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129,1412129
1,"Illinois",3013709,3016622,3019186,3021675,3024085,3026430,3028643,3030726,3032686,3034528,3036262,3037900,3039446,3040905,3042283,3043586,3044819,3045988,3047098,3048150,3049149,3050098,3051001,3051861,3052682,3053466,3054213,3054927,3055610,3056264,3056891,3057492,3058070,3058626,3059159,3059673,3060168,3060646,3061107,3061554,3061985,3062402,3062807,3063199,3063580,3063950,3064310,3064661,3065002,3065335,3065659,3065977,3066287,3066590,3066888,3067179,3067465,3067746,3068021,3068293,3068560,3068824,3069083,3069340,3069593,3069844,3070092,3070338,3070582,3070823,3071064,3071303,3071541,3071777,3072014,3072249,3072485,3072720,3072956,3073192,3073429,3073666,3073905,3074145,3074387,3074631,3074877,3075125,3075376,3075630,3075888,3076149,3076414,3076684,3076958,3077238,3077523,3077813,3078107,3078403,3078703
2,"California",8888536,8898906,8906958,8914652,8921987,8929051,8935486,8941358,8946720,8951610,8956075,8960175,8963912,8967323,8970439,8973290,8975900,8978294,8980492,8982506,8984353,8986051,8987614,8989056,8990388,8991623,8992762,8993817,8994794,8995703,8996550,8997340,8998080,8998770,8999417,9000023,9000594,9001131,9001640,9002122,9002578,9003010,9003420,9003812,9004186,9004544,9004889,9005219,9005536,9005841,9006135,9006419,9006694,9006961,9007219,9007469,9007712,9007949,9008179,9008405,9008625,9008840,9009050,9009255,9009457,9009655,9009849,9010041,9010229,9010414,9010597,9010777,9010955,9011131,9011305,9011478,9011649,9011818,9011986,9012153,9012319,9012484,9012648,9012812,9012975,9013138,9013300,9013462,9013623,9013785,9013947,9014109,9014271,9014433,9014596,9014759,9014923,9015088,9015252,9015417,9015583
3,"Arizona",1962920,1965310,1967291,1969205,1971051,1972835,1974492,1976030,1977458,1978782,1980007,1981146,1982204,1983188,1984103,1984956,1985750,1986492,1987186,1987835,1988441,1989010,1989542,1990043,1990513,1990957,1991374,1991767,1992139,1992490,1992823,1993138,1993438,1993723,1993994,1994252,1994498,1994734,1994960,1995176,1995383,1995582,1995774,1995959,1996137,1996309,1996475,1996636,1996791,1996943,1997089,1997232,1997371,1997507,1997639,1997768,1997894,1998017,1998138,1998257,1998374,1998488,1998601,1998712,1998822,1998930,1999038,1999144,1999249,1999353,1999457,1999559,1999662,1999764,1999865,1999967,2000068,2000170,2000271,2000373,2000474,2000576,2000679,2000782,2000885,2000989,2001094,2001199,2001305,2001413,2001521,2001630,2001740,2001852,2001965,2002079,2002195,2002313,2002431,2002550,2002670
4,"Massachusetts",1661206,1662630,1663875,1665089,1666268,1667419,1668511,1669549,1670536,1671477,1672375,1673239,1674072,1674880,1675665,1676432,1677185,1677928,1678664,1679396,1680128,1680862,1681602,1682351,1683113,1683889,1684684,1685500,1686341,1687211,1688112,1689048,1690022,1691040,1692105,1693222,1694394,1695627,1696925,1698293,1699738,1701268,1702886,1704601,1706419,1708347,1710393,1712568,1714882,1717343,1719962,1722747,1725710,1728861,1732220,1735797,1739607,1743661,1747974,1752558,1757426,1762606,1768113,1773960,1780164,1786736,1793692,1801043,1808823,1817046,1825723,1834864,1844479,1854575,1865155,1876246,1887851,1899967,1912588,1925708,1939314,1953392,1967952,1982975,1998436,2014309,2030564,2047169,2064090,2081309,2098783,2116470,2134323,2152299,2170352,2188436,2206514,2224538,2242519,2260460,2278377
5,"Wisconsin",1564381,1565602,1566638,1567643,1568616,1569562,1570452,1571290,1572081,1572827,1573534,1574206,1574848,1575464,1576057,1576629,1577185,1577728,1578259,1578782,1579298,1579810,1580320,1580830,1581343,1581860,1582384,1582916,1583458,1584013,1584582,1585168,1585773,1586399,1587048,1587723,1588427,1589161,1589928,1590731,1591574,1592460,1593392,1594374,1595408,1596499,1597649,1598866,1600154,1601517,1602960,1604488,1606105,1607817,1609634,1611561,1613605,1615771,1618067,1620499,1623073,1625802,1628694,1631754,1634990,1638409,1642016,1645817,1649828,1654053,1658499,1663168,1668064,1673190,1678547,1684148,1689993,1696081,1702409,1708973,1715769,1722790,1730043,1737519,1745209,1753103,1761188,1769453,1777884,1786480,1795224,1804101,1813094,1822187,1831362,1840604,1849900,1859233,1868576,1877931,1887309
6,"Texas",6567203,6575120,6581836,6588352,6594662,6600800,6606568,6611996,6617106,6621917,6626453,6630745,6634811,6638670,6642340,6645839,6649181,6652384,6655462,6658424,6661281,6664045,6666726,6669335,6671881,6674372,6676815,6679216,6681584,6683925,6686246,6688553,6690851,6693146,6695443,6697748,6700064,6702397,6704751,6707130,6709540,6711984,6714466,6716989,6719555,6722166,6724826,6727541,6730315,6733147,6736041,6738996,6742014,6745094,6748247,6751476,6754783,6758170,6761640,6765195,6768838,6772576,6776413,6780354,6784404,6788567,6792849,6797256,6801791,6806458,6811262,6816207,6821299,6826541,6831938,6837496,6843220,6849112,6855177,6861417,6867834,6874431,6881217,6888193,6895362,6902723,6910278,6918026,6925968,6934111,6942454,6950996,6959736,6968671,6977797,6987113,6996622,7006318,7016100,7025973,7035947
7,"Nebraska",452601,452818,452987,453149,453303,453452,453587,453709,453821,453922,454014,454097,454173,454242,454304,454361,454413,454460,454503,454542,454578,454610,454640,454667,454691,454714,454735,454754,454771,454787,454801,454814,454827,454838,454848,454857,454866,454874,454881,454888,454894,454900,454905,454910,454915,454919,454922,454926,454929,454932,454935,454937,454939,454941,454943,454945,454947,454948,454950,454951,454952,454953,454954,454955,454956,454957,454958,454958,454959,454960,454960,454961,454961,454962,454962,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963,454963
8,"Utah",918222,919019,919670,920297,920897,921475,922005,922492,922937,923342,923711,924048,924355,924634,924888,925119,925330,925521,925696,925854,925998,926128,926247,926354,926452,926541,926621,926694,926760,926819,926874,926923,926967,927007,927043,927076,927106,927132,927157,927179,927198,927216,927232,927247,927260,927272,927283,927292,927301,927309,927316,927322,927328,927333,927338,927342,927346,927350,927353,927356,927358,927361,927363,927365,927366,927368,927369,927371,927372,927373,927374,927375,927375,927376,927377,927377,927378,927378,927379,927379,927379,927380,927380,927380,927380,927380,927380,927381,927381,927381,927381,927381,927381,927381,927381,927381,927381,927381,927381,927381,927381
9,"Oregon",685953,687257,688343,689392,690404,691383,692293,693140,693927,694657,695335,695965,696551,697095,697602,698073,698512,698921,699303,699659,699991,700300,700589,700859,701112,701349,701570,701777,701971,702153,702324,702484,702634,702776,702909,703034,703151,703262,703366,703465,703558,703646,703728,703807,703881,703951,704017,704080,704139,704196,704249,704300,704348,704394,704438,704479,704519,704556,704592,704626,704659,704689,704719,704747,704774,704800,704824,704848,704871,704892,704913,704932,704951,704970,704987,705004,705020,705035,705050,705065,705078,705092,705105,705117,705129,705141,705152,705163,705173,705184,705194,705203,705213,705222,705231,705239,705248,705256,705264,705273,705281
