id,Country,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22
0,Afghanistan,55518,55548,55577,55603,55629,55655,55680,55703,55727,55749,55770,55792,55812,55832,55851,55869,55887,55905,55921,55938,55954,55970,55986,55999,56015,56028,56040,56054,56067,56079,56092,56103,56115,56126,56137,56147,56157,56169,56178,56187,56198,56207,56216,56224,56232,56241,56249,56256,56264,56271,56279,56287,56295,56302,56309,56316,56322,56329,56335,56341,56346,56353,56359,56364,56370,56375,56380,56385,56391,56395,56399,56405,56410,56413,56419,56423,56427,56432,56436,56440,56444,56448,56452,56455,56459,56462,56466,56470,56473,56477,56480,56484,56489,56495,56503,56511
1,Albania,94651,95838,97045,98270,99509,100765,102034,103321,104618,105932,107260,108607,109976,111366,112785,114229,115699,117196,118720,120269,121842,123440,125060,126703,128369,130057,131769,133506,135272,137064,138886,140739,142627,144547,146503,148495,150525,152589,154693,156831,159005,161213,163458,165739,168054,170406,172795,175221,177688,180196,182746,185339,187975,190657,193384,196158,198979,201843,204755,207712,210713,213760,216852,219989,223172,226401,229675,232997,236367,239787,243255,246772,250340,253956,257624,261339,265105,268918,272779,276687,280642,284642,288689,292780,296915,301096,305322,309592,313906,318265,322668,327115,331608,336145,340729,345358
2,Algeria,111069,111349,111630,111913,112198,112485,112775,113068,113363,113662,113962,114267,114571,114881,115192,115507,115824,116144,116467,116792,117121,117453,117787,118124,118464,118807,119154,119503,119854,120210,120568,120930,121296,121662,122034,122408,122786,123166,123551,123938,124329,124723,125121,125522,125926,126335,126746,127161,127580,128001,128427,128856,129290,129727,130166,130611,131060,131511,131967,132426,132890,133357,133829,134304,134784,135268,135755,136247,136743,137242,137746,138254,138767,139284,139805,140330,140860,141394,141933,142476,143024,143577,144133,144695,145260,145832,146407,146988,147572,148163,148758,149357,149960,150568,151179,151795
3,Andorra,10555,10601,10644,10687,10730,10772,10813,10854,10893,10933,10971,11009,11047,11084,11120,11156,11191,11225,11259,11292,11325,11357,11388,11419,11450,11480,11510,11539,11566,11595,11622,11649,11675,11701,11727,11752,11776,11800,11823,11847,11870,11891,11913,11935,11956,11976,11996,12016,12035,12054,12072,12091,12109,12125,12143,12159,12176,12192,12208,12224,12239,12253,12267,12282,12296,12309,12323,12336,12349,12362,12374,12386,12398,12410,12421,12431,12443,12453,12464,12474,12485,12494,12503,12513,12522,12530,12539,12548,12557,12566,12574,12583,12592,12602,12613,12625
4,Angola,20389,20430,20469,20509,20549,20589,20629,20668,20709,20749,20790,20829,20871,20911,20952,20993,21033,21074,21114,21155,21195,21236,21278,21319,21360,21401,21443,21483,21524,21565,21605,21647,21687,21728,21768,21809,21849,21889,21930,21970,22010,22051,22092,22132,22173,22213,22253,22293,22334,22374,22413,22454,22493,22533,22572,22612,22651,22691,22732,22770,22810,22849,22889,22927,22966,23006,23044,23083,23122,23161,23199,23238,23277,23315,23354,23392,23431,23468,23506,23544,23582,23619,23657,23695,23732,23770,23808,23845,23882,23920,23957,23994,24032,24069,24104,24142
5,Antigua and Barbuda,443,466,493,519,548,579,611,645,681,721,763,808,858,910,967,1029,1096,1167,1244,1327,1419,1517,1622,1737,1862,1995,2140,2297,2466,2648,2845,3058,3287,3535,3800,4087,4395,4724,5076,5452,5849,6278,6736,7226,7746,8300,8886,9505,10158,10840,11554,12297,13069,13867,14696,15549,16426,17324,18239,19167,20102,21042,21980,22915,23838,24749,25641,26510,27353,28168,28948,29696,30404,31072,31700,32284,32826,33327,33784,34201,34603,35015,35440,35875,36321,36782,37257,37743,38238,38737,39234,39726,40210,40688,41166,41652
6,Argentina,2033060,2040571,2048042,2055470,2062862,2070205,2077515,2084790,2092032,2099208,2106306,2113307,2120209,2127008,2133704,2140331,2146917,2153471,2160004,2166524,2173029,2179520,2185977,2192396,2198773,2205101,2211375,2217593,2223747,2229836,2235859,2241819,2247723,2253571,2259376,2265138,2270868,2276566,2282236,2287876,2293487,2299062,2304602,2310102,2315557,2320965,2326322,2331627,2336879,2342080,2347230,2352336,2357399,2362423,2367414,2372372,2377297,2382192,2387055,2391882,2396675,2401429,2406144,2410818,2415448,2420036,2424579,2429080,2433539,2437959,2442340,2446683,2450993,2455270,2459515,2463728,2467909,2472057,2476173,2480252,2484296,2488306,2492276,2496211,2500107,2503966,2507788,2511575,2515328,2519049,2522737,2526393,2530019,2533614,2537177,2540709
7,Armenia,169391,169563,169736,169911,170087,170267,170448,170632,170819,171008,171199,171393,171590,171790,171991,172195,172402,172612,172825,173040,173258,173479,173703,173929,174158,174391,174627,174864,175105,175350,175598,175848,176101,176358,176618,176881,177148,177417,177690,177966,178246,178529,178815,179105,179399,179695,179996,180299,180608,180919,181233,181552,181874,182199,182530,182863,183200,183541,183887,184236,184589,184946,185306,185672,186040,186414,186791,187172,187557,187946,188341,188738,189141,189547,189957,190373,190793,191216,191644,192076,192513,192955,193400,193851,194305,194765,195228,195697,196169,196646,197128,197615,198106,198602,199102,199607
8,Australia,28911,28917,28923,28929,28936,28942,28949,28956,28962,28969,28977,28983,28989,28997,29003,29009,29016,29024,29030,29038,29044,29052,29059,29067,29073,29079,29087,29093,29100,29106,29114,29120,29127,29133,29140,29148,29154,29161,29168,29175,29181,29188,29196,29202,29209,29217,29222,29229,29237,29244,29251,29258,29265,29273,29280,29287,29294,29302,29310,29317,29324,29331,29338,29345,29352,29360,29367,29374,29382,29389,29397,29403,29411,29418,29425,29433,29440,29447,29454,29462,29469,29476,29483,29491,29498,29505,29512,29519,29526,29533,29540,29547,29554,29561,29569,29576
9,Austria,436139,437552,438965,440382,441805,443234,444668,446106,447549,448995,450446,451902,453361,454825,456292,457764,459238,460716,462198,463685,465176,466670,468169,469670,471177,472686,474199,475715,477235,478758,480283,481812,483343,484876,486412,487950,489491,491033,492578,494124,495673,497222,498774,500327,501881,503437,504993,506550,508106,509665,511224,512783,514344,515903,517462,519021,520581,522139,523698,525256,526812,528369,529924,531478,533031,534582,536132,537680,539228,540772,542315,543856,545396,546932,548466,549998,551527,553053,554576,556098,557615,559130,560640,562149,563653,565154,566651,568145,569634,571121,572602,574079,575553,577021,578485,579946
