Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos
Manhattan,2020-04-01,Central Harlem,116,0.513274336,226,10039,
Manhattan,2020-04-01,Inwood and Washington Heights,208,0.5842696629999999,356,10040,
Manhattan,2020-04-01,Upper East Side,49,0.422413793,116,10044,
Manhattan,2020-04-01,Upper East Side,121,0.314285714,385,10065,
Manhattan,2020-04-01,Upper East Side,160,0.43126684600000004,371,10075,
Manhattan,2020-04-01,Upper East Side,212,0.355704698,596,10128,
Manhattan,2020-04-01,Lower Manhattan,17,0.34,50,10280,
Staten Islan,2020-04-01,Stapleton and St. George,175,0.525525526,333,10301,
Staten Islan,2020-04-01,Port Richmond,61,0.445255474,137,10302,
Staten Islan,2020-04-01,Port Richmond,106,0.479638009,221,10303,
Staten Islan,2020-04-01,Stapleton and St. George,289,0.535185185,540,10304,
Staten Islan,2020-04-01,Stapleton and St. George,178,0.41588785,428,10305,
Staten Islan,2020-04-01,South Shore,278,0.43987341799999996,632,10306,
Staten Islan,2020-04-01,South Shore,67,0.471830986,142,10307,
Staten Islan,2020-04-01,South Shore,146,0.441087613,331,10308,
Staten Islan,2020-04-01,South Shore,170,0.468319559,363,10309,
Staten Islan,2020-04-01,Port Richmond,97,0.44495412799999995,218,10310,
Staten Islan,2020-04-01,South Shore,336,0.513761468,654,10312,
Staten Islan,2020-04-01,Mid-Island,452,0.47132429600000003,959,10314,
Bronx,2020-04-01,High Bridge and Morrisania,337,0.576068376,585,10451,
Bronx,2020-04-01,High Bridge and Morrisania,367,0.5834658189999999,629,10452,
Bronx,2020-04-01,Central Bronx,386,0.582202112,663,10453,
Bronx,2020-04-01,Hunts Point and Mott Haven,174,0.50728863,343,10454,
Bronx,2020-04-01,Hunts Point and Mott Haven,176,0.501424501,351,10455,
Bronx,2020-04-01,High Bridge and Morrisania,355,0.512265512,693,10456,
Bronx,2020-04-01,Central Bronx,306,0.535901926,571,10457,
Bronx,2020-04-01,Bronx Park and Fordham,332,0.533762058,622,10458,
Bronx,2020-04-01,Hunts Point and Mott Haven,227,0.536643026,423,10459,
Bronx,2020-04-01,Central Bronx,255,0.526859504,484,10460,
Bronx,2020-04-01,Southeast Bronx,376,0.526610644,714,10461,
Bronx,2020-04-01,Southeast Bronx,377,0.49088541700000005,768,10462,
Bronx,2020-04-01,Kingsbridge and Riverdale,253,0.386850153,654,10463,
Bronx,2020-04-01,Southeast Bronx,25,0.384615385,65,10464,
Bronx,2020-04-01,Southeast Bronx,267,0.44798657700000005,596,10465,
Bronx,2020-04-01,Northeast Bronx,362,0.5435435439999999,666,10466,
Bronx,2020-04-01,Bronx Park and Fordham,638,0.562610229,1134,10467,
Bronx,2020-04-01,Bronx Park and Fordham,397,0.636217949,624,10468,
Bronx,2020-04-01,Northeast Bronx,470,0.5766871170000001,815,10469,
Bronx,2020-04-01,Northeast Bronx,83,0.52866242,157,10470,
Bronx,2020-04-01,Kingsbridge and Riverdale,104,0.35016835,297,10471,
Bronx,2020-04-01,Southeast Bronx,302,0.571969697,528,10472,
Bronx,2020-04-01,Southeast Bronx,304,0.54676259,556,10473,
