116,150,157,160
181,236,253,262
17,19,19,20
123,148,157,159
140,163,168,178
212,267,275,281
252,327,357,377
116,141,147,155
147,216,233,254
208,256,278,294
178,258,280,298
97,129,142,161
336,418,442,462
452,619,663,712
355,500,548,619
255,344,371,397
55,71,77,83
397,529,585,625
304,437,472,518
104,130,136,149
255,360,394,424
112,167,179,193
144,182,194,206
127,154,161,169
344,485,523,553
631,848,903,946
184,235,258,274
350,520,571,608
101,158,169,179
96,131,140,148
183,253,272,283
85,141,155,169
348,421,459,487
85,128,137,157
59,86,94,97
113,149,158,164
318,403,425,447
156,198,219,232
425,606,639,668
100,137,148,160
202,280,305,323
25,30,31,34
