id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07
141,"Suriname",0,0,0,0,0,0,0,1,4,8,10,10,10,10,10,10,10,11,14,100,196,303,467,565,741,1001,1381,1760,2306,2961,3569,3954,4320,4579,4709,4831,4924,5035,5123,5166,5203,5234
142,"Sweden",0,1,1,1,1,14,179,994,1868,3663,6832,10448,14275,18563,22432,26568,30461,34171,38396,44224,51409,58597,65972,70366,72773,74435,75819,77379,79359,81421,83114,83958,84985,86505,88237,90923,94283,98451,103200,110594,124355,146461
143,"Switzerland",0,0,0,0,0,18,268,1359,6575,14076,20505,25107,27404,28894,29817,30251,30572,30725,30845,30956,31094,31243,31555,32198,32817,33492,34302,35412,36451,37924,39627,41722,43957,46704,49283,51864,54384,60368,74422,103653,154251,211913
144,"Tanzania",0,0,0,0,0,0,0,0,6,14,20,32,147,299,480,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
145,"Thailand",7,19,32,33,35,42,50,82,411,1245,2067,2518,2733,2907,2966,3004,3025,3040,3077,3104,3134,3147,3162,3185,3216,3246,3282,3312,3348,3376,3390,3411,3444,3473,3506,3523,3585,3636,3686,3736,3784,3837
146,"Togo",0,0,0,0,0,0,1,1,16,25,41,76,84,96,123,153,298,373,433,487,530,561,615,676,710,774,853,958,1046,1130,1275,1390,1477,1555,1659,1736,1840,1935,2049,2187,2331,2483
147,"Trinidad and Tobago",0,0,0,0,0,0,0,2,49,74,103,112,114,115,116,116,116,116,117,117,117,123,126,130,133,137,147,173,275,497,930,1645,2230,2993,3853,4312,4715,5043,5281,5503,5692,5838
148,"Tunisia",0,0,0,0,0,0,1,18,60,278,553,685,864,939,1009,1032,1037,1048,1076,1087,1094,1156,1168,1186,1245,1348,1443,1552,1678,2023,2738,3572,4776,6635,9110,14392,20944,31259,40542,48799,59813,69543
149,"Turkey",0,0,0,0,0,0,0,5,670,7402,23934,52167,82329,107773,124375,137115,148067,155686,163103,169218,176677,186493,195883,204610,211981,218717,225173,231869,239622,248117,257032,267064,278228,289635,301348,312966,323014,334031,345678,359784,375367,391739
150,"Uganda",0,0,0,0,0,0,0,0,1,30,48,53,55,75,88,116,227,198,413,593,694,763,848,927,1013,1062,1103,1176,1267,1434,2166,2847,3539,4703,6017,7364,8662,9701,10455,11297,12495,14066
151,"Ukraine",0,0,0,0,0,0,1,3,47,356,1225,2511,5106,8125,11411,14710,17858,20580,23204,27101,31177,36615,42932,48628,53941,59333,65317,72609,81534,91795,105337,119751,136966,155558,177048,200566,228161,263105,301856,347317,399330,464598
152,"United Arab Emirates",0,4,7,8,13,21,45,85,153,468,1505,3736,6302,9813,13599,17417,22627,28704,33896,38268,41990,44533,47360,50857,54453,56711,58562,60760,62300,64102,66617,69328,73471,78849,84242,90618,97760,105133,114387,123764,132629,141032
153,"United Kingdom",0,2,13,18,23,61,429,2634,9006,27062,57772,90273,122534,155453,186731,209589,229406,245682,256469,264944,272050,278640,283785,286412,290504,295632,300270,305562,311461,319232,326595,334916,346513,367592,392845,431817,482654,593565,708298,857043,1014793,1174770
154,"Uruguay",0,0,0,0,0,0,0,6,135,303,400,501,517,596,652,702,733,764,821,845,847,859,924,955,986,1044,1174,1278,1335,1434,1521,1570,1669,1780,1904,1998,2122,2268,2501,2807,3124,3441
155,"US",2,8,12,14,16,25,403,2978,26025,124793,313304,532632,736161,944397,1138916,1316172,1474826,1629802,1777509,1924146,2072004,2252785,2507875,2838848,3243987,3709136,4176892,4618362,4995373,5359206,5665984,5959715,6250821,6491272,6775221,7080986,7383636,7719268,8107914,8576841,9133404,9860558
156,"Uzbekistan",0,0,0,0,0,0,0,0,43,104,266,767,1490,1862,2118,2349,2738,3115,3546,4094,4966,6153,7682,9708,12513,16186,19952,24783,29652,34528,38532,41067,43293,46721,50992,54819,58238,60776,62809,64923,66932,68367
157,"Venezuela",0,0,0,0,0,0,0,2,70,119,155,175,227,323,345,402,504,1010,1459,2316,2904,3789,5130,6750,9178,11483,14929,19443,24961,32607,38957,44946,52165,59630,65949,71940,77646,82453,86289,89142,92013,94698
158,"Vietnam",2,6,13,16,16,16,18,53,94,174,240,258,268,270,270,288,318,325,328,329,334,349,355,355,370,382,417,590,812,951,1014,1040,1049,1060,1068,1069,1096,1107,1126,1160,1180,1213
159,"Zambia",0,0,0,0,0,0,0,0,2,28,39,40,57,84,119,252,679,920,1057,1089,1357,1430,1531,1632,1895,2980,4328,6228,7903,9186,10831,11902,12709,13466,14070,14612,14974,15415,15789,16117,16432,16908
160,"Zimbabwe",0,0,0,0,0,0,0,0,3,7,9,14,25,31,34,35,42,56,174,279,356,479,567,698,982,1478,2434,3659,4575,5176,5893,6406,6837,7508,7672,7803,7885,8010,8110,8269,8367,8498
161,"Dominica",0,0,0,0,0,0,0,0,0,11,14,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,19,20,22,24,24,24,31,32,33,38,50,63
162,"Grenada",0,0,0,0,0,0,0,0,0,7,12,14,14,18,21,21,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,27,28,28,30
163,"Mozambique",0,0,0,0,0,0,0,0,0,8,10,20,35,70,79,87,129,168,244,409,553,688,839,969,1135,1435,1616,1907,2241,2791,3304,3760,4341,5040,6537,7757,9049,9844,10707,11895,12869,13577
164,"Syria",0,0,0,0,0,0,0,0,0,5,16,25,38,42,44,47,51,70,122,125,170,198,256,338,394,496,627,780,1125,1593,2143,2628,3104,3506,3765,4038,4329,4673,5033,5359,5728,6147
165,"Timor-Leste",0,0,0,0,0,0,0,0,0,1,1,2,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,26,27,27,27,27,27,28,28,29,29,30,30
166,"Belize",0,0,0,0,0,0,0,0,0,2,4,13,18,18,18,18,18,18,18,19,20,22,24,30,37,40,48,56,146,388,668,964,1194,1458,1606,1825,2080,2427,2775,3106,3487,4076
167,"Laos",0,0,0,0,0,0,0,0,0,8,10,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,22,22,22,22,23,23,23,23,23,23,24,24,24
168,"Libya",0,0,0,0,0,0,0,0,0,3,18,24,49,61,63,64,65,75,130,256,418,544,727,989,1389,1791,2547,3691,5232,7738,10437,12958,17094,22348,27234,31828,36087,41686,47845,54374,61095,67039
169,"West Bank and Gaza",0,0,0,0,0,0,16,35,48,98,217,268,313,342,353,375,376,423,447,464,489,784,1815,3835,5931,8204,10306,12160,13928,16153,18476,21668,25575,29906,35003,38253,41078,43945,46746,49989,53520,57657
170,"Guinea-Bissau",0,0,0,0,0,0,0,0,0,2,18,38,46,52,257,641,969,1114,1256,1368,1460,1541,1614,1765,1842,1949,1954,1981,2052,2117,2149,2205,2245,2275,2303,2324,2362,2385,2389,2403,2413,2414
171,"Mali",0,0,0,0,0,0,0,0,0,18,41,87,216,370,544,692,835,1015,1250,1523,1776,1933,2118,2303,2406,2472,2503,2535,2565,2614,2699,2757,2833,2916,3006,3080,3170,3273,3379,3472,3554,3676
172,"Saint Kitts and Nevis",0,0,0,0,0,0,0,0,0,2,9,12,14,15,15,15,15,15,15,15,15,15,15,16,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19
173,"Kosovo",0,0,0,0,0,0,0,2,24,88,135,250,480,703,813,862,955,1025,1064,1158,1384,1998,2494,3178,4512,5617,6917,8554,10059,11275,12337,13215,14027,14566,15002,15425,15758,16130,16754,17757,19328,22934
174,"Burma",0,0,0,0,0,0,0,0,0,8,21,38,98,146,151,178,182,201,224,240,261,287,296,313,330,340,348,353,359,374,441,749,1319,2796,5263,9991,16503,26064,34875,43788,52706,60348
175,"MS Zaandam",0,0,0,0,0,0,0,0,0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
176,"Botswana",0,0,0,0,0,0,0,0,0,0,4,13,15,22,23,23,24,30,35,40,60,89,92,277,314,522,686,804,804,1214,1308,1562,2002,2252,2567,2921,3172,3219,5242,5923,6642,7835
177,"Burundi",0,0,0,0,0,0,0,0,0,0,3,5,5,11,15,15,15,42,63,83,85,104,170,191,191,310,361,395,405,412,429,445,460,471,473,485,513,517,536,555,585,612
178,"Sierra Leone",0,0,0,0,0,0,0,0,0,0,4,8,30,82,155,291,462,621,852,946,1132,1309,1410,1533,1618,1701,1768,1823,1895,1954,1980,2019,2041,2096,2159,2208,2259,2300,2327,2345,2366,2381
179,"Malawi",0,0,0,0,0,0,0,0,0,0,4,12,17,33,38,56,65,82,279,409,529,620,1038,1613,2261,2810,3453,4186,4624,5026,5382,5528,5611,5678,5718,5766,5783,5821,5852,5887,5930,5948
180,"South Sudan",0,0,0,0,0,0,0,0,0,0,0,4,4,5,45,120,236,655,994,994,1693,1882,1942,2021,2021,2191,2258,2352,2463,2488,2497,2519,2544,2578,2642,2676,2715,2761,2817,2878,2905,2943
181,"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
182,"Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,4,4,4,16,208,235,251,479,499,659,698,713,719,727,743,862,874,878,885,892,895,898,906,908,911,913,922,932,940,945,962
183,"Yemen",0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,34,122,212,310,482,705,922,1103,1248,1389,1581,1674,1730,1797,1858,1907,1946,1983,2009,2026,2030,2041,2051,2055,2060,2063,2070
