id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07
58,"Gambia",0,0,0,0,0,0,0,0,1,3,4,9,9,10,17,20,23,25,25,26,28,37,44,57,64,93,277,498,1090,1689,2437,2895,3150,3376,3504,3555,3590,3628,3649,3659,3672,3684
59,"Georgia",0,0,0,0,0,1,4,30,49,90,162,242,388,456,582,626,683,728,757,808,851,898,921,948,981,1018,1117,1171,1216,1321,1394,1462,1621,2075,3306,4960,7564,11271,16285,26503,38936,54852
60,"Germany",0,8,13,16,16,79,799,4585,22213,57695,96092,124908,143342,156513,164967,171324,175752,179986,183189,185450,187267,190670,194458,197198,199709,202426,206278,211005,216903,224488,233861,242835,251058,260817,272932,285026,300027,323463,364664,427808,531790,668114
61,"Ghana",0,0,0,0,0,0,0,3,19,141,205,408,834,1279,2169,4263,5735,6617,7768,9462,11118,13717,16431,19388,24248,27060,31851,37014,40533,42210,43325,44118,44777,45434,45877,46222,46803,47005,47232,47690,48055,48904
62,"Greece",0,0,0,0,0,4,46,228,530,1061,1673,2081,2235,2506,2620,2710,2819,2876,2915,2980,3112,3256,3366,3511,3772,3983,4166,4587,5421,6858,8381,9977,11386,13036,14978,17228,19613,22078,24932,29992,39251,54809
63,"Guatemala",0,0,0,0,0,0,0,1,17,34,61,137,235,473,688,967,1763,3054,4739,6792,9491,12755,16397,22501,28598,38042,44492,50979,56189,62313,67856,73679,77481,81658,85152,89702,93748,97544,101028,104632,107939,111050
64,"Guinea",0,0,0,0,0,0,0,1,2,8,111,250,518,996,1586,2042,2658,3176,3706,4117,4484,4960,5291,5570,6044,6491,6927,7308,7875,8343,8932,9251,9649,10020,10286,10512,10735,10996,11478,11635,12072,12400
65,"Guyana",0,0,0,0,0,0,0,1,7,8,23,45,63,73,82,94,117,127,152,154,159,183,230,272,291,327,360,430,554,674,925,1184,1459,1812,2168,2725,2968,3405,3710,3994,4162,4484
66,"Haiti",0,0,0,0,0,0,0,0,2,8,20,33,44,72,85,151,358,865,1865,3072,4165,5077,5777,6294,6690,7053,7297,7468,7611,7831,8050,8174,8336,8478,8600,8723,8811,8860,8956,9015,9057,9127
67,"Holy See",0,0,0,0,0,0,1,1,1,6,7,8,8,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27,27,27,27
