id,Country,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14
0,Washington,13204.7065945248,13540.1918157401,13862.7331443442,14139.0603263358,14481.1720321078,14845.9846230763,15215.6159645219,15665.3778916769,16174.4362702656,16675.9761663834,17160.8008852139,17727.8321914395,18357.3040654221,19007.0992998712,19697.7060288988,20462.5422405243,21284.5642965989,22130.4261223953,23045.3794908211,24051.6562143614
1,Illinois,45969.5059917546,55951.1215502384,68871.9653009678,83380.8603493705,99732.7053297884,117048.926859058,134982.303854483,159983.958003441,195621.776937221,242132.55559473,301122.19676468,371422.519067931,452272.413226907,547444.935230539,664169.498662718,816740.49333287,1014348.87614099,1263531.28728088,1563046.15156327,1898961.48290874
2,California,42284.412901889,43797.5432647468,45564.5487616172,47225.2908709882,48753.8986662019,50215.1286668778,51642.0079010219,52997.8834955199,54323.0930676048,55612.7224288462,56873.0949677863,58110.3660282296,59327.8921608447,60528.4281559324,61715.1577949519,62889.9712185091,64054.7352768742,65210.9606460543,66359.855644175,67502.4352619462
3,Arizona,6952.12804340358,8017.55400859827,9228.14474675311,10489.2271635676,11817.5453174859,13152.1918173026,14492.8995584116,16640.041116395,19711.4514132589,23972.1494667847,29510.093171173,36410.9982298604,44656.7844090902,54266.3209813689,66023.0362872305,80051.0923569696,97602.7122085027,119899.507849125,148437.71789292,184644.650638034
4,Massachusetts,55666.4494779769,61247.3628352463,67666.0690540336,73867.5814956229,80130.1011836424,88133.7212686597,96878.332298546,109067.700401238,124032.593936795,138161.560327122,153267.273070494,169091.006960896,187287.577326372,208867.015867183,233926.653171559,262427.522462635,292216.859421595,327815.305390733,368851.325678455,412143.834580309
5,Wisconsin,5649.30537425907,6132.22162122719,6697.18301393,7330.69506157971,8206.99061175149,9123.15649452397,10078.6016710025,11122.2545643572,12390.1485765079,13748.3405531012,15159.9353218303,16660.8690298286,18378.7765911196,20204.3136437653,22085.210898109,24169.2636082979,26620.0217417109,29575.0844598282,33137.2379468092,37395.1072589914
6,Texas,25786.1822012633,28689.535107239,32325.5402895916,36276.9420630766,40600.5824289168,45084.0846827312,49772.687178799,56853.2658316274,67172.7224406596,79966.167031188,95424.8615221914,115256.658974672,140308.521791134,170203.901228508,207389.521479354,254982.666188457,314885.241150294,388117.718757938,479374.033133127,595716.413660446
7,Nebraska,2590.25184218775,2815.19960551776,3009.54013085321,3219.78315762073,3614.33630484171,3862.79445736884,4073.79193875903,4354.49840191532,4761.27575760149,5025.96953655713,5260.21021801278,5603.64103575299,6026.03945560889,6308.03665123048,6579.61911246804,6982.86990494993,7422.15865520843,7724.6611994655,8044.9853054916,8505.58213178366
8,Utah,3937.38958779415,4186.75570398641,4504.25525717916,4853.24500674469,5253.55296130494,5702.6008860291,6204.92984801336,6740.81490833087,7327.13794920562,7971.73974352538,8678.57165964085,9446.29099634777,10275.6289214655,11169.469810303,12132.6580326186,13147.4212192191,14208.9349582474,15388.7364540928,16711.0731568892,18191.7358305192
9,Oregon,2430.2704468006,2667.76396321107,2918.48643311456,3176.91448555587,3421.32127894522,3648.2399681125,3864.07005198717,4204.89477123536,4680.59165891555,5304.63263256716,6087.86764011342,6874.48244780439,7678.18845689133,8491.62347876658,9415.52363415348,10479.4661813168,11828.9764759407,13775.705962543,16160.1213991333,18746.1379908074
10,Florida,30912.1901440857,31973.6836409811,33083.1435358794,34057.5062952223,35004.0665187747,35882.6027383882,36724.8642379591,37524.9612499423,38294.453478961,39034.9677530974,39752.0697357458,40448.46367732,41127.5193712384,41791.6131391816,42443.0497701524,43083.6800212113,43715.1600551687,44338.8801779922,44956.0509620127,45567.703602901
11,New York,323759.646095187,395450.882036248,491445.551490725,597285.229780322,712126.105529175,828062.705687142,941287.594016788,1101474.24308026,1337892.27697762,1700393.111077,2219035.19029121,2898843.7453369,3726859.64446439,4664546.80652442,5700166.90202746,6812574.62226327,8032620.81320462,9392671.51754793,10891203.2244524,12463404.8252349
12,Rhode Island,8017.12687433759,9682.01517698205,11727.6785596122,13882.8696563795,16165.6621551007,18845.9102122288,21958.0261210527,25384.234524396,29100.0661166265,32929.356458935,36868.0319233561,42125.4663474804,48917.0648375068,57769.6749625124,68799.1286680336,82030.6746533429,97864.7383107279,116795.757217493,138928.107716545,163241.210608933
13,Georgia,24165.5838210583,26056.3816641088,28024.0584745521,29684.9842585779,31562.7878303326,34738.2978663533,39192.9212158287,43831.2645497873,48869.454310859,54070.0925466262,60652.6956708389,69499.3102758058,80464.8253791239,93147.6982234293,107277.441934019,123130.698096392,142646.655114531,167253.586540465,197472.970924245,232769.117725004
14,New Hampshire,1890.16249776036,2152.73686250592,2465.74559939557,2802.54578876477,3185.191424098,3600.16340834547,4045.72737755803,4492.74024620342,4931.34641834971,5520.97144410919,6360.64911419171,7400.39880303401,8648.63156449812,10242.9464088409,12271.9346994029,14853.760877623,18035.2248853729,21705.1930331469,25973.3211756413,31050.6667497014
15,North Carolina,9095.93291087938,10302.4171634066,11945.5105803931,13877.3270243713,16183.0215675264,18826.2425670076,21831.5358100108,25169.6636553484,28918.8835584744,33089.4124600681,37729.3526353483,42763.995316498,48194.2569786673,54739.2248237166,62887.3271569189,73722.4996767001,88234.4520467396,106953.16392049,130689.43881157,159891.995752722
16,New Jersey,110917.564644985,121748.963047761,134304.638997228,146864.82383764,159480.588233397,173305.970698556,188509.066308944,211557.066150127,243558.446866534,287201.419226545,343163.349530343,403921.050403643,470937.811238643,544741.236373028,632945.907657747,744360.116135908,886692.939871461,1066468.4018051,1277919.45113065,1514251.80871505
17,Colorado,13280.9051810293,14474.9409374314,15763.3646860583,16978.755776342,18156.3264703703,19492.8463791973,20949.3580307045,23351.2834858243,26423.1090302483,29157.9757952588,32024.8651964502,35054.4406649531,38141.8075486015,42314.8292695078,47958.1712084923,54564.0923687818,61580.4433256064,68683.8296987647,76143.539938032,83727.265366475
18,Maryland,18853.1978952291,21987.9684233618,26046.3782907562,30837.5676645845,36179.7771391017,41935.2514258605,47976.4926975632,54986.8911027733,63066.667234881,71858.2926842239,82706.0076621843,97385.331735963,117195.851942804,141598.09121138,171612.921137889,207701.945705164,249814.869692254,297740.035373447,352303.026102419,415004.309486358
19,Nevada,4682.24113670855,5155.16812833277,5711.47668546364,6292.9939131105,6935.06298795805,7593.59008183617,8242.72149997108,9184.52351087562,10530.652881777,12131.2223628175,13995.7912555104,16424.967412641,19500.398027722,23024.5388807384,27265.4409026801,32648.6657404939,39280.3205489326,47076.1431186161,56645.5145878057,68892.4991474935
20,Tennessee,9292.35335803895,10082.619962785,10996.2258163484,11912.1076792597,12880.1830949717,14113.7524700512,15611.8249596501,17811.9792091254,20767.1456555884,24034.6821583558,27766.3301596881,31923.9497772255,37007.1019843414,43543.2775807243,52034.8747875823,63051.5096508603,76427.4892646842,92160.9502519603,110792.823742299,133334.689410134
21,Hawaii,624.619303411367,660.624777110497,710.468252044773,769.757807821463,836.947466110665,906.873755946767,978.158146337823,1051.21392189435,1129.26966494362,1237.83951409067,1396.78044472318,1615.48337000044,1905.41365737649,2267.19794388637,2699.90328263512,3198.33235204779,3762.30716515657,4410.93361225674,5189.20829725186,6167.39736859434
22,Indiana,16128.7550139393,18634.7167344347,21184.6983757451,23612.3302967263,25790.7923232287,28467.2728733507,32900.7057350914,39470.8439866108,48005.3948273196,58713.9096550088,71711.9154207082,84356.7019226323,99275.4721306157,118072.058203402,142899.166898804,176152.385163511,218724.983985104,269633.217432885,328690.507988454,397779.276180029
23,Kentucky,4211.77363591778,4695.21862378568,5222.54602829333,5754.37315116014,6293.21601691263,7000.73986237031,7841.45095154358,9049.07213091453,10585.9004758093,12140.4411307546,13841.1632386745,15695.6396353192,17977.6046028664,20938.5544127301,24648.0540451363,29193.9907967221,34313.7579077993,39936.7154329345,46405.0910286901,54152.0236447744
24,Minnesota,3257.49412178143,3428.01319157954,3632.52153647659,3796.67416348969,3960.35142661223,4108.4988380051,4251.27767148793,4386.226299431,4516.40165881843,4641.82338651038,4763.65640243656,4882.26737078054,4998.21368260464,5111.80677275191,5223.35627491257,5333.07711647767,5441.15500928616,5547.73048125764,5652.91928527712,5756.81234517419
25,Oklahoma,3482.30810726015,4019.5470803737,4693.39978165865,5440.8993377013,6274.65875281102,7147.81178473914,8046.15155954463,9312.07963205045,11116.6545133931,13753.5321473625,17455.0343416026,22506.7093443501,29110.5809632779,37082.8959232773,46711.7734539662,58381.960218822,73014.5514314517,92103.0741638278,117583.218095065,151632.536583952
26,Pennsylvania,42194.4652368285,45282.0859306001,49073.6507826568,52746.1894236863,56717.7571523696,60418.5518493319,63762.3115047825,69206.5982577539,77271.336198365,87228.4383566546,99339.0532529479,113182.727689876,128439.131302427,144223.236809999,162424.696423687,186259.076702733,217118.745094569,255945.530692015,303190.364502178,358399.010803157
27,South Carolina,5712.11772415871,6458.96723105423,7321.91236281424,8262.47216912787,9257.97055010293,10193.9646530361,11120.3943918175,12750.6447527009,15155.1428840426,18454.0889635893,22938.582321539,28338.3887357559,34426.7321840136,40921.3419592284,48445.5051205465,57757.9714427845,69782.896538094,86287.5914155235,108591.205969885,137151.764954666
28,District of Columbia,4080.73007373749,4903.49034304528,6048.14109112574,7443.11983426189,9137.19899033631,11085.5271184091,13300.020785753,15732.5078914531,18359.4150147688,21459.5259773822,25168.6000010924,29792.1890461211,35631.2923112346,43081.0628780782,52492.9170258312,64078.5984329537,78047.9481069565,94456.8397639456,113301.790887225,134309.79095124
29,Kansas,3175.43294138589,3538.00368361201,4010.76472692541,4524.27460117213,5109.46335783527,5767.40526385475,6506.42704450548,7313.55373846799,8229.24598840126,9221.35257970917,10285.672467984,11558.0095673397,13074.1552339084,14864.6559293617,17007.5291243074,19492.8149430595,22362.4975074126,25763.5576141809,29775.1776907853,34465.2087684662
30,Missouri,8261.34776162139,10234.6727089493,12525.769509263,14970.1138323568,18110.8178044071,21824.4835830582,26746.7703735964,33313.7104962621,43033.116527328,55884.6992667971,73195.8510079255,95866.6864901601,127062.38044593,166498.803045076,217436.539030655,282222.759481063,368153.159056484,480252.71255937,626512.320945262,811904.34641212
31,Vermont,872.720811668302,928.871046323666,999.236083295938,1083.66640611076,1185.13318199451,1294.0890614709,1408.33787426493,1527.70000474908,1651.42763347232,1822.78289124579,2063.7784473706,2406.89764982573,2890.17583089832,3519.9790863792,4316.07811882676,5290.8594410156,6452.36801878243,7818.67646750684,9444.90332736916,11399.9823163129
32,Virginia,12161.1881291891,13027.2905917664,14069.7766587642,15211.1872950609,16540.3492773895,17937.6961769291,19460.0658700276,21115.6711269057,22928.1395716111,24885.0128969547,27003.8284945213,29297.8005273686,31773.0796660864,34433.0418089822,37287.0548079455,40263.1380560007,43330.1591033069,46767.6650877907,50631.7100540467,54882.4653239085
33,Connecticut,25409.7636303028,27768.2179362021,30922.2749966429,34530.3425788883,38771.8220970265,43518.8181103799,48828.6536351519,54651.3266488251,61029.6454799498,67905.7091563323,75352.2340938431,83372.8260475371,91964.392456621,100986.999084446,110348.322580934,120526.832442759,131834.361104396,145139.031214759,161160.887404152,180294.159641274
34,Iowa,4855.05330842911,5444.22604803259,6158.50631521165,6894.78054396032,7687.82232695274,8497.42791732451,9304.93425594529,10326.9199721553,11644.7633419856,13185.5513218669,14979.9832473303,16967.1353828257,19121.8043148521,21311.6540983364,23627.7530906971,26447.7950215062,29843.5546323534,34002.5428659256,38990.0083700868,44636.9153027017
35,Louisiana,27847.7334650246,30264.3876801727,33496.9337235513,37427.2254559253,41926.0837581779,46869.9166031602,52411.9745096131,58431.4817417217,64884.3562573306,71811.0029584415,79162.7922413806,86828.0880605602,94779.7498410378,103744.519534792,114254.421999738,127347.29800381,144006.459055149,165468.25088582,192901.042660349,226719.047687194
36,Ohio,15914.7541875043,17078.7841641137,18488.2312602858,20246.9462484231,22307.4494258979,24607.3396973412,27320.6986552374,30512.408524906,34254.0891912821,38660.8049223862,43785.0588872467,49597.0814524252,56031.2071160219,62937.7673956142,70195.1449468847,78005.9523760034,86484.4419112773,96055.4549290857,107099.491260169,119844.796328008
