id,Country,2022-12-03,2022-12-10,2022-12-17,2022-12-24,2022-12-31,2023-01-07,2023-01-14,2023-01-21,2023-01-28,2023-02-04,2023-02-11,2023-02-18,2023-02-25,2023-03-04
86,"Latvia",6091,6096,6100,6105,6109,6112,6116,6119,6122,6125,6128,6130,6132,6134
87,"Lebanon",10739,10742,10745,10748,10751,10753,10754,10755,10756,10757,10757,10757,10758,10758
88,"Liberia",294,294,294,294,294,294,294,294,294,294,294,294,294,294
89,"Liechtenstein",87,87,87,87,87,87,87,87,87,87,87,87,87,87
90,"Lithuania",9436,9441,9445,9449,9452,9456,9459,9462,9464,9467,9469,9471,9473,9474
91,"Luxembourg",1159,1161,1163,1165,1169,1174,1181,1191,1207,1230,1262,1301,1344,1387
92,"Madagascar",1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411
93,"Malaysia",36691,36733,36775,36819,36868,36924,36990,37069,37160,37249,37347,37453,37567,37688
94,"Maldives",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,"Malta",809,809,809,809,809,809,809,809,809,809,809,809,809,809
96,"Mauritania",997,997,997,997,997,997,997,997,997,997,997,997,997,997
97,"Mauritius",1034,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035
98,"Mexico",330506,330521,330536,330550,330569,330601,330656,330746,330914,331235,331852,333044,335337,339692
99,"Moldova",11915,11916,11917,11918,11919,11919,11920,11920,11921,11921,11921,11921,11922,11922
100,"Monaco",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,"Mongolia",2134,2135,2137,2138,2140,2142,2145,2148,2152,2156,2163,2170,2179,2190
102,"Montenegro",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,"Morocco",16284,16285,16286,16287,16289,16291,16294,16299,16305,16313,16325,16341,16365,16397
104,"Namibia",4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080
105,"Nepal",12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019,12019
106,"Netherlands",23574,23583,23593,23601,23609,23616,23623,23629,23636,23642,23648,23654,23660,23667
107,"New Zealand",2228,2251,2275,2302,2333,2368,2408,2452,2503,2558,2619,2681,2745,2810
108,"Nicaragua",245,245,245,245,245,245,245,245,245,245,245,245,245,245
109,"Niger",314,314,314,314,314,314,314,314,314,314,314,314,314,314
110,"Nigeria",3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155,3155
111,"North Macedonia",9569,9570,9571,9571,9572,9573,9573,9574,9574,9575,9575,9575,9575,9575
112,"Norway",4403,4432,4467,4517,4588,4691,4842,5067,5404,5912,6673,7802,9436,11711
113,"Oman",4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628
114,"Pakistan",30631,30632,30633,30633,30634,30635,30636,30637,30639,30641,30643,30646,30650,30655
115,"Panama",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,"Papua New Guinea",668,668,668,668,668,668,668,668,668,668,668,668,668,668
117,"Paraguay",19622,19623,19623,19624,19624,19625,19625,19625,19625,19626,19626,19626,19626,19626
118,"Peru",217417,217515,217663,217823,218033,218299,218642,219099,219720,220578,221777,223414,225574,228381
119,"Philippines",64692,64812,64931,65045,65152,65253,65349,65441,65528,65612,65693,65770,65846,65918
120,"Poland",118318,118332,118346,118358,118369,118379,118388,118396,118403,118410,118417,118423,118429,118435
121,"Portugal",25464,25483,25506,25531,25552,25572,25592,25614,25637,25662,25689,25719,25751,25786
122,"Qatar",685,685,685,685,685,685,685,685,685,685,685,685,685,685
123,"Romania",67281,67288,67293,67297,67301,67305,67308,67310,67312,67314,67316,67317,67318,67319
124,"Russia",384089,384190,384267,384329,384384,384437,384489,384537,384578,384614,384646,384674,384698,384720
125,"Rwanda",1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467
126,"Saint Lucia",408,408,408,408,408,408,408,408,408,408,408,408,408,408
127,"Saint Vincent and the Grenadines",116,116,116,116,116,116,116,116,116,116,116,116,116,116
128,"San Marino",119,119,119,119,119,119,119,119,119,119,119,119,119,119
129,"Saudi Arabia",9463,9468,9471,9474,9476,9477,9478,9479,9480,9481,9481,9482,9482,9482
130,"Senegal",1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968
131,"Serbia",17386,17400,17414,17426,17438,17448,17458,17468,17478,17487,17496,17505,17513,17520
132,"Seychelles",298,298,298,298,298,298,298,298,298,298,298,298,298,298
133,"Singapore",1704,1707,1710,1713,1716,1719,1722,1725,1728,1731,1735,1739,1743,1748
134,"Slovakia",20736,20745,20752,20759,20766,20772,20778,20783,20788,20794,20799,20804,20809,20814
135,"Slovenia",6934,6940,6944,6948,6952,6956,6961,6965,6969,6973,6976,6980,6983,6986
136,"Somalia",1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
137,"South Africa",102454,102497,102535,102574,102618,102667,102724,102790,102867,102958,103066,103196,103354,103548
138,"Spain",116068,116281,116498,116733,116974,117238,117541,117889,118268,118703,119215,119824,120554,121437
139,"Sri Lanka",16804,16807,16810,16813,16816,16820,16824,16829,16835,16841,16849,16858,16868,16879
140,"Sudan",4994,5005,5011,5024,5040,5054,5057,5057,5057,5057,5057,5057,5057,5057
141,"Suriname",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,"Sweden",21093,21176,21262,21350,21446,21555,21685,21844,22047,22312,22665,23145,23807,24729
143,"Switzerland",14131,14141,14151,14159,14168,14177,14186,14195,14204,14215,14227,14240,14255,14274
144,"Tanzania",845,845,845,845,845,845,845,845,845,845,845,845,845,845
145,"Thailand",33199,33229,33262,33301,33348,33403,33472,33558,33666,33803,33977,34201,34487,34853
146,"Togo",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,"Trinidad and Tobago",4267,4267,4268,4268,4268,4269,4270,4271,4273,4278,4285,4299,4324,4366
148,"Tunisia",29268,29269,29270,29270,29271,29271,29271,29271,29271,29271,29271,29271,29271,29271
149,"Turkey",101203,101203,101203,101203,101203,101203,101203,101203,101203,101203,101203,101203,101203,101203
150,"Uganda",3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630
151,"Ukraine",118442,118487,118523,118553,118580,118604,118626,118646,118661,118671,118676,118679,118680,118680
152,"United Arab Emirates",2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348,2348
153,"United Kingdom",213028,214469,217387,223288,234655,253877,281457,311236,338202,361335,380826,397383,412418,426658
154,"Uruguay",7540,7542,7544,7546,7549,7551,7554,7556,7559,7561,7564,7567,7569,7572
155,"US",1080679,1082390,1084103,1085896,1087851,1089964,1092338,1095058,1098230,1101983,1106480,1111925,1118579,1126770
156,"Uzbekistan",1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
157,"Venezuela",5829,5830,5832,5835,5838,5842,5848,5857,5871,5887,5908,5939,5983,6046
158,"Vietnam",43171,43172,43173,43174,43175,43175,43176,43177,43178,43178,43179,43180,43181,43182
159,"Zambia",4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019
160,"Zimbabwe",5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606,5606
161,"Dominica",74,74,74,74,74,74,74,74,74,74,74,74,74,74
162,"Grenada",237,237,237,237,237,237,237,237,237,237,237,237,237,237
163,"Mozambique",2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224
