id,Country,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24
0,"Afghanistan",54410,54874,55331,55780,56223,56660,57089,57512,57929,58339,58743,59141,59532,59918
1,"Albania",71536,75850,80135,84368,88527,92592,96544,100367,104046,107572,110934,114126,117145,119988
2,"Algeria",105326,107023,108703,110365,112009,113636,115245,116837,118411,119967,121505,123025,124528,126013
3,"Andorra",9434,9746,9985,10167,10303,10405,10480,10535,10576,10606,10628,10644,10655,10664
4,"Angola",19316,19866,20415,20965,21514,22062,22610,23158,23705,24252,24798,25344,25889,26434
5,"Antigua and Barbuda",208,234,266,307,358,421,500,598,718,867,1048,1268,1533,1848
6,"Argentina",1868956,1941838,2010433,2074626,2134373,2189698,2240686,2287472,2330230,2369164,2404498,2436467,2465312,2491274
7,"Armenia",166437,168448,170272,171922,173410,174750,175955,177037,178006,178874,179650,180343,180962,181513
8,"Australia",28815,28919,29020,29118,29213,29305,29394,29480,29564,29645,29724,29801,29875,29947
9,"Austria",404715,415913,426150,435469,443920,451555,458431,464606,470135,475076,479481,483401,486883,489973
10,"Azerbaijan",230182,233254,236185,238978,241639,244172,246579,248866,251037,253095,255045,256892,258640,260292
11,"Bahamas",8072,8110,8147,8181,8213,8245,8274,8302,8329,8354,8378,8401,8423,8443
12,"Bahrain",99034,100577,101916,103074,104071,104928,105663,106291,106828,107286,107676,108008,108290,108530
13,"Bangladesh",532750,538385,543975,549523,555029,560492,565911,571287,576619,581908,587152,592351,597506,602616
14,"Barbados",1453,1930,2564,3400,4490,5889,7649,9810,12380,15329,18571,21973,25371,28602
15,"Belarus",236650,249809,262950,276004,288908,301598,314016,326111,337835,349147,360013,370408,380311,389709
16,"Belgium",690491,702194,712445,721394,729182,735943,741798,746859,751226,754990,758228,761012,763404,765456
