id,Country,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23
0,Washington,102286,108216,115295,123736,133780,145701,159807,176438,195966,218781,245283,275864,310877,350612
1,Illinois,369640,399086,432338,469699,511441,557787,608885,664791,725442,790641,860041,933140,1009286,1087694
2,California,894636,914895,934336,952975,970832,987926,1004276,1019903,1034830,1049078,1062669,1075626,1087971,1099726
3,Arizona,235915,241746,247824,254150,260722,267541,274602,281900,289432,297187,305159,313335,321705,330254
4,Massachusetts,148090,153493,159342,165673,172516,179905,187876,196464,205706,215637,226293,237709,249918,262953
5,Wisconsin,189538,213153,238850,266620,296405,328100,361542,396512,432740,469909,507665,545634,583430,620675
6,Texas,881247,917874,957628,1000677,1047165,1097217,1150931,1208377,1269585,1334544,1403193,1475420,1551057,1629876
7,Nebraska,63146,69910,77468,85920,95315,105704,117126,129604,143140,157714,173277,189752,207032,224981
8,Utah,101800,110733,119842,129120,138541,148078,157706,167395,177118,186845,196547,206195,215761,225217
9,Oregon,41328,43308,45109,46747,48236,49587,50814,51927,52936,53851,54680,55430,56110,56725
10,Florida,771249,792007,813210,834833,856846,879211,901892,924848,948038,971416,994938,1018557,1042225,1065894
11,New York,492056,501382,510509,519440,528172,536704,545038,553171,561105,568841,576379,583720,590866,597819
12,Rhode Island,29698,32000,34916,38580,43173,48899,55991,64707,75312,88063,103172,120774,140873,163305
13,Georgia,347417,355761,363867,371730,379349,386720,393844,400720,407349,413733,419875,425777,431443,436878
14,New Hampshire,10127,10663,11198,11732,12266,12799,13331,13862,14391,14919,15444,15968,16490,17009
15,North Carolina,258063,274416,292351,311945,333344,356647,381972,409422,439094,471075,505433,542220,581461,623159
16,New Jersey,226367,234548,243967,254814,267287,281606,298018,316789,338209,362588,390250,421532,456770,496293
17,Colorado,91542,99402,108008,117406,127635,138733,150731,163652,177509,192303,208023,224642,242117,260389
18,Maryland,139192,143512,147882,152309,156787,161316,165891,170510,175171,179869,184602,189366,194158,198974
19,Nevada,94074,98776,103695,108825,114159,119687,125397,131274,137304,143466,149741,156107,162540,169017
20,Tennessee,243643,261731,282163,305186,331036,359936,392100,427712,466920,509815,556425,606694,660476,717520
21,Hawaii,14433,14893,15299,15659,15977,16259,16507,16727,16921,17093,17244,17378,17496,17600
