id,Country,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08
157,"Venezuela",380802,391510,401713,410596,417659,422754,426085,428044,429077,429562,429763,429836,429859,429865
158,"Vietnam",843869,876414,899741,915723,926191,932738,936641,938858,940054,940667,940965,941102,941161,941185
159,"Zambia",209383,209653,209906,210146,210380,210608,210833,211055,211276,211496,211716,211935,212155,212376
160,"Zimbabwe",131919,132866,133646,134286,134805,135225,135560,135826,136036,136200,136327,136425,136500,136557
161,"Dominica",3961,4289,4568,4798,4983,5129,5240,5325,5387,5431,5463,5485,5500,5510
162,"Grenada",5663,5863,5972,6030,6060,6075,6082,6085,6087,6087,6088,6088,6088,6088
163,"Mozambique",150952,151089,151176,151229,151263,151284,151297,151306,151311,151314,151316,151317,151318,151319
164,"Syria",36660,38562,40400,42180,43891,45537,47110,48616,50046,51407,52693,53910,55053,56128
165,"Timor-Leste",19700,19806,19875,19920,19950,19969,19981,19989,19994,19998,20000,20001,20002,20003
166,"Belize",22535,24231,26026,27844,29608,31245,32702,33946,34966,35771,36383,36831,37147,37362
167,"Laos",27903,31592,35836,40825,46792,54073,63097,74483,89029,107878,132483,164840,207320,262836
168,"Libya",345531,349096,352041,354474,356459,358080,359393,360453,361304,361984,362524,362951,363288,363551
169,"West Bank and Gaza",414132,421132,426816,431413,435113,438085,440463,442363,443878,445086,446047,446810,447417,447899
170,"Guinea-Bissau",6118,6123,6126,6127,6128,6128,6129,6129,6129,6129,6129,6129,6129,6129
171,"Mali",15417,15620,15888,16246,16731,17390,18291,19528,21235,23595,26871,31426,37780,46649
172,"Saint Kitts and Nevis",2146,2283,2400,2499,2581,2648,2703,2747,2781,2808,2828,2844,2856,2865
173,"Kosovo",160331,160421,160457,160470,160475,160477,160478,160478,160478,160478,160478,160478,160478,160478
174,"Burma",476526,484789,491625,497098,501343,504525,506835,508454,509552,510270,510723,510999,511162,511253
175,"MS Zaandam",9,9,9,9,9,9,9,9,9,9,9,9,9,9
176,"Botswana",173573,174102,174374,174514,174585,174621,174638,174647,174651,174653,174654,174655,174655,174655
177,"Burundi",19718,21832,24064,26422,28909,31534,34298,37214,40280,43511,46903,50470,54209,58134
178,"Sierra Leone",6398,6400,6401,6402,6403,6404,6404,6405,6405,6405,6406,6406,6406,6406
179,"Malawi",61677,61738,61782,61813,61834,61850,61860,61868,61873,61877,61880,61881,61883,61884
180,"South Sudan",12094,12154,12200,12235,12263,12283,12299,12312,12321,12328,12334,12338,12341,12344
181,"Western Sahara",0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Sao Tome and Principe",3652,3778,3865,3921,3953,3971,3980,3983,3985,3986,3986,3986,3986,3986
183,"Yemen",9368,9566,9747,9911,10061,10196,10320,10432,10534,10627,10711,10788,10858,10921
