id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
10,"Azerbaijan",0,0,0,0,0,0,0,1,1,4,5,11,18,21,25,31,36,49,61,84,115,148,193,241,298,349,408,454,488,506,515,529,545,559,574,585,595,608,623,664,730,824,946,1107,1323,1593,1883,2175,2454,2703,2890,2998,3072,3126,3156,3178,3195,3218,3238,3276,3339,3464,3648,3879,4107,4342,4538,4666,4768,4851,4903,4936,4953,4961,4967,4977,4984,4991,5002,5023,5056,5138,5279,5512,5800,6031,6227,6433,6559,6654,6734,6869,7049,7241,7416,7599,7789,7947,8070,8182,8284,8365,8437,8510,8597,8700,8846,9027,9211,9358,9500,9599,9651,9679,9697,9703,9705,9707,9709,9709,9709,9710,9712
11,"Bahamas",0,0,0,0,0,0,0,0,0,0,4,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,17,27,50,55,67,73,89,96,106,116,130,144,152,155,163,163,163,163,164,169,171,175,175,175,176,176,178,179,179,181,185,186,188,188,189,194,196,199,212,216,222,229,232,236,241,245,246,252,273,274,287,295,311,330,354,412,453,504,522,533,590,590,642,643,657,665,671,671,695,708,713,713,717,717,719,729,745,749,757,768,771,771,771,777,788,788,789,789,789,798,798,801,810,810
12,"Bahrain",0,0,0,0,0,0,0,0,1,4,4,6,7,8,8,8,12,13,17,24,37,60,78,96,104,124,137,147,161,170,183,189,196,211,221,239,258,273,293,312,321,329,333,338,341,341,348,349,351,352,355,358,367,372,379,398,420,444,469,481,498,513,531,554,588,620,648,678,737,809,939,1091,1206,1297,1341,1358,1376,1380,1382,1384,1384,1384,1386,1388,1388,1388,1388,1389,1389,1390,1391,1393,1393,1393,1393,1394,1394,1394,1394,1394,1394,1394,1397,1398,1399,1404,1411,1425,1437,1450,1458,1462,1465,1468,1471,1472,1473,1475,1475,1477,1479,1480,1487
13,"Bangladesh",0,0,0,0,0,0,0,0,2,5,8,30,84,140,175,214,314,452,610,846,1139,1425,1695,1997,2305,2581,2874,3132,3365,3625,3907,4206,4447,4702,4913,5129,5325,5500,5646,5780,5923,6049,6173,6350,6580,6807,7020,7242,7428,7599,7756,7883,8003,8111,8190,8266,8342,8400,8451,8527,8668,8869,9213,9661,10283,10952,11510,11878,12124,12348,12549,12801,13071,13466,14053,14912,16189,17669,19046,20685,22411,23988,25143,25926,26493,26880,27182,27393,27555,27674,27752,27814,27862,27891,27918,27946,27975,27989,28022,28047,28056,28076,28099,28136,28209,28329,28560,28791,28944,29024,29077,29108,29114,29118,29122,29123,29124,29127,29127,29127,29127,29128,29130
14,"Barbados",0,0,0,0,0,0,0,0,0,0,0,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,12,18,23,31,33,37,37,39,41,43,44,44,44,44,45,46,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,51,52,57,64,79,90,114,128,152,172,191,206,223,234,251,256,260,262,266,269,274,278,286,295,308,313,319,324,327,330,375,379,383,389,394,405,433,436,444
15,"Belarus",0,0,0,0,0,0,0,0,0,0,5,23,45,67,97,126,160,194,229,263,303,343,377,418,459,495,530,563,585,603,637,671,705,744,776,813,851,885,925,953,980,1004,1039,1089,1143,1198,1254,1316,1376,1442,1507,1573,1639,1708,1773,1840,1903,1966,2029,2087,2148,2211,2276,2344,2413,2483,2552,2622,2691,2761,2831,2900,2969,3035,3103,3175,3247,3316,3385,3454,3523,3593,3670,3745,3826,3905,3991,4081,4174,4275,4386,4499,4614,4730,4834,4932,5041,5147,5261,5371,5484,5594,5699,5808,5916,6024,6132,6237,6348,6454,6550,6647,6716,6778,6836,6872,6899,6922,6947,6966,6978,6978,6978
16,"Belgium",0,0,0,0,0,0,0,4,67,353,1283,3346,5453,6917,7765,8581,9005,9237,9453,9580,9650,9696,9732,9771,9782,9800,9821,9845,9870,9935,9988,9891,9906,9923,9944,9974,10044,10175,10392,10737,11625,12907,14303,15522,16461,17254,17792,18545,19158,19644,20038,20396,20726,21066,21352,21634,21887,22052,22240,22421,22650,22870,23130,23428,23718,23990,24258,24511,24686,24823,24921,25019,25081,25132,25160,25185,25198,25209,25220,25241,25268,25287,25320,25360,25397,25454,25497,25554,25612,25675,25747,25846,25994,26131,26321,26568,26840,27167,27504,27895,28149,28331,28459,28612,28780,28957,29227,29624,29920,30121,30259,30408,30529,30686,30826,30997,31165,31319,31439,31552,31613,31675,31727
17,"Benin",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,6,11,14,21,26,31,34,36,38,39,39,40,40,40,40,40,41,41,41,41,41,43,43,43,43,44,44,44,44,44,44,46,48,48,55,56,65,70,75,81,90,90,93,93,95,97,99,100,101,101,101,102,102,103,104,104,105,107,107,108,110,113,119,128,135,141,146,154,159,159,161,161,161,161,161,161,161,161,161,161,161,161,161,162,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
18,"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,7,7,9,9,12,14,16,20,21,21,21,21,21
19,"Bolivia",0,0,0,0,0,0,0,0,0,0,10,20,31,46,71,114,165,240,310,454,585,740,970,1378,1754,2106,2535,3064,3587,4003,4442,4938,5398,7297,7586,7828,8073,8292,8463,8627,8725,8790,8841,8904,8949,8992,9014,9035,9093,9186,9351,9596,9927,10330,10753,11155,11417,11628,11807,11944,12051,12165,12316,12442,12625,12812,13009,13205,13451,13857,14435,14981,15485,16088,16551,16920,17200,17443,17637,17821,17959,18152,18296,18402,18507,18568,18654,18698,18750,18789,18824,18898,18925,18960,19004,19051,19137,19215,19305,19428,19530,19680,19957,20149,20570,20865,21129,21261,21367,21419,21455,21473,21482,21487,21896,21899,21903,21907,21910,21925,21943,21944,21947
20,"Bosnia and Herzegovina",0,0,0,0,0,0,0,0,1,5,21,37,47,57,72,102,129,141,153,159,163,169,178,191,219,246,280,339,394,471,532,594,651,690,758,820,871,927,981,1075,1234,1490,1857,2246,2576,2922,3298,3625,3923,4086,4305,4411,4555,4679,4775,4881,4979,5071,5228,5446,5773,6220,6763,7298,7788,8203,8551,8790,8981,9108,9211,9374,9479,9630,9655,9667,9656,9666,9675,9687,9691,9701,9722,9785,9862,9995,10203,10422,10635,10863,11110,11322,11495,11717,11962,12219,12456,12687,12918,13121,13269,13442,13568,13741,13984,14310,14672,14984,15263,15411,15519,15614,15664,15702,15718,15732,15749,15756,15765,15768,15778,15783,15787
21,"Brazil",0,0,0,0,0,0,0,0,15,111,445,1124,2354,4057,6761,10656,15662,22205,28896,36054,42792,50100,57159,64410,71578,78870,86536,93669,100657,107365,114379,120570,126292,131341,136626,141508,146093,150302,153756,156991,159972,162348,165739,169088,172684,176718,181241,186461,190913,195834,202769,209442,216587,224080,231195,238768,246114,254406,264588,277413,293076,310963,330503,351674,372149,389830,406770,421715,435039,448499,461365,472861,486586,501108,513051,523932,533193,542004,549735,556676,563028,569058,574473,579287,583621,586817,590766,594466,597976,601134,603417,605788,607949,609646,611481,612853,614461,615829,617014,618011,618686,619367,619937,621233,623191,626870,632095,638346,644195,649184,652216,655234,657389,659046,660371,661475,662185,662855,663736,664361,665104,665720,666391
22,"Brunei",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,12,19,26,33,43,63,68,80,87,93,96,96,97,98,98,98,98,98,98,98,98,98,98,98,98,115,140,163,180,202,213,215,217,218,218,218,220,221,223
23,"Bulgaria",0,0,0,0,0,0,0,2,3,7,17,28,41,55,72,90,105,126,139,160,172,199,216,241,267,299,338,385,445,495,539,605,671,717,755,789,841,891,968,1084,1279,1632,2091,2820,3749,4729,5626,6551,7123,7644,8097,8474,8811,9028,9311,9608,9839,10167,10593,11234,11966,12650,13507,14351,15138,15859,16444,16902,17250,17487,17657,17813,17898,17989,18027,18084,18140,18169,18193,18213,18252,18339,18467,18705,19083,19469,19985,20449,20995,21616,22231,23033,23918,25005,26191,27180,28043,28805,29486,30047,30528,30983,31516,32042,32636,33121,33728,34359,34998,35458,35811,36084,36272,36429,36565,36692,36782,36849,36913,36966,37045,37090,37133
24,"Burkina Faso",0,0,0,0,0,0,0,0,2,11,16,27,36,41,44,48,51,52,53,53,53,53,53,53,53,53,53,53,54,54,55,55,55,56,56,56,59,61,65,65,67,67,68,68,68,68,71,74,77,86,89,101,109,120,134,138,139,142,143,144,145,145,150,152,154,156,157,162,164,165,166,167,167,167,168,168,168,169,169,169,169,170,171,171,171,171,172,180,187,195,203,214,214,221,234,265,281,286,290,296,317,318,333,339,353,366,372,375,375,375,375,375,379,381,382,382,383,383,383,383,384,384,384
25,"Cabo Verde",0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,5,6,8,12,16,19,21,22,24,32,34,37,39,42,44,50,56,62,74,85,94,95,100,102,104,105,109,110,111,112,113,114,119,124,133,135,139,143,147,152,156,159,165,171,177,189,201,220,232,246,256,263,267,273,281,286,287,289,295,297,298,298,299,302,308,315,320,327,334,340,346,347,349,349,349,350,350,349,351,351,351,352,352,360,372,387,395,396,400,400,401,401,401,401,401,401,401,401,401,401,401,401,401,401
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,19,26,39,71,96,114,147,167,203,252,320,414,523,696,881,1076,1254,1397,1537,1666,1778,1870,1950,2028,2096,2218,2360,2482,2634,2725,2781,2824,2861,2896,2927,2956,2982,3003,3008,3012,3015,3015,3015,3015,3015,3015,3015,3032,3040,3046,3050,3054,3054,3055,3055,3056,3056,3056,3056,3056,3056
27,"Cameroon",0,0,0,0,0,0,0,0,0,2,9,12,22,53,64,108,140,159,191,212,212,301,313,313,359,373,385,391,395,401,408,411,415,415,416,418,420,423,423,425,426,429,433,435,437,443,443,445,448,448,448,455,462,462,474,479,523,551,551,601,601,721,851,919,939,991,1107,1152,1152,1239,1275,1275,1310,1313,1320,1324,1324,1330,1334,1334,1334,1338,1338,1350,1357,1357,1368,1368,1459,1517,1550,1600,1686,1731,1770,1770,1791,1804,1823,1836,1851,1851,1853,1853,1867,1867,1880,1915,1920,1923,1926,1926,1926,1927,1927,1927,1927,1927,1927,1927,1927,1927,1930
28,"Canada",0,0,0,0,0,0,0,5,40,166,652,1556,2846,4128,5370,6309,7111,7761,8295,8571,8746,8838,8930,8995,9057,9091,9120,9162,9188,9222,9262,9296,9323,9352,9411,9483,9615,9772,9941,10184,10481,10873,11351,11857,12463,13186,14031,15045,15957,16877,18048,19067,20011,20796,21351,21830,22135,22440,22672,22917,23162,23430,23657,24052,24485,24829,25165,25424,25674,25926,26136,26301,26420,26532,26601,26679,26742,26776,26811,26848,26866,26903,26981,27080,27189,27341,27533,27763,28048,28289,28570,28822,29042,29225,29423,29589,29731,29889,30034,30169,30320,30616,31229,32352,33448,34438,35194,35835,36266,36613,36998,37278,37204,37476,37737,37947,38392,38853,39312,39817,40288,40734,41039
29,"Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,19,45,48,53,55,59,59,59,61,61,61,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,72,74,75,85,88,93,95,96,98,98,98,98,98,98,98,98,98,98,98,99,99,99,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,108,109,110,110,111,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
30,"Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,50,60,65,69,72,74,74,74,74,75,75,75,76,76,76,77,77,80,81,83,85,92,93,96,98,99,100,101,101,102,102,102,103,104,107,111,115,118,125,128,133,140,140,153,157,160,164,167,168,169,170,171,173,173,173,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,175,175,175,181,181,181,181,184,184,185,185,190,190,190,190,190,190,190,190,190,191,192,192,193,193,193,193,193,193
31,"Chile",0,0,0,0,0,0,0,0,0,6,27,73,126,181,247,304,421,673,997,1541,3101,4295,5347,6192,6881,8445,9020,9533,10011,10395,10792,11181,11551,11895,12254,12591,12919,13272,13588,13892,14207,14499,14777,15030,15322,15592,15846,16101,16404,16724,17037,17435,17854,18339,18895,19443,19974,20476,21008,21574,22180,22653,23524,24213,25055,25742,26457,27101,27734,28386,29047,29816,30579,31392,32163,32973,33767,34403,34958,35448,35951,36331,36605,36841,37067,37201,37339,37432,37484,37554,37597,37662,37743,37841,37951,38094,38282,38465,38646,38840,39013,39140,39251,39376,39497,39653,39930,40464,41196,42070,42955,43785,44440,56298,56689,56997,57231,57375,57527,57629,57714,57794,57877
32,"China",42,259,805,1663,2443,2837,3072,3193,3259,3299,3330,3343,4636,4636,4637,4637,4638,4638,4638,4638,4638,4638,4641,4641,4641,4646,4652,4665,4681,4702,4710,4720,4728,4734,4737,4739,4739,4739,4739,4739,4739,4741,4742,4742,4743,4746,4749,4763,4770,4784,4791,4797,4803,4814,4822,4829,4833,4834,4838,4839,4839,4841,4841,4843,4845,4845,4846,4846,4846,4846,4846,4846,4846,4846,4847,4847,4848,4848,4848,4848,4848,4848,4848,4848,4848,4848,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4849,4855,4912,5213,6410,8365,10288,11739,12699,13343,13748,13922,14368,14518,14569,14592,14602
33,"Colombia",0,0,0,0,0,0,0,0,0,6,32,100,166,233,324,445,562,705,890,1205,1592,2126,2939,3942,5119,6516,8269,10330,12540,14810,16968,19063,21156,22734,24039,25296,26556,27660,28803,30000,31314,32595,33829,35104,36401,37633,38866,40268,41943,43765,45784,48256,50982,53650,55693,57425,58685,59660,60412,61046,61907,62790,63932,65608,67931,70886,73992,77359,80780,84228,87747,91422,95192,99335,104014,108314,112298,115831,118538,120723,122277,123356,124121,124743,125230,125592,125860,126102,126372,126585,126830,127032,127258,127488,127766,128054,128394,128733,129056,129399,129729,129986,130288,130860,132023,133832,135518,136953,137996,138598,139037,139283,139434,139558,139650,139713,139745,139771,139797,139809,139821,139833,139854
34,"Congo (Brazzaville)",0,0,0,0,0,0,0,0,0,0,2,5,6,6,9,10,15,16,19,22,24,27,37,44,47,49,51,54,58,60,77,78,102,88,89,89,89,90,92,92,92,92,92,93,94,94,99,100,107,108,108,114,117,117,122,123,123,128,131,131,134,135,135,137,139,139,144,148,148,150,153,155,160,161,165,166,167,172,176,178,178,179,179,183,183,183,183,191,197,206,222,239,258,297,309,339,349,354,359,365,367,367,370,371,371,371,371,375,375,378,378,378,383,384,385,385,385,385,385,385,385,385,385
35,"Congo (Kinshasa)",0,0,0,0,0,0,0,0,1,6,18,20,25,28,33,39,61,63,69,82,106,125,153,182,189,193,204,215,218,239,251,258,259,262,268,271,274,276,302,305,307,316,319,327,333,342,352,369,573,595,611,630,654,671,679,693,700,707,712,717,726,734,745,745,745,756,768,772,776,779,782,797,834,873,912,945,980,984,1021,1038,1048,1050,1053,1057,1061,1068,1068,1083,1084,1086,1089,1091,1091,1098,1099,1104,1104,1107,1118,1126,1126,1205,1225,1225,1278,1278,1278,1316,1316,1335,1335,1335,1335,1335,1337,1337,1337,1337,1337,1337,1337,1338,1338
36,"Costa Rica",0,0,0,0,0,0,0,0,2,2,2,3,4,6,6,6,10,10,10,10,12,12,14,18,28,54,98,154,228,291,348,418,478,590,706,828,950,1076,1183,1282,1385,1464,1546,1608,1690,1773,1895,1996,2086,2185,2305,2416,2518,2604,2672,2714,2763,2800,2833,2862,2896,2931,2957,3018,3071,3143,3231,3365,3547,3765,3962,4153,4322,4473,4602,4686,4773,4874,4941,5030,5124,5211,5312,5431,5568,5754,5949,6189,6413,6612,6797,6946,7029,7134,7197,7251,7287,7312,7332,7340,7343,7353,7372,7406,7451,7533,7641,7772,7894,7999,8082,8160,8226,8266,8308,8327,8357,8383,8405,8421,8444,8472,8495
37,"Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,1,4,8,14,15,21,25,30,33,36,45,52,66,72,82,91,94,102,104,108,113,115,119,119,120,120,120,120,121,121,126,126,127,129,131,132,133,133,133,138,139,141,145,152,162,173,185,192,200,211,217,232,252,260,274,281,286,291,295,298,303,306,306,307,311,315,318,320,324,329,341,359,389,424,464,506,561,593,636,659,674,690,695,699,702,702,704,705,706,706,707,718,733,753,778,784,786,789,791,792,795,796,796,796,796,796,797,799,799,799,799,799,799
38,"Croatia",0,0,0,0,0,0,0,0,1,5,12,21,39,54,77,87,95,99,103,104,107,107,107,113,118,120,133,145,157,165,170,183,197,218,244,269,293,317,355,429,546,752,1006,1304,1655,2102,2562,3101,3613,4016,4342,4588,4799,4998,5144,5299,5420,5511,5585,5670,5753,5872,6025,6269,6523,6815,7130,7424,7687,7883,8002,8080,8132,8169,8197,8215,8227,8236,8245,8259,8271,8282,8298,8324,8362,8427,8493,8580,8664,8763,8877,9010,9198,9450,9840,10243,10695,11150,11574,11930,12279,12571,12841,13073,13371,13731,14078,14424,14773,15012,15194,15321,15425,15509,15592,15675,15725,15778,15828,15881,15925,15961,15979
