id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
0,"Afghanistan",0,0,0,0,0,0,0,0,0,2,5,15,30,43,72,105,168,215,252,331,455,552,707,830,979,1151,1250,1287,1311,1374,1389,1406,1413,1424,1441,1457,1466,1477,1492,1507,1533,1554,1595,1661,1740,1847,1949,2037,2148,2211,2264,2336,2373,2400,2408,2427,2430,2443,2449,2454,2462,2469,2496,2521,2539,2572,2631,2683,2733,2792,2899,3104,3449,4030,4594,5107,5638,6098,6393,6708,6897,7010,7065,7103,7128,7167,7186,7199,7206,7221,7238,7253,7272,7284,7292,7301,7308,7312,7325,7333,7349,7356,7369,7378,7390,7405,7425,7488,7534,7585,7622,7641,7652,7657,7671,7671,7676,7681,7683,7684,7687,7697,7701
1,"Albania",0,0,0,0,0,0,0,1,2,10,20,23,26,27,31,31,31,31,33,34,36,43,53,74,89,111,134,161,193,225,245,275,312,330,358,375,392,416,448,473,509,557,612,685,787,889,989,1074,1143,1190,1233,1270,1310,1369,1446,1543,1653,1775,1918,2030,2133,2204,2256,2310,2340,2372,2396,2411,2429,2442,2449,2451,2453,2454,2456,2456,2456,2456,2456,2457,2459,2463,2477,2490,2512,2539,2574,2629,2710,2759,2810,2870,2916,2948,2986,3035,3085,3109,3132,3161,3189,3217,3233,3265,3297,3329,3371,3407,3433,3458,3478,3485,3487,3491,3492,3492,3496,3496,3496,3496,3497,3497,3497
2,"Algeria",0,0,0,0,0,0,0,3,15,29,130,275,367,419,459,494,542,592,646,698,760,837,892,946,1004,1068,1146,1223,1293,1360,1424,1491,1549,1605,1665,1711,1756,1795,1846,1907,1964,2036,2139,2255,2393,2501,2584,2659,2722,2769,2803,2831,2861,2888,2909,2935,2958,2979,3010,3034,3055,3077,3102,3126,3152,3198,3261,3321,3366,3411,3460,3510,3565,3624,3685,3745,3824,3922,4042,4254,4520,4766,4984,5179,5399,5558,5681,5767,5819,5850,5870,5886,5918,5941,5977,6017,6052,6096,6137,6180,6229,6284,6330,6404,6481,6555,6640,6715,6787,6828,6853,6862,6871,6873,6874,6874,6874,6874,6875,6875,6875,6875,6875
3,"Andorra",0,0,0,0,0,0,0,0,0,3,17,26,35,40,44,48,51,51,51,51,51,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,55,59,69,75,75,75,76,76,78,78,80,83,84,85,91,96,101,105,107,107,110,112,112,113,115,117,120,123,124,125,127,127,127,127,127,127,127,127,127,127,127,127,128,128,129,129,130,130,130,130,130,130,130,130,130,130,130,130,130,131,132,133,134,139,140,141,142,144,145,147,148,150,151,151,152,153,153,153,153,153,153,153,153,153,153,153
4,"Angola",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,4,4,6,9,10,19,23,29,39,54,70,86,94,107,117,132,147,171,193,218,241,267,284,303,322,336,345,354,366,386,399,407,416,431,457,464,475,491,498,506,512,520,526,533,540,550,561,577,600,630,655,715,757,794,825,856,887,910,929,954,982,1011,1044,1086,1140,1192,1258,1327,1388,1487,1574,1618,1662,1695,1708,1719,1727,1730,1733,1735,1737,1738,1746,1772,1819,1857,1886,1894,1896,1898,1899,1899,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
5,"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,7,7,9,11,14,21,27,28,28,28,30,31,31,32,32,33,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,46,48,55,64,84,91,95,99,102,105,107,108,117,117,117,117,118,119,119,120,122,127,127,134,135,135,135,135,135,135,135,135,135,135,136,137,137,138,138
6,"Argentina",0,0,0,0,0,0,0,2,4,18,43,83,129,185,237,300,363,445,528,648,815,992,1207,1481,1810,2220,2893,3596,4523,5637,6848,8353,9739,11263,12799,15543,20795,23581,26107,28613,31002,33348,35307,36902,38322,39632,40668,41763,42501,43375,44417,45295,46737,47931,49110,50188,51122,51946,52870,53646,54517,55368,56106,57647,59164,61474,64096,67042,70253,73688,77108,80867,85075,88742,92317,95594,98501,101434,103584,105721,107302,108936,110217,111324,112444,113356,114367,114849,115239,115458,115663,115823,115942,116091,116228,116374,116517,116643,116760,116899,117020,117181,117465,117989,119103,120836,122584,123987,125185,126048,126708,127122,127483,127904,128059,128197,128344,128344,128542,128653,128729,128776,128825
7,"Armenia",0,0,0,0,0,0,0,0,0,1,7,13,20,28,33,44,55,77,127,190,264,332,421,477,559,631,700,749,785,817,850,872,895,911,928,948,972,1016,1067,1157,1341,1533,1738,1931,2121,2309,2462,2616,2752,2836,2922,2987,3034,3071,3114,3140,3159,3190,3219,3253,3332,3450,3575,3720,3859,4001,4128,4225,4314,4386,4428,4454,4482,4496,4506,4521,4542,4559,4584,4614,4641,4685,4737,4812,4904,4995,5117,5239,5354,5529,5754,5975,6284,6628,6976,7253,7485,7669,7788,7893,7942,7975,7999,8018,8026,8041,8081,8157,8308,8433,8528,8570,8593,8608,8616,8620,8621,8622,8622,8622,8623,8623,8624
8,"Australia",0,0,0,0,0,0,2,3,7,14,30,57,67,80,94,97,98,102,103,102,102,102,104,104,108,122,155,208,295,396,502,611,753,810,849,872,894,898,904,905,907,907,907,907,907,908,908,908,908,909,909,909,909,909,909,909,909,909,909,909,909,909,909,909,910,910,910,910,910,910,910,910,910,910,910,910,911,914,918,924,938,958,981,999,1039,1091,1162,1231,1334,1432,1532,1637,1735,1815,1882,1944,1994,2050,2104,2146,2190,2257,2366,2673,3121,3718,4200,4593,4912,5157,5416,5587,5725,5893,6383,6562,6779,6983,7250,7509,7794,8097,8460
9,"Austria",0,0,0,0,0,0,0,1,15,81,205,364,489,584,649,683,709,724,739,756,768,786,804,815,821,831,842,852,866,880,890,902,911,925,946,976,1011,1072,1135,1237,1431,1780,2298,2999,3818,4767,5639,6415,7086,7637,8109,8535,8951,9337,9680,9952,10182,10407,10600,10808,11041,11276,11511,11781,12031,12267,12443,12617,12747,12824,12900,12964,12999,13030,13064,13079,13098,13110,13121,13135,13158,13171,13185,13209,13246,13300,13368,13447,13523,13601,13684,13791,13932,14103,14367,14746,15195,15688,16144,16471,16684,16845,16931,17006,17073,17172,17297,17447,17656,17844,18074,18271,18484,18759,19045,19295,19480,19617,19726,19791,19826,19855,19895
