id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05
12,Rhode Island,0,0,0,0,0,0,0,0,1,4,28,82,175,276,402,536,644,749,824,882,906,942,965,986,1000,1012,1021,1027,1037,1045,1065,1075,1087,1096,1111,1121,1131,1148,1174,1191,1216,1241,1283,1331,1399,1482,1622,1754,1856,1957,2062,2161,2256,2333,2400,2459,2485,2502,2541,2567,2595,2608,2630,2638,2647,2660,2671,2687,2700,2704,2708,2717,2722,2724,2728,2730,2730,2736,2739,2740,2743,2744,2753,2764,2773,2793,2812,2823,2838,2854,2860,2872,2878,2881,2890,2906,2915,2941,2957,2992,3018,3066,3121,3175,3240,3302,3354
13,Georgia,0,0,0,0,0,0,0,1,20,69,201,429,673,907,1177,1403,1598,1822,2004,2178,2447,2642,2776,2857,2996,3169,3494,3825,4186,4669,5092,5576,5977,6287,6599,6914,7133,7393,7607,7808,7979,8647,8956,9179,9424,9793,10075,10381,10685,10960,11457,12291,13246,14196,15090,15850,16742,17294,17905,18216,18530,18926,19210,19488,19757,19973,20212,20368,20505,20661,20837,20986,21158,21319,21393,21443,21486,21558,21614,21676,21802,21978,22199,22553,23120,23741,24577,25478,26242,27142,27774,28519,29065,29483,29861,30162,30358,30655,30823,30994,31209,31443,31521,31928,32294,32868,33402
14,New Hampshire,0,0,0,0,0,0,0,0,0,2,7,22,38,53,84,131,171,208,238,283,318,339,367,379,391,396,409,416,419,423,429,432,432,435,438,439,442,455,466,473,483,489,499,508,523,559,600,650,701,769,862,927,981,1042,1098,1130,1153,1170,1181,1199,1217,1235,1247,1256,1266,1282,1304,1314,1331,1344,1352,1355,1360,1367,1371,1372,1375,1381,1385,1387,1389,1395,1397,1415,1426,1441,1457,1472,1481,1497,1520,1543,1544,1597,1622,1662,1683,1739,1781,1836,1877,1961,2019,2079,2135,2205,2246
15,North Carolina,0,0,0,0,0,0,0,0,0,5,34,89,187,305,431,551,676,778,929,1028,1127,1215,1353,1422,1513,1648,1811,1979,2184,2343,2521,2683,2889,3047,3235,3440,3629,3765,3929,4144,4378,4605,4756,5005,5219,5516,5796,6184,6526,6892,7425,8016,8586,9287,9926,10453,10896,11212,11502,11691,11820,12028,12136,12248,12387,12523,12651,12780,12862,12958,13078,13151,13265,13340,13412,13434,13483,13523,13570,13635,13736,13826,14059,14319,14708,15075,15615,16108,16605,17104,17456,17765,18050,18251,18411,18597,18676,18825,18976,19121,19233,19426,19619,19903,20193,20595,21097
16,New Jersey,0,0,0,0,0,0,0,1,22,192,1059,2854,5169,7274,9302,10805,12013,12869,13450,13945,14476,14785,14948,15189,15525,15699,15776,15830,15869,15910,15943,15933,15985,16027,16064,16103,16135,16171,16204,16281,16350,16425,16548,16746,16965,17306,17732,18173,18613,19187,19854,20414,20934,21455,21964,22440,22834,23238,23557,23888,24134,24382,24632,24859,25134,25367,25588,25791,25952,26084,26201,26273,26324,26372,26434,26472,26501,26536,26573,26602,26645,26692,26750,26844,26942,27054,27182,27323,27465,27590,27720,27848,27972,28080,28169,28250,28335,28452,28568,28708,28854,29053,29444,30079,30746,31391,31948
17,Colorado,0,0,0,0,0,0,0,2,6,44,126,274,411,684,832,967,1192,1327,1443,1527,1597,1647,1674,1701,1725,1752,1794,1844,1857,1896,1918,1942,1971,1988,2013,2040,2060,2112,2176,2218,2285,2389,2525,2787,2983,3357,3871,4339,4592,4912,5190,5363,5482,5620,5722,5814,5887,5945,5986,6036,6068,6089,6124,6155,6188,6249,6302,6355,6442,6503,6576,6613,6688,6732,6770,6814,6848,6886,6910,6945,6978,7032,7067,7111,7194,7274,7374,7472,7594,7733,7864,8029,8186,8407,8620,8878,9100,9344,9627,9864,10074,10271,10425,10616,10799,11061,11202
18,Maryland,0,0,0,0,0,0,0,0,2,5,54,206,421,875,1251,1614,1957,2243,2509,2740,2926,3052,3157,3236,3310,3368,3433,3506,3577,3636,3685,3746,3796,3836,3876,3925,3957,3995,4036,4091,4147,4201,4293,4415,4602,4820,5100,5412,5680,5967,6246,6541,6837,7107,7329,7536,7697,7856,7941,8038,8158,8246,8342,8444,8545,8648,8764,8843,8925,8990,9599,9639,9683,9707,9734,9749,9762,9780,9806,9825,9849,9887,9938,9983,10061,10159,10263,10369,10474,10583,10703,10796,10882,10965,11050,11111,11178,11255,11255,11255,11255,11758,12158,12608,13069,13432,13691
19,Nevada,0,0,0,0,0,0,0,0,2,10,46,102,151,205,255,313,347,387,417,437,462,486,500,530,592,646,732,832,949,1069,1197,1302,1388,1449,1528,1582,1620,1659,1707,1743,1777,1850,1908,2011,2119,2301,2520,2749,2942,3148,3450,3761,4011,4264,4496,4694,4868,4957,5036,5117,5171,5236,5274,5332,5365,5422,5464,5498,5530,5552,5586,5600,5622,5649,5667,5697,5720,5758,5817,5912,6005,6160,6280,6433,6583,6702,6845,7015,7166,7284,7421,7522,7630,7712,7807,7917,7971,8069,8188,8277,8363,8419,8509,8626,8735,8913,9143
20,Tennessee,0,0,0,0,0,0,0,0,1,7,50,106,142,177,209,242,295,329,364,417,472,524,584,637,738,838,964,1067,1215,1345,1563,1725,1862,2064,2216,2374,2560,2758,2903,3100,3353,3590,3877,4211,4541,4905,5400,5960,6443,6970,7704,8355,8819,9574,10463,10902,11115,11393,11543,11639,11709,11816,11915,12001,12049,12142,12197,12255,12312,12380,12441,12476,12498,12516,12550,12571,12596,12533,12664,12724,12820,12934,13135,13338,13622,13882,14332,14817,15198,15549,15821,16150,16342,16500,16660,16820,16959,17390,17721,17977,20377,20842,20941,21121,21705,22142,22994
21,Hawaii,0,0,0,0,0,0,0,0,0,0,3,8,9,13,16,17,17,17,17,17,17,17,18,19,19,24,26,26,31,40,47,62,84,97,120,131,153,168,186,212,219,220,222,231,240,261,271,281,285,289,308,320,336,407,416,425,430,439,444,450,453,462,467,471,474,478,483,487,491,494,499,502,506,511,516,518,521,523,527,537,542,548,563,587,614,653,702,747,801,837,866,885,906,950,976,1002,1015,1032,1053,1070,1082,1094,1102,1123,1142,1173,1222
