id,Country,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14
0,"Afghanistan",1411.13553346451,1486.28123589487,1565.37536075085,1648.47347786997,1733.78905939189,1821.38870194204,1916.63122793667,2020.02338757612,2117.18000099425,2217.84848232837,2321.95914331825,2429.42230896479,2540.41905788429,2655.14873231919,2772.98741829551,2893.1307997599,3016.9415341331,3144.44439159331,3275.67921246882,3410.70650054113
1,"Albania",696.677041991998,718.254525087869,740.348823826763,762.906706461783,785.452388755681,807.944310616126,831.824025819986,857.285522027409,881.104654958674,905.267184384897,929.746337622374,954.491861170939,979.541161489282,1005.0343857754,1030.85090842488,1056.60942286037,1082.65926198686,1108.99164300655,1135.60053517295,1162.48968655628
2,"Algeria",3215.98866377967,3318.00479998767,3419.06470280113,3520.5105710281,3622.9502009585,3725.80188362791,3836.45071221083,3955.77223891352,4063.18713299626,4171.38562820841,4280.62033697755,4390.9856647629,4502.50147353196,4615.27497049949,4728.35664624635,4840.532012096,4953.39826264309,5066.94193025164,5181.11091423784,5295.83184275378
3,"Andorra",735.627617386226,740.413580346295,744.650824480101,748.728980802382,752.844918926417,757.031114519292,761.611323259588,766.520917789059,770.740288940013,774.882047229806,779.010541391487,783.145686729042,787.283231279462,791.413909142312,795.482987516103,799.437096154372,803.354786714402,807.24168841612,811.095413712367,814.910531177122
4,"Angola",25.4330768878122,25.8735311792771,26.3219640082798,26.7734432776868,27.2561282868651,27.7725617766958,28.2733171338555,28.7543257489128,29.2088687251963,29.634583648959,30.0181844124472,30.4097264868686,30.8089859696239,31.2183283478352,31.6336555913829,32.0461987066145,32.4560742952249,32.8634421934499,33.2691103135685,33.6710467453585
5,"Antigua and Barbuda",24.1237109078394,24.262726026102,24.4189385863893,24.5697339404413,24.7144419518715,24.8523095820044,24.9886761312623,25.110984940693,25.2331201498103,25.3531670090478,25.4687396942572,25.5799548826223,25.6870265860994,25.7902884481998,25.8894548663449,25.9857582749001,26.0788659793778,26.1686409996465,26.2552245563986,26.3387609057529
6,"Argentina",3719.75112614179,3866.78743679726,4022.21644988423,4186.86047745049,4355.96365242143,4527.4304275206,4713.96614713517,4915.05755505119,5097.34086219851,5284.99852886192,5477.57019560336,5674.39990525487,5875.45693312348,6081.02543079438,6289.49537134007,6499.0895058399,6712.84736791887,6930.5842841939,7152.15762375911,7377.50303538505
7,"Armenia",1644.84396115962,1703.87837618913,1764.49194723147,1826.02762223259,1888.53320808905,1951.26118374187,2018.57610738009,2091.07504674341,2157.37931399975,2224.76226022087,2293.14945000181,2362.55301717586,2432.97979330633,2504.54868232735,2576.74781439635,2648.9006225505,2721.92050216177,2795.77595299975,2870.44185533304,2945.88755735183
8,"Australia",6696.21806918355,6714.89303675071,6731.16349493883,6746.12880542914,6760.57971540295,6775.17158733742,6790.75500648011,6807.80280304837,6822.77091500384,6837.24177585774,6851.47122814873,6865.60196330986,6879.68974165659,6893.70989224956,6907.5203366949,6920.8965126758,6934.05913801164,6947.04626877911,6959.86674699531,6972.51146004451
9,"Austria",15129.7908046091,15193.8186274603,15255.7633338429,15317.1581870711,15377.9016089092,15438.1492196149,15501.8778703613,15569.9610010483,15629.5933900924,15688.6299012459,15747.2720286593,15805.5408421993,15863.474026514,15921.0932883268,15977.8845291233,16033.1456947117,16087.8143471724,16141.8909534877,16195.3487479844,16248.1544854314
10,"Azerbaijan",1623.40343641944,1659.60824281895,1695.36350003666,1731.14046365213,1767.02657791248,1802.5027167651,1840.19766197599,1880.63912983449,1916.81938898506,1952.99606145753,1989.23187155412,2025.53208326754,2061.8904020109,2098.37266181429,2134.68422457791,2170.41479526995,2206.08198825032,2241.67739487117,2277.1826021104,2312.5758671699
11,"Bahamas",75.5101189169986,78.5147895100706,81.6097806956093,84.8384667291455,88.0415305541889,91.1852634685115,94.5372016333311,98.2031482293512,101.593537044774,105.041523129037,108.542216115733,112.083515136517,115.675313386659,119.334017615902,123.038516674983,126.74874010157,130.506708843124,134.310949746323,138.160500189819,142.056061482724
12,"Bahrain",2606.59108137615,2730.75747003747,2860.98580329186,2997.05848108854,3137.4753078209,3279.70566878284,3431.70450904448,3593.74282369921,3742.66004771409,3896.96925606233,4056.69688235418,4220.92187371176,4388.49976346133,4562.12358086837,4741.15906013622,4915.80312696386,5094.42975292979,5276.84136199029,5462.82116449885,5652.2586863537
13,"Bangladesh",5094.74612755736,5592.29795476676,6113.07956090509,6656.82161798244,7223.75705620371,7811.31378101203,8463.25730964436,9191.20991815995,9893.25925162949,10630.3520605499,11404.5124826975,12218.1576417024,13074.078905806,13975.9867201578,14920.7270030045,15902.6134340753,16932.4502748313,18012.4485071077,19144.8510306219,20331.8707791651
14,"Barbados",77.1880339175188,77.4819084301279,77.8152528413407,78.1933682026765,78.5954056257033,78.9977161260638,79.4339136291852,79.8951184265467,80.2587030929723,80.6316499549907,81.0099152638691,81.3882002097092,81.7632945086184,82.1347329684083,82.4974733174138,82.8469887055059,83.194614059667,83.5388381334005,83.8784898198931,84.2129523959594
15,"Belarus",9371.96063002681,10111.6499759878,10890.8357395818,11716.7006536123,12572.2125761277,13437.1544344631,14398.8679547419,15467.1024787929,16488.5620986663,17557.1274258965,18674.0576875648,19839.6184427874,21056.9718860834,22333.1935444882,23661.9124955452,25034.0611259598,26464.7225064846,27955.779898381,29509.2187093333,31127.3096569668
16,"Belgium",45296.8390083425,46448.0994794907,47587.9637731354,48726.2213635322,49866.5950515646,51004.1081601694,52233.4687319374,53566.5854302201,54759.5158190604,55958.3305599072,57165.5199844332,58382.5207656235,59610.4392976501,60851.2584933102,62093.593167488,63322.7054703736,64556.8987343093,65796.0554870215,67039.682525754,68287.0088011414
17,"Benin",55.8747097004651,57.7250080142197,59.5488101199323,61.4698681823419,63.4964882106861,65.6376855726536,67.9617495308288,70.4842975234057,72.927386678282,75.284606776251,77.5490322408286,79.7112407685373,81.760877481402,83.9525955619719,86.2957138672792,88.6688616480086,91.0775358436951,93.5279474933427,96.0182810428625,98.5461294592408
18,"Bhutan",7.21054929095088,7.48980696874044,7.77907713135039,8.07962463972713,8.36760826093428,8.64144082097587,8.91196757227729,9.19561480070676,9.44638659193523,9.69355970544187,9.93541465802052,10.1698549589512,10.3975311129874,10.6193763077435,10.8350715483847,11.0421824262574,11.2437776136975,11.4396149408122,11.6296388651544,11.8140516748359
19,"Bolivia",847.181055811913,905.119080133757,967.442522308247,1035.30572609258,1107.44265975547,1182.01452486554,1265.10026755357,1357.44013862595,1441.76305644446,1530.44552567658,1623.48316702408,1720.68011587962,1822.01735416061,1927.77657488608,2037.28147982417,2149.62171553803,2266.59045978945,2388.23200814575,2514.59869127361,2645.78384253909
20,"Bosnia and Herzegovina",1448.33287751667,1476.78613583997,1504.30654512451,1531.35954719385,1558.1349849962,1584.84973907337,1613.17608845664,1643.44802972138,1671.24192004588,1698.94166526904,1726.66673797435,1754.48732529078,1782.45656785391,1810.60428099303,1838.72632344863,1866.54190773872,1894.36036199169,1922.19550481454,1950.04610530359,1977.90076007878
21,"Brazil",56655.3611624762,59940.8519591032,63346.5203609804,66909.9534379749,70614.7610636785,74419.3858617618,78591.5185237881,83154.7251352213,87375.8601235733,91745.9468147399,96269.5591959618,100946.012145508,105777.121728527,110771.611787648,115896.95913062,121111.710261353,126484.57645792,132017.004898738,137709.944285961,143564.603034066
22,"Brunei",138.180640392741,138.332977002147,138.45335785889,138.537659783002,138.607033319384,138.685358019301,138.773788834454,138.87362973681,138.963045171649,139.044341959152,139.120595770898,139.19581113295,139.27178024356,139.347445402457,139.421463415096,139.492149528165,139.560419015061,139.627007599499,139.692349085069,139.756416550697
23,"Bulgaria",1279.55614136454,1345.04099550356,1415.39236480061,1491.29128024403,1572.31409505523,1655.4151044326,1746.88096237556,1847.22726115337,1937.85347788514,2032.492199823,2131.00693390942,2233.13067897937,2338.62144942989,2447.68483929397,2559.55569226455,2673.26444968798,2790.65599220083,2911.67750821016,3036.28954140128,3164.48895316022
24,"Burkina Faso",637.505686976107,647.648950069501,657.700332760667,667.702939883107,677.677927189886,687.565472508241,697.926915701695,709.108343544074,719.12523773543,729.12444810587,739.116354445473,749.106758440922,759.099313805256,769.106554214871,779.064238013956,788.85072077147,798.604964992213,808.324934596386,818.006856592362,827.64561854893
25,"Cabo Verde",90.8135789405401,94.5348250060811,98.413561708118,102.349344076176,106.182068894761,109.827923092148,113.65208024447,117.544657656393,120.731347300891,123.854292489187,126.887120559851,129.812289637165,132.629252948301,135.347389841561,137.933665514978,140.364206603758,142.704597888728,144.95169284502,147.105113669563,149.166528584906
26,"Cambodia",122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
27,"Cameroon",1475.80724771047,1535.77283492476,1599.35316897788,1667.12178704962,1735.61498851734,1802.44627112437,1875.22427724986,1952.88613669598,2019.08753723664,2086.25620451668,2154.05438870568,2221.87775903057,2289.54185614443,2357.53780113641,2425.06931528658,2490.80358390926,2556.50551480249,2622.02792452196,2687.244750186,2752.10815722823
28,"Canada",45656.6217585663,47375.4029959368,49094.1300323648,50805.500427102,52505.5432443261,54207.8635791345,56032.8112911592,57997.2384135735,59856.6124051989,61737.0731414029,63641.8023410677,65575.5604282923,67544.422046676,69553.3261221368,71589.826834556,73637.0683640907,75712.4881464127,77817.1493081317,79951.7956250554,82116.5657990095
29,"Central African Republic",16.629495842929,17.2566237217231,17.8724593912279,18.4534912885701,19.0233006167634,19.5813122039161,20.1830373717129,20.8138065436457,21.5590963075597,22.3364853435896,23.146902712721,23.943968577022,24.7262870077539,25.5152868481924,26.3446595503826,27.1079142670801,27.8856384904652,28.6819040937435,29.5037464771721,30.3529166527073
30,"Chad",40.859003966286,42.1677947377292,43.4904643534523,44.8287834006339,46.337838109053,47.8608052909961,49.5334133358943,51.3449851466482,52.6827315245104,54.0241717823788,55.3680065752616,56.7125449138318,58.0360950013374,59.3342043953988,60.5845371303708,61.7632698684877,62.9217164006448,64.0568174808509,65.1652893452613,66.2436450331974
31,"Chile",12691.5838866937,13143.0703100324,13601.5068575648,14067.3647279724,14540.6165879906,15018.2960617666,15535.9098112229,16094.6025586888,16604.1331406859,17122.3398598956,17649.4803852375,18185.7803736172,18731.5033168375,19287.3961938437,19849.0022714748,20411.0268380145,20980.8917239288,21558.4710702819,22143.5816163375,22735.9789092092
32,"China",83924.8087652082,83945.5777235867,83959.5130471368,83972.6918082327,83985.2564852445,83997.2056879821,84009.1696180695,84021.5577208749,84031.1075839254,84039.550036267,84047.4503000986,84054.8295357798,84061.6969286526,84068.0627079438,84073.8759068572,84079.0401123908,84083.7714199307,84088.1364090506,84092.1524394781,84095.8364957892
33,"Colombia",5063.59247217113,5288.64018246363,5520.05557297813,5758.93971826586,6000.8965221845,6247.06309257308,6514.16864193821,6803.44109294564,7069.47628792804,7341.8317768875,7620.54994973957,7905.20049657125,8196.27848233939,8495.06960646237,8799.72464283189,9105.22243203928,9416.81018527631,9734.45376721698,10058.0993828994,10387.7799979527
