id,Country,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06
0,Washington,114051,120376,126843,133300,139584,145565,151129,156197,160727,164707,168151,171092,173576,175653
1,Illinois,458221,491321,514564,530384,539866,545511,548743,550560,551582,552148,552463,552638,552734,552788
2,California,964882,998055,1031284,1063560,1093938,1121675,1146320,1167682,1185809,1200913,1213307,1223350,1231407,1237817
3,Arizona,258539,282614,311081,332240,342973,347305,348897,349460,349656,349725,349748,349757,349760,349761
4,Massachusetts,167425,177547,187904,197914,207029,214891,221361,226481,230406,233345,235505,237072,238198,239000
5,Wisconsin,252464,264974,270176,272075,272747,272984,273066,273095,273105,273109,273110,273110,273110,273110
6,Texas,980184,1026235,1066855,1099797,1124694,1142532,1154823,1163066,1168494,1172025,1174305,1175768,1176705,1177304
7,Nebraska,78436,81998,83261,83663,83786,83823,83834,83838,83839,83839,83839,83839,83839,83839
8,Utah,125615,133148,137663,140066,141272,141860,142142,142277,142340,142371,142385,142392,142395,142397
9,Oregon,48830,53675,59485,65974,72670,79031,84613,89176,92693,95282,97125,98404,99277,99866
10,Florida,832807,858091,878666,894105,905014,912408,917273,920412,922412,923677,924473,924971,925283,925478
11,New York,522295,538197,554673,571118,586927,601583,614719,626139,635805,643804,650299,655493,659595,662804
12,Rhode Island,36189,38669,40548,41944,42870,43477,43860,44097,44242,44331,44384,44417,44436,44448
13,Georgia,371543,383187,394542,404887,413988,421605,427743,432545,436201,438932,440942,442405,443461,444219
14,New Hampshire,12009,13165,14555,16162,18010,20066,22287,24616,26968,29260,31414,33368,35083,36544
15,North Carolina,292535,316388,343136,369138,391850,409370,421745,429903,435038,438177,440060,441177,441836,442222
16,New Jersey,250950,265431,281126,296983,311959,325088,335886,344279,350512,354984,358112,360260,361717,362697
17,Colorado,123830,138402,151355,162042,170283,176342,180629,183583,185581,186916,187801,188383,188766,189016
18,Maryland,151452,157792,163861,169264,173767,177319,179999,181954,183346,184318,184990,185449,185762,185974
19,Nevada,109667,124537,137949,145012,147703,148580,148854,148938,148963,148971,148973,148974,148974,148974
20,Tennessee,275657,286399,293324,297405,299692,300938,301605,301959,302146,302245,302297,302325,302339,302347
21,Hawaii,15850,16916,18392,20372,22911,25970,29399,32936,36283,39198,41559,43358,44667,45588
22,Indiana,201478,223632,242593,256526,265660,271193,274390,276185,277176,277720,278016,278177,278264,278311
23,Kentucky,117843,128018,135711,140824,143933,145723,146720,147265,147560,147720,147805,147851,147875,147889
24,Minnesota,168742,184258,194347,199949,202787,204157,204803,205104,205244,205309,205338,205352,205359,205362
25,Oklahoma,130652,135891,139146,141018,142045,142595,142886,143038,143117,143159,143180,143191,143197,143200
26,Pennsylvania,230406,248459,266084,281993,295355,305911,313851,319605,323661,326466,328380,329674,330543,331125
27,South Carolina,183776,190323,196001,200740,204487,207351,209479,211021,212124,212902,213447,213826,214088,214269
28,District of Columbia,17884,18601,19365,20113,20788,21354,21798,22129,22367,22533,22646,22723,22775,22809
29,Kansas,91496,97379,100951,102898,103895,104390,104631,104748,104805,104832,104845,104851,104854,104856
30,Missouri,203679,219906,232924,242113,248034,251626,253725,254925,255602,255982,256194,256312,256378,256414
31,Vermont,2359,2682,3273,4304,5955,8264,10939,13423,15287,16468,17138,17493,17675,17767
32,Virginia,185836,185836,185836,185836,185836,185836,185836,185836,185836,185836,185836,185836,185836,185836
33,Connecticut,77556,82719,87407,91489,94896,97661,99842,101530,102815,103781,104500,105033,105425,105712
34,Iowa,141098,145466,146499,146720,146767,146776,146778,146779,146779,146779,146779,146779,146779,146779
35,Louisiana,186463,188869,190397,191320,191860,192170,192346,192446,192502,192533,192551,192561,192566,192569
36,Ohio,239507,261604,282374,300763,316186,328573,338162,345380,350698,354554,357319,359284,360674,361651
37,Michigan,223113,247962,268768,283957,293955,300091,303695,305757,306919,307568,307929,308130,308241,308302
39,Arkansas,118497,123988,128104,130923,132724,133832,134492,134880,135105,135234,135309,135352,135377,135391
40,Delaware,26011,27097,28081,28908,29557,30041,30387,30629,30793,30904,30978,31027,31059,31081
41,Mississippi,124219,128086,131009,133021,134326,135144,135640,135938,136114,136218,136279,136315,136336,136349
42,New Mexico,53148,59899,66082,71063,74674,77087,78616,79552,80112,80443,80637,80750,80816,80854
46,Maine,7415,8497,10099,12339,15228,18586,22041,25171,27691,29531,30781,31588,32091,32400
47,Alabama,201057,206453,209195,210455,211009,211246,211347,211390,211408,211416,211419,211421,211421,211422
