id,Country,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,population
154,"Mexico",0,0,0,43960,48236,53185,58402,67468,74794,81300,87060,92879,192567,329983,417375,463246,472142,492529,498122,501030,552335,614808,618768,629626,645105,652319,656044,657842,662217,670307,673327,675202,677539,686601,695088,700316,710198,713517,717820,724347,724707,725447,726002,726313,726313,749682,915383,1058139,1318055,1574158,1656304,1689158,1733404,1801156,1900784,2088813,2271032,2383411,2455095,2526863,2583435,2633580,2676035,2731900,2765805,2793106,2849630,3100868,3488000,3800000,4005131,127540423
155,"Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3849,3849,3849,3849,3849,6447,8116,9341,3552000
156,"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,38499
157,"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,3027398
158,"Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,1288,1288,1288,1531,1531,1927,1927,2250,2406,2406,3062,3062,3062,3062,3374,622781
159,"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,126000,200081,257291,308398,351723,408235,463966,463966,550149,615181,746116,855318,1112103,1388539,1388539,1707091,1904169,2081013,2233123,2362150,2461192,2461192,2575684,2667091,2948945,3204105,3424295,3597903,3597903,3801650,3951325,4105862,4233129,4377629,4492557,4492557,4613292,4734200,4934283,5102685,5394092,35276786
161,"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113175,113175,113175,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,158487,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,402264,28982771
162,"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,77000,77000,77000,77000,77000,77000,146612,146612,146612,146612,146612,146612,146612,343526,343526,343526,343526,343526,343526,343526,571145,571145,571145,571145,571145,571145,571145,783438,783438,783438,783438,783438,783438,783438,1014039,1014039,1014039,1014039,1014039,1014039,1014039,1336428,1336428,1336428,1336428,1336428,1336428,1336428,1619839,1619839,1619839,1619839,1619839,1619839,17018408
163,"New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,100,100,100,1000,1000,1000,1000,1500,1500,1500,9431,9431,9431,9431,9431,9431,9431,18000,18000,18000,4692700
168,"Norway",2177,2177,2180,2186,5571,14634,21186,22801,22936,23043,23394,27648,37423,45893,50363,51108,51459,53026,58381,69118,77714,81034,81393,81460,82038,86454,105367,122802,128711,129024,129170,129667,139157,172564,207132,222580,224120,224735,225776,234551,266132,295595,307223,308418,308530,310082,318193,350066,379551,395044,395690,395844,398552,409454,442368,478371,496524,497158,497853,503768,517964,553222,587477,605573,606337,606428,611236,627316,664408,690657,690657,5232929
169,"Oman",0,7231,8826,10728,12751,14005,14911,14980,15023,15907,18287,20649,22749,24204,24204,24773,25446,26758,28049,29548,29548,29548,30675,32765,34606,36206,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,39146,41192,43233,45065,46829,47198,48819,50100,56847,58255,59878,61971,62487,64538,66103,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,67660,94518,98168,98168,98168,4424762
170,"Pakistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27228,27228,27228,27228,27228,27228,27228,52768,52768,52768,52768,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,72882,193203476
171,"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,2728,5081,5594,6420,6597,7497,8546,8723,8772,8772,8772,10549,12013,12362,12428,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12441,12772,13372,36114,45535,47848,56210,60088,70578,89419,106667,114529,117658,122305,128132,132610,150411,166931,194715,208415,211751,214492,224765,233365,245177,4034119
173,"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1775,1775,1925,2861,4356,7156,6725308
174,"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322117,337139,362858,390865,403546,405041,422513,436041,445409,449634,449634,31773839
175,"Philippines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2793,2793,2793,2793,2793,29266,44000,44000,114500,114500,114500,103320222
176,"Poland",0,50391,50833,92220,140226,160359,188956,198787,200022,203053,257834,309620,369212,410480,436963,457303,469466,495164,541229,591785,644999,684277,701164,707474,776987,905457,1008253,1097036,1141081,1156931,1176904,1231716,1342435,1461578,1566604,1617764,1641158,1656708,1656708,1773715,1773715,1993739,2071009,2107089,2122245,2159146,2230117,2384794,2556999,2660776,2697815,2715159,2759436,2759436,2990683,2990683,3269812,3269812,3336354,3383426,3383426,3619316,3791577,3791577,3951104,3951104,4004734,4086863,4086863,4391256,4391256,37948016
177,"Portugal",32749,32750,32750,33670,46433,61454,71751,74254,74352,74392,75280,86162,99961,111111,118597,120132,121300,124704,148434,177367,210471,236730,251524,255699,255699,263499,278413,296004,315737,330233,336771,338566,342119,350945,364211,379378,394088,395904,396371,400190,415283,436220,468319,505371,523349,529021,539786,556331,578702,618636,656411,675453,680257,694297,720717,752317,797005,837887,861922,868951,885109,900831,929133,972183,1012032,1029189,1033100,1044091,1055085,1078763,1113885,10324611
178,"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,327000,327000,327000,327000,327000,327000,2569804
179,"Romania",11656,13242,13596,25508,41609,58554,76400,92706,102301,108294,125190,140447,154268,154268,183669,196090,204185,235239,270046,308384,348096,385936,418885,446285,484631,528378,570704,609396,647000,672396,691415,721184,748732,772202,794795,821552,840812,856322,891348,930155,970967,1009421,1048797,1084096,1113975,1151112,1197089,1240408,1280228,1318355,1351279,1379223,1409087,1438432,1466649,1486907,1506032,1521736,1532872,1565021,1603179,1641874,1685611,1732964,1781602,1826786,1870244,1918443,1969846,2019757,2019757,19705301
180,"Russia",0,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,3900000,5238966,5249831,5489342,6010744,6301854,6583873,6655487,6669466,6694349,7048129,7273933,7448262,144342396
181,"Rwanda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75056,158898,158898,158898,158898,230000,240000,240000,11917508
182,"Saint Lucia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,2094,2094,2094,2094,2094,2094,2094,2094,178015
184,"San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,275,580,883,1383,1880,2339,2339,2700,3065,3668,4284,4284,33203
185,"Saudi Arabia",0,0,0,0,0,100000,137862,137862,137862,137862,178337,178337,178337,178337,178337,178337,295530,295530,295530,295530,295530,295530,295530,295530,295530,295530,295530,295530,391643,391643,391643,440618,440618,440618,440618,440618,440618,443153,443153,443153,443153,444465,444465,444465,446940,446940,462812,462812,501710,501710,501710,501710,501710,501710,600798,639587,639587,639587,780667,780667,885411,1003287,1194019,1264878,1264878,1332740,1484935,1640975,1685881,1823819,1992169,32275687
186,"Senegal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4087,11749,21641,25653,27018,35299,39938,45638,52363,62060,64117,65037,66768,68017,68205,68205,68205,15411614
187,"Serbia",0,0,0,0,0,0,0,7000,7000,9300,9300,9300,9300,18136,18136,18136,18136,18136,18136,44611,84832,119711,163355,217800,256521,319504,361830,401556,430759,437380,437380,437380,495964,513652,526930,538373,538373,544209,544209,544209,640299,640299,836287,836287,987000,987000,987000,987000,987000,987000,987000,987000,987000,1300330,1343718,1375872,1393086,1433055,1436682,1470606,1501917,1535274,1576983,1618754,1650030,1651293,1704790,1750533,1792912,1827340,1897335,7057412
188,"Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,4000,7000,7000,7000,10976,13163,13163,16890,18353,18353,19889,22712,25587,28779,30861,30861,30861,35079,36284,37092,37092,37092,39175,39175,41694,44423,48061,51819,51819,55980,55980,58249,59991,61351,63286,65060,65060,65576,65576,70568,70568,75096,75096,79438,79438,80131,80131,80863,81715,81715,81715,81715,84468,84468,87333,88106,88106,94677
189,"Singapore",0,0,0,0,0,0,0,0,0,0,3400,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,60000,60000,60000,60000,60000,113050,113050,113050,113050,155050,155050,181000,181000,181000,181000,181000,181000,181000,181000,256000,256000,256000,256000,256000,256000,256000,256000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,360000,525039,525039,525039,565000,565000,565000,596000,611314,611314,611314,611314,611314,5607283
190,"Slovakia",0,0,0,0,425,6618,13661,20702,22311,25356,29411,39977,46727,54183,62037,63399,63453,72421,80372,88254,95573,102343,102619,102619,111580,118808,125871,135743,147542,148934,149215,160975,173232,184937,199358,214403,217187,217367,228648,243507,256568,270358,284446,288899,299707,313086,324419,336035,347148,360320,367114,373430,385794,398542,411626,422707,435691,443899,449465,464602,479874,493207,506259,519050,536403,545440,559157,569045,579640,596924,597182,5428704
191,"Slovenia",11052,11456,12011,13102,15527,20731,26062,29256,29504,29505,29989,31778,36461,43121,47883,48207,48211,48438,50612,55171,59822,61998,62711,62860,62867,64659,69594,75567,80102,80206,80208,80264,81375,86173,93563,99203,99805,99805,100205,100324,103524,112015,120619,121518,121551,121638,122759,128304,137352,144092,146625,146626,147102,148587,155548,166310,174059,174985,174986,176122,178284,185554,196592,206617,208547,208548,210348,214492,223979,237258,237258,2064845
193,"South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,6524,10414,15388,23059,32315,41809,52647,63648,67303,70527,73047,76037,83570,92029,100180,101573,101573,101841,107054,128887,138014,145215,55908865
194,"Spain",0,0,0,82834,139339,139339,207323,277976,277976,277976,406091,488122,581638,676186,768950,768950,768950,897942,966097,1025937,1103301,1165825,1165825,1237593,1291216,1356461,1395618,1474189,1474189,1474189,1609261,1673054,1764778,1865342,1988160,1988160,1988160,2105033,2167241,2233249,2320507,2423045,2423045,2423045,2561608,2624512,2690457,2782751,2936011,2936011,2936011,3090351,3165191,3284678,3436158,3605635,3605635,3605635,3829465,3908734,4059320,4229092,4471577,4471577,4471577,4712191,4848648,4989505,5172106,5352767,5352767,46443959
195,"Sri Lanka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5286,37825,59154,95550,118767,139914,146327,156310,160148,161773,167762,174193,176725,178087,179197,186654,189349,192938,196163,210405,233472,263779,302857,338769,354352,366907,393469,393469,406633,441976,466350,509275,553821,599991,650991,699521,724278,729562,737062,743775,752098,759548,760765,21203000
198,"Sweden",0,0,14414,14414,14414,14414,14414,14414,14414,48394,48394,48394,48394,48394,48394,48394,121969,121969,121969,121969,121969,121969,121969,233869,233869,233869,233869,233869,233869,233869,321391,321391,321391,321391,321391,321391,321391,417993,417993,417993,417993,417993,417993,417993,530887,530887,530887,530887,530887,530887,530887,681456,681456,681456,681456,681456,681456,681456,827139,827139,827139,827139,827139,890291,890291,890291,890291,986389,1010832,1049986,1093915,9903122
199,"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197225,204749,213030,259211,268328,276340,277616,314239,321389,329358,369426,377995,385868,387049,413075,422285,432091,481802,492530,504246,506709,541886,553183,565856,611535,625298,636838,639471,673171,682368,693767,747888,758476,768029,769665,805725,816594,827871,882579,895038,904983,906578,948826,958623,969730,1035004,1035004,1035004,8372098
201,"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,7262,7262,7262,7262,7262,7262,7262,7262,33621,33621,33621,68863514
203,"Trinidad and Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,1364962
205,"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,279452,616652,676903,706451,832412,950635,1052493,1120258,1202212,1226883,1244653,1302753,1410273,1522580,1697575,1928351,1960860,1986237,2136299,2229233,2343280,2500806,2559802,2601717,2610496,2664203,2732709,2795116,2846125,3404354,3709896,3825101,4182027,4630784,5223602,5895295,6361699,6533510,6571830,6837302,7289498,7619695,7979726,8298805,8514775,8547875,8774718,9073640,9317546,9560038,9756289,9883607,9917348,10001980,10222994,10360283,10502494,10742277,79512426
207,"Ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1338,3051,3141,3141,4905,6888,9568,12481,15758,17037,17947,19118,23480,29378,38237,47541,45004645
208,"United Arab Emirates",0,0,0,0,826301,826301,887697,941556,1020349,1086568,1167251,1275652,1394580,1527833,1665987,1797926,1882778,1971521,2065367,2161150,2246069,2339073,2426793,2487784,2571086,2677675,2764445,2868645,3006601,3114162,3334162,3440777,3564517,3691591,3849374,4008160,4201347,4313868,4413649,4527144,4684658,4792208,4901795,5005264,5055231,5086835,5198725,5284406,5373730,5466831,5553391,5554342,5557793,5668264,5761463,5846036,5933299,6015089,6020461,6028417,6094956,6168330,6204004,6235316,6265860,6273009,6287751,6325211,6367861,6407350,6462887,9269612
209,"United Kingdom",0,0,1402432,1402432,1402432,1402432,1402432,1402432,1402432,2677971,2843815,3067541,3356229,3678180,4023705,4322456,4514802,4723443,5070365,5437284,5849899,6329968,6822981,7044048,7325773,7638543,7953250,8369438,8859372,9468382,9790576,10143511,10520433,10992444,11477040,11975267,12526737,12806587,13162878,13577851,14033555,14542318,15091696,15599904,15839781,16122272,16499549,16996806,17465127,17852327,18197269,18348165,18558969,18911978,19392553,19913592,20450858,20885683,21091267,21322717,21599027,21946433,22392883,22887118,23335514,23519898,23773959,24064182,24405231,24759603,24759603,65637239
210,"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,371,18423,33140,54480,63452,72652,72652,72652,100803,122629,147798,170305,193427,3444006
211,"US",0,4225756,4225756,4563260,4836469,5306797,5919418,6688231,6688231,6688231,8987322,9327138,10278462,11148991,12279180,12279180,12279180,12279180,15707588,16525281,17546374,19107959,20537990,21848655,22734243,23540994,24652634,26193682,27884661,29577902,31123299,32222402,32780860,33878254,35203710,36819212,39037964,41210937,42417617,43206190,44769970,46390270,48410558,50641884,52884356,52884356,55220364,56281827,57737767,59585043,61289500,63090634,64177474,65032083,66464947,68274117,70454064,72806180,75236003,76899987,78631601,80540474,82572848,85008094,87912323,90351750,92089852,93692598,95721290,98203893,101128005,323127513
213,"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,157,157,157,157,157,157,157,157,12194,12194,12194,12194,12194,12194,12194,12194,12194,31568179
216,"Zimbabwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,4041,7872,11007,12579,15705,18843,21456,25077,27970,30658,31325,32014,32240,35518,35761,35901,36019,36283,16150362
217,"Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,7202,73543
218,"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,146,146,146,146,146,146,146,146,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,107317
222,"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,673,817,996,996,996,996,1466,2489,4933,7444,366954
230,"Burma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3800,3800,3800,3800,3800,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,103142,52885223
