id,Country,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,population
0,Andorra|||,0,0,0,0,0,0,0,0,0,0,0,1264,1265,1265,1265,4484,4484,4681,4681,4699,4702,4704,4704,8303,10938,16416,24598,26613,26613,27010,33904,35573,35573,40616,40616,43008,43008,43008,43008,47720,47720,77142
1,United Arab Emirates|||,0,0,250000,250000,250000,250000,250000,250000,250000,2187849,2187849,2187849,2187849,2187849,2187849,2187849,2187849,3836521,3836521,3836521,3836521,3836521,3836521,3836521,3836521,3836521,3836521,3836521,6507761,6735166,6765065,6972665,7130830,7209971,7328967,7417604,7645247,7823492,8021261,8169539,8308081,9770529
2,Afghanistan|||,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55624,77560,119926,148505,158343,177266,186260,187654,219159,219159,219159,219159,219159,219159,430744,430744,430744,430744,430744,430744,430744,38041754
24,Antigua and Barbuda|||,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7050,15133,21494,23844,27041,27041,28004,28429,28808,30430,30704,31298,32026,32816,33391,34008,35709,36816,40672,42989,97118
25,Anguilla|||,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,783,783,783,4424,5439,5513,5818,6015,6525,7160,7630,8445,8603,8765,8965,8965,8965,8965,8978,8988,9067,9086,9156,16086
26,Albania|||,0,0,0,0,0,0,1,438,611,655,655,655,655,655,655,655,655,655,655,655,204759,243776,287042,306102,332173,365028,385868,416791,434926,466905,498724,530322,553482,570233,589253,625809,655594,704626,731577,760960,805420,2862427
27,Armenia|||,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11784,16196,16196,30658,36520,43855,51605,62373,75663,85454,98586,108035,120443,129325,143840,143840,2957731
29,Angola|||,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40195,126551,196930,230181,447704,513793,523580,544991,561688,599828,634164,634164,710113,722610,728311,731010,920570,958453,983587,1006732,1006732,31825295
31,Argentina|||,0,7,19,29,35347,101790,198266,242842,268410,305057,356451,471242,631044,685351,703382,750287,831484,901713,1018597,1471468,2142305,2508664,2893197,3162564,3449006,3818246,4108105,4545529,5151265,5521840,6117419,7341825,8886506,10730367,12465936,14516202,16688813,18541423,20197180,21480595,22813904,44938712
32,Argentina|Salta||,0,0,0,0,1968,4307,6652,7330,7491,9113,9457,14230,17847,18900,19257,20536,23163,26125,28088,39072,55596,62730,73965,93810,104385,111840,117246,125497,135826,148189,159752,177798,207413,258378,303628,354986,406405,455385,483136,514338,539503,1406584
33,Argentina|Salta|La Viña|,0,0,0,0,3,34,62,64,65,69,70,122,130,134,135,138,143,148,154,256,524,559,789,927,968,1000,1136,1311,1441,1491,1526,1809,2154,2642,3072,3682,4076,4350,4658,4918,5005,7152
34,Argentina|Salta|Orán|,0,0,0,0,188,329,531,599,638,654,666,814,1194,1212,1229,1241,1244,1452,1882,3156,3980,4711,5934,7477,8864,9196,9561,10492,10855,11710,12366,14042,16212,20170,22478,26420,29736,34347,36726,39108,40574,124000
35,Argentina|Buenos Aires Province||,0,1,3,5,4206,27711,74797,95412,111067,121768,144424,201246,260819,281789,284084,290877,295027,297863,306825,426926,764398,930497,1064342,1097826,1179289,1313569,1400588,1572327,1961818,1998062,2225897,2636251,3215467,3760018,4617314,5255065,6076595,6747191,7513865,8164017,8845176,17370144
36,Argentina|Buenos Aires Province|Bahía Blanca|,0,0,0,0,93,331,1088,1327,1601,1632,2202,2890,3917,4298,4305,4522,4534,4556,4794,8299,14561,18064,20202,20767,21948,25006,25503,26366,38342,38637,42501,55345,69764,83273,95286,110134,124742,135763,146549,157315,169812,301572
37,Argentina|Buenos Aires Province|Baradero|,0,0,0,0,24,114,386,400,426,432,434,767,969,980,980,982,984,985,997,1680,2931,3303,3723,3725,4525,4539,4727,5010,5541,5602,5887,7287,9631,10744,13015,14470,16801,19403,21005,22277,22821,32761
38,Argentina|Buenos Aires Province|Daireaux|,0,0,0,0,3,116,318,394,436,443,444,771,957,958,958,958,958,963,968,972,1493,1540,1886,2051,2507,2611,2699,2709,3262,3303,3433,3648,4811,5016,7005,7348,8253,8700,9949,10574,10827,16889
39,Argentina|Buenos Aires Province|General Madariaga|,0,0,0,0,1,65,165,247,321,428,437,741,950,950,950,951,951,951,953,1493,1792,2050,2334,2511,3028,3250,3272,3543,3933,3951,4120,4580,5274,5658,6867,7733,9219,10989,12049,12808,13634,19747
40,Argentina|Buenos Aires Province|General Pueyrredón|,0,0,0,0,79,480,1697,2268,2556,2609,3499,4650,6296,7207,7218,7720,7736,7890,8124,14496,24456,34864,38984,40394,42071,48190,52987,59781,78149,80240,90144,103307,114521,134134,156549,179182,205114,229502,250504,273183,295703,618989
41,Argentina|Buenos Aires Province|La Matanza|,0,0,1,1,303,1661,4076,5020,5462,6075,7832,9986,12527,13445,13684,14028,14626,14988,16155,21362,41024,62451,75441,77457,82666,88359,100120,120516,140795,146194,167654,194342,231233,269475,327856,369096,424157,477115,528519,578411,648834,1775816
42,Argentina|Buenos Aires Province|Morón|,0,0,0,0,81,359,1032,1452,1636,1902,2876,3729,4969,5494,5579,5783,5990,6088,6387,10361,18756,21972,24581,25009,26222,32183,35195,39647,49886,50649,55208,64946,77468,92506,111697,127689,143623,152591,166799,183216,204723,321109
43,Argentina|Buenos Aires Province|Saladillo|,0,0,0,0,20,168,373,411,453,461,469,674,1003,1015,1015,1017,1043,1043,1048,1658,2896,3487,3789,3835,4607,4707,4724,5676,6901,6965,7296,7451,8998,9834,11958,12881,14841,16320,18783,20318,21357,32103
44,Argentina|Buenos Aires Province|San Isidro|,0,0,1,1,48,208,742,995,1167,1285,1688,2123,2797,3012,3070,3147,3230,3286,3632,5815,12574,15214,17441,17770,18831,21850,23870,28412,37468,38055,43180,53438,63285,77588,93134,107216,123226,137129,150591,163874,179499,292878
45,Argentina|Buenos Aires Province|San Pedro|,0,0,0,0,3,144,545,656,746,778,785,1154,1311,1325,1327,1332,1336,1338,1347,2012,3320,3924,4343,4423,4957,5305,5669,6084,7419,7489,7963,9896,11485,13949,15955,18668,21193,23544,25860,28302,30962,59036
46,Argentina|Buenos Aires Province|Tres de Febrero|,0,0,0,0,80,432,1274,1541,1738,1919,2595,3318,4340,4605,4681,4783,4909,4951,5296,7562,14312,16812,18396,18764,20249,21507,24269,31379,41543,42361,48703,56204,70320,82653,104285,121833,143299,156238,175994,194387,213905,343710
47,Argentina|Buenos Aires Province|Vicente López|,0,0,0,0,60,328,979,1253,1464,1663,2177,2744,3560,3967,4024,4132,4294,4397,4930,8762,16063,18671,20071,20520,21389,22697,26042,30942,40203,40955,46706,53466,58858,72865,87549,100656,114896,122387,136635,148338,160060,269420
48,Argentina|Buenos Aires Province|Villa Gesell|,0,0,0,0,0,85,204,365,436,448,455,662,943,945,945,947,947,949,953,1581,2308,2538,2843,2885,3204,3464,3491,3892,4598,4673,5060,5132,5266,6966,8363,9617,11327,12444,14101,15321,16527,31730
49,Argentina|Buenos Aires Province|Zárate|,0,0,0,0,36,243,782,947,1254,1315,1356,1683,1941,2003,2005,2011,2023,2041,2105,2840,4402,5979,7592,7715,8229,9269,9477,10318,13354,13599,15365,20634,26386,29339,35032,39824,47992,55928,63864,71208,78858,114269
50,Argentina|City of Buenos Aires||,0,0,0,1,1268,6048,14083,17324,18860,25486,31666,41922,57623,64818,67343,71602,85272,90944,125936,187853,211503,223673,273788,289751,318582,346783,389449,429314,456005,531321,616964,723811,865287,1071581,1182806,1368791,1556248,1685997,1832838,1909568,1992668,3063728
51,Argentina|City of Buenos Aires|Recoleta|,0,0,0,0,26,147,354,434,473,625,758,998,1379,1495,1554,1645,1921,2027,2712,4228,4841,5085,6507,7003,7852,8893,9928,11022,11700,13319,15076,17417,21426,26071,28468,32699,36434,39365,42575,44491,46592,157932
52,Argentina|City of Buenos Aires|Caballito|,0,0,0,0,35,192,432,516,557,710,878,1141,1560,1717,1782,1881,2126,2241,3212,5412,6213,6611,8260,8725,9556,10526,11999,13182,14005,16752,19815,23815,28740,34827,38063,43584,48974,53179,57546,59714,62364,176076
53,Argentina|City of Buenos Aires|Palermo|,0,0,0,1,42,226,512,626,690,925,1159,1509,2075,2317,2390,2543,2925,3119,4278,6067,6953,7316,9323,9863,10968,12033,13417,14752,15677,18551,21248,25133,30681,37176,40768,47289,53285,58234,63656,66436,69842,225970
54,Argentina|San Luis||,0,0,0,0,1538,1952,2707,2790,2844,3365,4450,5100,8823,9287,9298,13129,13772,13810,19825,29705,40069,40834,46859,48505,54171,57348,65158,68977,70508,77415,95436,115561,140677,156405,171346,207091,232250,259868,273871,282552,294168,502000
55,Argentina|Entre Ríos||,0,0,0,0,405,2470,5422,8105,9247,10001,11454,12472,17622,19622,20156,21361,23423,24341,29240,47204,68832,81604,94929,110156,118951,131887,137405,143042,158373,168866,186105,210711,249280,299794,343221,397374,458041,527454,584845,620941,641558,1373270
56,Argentina|La Rioja||,0,0,0,0,1063,2162,2590,2682,2713,3289,4127,4754,7071,7173,7553,7601,7683,9538,11757,18098,25995,27571,31432,34808,40542,43037,45513,49266,51887,55180,58975,68204,81646,99727,112814,135082,158230,177051,188610,195843,205448,388386
57,Argentina|Santiago del Estero||,0,0,0,0,960,2731,4738,5407,5551,5832,6059,6479,9177,10875,11897,12612,13567,14055,14253,14688,24915,58214,63516,72467,79543,85466,88997,91126,97303,116885,119468,140270,183390,240431,272013,340253,390453,428134,457591,503074,539972,968309
58,Argentina|Santiago del Estero|Banda|,0,0,0,0,160,485,936,1085,1102,1128,1134,1205,1864,2005,2055,2129,2316,2406,2437,2485,4692,6364,6460,7960,8037,12368,12699,12802,13448,18693,19585,25431,34542,43351,50119,63652,69923,72190,75678,81245,89205,142279
59,Argentina|Chaco||,0,0,3,3,1337,3470,5914,7308,7456,7730,8388,11126,15809,16676,16843,17412,21646,28435,34850,51742,65432,74505,86104,96896,101378,109474,113047,119546,125670,138750,154123,173677,200679,246473,283819,323818,366871,397835,423887,448806,466174,1192616
60,Argentina|San Juan||,0,0,0,0,671,1359,2112,2604,3397,4449,5274,5912,7410,8989,10407,11651,12217,12800,15002,23893,32374,36625,41365,55377,59798,71529,77835,80632,86775,91628,99269,118919,141440,183085,217086,266531,310832,340556,361174,377051,389335,772876
61,Argentina|Catamarca||,0,0,0,0,547,1994,2385,2416,2437,3125,3847,4736,5749,6125,6245,7213,7382,7451,10012,14779,18632,25149,30523,31382,32698,36340,38149,42804,47965,51740,53974,55708,58153,73285,86664,103658,124402,141768,163092,181109,206087,411824
