id,Country,2022-05-21,2022-05-28,2022-06-04,2022-06-11,2022-06-18,2022-06-25,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27
43,North Dakota,243263,244046,244944,245998,247260,248786,250635,252853,255459,258445,261765,265324,268982,272575,275961
44,Wyoming,157516,157938,158457,159115,159972,161111,162647,164723,167498,171107,175583,180773,186309,191704,196528
45,Alaska,258564,260461,262484,264685,267119,269849,272936,276446,280438,284962,290042,295666,301768,308227,314873
46,Maine,257749,257749,257749,257749,257749,257749,257749,257749,257749,257749,257749,257749,257749,257749,257749
47,Alabama,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291,1307291
48,Idaho,448754,448754,448754,448754,448754,448754,448754,448754,448754,448754,448754,448754,448754,448754,448754
49,Montana,275210,275549,275897,276271,276693,277189,277793,278554,279536,280824,282525,284754,287606,291103,295154
50,Puerto Rico,630375,663943,697208,728969,758299,784671,807943,828265,845953,861401,875006,887135,898109,908199,917620
51,Virgin Islands,18776,19584,20440,21335,22256,23189,24118,25025,25897,26717,27477,28168,28786,29333,29812
52,Guam,48720,48909,49099,49293,49494,49702,49920,50150,50394,50655,50935,51239,51568,51928,52323
53,West Virginia,509584,513725,518726,524411,530421,536300,541633,546167,549835,552707,554916,556609,557912,558929,559765
54,Northern Mariana Islands,11319,11329,11338,11344,11348,11348,11348,11348,11348,11348,11348,11348,11348,11348,11348
55,American Samoa,6085,6140,6174,6196,6210,6220,6227,6233,6235,6235,6235,6235,6235,6235,6235
