forecast_date,target,target_end_date,location,type,quantile,value
2021-02-21,1 wk ahead cum death,2021-02-27,53,point,NA,4940.0
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.01,4932.5784365
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.025,4932.5838232
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.05,4933.1471663
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.1,4933.5903308
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.15,4933.6354924
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.2,4935.4392055
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.25,4936.9903758
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.3,4937.090606600002
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.35,4937.2965614
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.4,4938.608272899999
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.45,4939.6611464
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.5,4940.0
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.55,4940.1593133000015
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.6,4941.233536100001
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.65,4942.4682599
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.7,4942.727447300002
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.75,4942.997338600001
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.8,4951.2167297
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.85,4959.7186975
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.9,4960.345783899998
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.95,4960.9992877
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.975,4961.6182507
2021-02-21,1 wk ahead cum death,2021-02-27,53,quantile,0.99,4961.6423975
2021-02-21,1 wk ahead cum death,2021-02-27,17,point,NA,22691.0
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.01,22660.4632848
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.025,22660.5261
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.05,22660.6484444
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.1,22661.0645345
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.15,22661.2419203
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.2,22665.7066035
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.25,22669.7858247
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.3,22670.2205464
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.35,22670.4058752
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.4,22680.6599291
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.45,22690.5229941
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.5,22691.0
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.55,22691.203355200007
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.6,22704.9149497
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.65,22718.202689200003
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.7,22718.7361356
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.75,22718.963552200006
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.8,22725.658672
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.85,22731.8616508
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.9,22732.4229485
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.95,22732.6622387
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.975,22733.4572338
2021-02-21,1 wk ahead cum death,2021-02-27,17,quantile,0.99,22733.4757895
2021-02-21,1 wk ahead cum death,2021-02-27,06,point,NA,51340.0
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.01,51223.676568
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.025,51223.826784
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.05,51224.528801
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.1,51227.292774
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.15,51230.301574
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.2,51243.249225
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.25,51255.97706000001
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.3,51258.005671
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.35,51261.118638
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.4,51299.86261600001
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.45,51336.884871
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.5,51340.0
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.55,51343.391061
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.6,51448.69653
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.65,51552.258046
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.7,51556.046299
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.75,51560.170107
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.8,51705.64019100001
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.85,51849.025788
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.9,51853.741554
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.95,51858.875033
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.975,51863.268148
2021-02-21,1 wk ahead cum death,2021-02-27,06,quantile,0.99,51863.378703
2021-02-21,1 wk ahead cum death,2021-02-27,04,point,NA,15929.0
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.01,15918.155955200002
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.025,15918.2283038
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.05,15919.0901312
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.1,15919.235667200002
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.15,15919.892535100002
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.2,15921.8337452
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.25,15923.6350939
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.3,15923.9507407
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.35,15924.4858318
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.4,15926.5550349
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.45,15928.5857763
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.5,15929.0
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.55,15929.2554528
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.6,15929.8426436
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.65,15930.3834411
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.7,15930.9953248
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.75,15931.3402646
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.8,15933.2003994
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.85,15935.7881866
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.9,15936.026588
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.95,15936.3309832
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.975,15937.1862152
2021-02-21,1 wk ahead cum death,2021-02-27,04,quantile,0.99,15937.4162301
2021-02-21,1 wk ahead cum death,2021-02-27,25,point,NA,16121.0
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.01,16084.705435299997
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.025,16084.7228896
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.05,16084.803375799998
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.1,16085.5486357
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.15,16085.9499534
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.2,16098.505419100002
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.25,16110.3304704
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.3,16111.198539399997
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.35,16111.6659891
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.4,16116.3077157
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.45,16120.0850026
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.5,16121.0
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.55,16121.492720299995
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.6,16143.2886532
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.65,16164.1965482
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.7,16165.3237632
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.75,16165.9307614
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.8,16181.195719100002
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.85,16195.350817200002
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.9,16196.6279134
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.95,16197.3156216
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.975,16198.602224200002
2021-02-21,1 wk ahead cum death,2021-02-27,25,quantile,0.99,16198.725338
2021-02-21,1 wk ahead cum death,2021-02-27,55,point,NA,6959.0
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.01,6956.47499195
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.025,6956.48840515
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.05,6956.66995033
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.1,6956.74761452
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.15,6956.92878862
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.2,6957.59053297
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.25,6958.28982566
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.3,6958.36947635
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.35,6958.43054575
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.4,6958.68072165
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.45,6958.89359069
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.5,6959.0
2021-02-21,1 wk ahead cum death,2021-02-27,55,quantile,0.55,6959.03995961
