place,week_ahead,quantile,value
Arizona,1,0.75,27445.7716480863
Arizona,1,0.9,47154.0304872773
Arizona,1,0.975,47852.9598987878
Arizona,2,point,17302
Arizona,2,0.025,14765.0381069767
Arizona,2,0.1,14911.5538531449
Arizona,2,0.25,15981.9455716768
Arizona,2,0.5,17302
Arizona,2,0.75,22743.2198901489
Arizona,2,0.9,46079.9089253658
Arizona,2,0.975,47038.5121690673
Arizona,3,point,13064
Arizona,3,0.025,10483.7462948507
Arizona,3,0.1,10636.1237489348
Arizona,3,0.25,11746.5915800047
Arizona,3,0.5,13064
Arizona,3,0.75,18891.4594353903
Arizona,3,0.9,45493.8003593037
Arizona,3,0.975,46749.9594972378
Arizona,4,point,10008
Arizona,4,0.025,7273.89358281085
Arizona,4,0.1,7441.27290331256
Arizona,4,0.25,8673.21664658102
Arizona,4,0.5,10008
Arizona,4,0.75,16679.7856800346
Arizona,4,0.9,49823.8206639693
Arizona,4,0.975,51689.0227862614
Arizona,5,point,7582
Arizona,5,0.025,4934.28023640463
Arizona,5,0.1,5100.74078374584
Arizona,5,0.25,6303.34948872648
Arizona,5,0.5,7582
Arizona,5,0.75,14627.4508706189
Arizona,5,0.9,54255.6282489773
Arizona,5,0.975,56895.1162193385
Arizona,6,point,5763
Arizona,6,0.025,3185.87270098158
Arizona,6,0.1,3350.22312872497
Arizona,6,0.25,4545.72114362381
Arizona,6,0.5,5763
Arizona,6,0.75,12961.6258754609
Arizona,6,0.9,56197.9900199169
Arizona,6,0.975,59230.8050651108
Arizona,7,point,4380
Arizona,7,0.025,1923.86380599023
Arizona,7,0.1,2081.93569932696
Arizona,7,0.25,3230.22318586197
Arizona,7,0.5,4380
Arizona,7,0.75,11601.9796285023
Arizona,7,0.9,57843.1386133455
Arizona,7,0.975,61307.6837601791
Massachusetts,1,point,19305
Massachusetts,1,0.025,17389.8327342027
Massachusetts,1,0.1,17496.8400293872
Massachusetts,1,0.25,17588.2441571549
Massachusetts,1,0.5,19305
Massachusetts,1,0.75,21032.8815414777
Massachusetts,1,0.9,26901.2286345678
Massachusetts,1,0.975,27359.973027999
Massachusetts,2,point,17045
Massachusetts,2,0.025,14954.4370408645
Massachusetts,2,0.1,15072.359504935
Massachusetts,2,0.25,15171.2040196788
Massachusetts,2,0.5,17045
Massachusetts,2,0.75,19001.6137787465
Massachusetts,2,0.9,26041.4789572736
Massachusetts,2,0.975,26651.0131672229
Massachusetts,3,point,14940
Massachusetts,3,0.025,12746.3295674791
Massachusetts,3,0.1,12870.1535859448
Massachusetts,3,0.25,12974.4524447066
Massachusetts,3,0.5,14940
Massachusetts,3,0.75,17066.0974671599
Massachusetts,3,0.9,25154.2718517387
Massachusetts,3,0.975,25926.8158005579
Massachusetts,4,point,13014
Massachusetts,4,0.025,10575.8334683161
Massachusetts,4,0.1,10714.3103922721
Massachusetts,4,0.25,10831.1264607069
Massachusetts,4,0.5,13014
Massachusetts,4,0.75,15498.3641635433
Massachusetts,4,0.9,25677.4966997541
Massachusetts,4,0.975,26772.0392288358
Massachusetts,5,point,11277
Massachusetts,5,0.025,8785.81834877657
Massachusetts,5,0.1,8926.4884574252
Massachusetts,5,0.25,9048.33724861225
Massachusetts,5,0.5,11277
Massachusetts,5,0.75,13959.7064670597
Massachusetts,5,0.9,25869.2610143325
Massachusetts,5,0.975,27316.8895443392
Massachusetts,6,point,9727
Massachusetts,6,0.025,7226.17348977147
Massachusetts,6,0.1,7366.21156374799
Massachusetts,6,0.25,7490.45873286329
Massachusetts,6,0.5,9727
Massachusetts,6,0.75,12499.3984369634
Massachusetts,6,0.9,25273.9849140407
Massachusetts,6,0.975,26900.4423714679
Massachusetts,7,point,8355
Massachusetts,7,0.025,5892.81466607864
Massachusetts,7,0.1,6029.30944113788
Massachusetts,7,0.25,6154.58377473423
Massachusetts,7,0.5,8355
Massachusetts,7,0.75,11170.5944191003
Massachusetts,7,0.9,24685.2365769239
Massachusetts,7,0.975,26499.878633659
Wisconsin,1,point,8461
Wisconsin,1,0.025,6908.58098328988
Wisconsin,1,0.1,6932.57509079153
Wisconsin,1,0.25,7231.35150825178
Wisconsin,1,0.5,8461
Wisconsin,1,0.75,9240.1959644442
Wisconsin,1,0.9,13195.2100292871
Wisconsin,1,0.975,13310.4814925334
Wisconsin,2,point,7279
Wisconsin,2,0.025,5625.63263777791
Wisconsin,2,0.1,5651.22130899227
Wisconsin,2,0.25,5961.35854488649
Wisconsin,2,0.5,7279
Wisconsin,2,0.75,8144.99357471598
Wisconsin,2,0.9,12847.1475477205
Wisconsin,2,0.975,12998.8833533041
Wisconsin,3,point,6193
Wisconsin,3,0.025,4480.08310493898
Wisconsin,3,0.1,4506.5085320666
Wisconsin,3,0.25,4820.07077672477
Wisconsin,3,0.5,6193
Wisconsin,3,0.75,7127.55280167172
Wisconsin,3,0.9,12554.2217007927
Wisconsin,3,0.975,12747.7653440403
Wisconsin,4,point,5282
Wisconsin,4,0.025,3436.05682320928
Wisconsin,4,0.1,3464.43032730893
Wisconsin,4,0.25,3788.74569593529
