41,91,76,25,12,12,104,56,27,44,32,123,8,54,14,60,28,36,31,19,38,7,84,41,35,33,74,5,12,64,110,22,28,25,47,43,41,88,6,56,12,38,33,17,0,15,48,14,40,10,1,0,0,23,0,0
91,693,330,100,111,187,802,408,188,195,314,748,29,537,133,468,207,153,173,79,358,21,684,379,277,289,498,131,74,461,772,227,278,159,355,334,480,603,65,476,87,322,172,104,50,66,241,281,203,65,16,0,0,267,0,0
76,330,288,91,58,61,447,193,93,156,132,452,19,242,51,230,88,96,109,70,182,52,386,189,133,140,306,34,37,238,424,97,111,96,176,178,222,313,21,247,50,151,134,62,14,38,131,100,115,19,7,0,0,120,0,0
26,98,87,28,15,18,121,62,24,36,43,116,4,71,13,59,27,32,31,16,42,7,95,46,39,34,73,9,8,71,117,24,27,20,56,47,66,90,7,70,16,43,40,20,1,12,36,32,36,10,4,0,0,28,0,0
12,114,59,15,26,15,129,62,30,24,40,141,1,79,21,71,30,22,21,9,49,1,106,59,29,50,72,12,18,80,134,45,44,24,55,56,51,106,9,66,12,49,20,17,3,13,47,20,41,5,0,0,0,47,0,0
11,187,60,18,14,14,202,110,40,36,58,186,5,131,30,110,44,37,36,13,63,0,159,70,48,66,102,13,26,144,197,53,61,31,76,107,72,176,5,97,24,73,27,16,3,36,60,39,77,3,2,0,0,53,0,0
105,798,448,121,127,206,1007,481,227,255,389,892,39,643,152,574,253,167,239,99,417,20,816,446,321,348,615,155,89,551,948,275,313,177,430,410,599,714,84,594,124,398,219,112,52,103,265,343,235,72,21,0,0,333,0,0
56,408,198,63,60,112,477,246,114,116,214,446,15,320,77,300,127,99,108,42,219,11,417,229,165,180,311,78,42,266,477,136,161,93,220,197,303,345,41,286,54,190,101,56,33,38,139,182,118,44,9,0,0,174,0,0
27,182,90,23,30,41,220,110,49,46,84,217,13,145,31,127,51,42,47,20,111,2,187,102,63,74,132,35,16,130,209,65,62,36,101,91,127,176,13,124,23,83,38,29,17,20,60,67,67,21,2,0,0,73,0,0
45,201,155,39,24,35,261,118,50,78,75,238,10,135,27,124,59,57,60,33,95,18,200,90,59,73,164,20,24,143,246,54,62,47,111,101,124,197,16,148,33,99,68,33,5,28,75,52,74,9,7,0,0,56,0,0
33,318,132,40,39,56,395,212,85,71,143,375,12,263,57,214,101,57,75,27,132,8,327,152,101,122,209,35,44,251,367,117,106,66,166,181,195,319,17,204,48,136,61,40,12,27,90,103,126,22,5,0,0,112,0,0
121,757,457,119,138,189,900,453,224,235,372,815,32,578,153,507,245,173,204,96,404,17,765,452,285,349,585,127,99,540,873,281,311,188,408,368,553,679,77,553,96,380,224,130,56,81,297,281,212,87,19,0,0,315,0,0
9,29,18,5,1,4,40,13,13,12,13,32,2,18,7,24,8,8,9,6,21,8,25,12,13,14,26,4,6,21,37,13,12,10,15,14,23,30,1,32,7,20,9,8,0,5,15,10,9,0,0,0,0,12,0,0
51,536,246,71,77,135,638,320,146,131,265,570,19,417,105,369,167,111,127,48,275,3,533,286,198,233,388,100,62,373,628,191,201,113,280,268,375,474,50,373,74,253,123,69,38,44,182,213,159,51,11,0,0,224,0,0
14,130,52,13,21,30,148,75,31,24,57,148,7,103,20,96,32,33,29,9,75,1,126,68,46,46,93,28,10,90,143,43,48,26,69,62,87,115,8,81,16,56,23,19,11,9,38,52,43,11,1,0,0,49,0,0
56,465,229,58,69,107,572,298,125,119,213,511,24,369,96,308,138,92,116,44,242,4,456,238,164,207,339,86,54,347,556,163,173,100,255,239,316,447,45,330,64,219,113,78,34,59,159,181,162,50,10,0,0,190,0,0
29,208,91,28,30,44,252,127,52,59,104,244,9,166,32,137,47,44,49,22,109,10,215,105,69,84,143,34,19,156,242,68,68,44,105,111,127,198,13,125,22,85,42,28,15,14,69,72,78,14,2,0,0,82,0,0
37,153,98,32,20,37,173,100,43,58,58,176,8,112,33,90,43,48,48,22,70,3,138,67,58,71,121,18,17,104,180,40,51,31,93,71,92,135,22,113,21,69,52,34,12,14,58,51,55,18,3,0,0,65,0,0
33,174,106,32,20,35,239,106,46,58,79,201,8,126,27,114,47,47,36,27,89,16,183,88,63,75,136,20,21,132,217,56,54,39,95,95,105,169,12,123,25,89,57,27,8,28,64,51,65,13,7,0,0,63,0,0
