0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,7,8,8,9,11,12
0,0,0,1,1,1,1,1,2,2,2,3,4,4,3,3,3,4,4,5,5,6,6,6,7
0,2,2,3,4,4,4,7,7,10,16,24,32,38,41,48,50,65,78,89,102,106,112,122,126
0,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,0,5,6,7,7,8,8,10,10
1,0,0,0,3,3,4,7,8,13,16,18,19,23,27,31,32,33,38,43,51,61,64,73,74
0,0,0,0,0,0,0,1,2,2,2,4,6,7,9,14,18,20,27,31,37,46,53,65,77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,1,1,1,2,2,2,3,6,7,17,19,21,27,39,41,50,61,70,77,79,83,88
2,3,4,4,4,5,6,9,10,12,23,29,36,46,62,76,86,93,103,118,129,142,154,166,194
0,0,0,0,0,1,1,2,2,3,6,5,7,7,8,8,8,8,9,11,14,14,16,16,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,5,5,5,6,9,10,10,10,12,14,16,16,18,25,26,28,31,33
0,1,0,0,2,2,2,3,4,4,6,6,8,9,9,10,12,12,13,13,14,16,17,17,18
0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,5,7,7,8,9,11,17,18,18,17
0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,8,8,8,13,13,14,14,14
1,0,0,0,0,0,1,1,1,2,2,4,4,6,6,7,7,7,10,11,14,16,17,17,18
1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,6,6,7,9,13,14,15,17
0,0,0,0,0,1,2,2,2,2,2,1,1,1,2,2,2,2,2,4,7,7,7,7,8
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,3,5,6,6,8,10
0,0,0,0,0,0,0,0,0,1,3,4,4,4,5,10,13,15,22,24,24,30,35,40,43
0,0,0,1,1,1,1,1,3,3,4,3,3,6,8,7,9,17,17,23,28,34,36,40,45
