id,Country,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27
0,"Afghanistan",29094,33089,36764,40131,43207,46007,48550,50853,52933,54810,56498,58015,59377,60596,61688
1,"Albania",1986,2712,3841,5598,8273,12244,17906,25536,35059,45858,56828,66777,74903,80983,85239
2,"Algeria",11731,12538,13359,14190,15031,15883,16745,17617,18498,19389,20289,21198,22115,23040,23973
3,"Andorra",855,855,855,855,855,855,855,855,855,855,855,855,855,855,855
4,"Angola",190,267,373,524,737,1039,1465,2066,2914,4111,5796,8166,11494,16150,22640
5,"Antigua and Barbuda",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
6,"Argentina",43200,58642,79118,106029,140833,184966,239531,304916,380379,463764,551557,639381,722820,798272,863496
7,"Armenia",20271,24111,27835,31261,34261,36777,38810,40406,41628,42547,43229,43730,44095,44359,44550
8,"Australia",7447,7641,7936,8416,9174,10377,12289,15315,20097,27617,39363,57517,85108,125990,184303
9,"Austria",17333,17546,17772,18004,18241,18486,18737,18996,19262,19534,19814,20101,20396,20698,21007
10,"Azerbaijan",12495,15080,17691,20306,22898,25443,27918,30303,32581,34738,36764,38652,40400,42007,43475
11,"Bahamas",104,105,106,107,108,108,109,110,110,111,112,112,113,113,114
12,"Bahrain",21919,25283,28228,30679,32621,34106,35208,36009,36582,36987,37272,37471,37609,37705,37771
13,"Bangladesh",113223,142984,177549,217612,263927,317179,378155,447579,526109,614318,712584,821060,939599,1067689,1204424
14,"Barbados",98,100,101,102,104,105,106,107,107,108,109,109,110,110,111
15,"Belarus",58611,62635,66111,69073,71595,73731,75534,77052,78326,79395,80288,81035,81657,82176,82609
16,"Belgium",60642,61151,61561,61890,62154,62366,62536,62672,62781,62869,62939,62995,63040,63076,63105
17,"Benin",764,1414,2682,5190,10089,19519,37127,68215,117966,186050,261198,326247,371426,398132,412420
18,"Bhutan",68,69,69,69,69,69,69,69,69,69,69,69,69,69,69
19,"Bolivia",24258,31469,40166,50533,62587,76241,91248,107201,123572,139766,155214,169444,182137,193133,202422
20,"Bosnia and Herzegovina",3429,4159,5295,7053,9731,13725,19488,27422,37656,49791,62805,75320,86138,94648,100857
21,"Brazil",1096086,1335585,1583302,1826994,2055433,2260019,2435838,2581629,2698964,2791139,2862179,2916127,2956636,2986796,3009109
22,"Brunei",141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
23,"Bulgaria",3942,4663,5479,6397,7426,8571,9840,11235,12758,14408,16179,18063,20047,22115,24246
24,"Burkina Faso",901,904,905,906,907,907,907,907,907,907,907,907,907,907,907
25,"Cabo Verde",903,1110,1339,1600,1892,2216,2569,2950,3353,3773,4203,4635,5063,5477,5873
26,"Cambodia",130,131,133,134,135,136,137,137,138,138,139,139,140,140,140
27,"Cameroon",11169,13132,15406,17933,20760,23913,27418,31305,35598,40322,45498,51143,57269,63880,70972
28,"Canada",102961,104835,106262,107322,108116,108709,109152,109484,109731,109916,110054,110157,110234,110292,110335
29,"Central African Republic",2811,3601,4522,5585,6804,8188,9742,11469,13360,15404,17577,19851,22188,24549,26891
30,"Chad",859,862,864,865,865,865,865,865,865,865,865,865,865,865,865
31,"Chile",260729,384069,503557,579208,614610,628773,634074,636009,636708,636960,637051,637084,637095,637099,637101
32,"China",84591,85237,86529,89320,95238,107775,134419,190897,310552,563362,1094556,2197881,4435032,8754762,16340089
33,"Colombia",68297,89326,116268,149996,191565,241763,300855,368395,443002,522367,603457,682948,757752,825473,884658
34,"Congo (Brazzaville)",916,1068,1210,1372,1538,1712,1898,2091,2295,2509,2733,2969,3215,3474,3745
