id,Region,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17
0,Washington,0,0,1.50414970205672,1.55847839129027,1.19800938154057,1.21901531887637,1.12995660836799,0.983738955108581,0.771000050242738,0.798303642122067,1.06699861927132,1.08941923804317,0.992270750974075,0.833785844953122,0.994586647574968,1.21257035322097,1.02588453560347,1.20170589209015,1.16101770334048,1.06413661323697,1.13615882644476,1.1105716953735,0.996863046179705,0.998791001077826,0.967087618443971,0.888998327021448,0.932787833469931,0.867439572978553,0.974541023348731,0.923716305588294,1.0145049150279,1.10654468949541,1.1106563119097,1.11495351221198,1.06095081358191,1.05285887233661,1.31180485526457,1.53153814395368,1.14768697557137,1.16337801475536,1.19057752503734,0.967912035370951,1.15127866071433,0.921687489162237,0.973368640263512,0.868526749245816,1.11650659307391,1.08362775602362,0.941282354022478,0.840304809908363,0.926403483279399,0.912033754195552,0.958826187092888,1.03964234075883,0.980453886855413,1.03812285350099,1.11393430479547,1.14063493922417,1.51586277560966,1.15598798843838,1.32799800058239
1,Illinois,0,0,8.49225660379303,1.69045648326104,8.38200021787269,1.32359813148149,1.24415571559731,1.11991686401602,1.03466346446353,1.29405431509349,1.09324410814997,1.02692063705359,0.98945822704528,0.992422995583963,0.901049133481854,0.907852630321525,0.856892022117204,0.735478561680089,0.999381369126813,1.1006042524597,1.2725985046576,1.05555662671771,1.13325586831805,1.071546544946,1.16507125202223,1.03933730423465,1.11602464920725,1.03124873936772,1.03064587292871,1.04427192910113,1.02948506447343,1.07600474894396,1.04200375727607,1.09842015718352,1.14898052484917,1.1505948346293,1.16276743040027,1.19327192952646,1.4182122721368,1.07365321394586,1.0202959657297,1.00528873641502,1.08417818414298,0.925007008194058,0.954267907736456,1.08728907338592,1.2508741851582,1.1024128924112,1.01266862735299,0.892152435183057,1.0226569098472,1.07991472329458,1.04513762175549,1.08397884508684,1.14669200061806,1.11703624251106,1.21224291289776,1.23940333517937,1.25221775538208,1.24183679761027,1.19170806019512
2,California,0.317016754693278,0.937180273060207,1.67868962989309,1.38350609450257,1.32632037988558,1.44836806281163,1.30248101983115,1.01710345208316,0.991745156711847,1.29043681264309,0.944141014281162,1.08061204257569,1.01404179863184,1.09606966889523,1.07001309893816,1.07266785672808,1.11100761807484,1.06581548588113,1.52840377475766,1.20553844852412,1.06518202422702,1.00582486576317,1.00408354873907,0.96634784911228,0.920788997087599,1.08223292993205,0.917783318570682,0.882318858441078,0.926231161274042,0.932313100127836,1.03497098943915,1.03769503730167,1.0344554777029,1.03829847355573,1.02034039393863,1.14992275417597,1.15220915721234,1.1220445183155,1.78742384133344,2.27214369227517,1.07267987150297,1.39772652751383,1.1943361364325,1.18615045435493,1.07567309448385,1.10749199186587,1.13788917390658,1.14082286938766,0.987057971227513,1.02484729246958,1.00156143781928,1.00717221831707,0.530874739263407,1.04247923194688,1.0901212473013,0.926567465621464,1.03427271048336,1.0858241426454,1.09899759004999,1.17463189500087,1.22069286606159
3,Arizona,0,0,0,1.40980811531651,7.62368639411578,1.41012057150619,1.18304008399115,1.07472799374865,1.02813133868757,1.19116072217155,1.08456308158493,1.08697484093572,1.03848563781043,0.98170765744,1.1349687140766,1.2085406454668,1.44096024238546,1.17577036657775,1.44638905996984,1.08035662986032,1.01241004052858,0.973283449765056,0.938260816578904,0.966136384495877,0.886643862262424,0.613619571578996,0.743465201982557,0.948804316787346,1.01077872675033,0.930301158160277,1.2286325273466,1.03497732582882,1.01193614345353,1.13670076031972,1.28349012048822,1.09487226643883,1.45028445675571,1.17493017914958,1.20322277471866,1.20760673202411,1.09674571713943,1.10987475449824,1.17332257542041,1.12739501799396,1.09665030922475,1.11886588760589,1.27328851900141,1.20639643809583,1.10314557900249,0.918967533613601,0.778197354378529,1.03076030409879,1.01547623798953,1.11068489593417,1.10850265786237,1.07115845382381,0.892115094461333,1.11020885493,1.32557560064672,1.53479346866731,1.1854716516364
4,Massachusetts,7.78222510824622e-87,0.115858279903171,1.72027137821066,1.42689252581276,1.41206235155709,1.26127038256825,1.13795999787847,1.10075273501815,1.06629364065209,0.976787117799261,0.930251773102641,0.902315636463581,0.707788471425655,0.909753803858007,0.813731696855161,0.578346459376925,0.686810075060095,0.884994215328019,1.00469746444078,0.93504598132117,1.09921199677618,1.17383409278324,1.04345386972578,1.04604631925161,0.978354547626347,0.992658517806911,0.99347730070849,1.00852411872295,1.00594608472207,1.0062194283265,1.1278967465219,1.17715861697219,1.14696494993845,0.998221302736766,1.10165569686109,1.130498671756,1.60806715223792,1.29339593333569,1.18153719645962,1.10067996132117,1.07009182425898,1.21575829203411,1.50480572839838,1.06902227451522,1.04420295760895,1.10366992600461,1.20136556675862,1.16924985873977,1.0383689432633,0.840983996650462,1.05776663358399,1.07579391391763,1.05215842863547,1.08242452697221,1.07370692710542,1.12866368806562,1.20541148985722,1.34996767652434,1.30708109748987,1.0897717359018,1.08941572107592
5,Wisconsin,0,0,0,1.55463518093424,1.44545240702232,1.29057236736965,1.07781159254834,1.00130722112611,0.971713022673048,1.19548596341807,1.12639877774382,1.25262623308185,1.01409895753797,1.17205356264251,1.08638955330611,0.926035185124066,0.913348883928054,1.02402918195554,1.12977458561637,1.41215707041884,1.09568883760397,1.09826698210212,1.16052387341644,1.00894293107052,1.02142168379816,1.00975018924919,0.978279197532457,1.02991630161688,1.0638190539185,1.38692512405516,1.17702797175642,1.1279526390285,1.11194220557008,1.04758100274959,1.07034087055749,1.07416092574438,1.1646592013942,1.29987579629286,1.27338457694875,1.09120632925659,0.990851459071723,0.966719522317871,1.10511038340852,1.05947993544123,1.00344480390244,1.09147866159222,1.22038079782836,1.10571383260642,1.02273313321852,0.978276803406825,0.998135866436379,0.82074215124286,1.07696209826016,1.09262161616668,1.11999564286013,1.09296395114319,1.18168219450928,1.2796452571929,1.43050674781352,1.27067830635991,1.18541387485416
6,Texas,0,0,1.59577019693697,1.55750862305868,1.66888397523951,1.34355737332939,1.24398055351224,1.14166026742603,0.959117436471261,0.984399680411641,1.15112085733878,1.35203738573038,1.05524917653826,0.979576965216801,0.990357247262052,1.12351381122442,1.18539100496993,1.70903790152145,1.41714682757622,1.36637872175621,1.08401929776301,1.06619778862163,0.975544219893318,0.964819348003129,0.907990285763066,0.976739184845529,0.97152560775111,0.748080717850553,0.884390336550118,0.893057592506438,1.08367551745079,1.01868068811502,1.09249808329152,1.07460994717496,1.04324183666783,1.1154563964112,1.22673453524145,1.14284182598352,1.13117626924896,1.09845090365927,1.01650685254937,1.105892387626,1.28592095439456,1.1030865178455,0.982843410060239,1.11743768183293,1.16770094902723,1.24610875961579,1.03702361345779,1.01760659430618,1.1076231764519,1.00503747010134,0.83608504485241,1.09086516520677,1.12599977199445,1.00021260671992,0.960653691967525,1.08831892987301,1.08902796075445,1.13825748441068,1.15849829156893
7,Nebraska,0,0,0,1.462856636223,1.10746178276437,1.25844925077533,2.0726469639193,1.16208109508952,1.38504391833119,1.30708700451622,2.82967687832248,1.02616770140886,0.924339233466216,1.0254205589715,0.99853321557364,0.96820385621914,0.855400639020366,0.846868409572995,1.0042014106237,1.01080773637954,1.05624161426098,1.08554745675085,1.05616507200591,1.03923545185062,1.02704927979972,1.01319551416046,0.94953881236794,1.02565181302772,1.11508073015387,1.02070159373897,1.32012958847221,1.3690086118021,1.11288369288554,1.03379375264525,1.17913446595291,1.25898851563339,1.25037014465272,1.18465415636863,1.13883219190867,1.10409342494377,0.979139581123809,1.15383585286749,1.04715996595809,1.00935827403518,1.01090560411775,1.09804560495526,1.13256949106446,1.09510108760673,0.981402466581164,1.00935344759559,1.00299490640517,1.0915860735974,1.07801662236638,1.20950467846919,1.21257639146237,1.17953559726171,1.16135959244281,1.26799041075001,1.30840596091626,1.19127070624137,1.21324118803262
8,Utah,0,0,0,1.53982796215421,1.47375168469802,1.36362180375565,1.22106724092216,1.04389557400235,0.991628609049042,1.19660915823535,1.1713016059115,1.02894143636817,0.990265201772603,1.09810118517322,1.09999840586108,1.19348699180528,1.19772888088778,1.24167797971644,1.21934194174768,1.04381784094624,1.06594232090627,1.09552932052439,1.02283029459233,0.945538980971431,0.926084959903036,0.906600407118619,1.02509717191654,1.03378485074198,1.06510324631517,1.12864848680137,1.40333130085283,1.36662584654185,1.07212659506273,1.16674668775494,1.08322299449742,1.21102181165119,1.43824122194683,1.16099972974018,1.20532520870083,1.2668612288076,1.0267247764381,1.12308647343139,1.12974400456081,1.05492564455932,1.08476966574985,1.13465873151374,1.41223842039941,1.15715922492743,0.948289576019264,0.976875460222881,1.09627063024602,1.09899153633447,0.990955284733843,1.14409649214679,0.991739376621762,1.11304312588962,1.1355992897281,1.16694386898225,1.05861081654262,1.16259423916893,1.21273594539622
9,Oregon,0,0,1.69068618370415,1.43979679383252,1.49962961975209,1.48535343351193,1.07090554467085,0.945210850356348,0.989303074010979,0.973317136112645,1.00757642002881,1.10843587494736,0.98479178934784,0.845801803771552,0.829210233962655,1.07097342886283,1.05681546726454,1.10085369174082,1.21267559287694,1.2235514064104,1.20680268412892,1.07631984432879,1.01331753550748,1.02567672417355,0.988327539947814,0.984333464844078,0.992308831350367,0.98703222515042,1.01360046736554,0.986828651650273,1.02361927012184,1.1020227983349,1.02628311713014,1.15199950166162,1.03349020891818,0.95626846242312,1.17189511916513,1.13475471911701,1.31563221623167,1.10784558050266,1.17981414440281,1.11630002780219,1.0270733064759,0.984112506910122,0.958853828096204,1.07124519432709,1.14265586488172,1.0773587450224,0.921681094878849,0.893984745290135,1.03900338319565,0.933294688267391,0.865721795901014,1.03406865871919,0.892648552842791,1.03073339889866,1.05034433695096,1.19275157144673,1.12027878222003,1.15776074172702,1.15843331674064
10,Florida,0,0,1.45836897765704,1.71897274919316,1.46460267136049,1.37335366514671,1.27340840473964,0.992109686798931,0.987033365378129,0.922973519012587,0.836941327253462,1.18472666341924,1.03041729520941,1.02733886515033,1.02054744847465,1.12141089246626,1.68280181399354,1.20959275939781,1.21519701903654,1.25886205527323,1.08087530422047,1.09102312771735,1.0100091963777,0.954890209404088,0.823520784900949,0.890941880563464,0.826296980323893,0.956381976242319,1.01830886250655,0.989818030611026,1.01723771478355,1.0247973543575,1.02435225942263,1.02418313743125,1.19632691222707,1.11850574906916,1.19962134788667,1.10026315186046,1.09169846113233,1.1750287920932,1.05056144827148,1.20468532473802,1.34688121313187,1.19047543453828,1.08388542452704,1.10079711333921,1.25087173792454,1.12655908178436,1.05483692633322,1.033161416432,1.06938800126397,1.07195131336234,1.00743570409584,1.0805390682713,1.08071027615136,1.09608432007232,1.0798076546118,1.20004346641702,1.20623424649757,1.26988469694363,1.21591596059586
11,New York,0,0,1.49221228484264,1.48646017683332,3.13358951027772,1.34842647347751,1.16649093319971,1.02004519626835,0.923845638664423,0.857706625251903,0.86189658112972,0.641557272825538,0.44235924123138,0.99834941682618,0.885676416815215,0.82434138866215,0.833929284892611,0.808441885728379,0.972481299626629,1.08953608260209,1.07318229155766,1.08778110133961,1.00665438923928,0.978027388525426,1.01197908045983,1.03024701415756,1.05676810442961,1.06043891037093,1.10100749934608,1.1932221062566,1.24966139968782,1.14848802418674,1.17439797006789,1.28077299681859,0.976535167444651,0.977501832239043,1.11676791651348,1.14163705840813,1.91248100123832,1.00919398562688,1.13522210878082,1.48158952475502,1.12093416413098,1.09049042293001,1.09654253818997,1.11180066830894,1.16994369192679,1.1179257640213,1.06826188983311,1.06571984857606,0.863330156764069,0.983219025107623,1.10179289268115,1.08350360025394,1.15462026946696,1.11982376320127,1.0859101524824,1.15731577491478,1.265758598801,1.09179554859751,1.09159542743725
