id,Region,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01
0,"Afghanistan",0,0,1.13589100087165,1.24548224489013,1.11118323995309,1.5278862906085,5.53610904509479,1.06722516059415,1.07832549204448,1.38650908507868,1.21042148359078,1.12897852406292,1.12610675006199,1.13254756350936,1.10024564985173,1.04837031257704,0.95640905125515,0.93909529441917,0.79880174046418,0.725683771415311,0.974834645930427,0.77521899718635,0.731668728793696,0.913679142826857,0.786424906170697,0.977168873853086,0.992237725311443,0.786293349154086,0.670334245051258,1.09607910189606,1.13287620876415,0.955539806808214,0.757136629684299,1.26587319019038,1.25736019582634,1.21713575601895,1.04764614576948,0.977862314152867,1.09053734865758,1.08559806348028,0.953370143754324,0.940874801804787,0.865185934367808,1.02562646029473,0.967229466345304,0.761131987080235,0.977776436112059,0.977604981351577,1.05469787898058,0.882954549889474,0.896842702002582,0.81030252243922,0.87547744287143,0.976423469562732,1.00421023369149,1.00807460716111,0.970323582907892,1.13024984848961,1.33833554997583,1.36606647033168,1.07672172384718,1.61601384646137,0.994200132633953
1,"Albania",0,0,0,1.49187551611733,1.0136166850491,1.59289386468247,1.05076855882765,0.974726400139111,0.97851084508402,1.07281515600886,0.853922200518281,0.866271008889145,1.0043489850361,0.993572555203598,1.19523274447865,1.02686784347835,1.18946183887332,1.47559809288717,1.24568646135127,1.05303570936827,1.11030058251659,1.12387382691475,0.998226571885522,1.06538691630339,1.13757054833111,1.04101837462446,1.0136582786057,0.989991004210233,0.908672385923132,1.06805157354875,1.05752924124588,0.966892251070752,0.972812067001705,1.04855358521493,1.09451034610557,1.86899493412089,1.1094482918399,1.17171928795331,1.08994834917752,1.09836482155694,0.990704811867272,1.04366840758538,1.1247030432317,0.965420962456384,0.864415421374555,0.988740210844162,1.08169841108402,1.06939125416867,1.02097705833363,1.09790865942036,1.16453126051203,1.04334356363211,0.983476949636115,1.0068077152398,0.943817461157045,0.933904807290565,0.937786250714546,0.943850622326282,0.829299281760406,0.927933580243555,0.701735266546345,0.873462770958795,0.939229279620593
2,"Algeria",0,0,1.53849939649286,1.30941568311416,1.40285206360642,7.70164571877039,1.37159879651946,0.906458525420121,1.01761593226355,1.12162566128423,1.10133323217386,1.19436484638839,1.01313433378128,1.00886669881902,0.971568328075815,0.874749673993165,0.841499074514091,1.0201810662309,1.14175933748445,1.1929955938884,1.10978808420421,1.10291274717603,1.03619948955335,0.997677313173705,0.962847799130826,0.908925087722784,0.949510318241523,0.90038452573497,0.920156342567383,0.941530477961072,0.936274139560156,0.926087714188941,0.936177916489684,0.957509439756148,1.07736061355906,1.09235969240101,1.21154144004582,1.13766838817479,1.91091966913281,1.07529260343739,1.0225890554333,0.952795136705875,0.835957364873936,0.902715977993736,1.00019239222434,0.840274445547165,0.901314816830004,0.994788910277715,0.998433169652683,1.00226645629557,0.994773839113688,1.0075734147558,0.993805446918162,0.99346634702796,0.98084839729513,0.971708755247114,0.993010930206986,0.890797253979064,0.992708641577796,1.02573518573644,1.07348353493024,1.15507267308538,1.05730735283362
3,"Andorra",0,0,0,0,1.54010413998155,1.24471088411206,0.967482310928357,0.92887911838352,0.834766147591815,0.731716290061955,0.711418479030581,0.347702871960709,0.967204833785576,0.455352085534005,0.966907299161379,1.31301571790949,0.914860336958733,0.490560460226556,0.145188947429182,0.0844896005618209,0.0844896005617873,1.48177067998865,1.15782355295697,1.11796366984765,0.966021808072413,1.04852976938395,1.05087580656791,1.25977897061736,0.951650547498431,1.1397781085777,1.6191250865657,1.0977744862916,0.938173679609814,1.13197162451437,1.22200660787433,0.94032658524306,1.03413584193386,0.913382024207359,0.973304615137076,0.976898319380085,0.974850109674567,0.95754620591162,0.926083558314015,0.940230018407265,0.9379346443782,1.11820261060384,1.05172602996632,1.20412240030968,1.00170427123635,0.915167665988415,0.905865634941429,0.906760776730175,0.911636807222163,0.952526350436238,0.885138635990435,1.03917327904444,1.07774005698185,1.1102911798847,1.19692727230231,0.868045699807945,0.866194128320377,1.03783690178529,0.85092009875807
4,"Angola",0,0,0,0,1.62412115858601,1.29427289262056,1.29270925880005,1.5143768554793,0.855316871769196,1.36898898816976,1.4646748623486,1.13913786967664,0.981912004117719,1.22105961911204,1.1219106441852,0.7126187465855,1.42963787192327,1.39157747702399,1.14886743040522,1.89018088668007,1.15794153830819,1.41726053843994,1.06379013609099,1.00787881298119,1.06834879715669,0.894675464083175,0.832063747025949,1.1711207876467,1.12126014928435,1.01740084572856,1.05886687968216,1.17819555967088,0.991738525207283,1.14808451079723,1.11829160561903,1.24866714289919,1.02024941544682,0.965684664869812,0.833763940897046,1.01671839422049,0.821150017160209,0.855138110028153,0.995078403771925,0.968258139372596,0.971490797686878,0.937632457093255,0.992692114303672,1.0376954802614,1.03764163193034,0.992915279768088,0.86576654699397,0.995488400720215,0.574599915415365,1.10402389406686,1.07924713389615,0.983417649211061,1.32055448154706,0.996367871658242,1.13727067201991,1.29379257237533,1.05608078961156,1.11083245911092,1.02709938211047
5,"Antigua and Barbuda",0,0,0,0,0,1.47794003644315,1.29939100057957,1.21801463896088,0.735402433600682,0.550848712603288,0.239824763712278,0.340648094217115,0.0975293799475749,0.0975293799475492,0.0975293799474914,1.83452253481358,0.336248730074376,0.0602753649440486,1.51748092566727,1.00392237833516,1.09707259659406,0.989877551101688,0.93160500290761,1.10699322159772,0.708675147898777,0.311454413481467,0.917103022500191,0.0193977858092852,0.909699792824896,0.277249217541795,0.909672267865048,0.958871689284738,1.5301584599585,0.979288105755672,0.814691408194857,0.983925223508426,1.30307522163732,0.972341091034685,0.975974136018528,0.942566963576819,0.966099466212294,1.01316271939033,0.988777892730229,1.10151327838899,0.911057941815095,0.934618821948793,1.22914441169112,1.63143982784991,0.819904817404678,1.0351765229495,2.36801515088093,1.32200712172057,1.03549299143097,1.20375121394986,0.831644154269746,1.10554210203802,0.886840922089148,1.03446035666408,0.792197072588745,0.801738877485815,0.998233182479962,0.573679739667018,0.976619710714098
6,"Argentina",0,0,1.52044811102705,1.42391255711128,1.43366671516926,1.34516209715666,1.15532309331674,0.972610191119251,1.06380256243287,1.22323656791091,1.13281604421353,1.15998419232986,1.15654218039914,2.93921197567953,1.44794455472022,1.06062015398716,1.32816599890577,1.25143866749882,1.17136601627989,1.02436004859818,1.14608421208669,1.03872449964422,1.65810129864077,1.01847667646967,1.11265451589335,1.00887833367957,1.00560816609999,1.08547466183495,1.07724416480541,1.01079971864526,1.00059304146161,1.02986631220441,1.09245525762024,1.09374076017126,1.07932943811054,1.03218475928963,0.931392866159327,0.810504849161904,0.81711809316842,0.936894638072315,0.905580127251901,0.761660684160943,0.903348914847019,0.984290873674602,1.01937273276568,1.05265537675865,1.39650009651471,0.997006072416547,0.992507340454824,0.935879812307247,0.902403851871252,0.829115185404247,0.879586885136191,1.0205349751916,0.966937062393047,1.0467469071785,1.01515000991639,1.04568974996707,1.09257774046181,1.11724675629526,1.07427763268388,1.02129888806649,0.954780800575495
7,"Armenia",0,0,0,2.63192487424508,1.43334896870409,1.18895381126876,1.18728220501298,0.804873653632033,1.05586512330473,1.13391858291675,1.54404951366595,1.36651127328128,1.07823795474887,1.18237035734417,1.40062261521047,1.09602603338663,1.07379988356526,1.03920690307088,1.03444811120614,0.997937136684185,0.944174798681012,0.963961877609657,0.954052297189011,0.915911239070949,0.910728239452486,0.992235894988129,0.937029247442488,0.945653994274468,0.985455810886066,1.02098000842823,1.09484848731156,1.09204464937545,1.14802317560559,1.32208041392297,1.18386229813239,1.19809641955343,1.06540601319013,1.02153607395357,0.958836894915318,0.913205251699697,0.82277994088437,0.988515608855605,0.86773912466755,0.977612892710914,0.775728029374497,0.826911714442078,0.827114118159671,0.953481096187723,0.880495897639294,0.827580401906599,0.949188658742343,1.04029511641973,1.13390672656249,1.08419229793403,1.1386725999936,2.46449327085225,1.37528594952642,1.07920095947742,0.957817512570895,1.01952707248012,0.96901270631937,0.9493109416299,0.915385192636425
8,"Australia",0.0287874997208366,0.275710649675074,1.49384899584019,1.5313625660032,1.39105493803447,1.31558545937645,0.968778708997674,0.718411767972571,0.675337535296191,0.765351144686166,0.904677940112457,1.09315574449816,0.882308464421067,0.852939719714798,0.882070772401007,0.882126019026802,0.95823893332477,1.31136851960117,1.23238379333174,1.33990760311775,0.998305480842917,1.03611856395939,1.08110424628341,1.2213761913568,0.991049758800069,0.875387544987423,0.742214890498224,0.834794451466868,0.851939716312356,0.664233534767033,0.364963475368168,0.773408728583744,0.616609538483989,0.951096876190425,1.03181060808242,0.957207010154419,1.26918970655239,0.95102132043092,0.675003881118286,1.27710631096012,1.25722998279821,0.965028151700853,0.954344674466958,1.20391482092075,1.87631689034692,0.982965492687888,0.897879803462362,0.932202064953578,0.86437437198796,0.861622603821228,0.982814108579995,1.00557517863037,0.859607958562943,1.13802396395167,1.2043615445492,1.02360022885759,0.982821640276253,0.88606913238741,1.04983870587398,0.951002469868611,1.18141348810282,1.02622791828372,0.982896512336217
9,"Austria",0,1.46933654414855,1.49510257965316,1.65245950400371,1.33205650732284,1.23161922640311,0.879545655683733,0.794800571076917,0.758431514975995,0.752824805714204,0.583656813604511,0.739705802863201,0.91381575080454,0.913972586588325,0.891427475160011,0.969324939549357,1.0222812703052,1.03684611963248,1.08366157663622,1.56051622388012,1.05470003934388,1.07536404509699,0.974125878209085,0.975100685528605,0.919915754228228,0.931789183442531,1.5182620459649,0.965894639779566,1.04926086680851,1.15325955601365,1.34322630719948,1.00441059440265,1.04806412996448,1.11637915522079,1.38357165203685,1.17035107418197,1.20250317987566,1.23362598726814,1.08107615145928,0.963115489082,0.907276787103716,0.737176519789863,0.915638256127259,0.976058247209226,0.81563100027165,0.973525276127579,0.992796923162208,0.969903231988285,0.856797620976771,0.923355685671995,0.9725503178971,1.00832517501215,1.04348715673448,1.27108947502023,1.15556219580632,1.10580210873127,1.20606883356342,1.03561823323842,0.95574983825095,0.954995480482051,0.952475103542178,0.961664020747871,0.957733861393237
