id,Region,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09
0,Washington,NaN,NaN,0.168844323717904,0.0529316019650912,0.0580754937654803,0.00970346367316339,0.0030554639886507,0.0112660470173889,0.00984957205062848,0.00940263676918357,0.00395875458683484,0.00563832107349018,0.00382334639356199,0.00183746087999597,0.0124706981439743,0.00280502083945284,0.00609891293965403,0.000746315069186413,0.0031350200864762,0.00173557022735237,0.000691601813785551,0.000513008099859123,0.00205892474313605,0.00263997112869573,0.0014963298121733,0.00145268606362962,0.00289004766263737,0.000988021522213236,0.00093091714286623,0.000940126720989687,0.000657384116007093,0.000819076650419024,0.000719730048637125,0.00129733535799723,0.00206915916974525,0.000336240065845047,0.000738600064003128,0.00149098525587415,0.000690528517995808,0.00281853621124223,0.00109187224713792,0.0120196146168923,0.000886910366499495,0.00543128885308277
1,Illinois,NaN,NaN,NaN,NaN,0.122080138734565,0.0473145995526098,0.0198675496634527,0.0159090949769885,0.0184930025343883,0.0153729056075476,0.00983404823581336,0.00354930169485882,0.00398378822576517,0.00514602200102246,0.00341678732305615,0.00637389087508449,0.00115633844856811,0.00411411952971998,0.0031404218708426,0.00512313163094177,0.00421017150225383,0.00220774495621844,0.00625960673239936,0.000855113757129681,0.00259664881211953,0.000281019494890382,0.00338158573405603,0.00451894181735711,0.000744393815154611,0.00296921934010701,0.000271766440677212,0.00073257480327233,0.00601179624354912,0.000854487807574423,0.000593400717448821,0.000507180996474026,0.00100502224469318,0.00400988142010687,0.000804107659381013,0.000544621541206063,0.0028121362042128,0.000745958756419078,0.00184775015848635,0.00410985024561482
2,California,NaN,NaN,NaN,0.162487758654013,0.0725186856793972,0.0132224149807774,0.00871129448964439,0.0234183292187682,0.0139096670239083,0.000749630030726322,0.00713240831842999,0.00920244629423355,0.0108945353664255,0.00658472753046295,0.00350439058619898,0.00579416277579426,0.00586690922857657,0.00111623166719258,0.00577161306495138,0.00280189743734054,0.000923814695721521,0.000557376957246893,0.00194674662587957,0.000809875868769268,0.000372169354024634,0.000485377468112272,0.0040171150950505,0.00245561202978702,0.00347804072012465,0.00622249761305956,0.000907882158500635,0.000656105239603484,0.00678051111840379,0.000733056906026031,0.0023524896875171,0.00480250727045952,0.000671700646271384,0.000755520899639163,0.00056569974493932,0.000813548603647012,0.0030817610092528,0.000918909576662209,0.00161175053358794,0.000364368853965858
3,Arizona,NaN,NaN,NaN,NaN,0.0966161663520376,0.021318212450969,0.0152412953069665,0.0466323963902345,0.00986841760975166,0.00543121686299512,0.0252370219533589,0.00310581384556611,0.00863263897408999,0.00803349769785333,0.0181461015984971,0.0117367261964721,0.00710707001327105,0.00355114809988524,0.0019792548320027,0.00146896533583386,0.000554446009546782,0.000248412390149617,0.00592553632805126,0.00909178977119821,0.022387077228774,0.00427761942002704,0.000815975060478646,0.00936346691801085,0.0257607694964138,0.00113963727859421,0.00123607401318937,0.00481733391747859,0.0129115573139122,0.00210102528620088,0.00198258988713218,0.00191147298197375,0.000285541005747238,0.00610778113642479,0.00107046745636709,0.000840692341164248,0.00343427898262851,0.00113778250505247,0.00340753470957668,0.000798556363184119
4,Massachusetts,NaN,NaN,NaN,0.100243295369171,0.0452361106777385,0.0367443386519073,0.00343657046150748,0.018721470523262,0.00278474978653716,0.00933490768902639,0.00867643869686399,0.00553793713351301,0.00660979918678681,0.0236282522322625,0.00650799358388053,0.0269281870348717,0.00550677612487079,0.051561514015614,0.00642759547079554,0.00219360748320866,0.00436942649488416,0.0031360853277659,0.00776248303479334,0.0126438553611529,0.00195982397289875,0.014503073541679,0.0169538229728835,0.00257811651721077,0.00355804816551585,0.0030447916493296,0.0131391883757446,0.00170481113419532,0.0128529195604764,0.00065168254663495,0.0106729450556434,0.00421737934433599,0.00228428234848642,0.0049146391431698,0.000871223031311007,0.00132766358996601,0.000638754129947377,0.00058143452809371,0.000485607095328793,0.000565451350997176
5,Wisconsin,NaN,NaN,NaN,NaN,0.142590388694153,0.0276605735778473,0.00997774160959807,0.00972267307090679,0.0105558929229862,0.00987439113709911,0.00373288887588275,0.00267326178145269,0.0168577736479543,0.00768062056741952,0.00141129165942438,0.00621675682517253,0.000906004672500483,0.0024453752151506,0.00102671035704244,0.000551167903930668,0.000748664748005027,0.000536975959598507,0.00100903626662377,0.00150661395854638,0.000460739749923588,0.000325084355937426,0.000439899403273531,0.00023350873072571,0.000385535458311024,0.00179356587502542,0.00176419377257604,0.000852778293970011,0.000451442350247097,0.00171251915537557,0.000805829214498217,0.00210248048774702,0.0012372217276584,0.000637184158632027,0.00060507655726636,0.000437368852661645,0.000898485410329633,0.00056014015791805,0.000584400009487027,0.000599440680965956
6,Texas,NaN,NaN,NaN,NaN,0.0917797838622365,0.0290631202693327,0.0164927069613892,0.00437957979803781,0.00895143421197211,0.00509785128298629,0.0154716370621744,0.00443742532635682,0.00487789620672917,0.00544671899302579,0.000543962342798143,0.00416021868162997,0.00707907621355098,0.00114061801094837,0.000776004873385683,0.00098257183156494,0.00119744394043716,0.000344004403949202,0.0025611391922011,0.000706266308647991,0.000549801506760938,0.00406097142229674,0.00375487616795001,0.000724197773370978,0.00210776363321259,0.00126467715075374,0.000940003135395042,0.00413585906626214,0.00326065501270642,0.00088983946222434,0.00060910031199754,0.00712721382797204,0.000700056430572442,0.00527647336569824,0.000829377616587867,0.000485332093536838,0.00141283174632893,0.000467748487123,0.00314821178870192,0.000462778818974417
7,Nebraska,NaN,NaN,NaN,NaN,NaN,NaN,0.0123336053922538,0.0267480133271441,0.012216485652097,0.0143164999111459,0.00553967785702914,0.0058811182657053,0.00109471062069572,0.00182602009073522,0.00237297093212366,0.00330809120205164,0.00835240152328727,0.0357811312328391,0.00173914283083767,0.00138386068082736,0.00111432951522546,0.0056509835398293,0.00385051570422293,0.00323905511805492,0.000372610895349152,0.00498194408429768,0.00371648944545676,0.000745879683133089,0.000556616388527753,0.00408182968361799,0.00212162951708977,0.0030374888238866,0.00495415337113008,0.00360248297457814,0.00447447822194104,0.000755232708799504,0.0071724795132207,0.00493702015245178,0.00352949770764416,0.00025570733636197,0.000524956931113667,0.00143530297064776,0.00134850472473857,0.000585534630900443
8,Utah,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000924006566983536,0.000752516167529293,0.000909142667872617,0.0033473099253321,0.00309500086459412,0.000826277549933297,0.000774941537384717,0.00376042297026753,0.000609927605950553,0.000710562028756621,0.00135648109798422,0.000363855596089755,0.000358996754814503,0.00195729407674864,0.000293883259476333,0.00231140148202605,0.000241968944231318,0.00268266202127082,0.00529669704873624,0.00167821636423516,0.0012137510499296,0.000526707370585947,0.00113071321878736,0.000342490920790661,0.00148736245856242,0.000543324834502101,0.000220408824063309,0.000393304029033384,0.00158051609460954,0.000155895029611655,0.00102295909129972,0.000170271513415447,0.000809821193157452,0.000363732108676372,0.000344886120345503,0.000448374010245993
9,Oregon,NaN,NaN,NaN,NaN,NaN,0.0161661895940369,0.0396209467844145,0.0137668405096199,0.0173506040025794,0.0377327569064347,0.00955283920966696,0.00621045711172046,0.0114695489304182,0.00523134847879986,0.0156867347865288,0.00468029169066222,0.00337154965099962,0.00552226399733176,0.00108433876492713,0.000694763559517359,0.005422529927745,0.00269662035723943,0.00453871545404827,0.000466404931856734,0.000627281747130546,0.000983943621458448,0.000747543505271763,0.00100584954321038,0.00625654797012083,0.000469628075774641,0.00501930519925384,0.00197907998353267,0.000874706591443679,0.000710586102107024,0.0062303615499756,0.000936953835591879,0.00271042183622061,0.00539347564008504,0.00349773970546388,0.00046365390460759,0.00357949001983823,0.002247264367178,0.00301070359267135,0.00174261976928227
