id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03
68,"Honduras",2,12,52,219,343,426,519,771,1685,2318,3204,4752,5880
69,"Hungary",13,73,261,585,980,1652,2284,2775,3150,3380,3641,3816,3954
70,"Iceland",103,330,802,1319,1648,1739,1789,1797,1801,1802,1803,1805,1806
71,"India",73,194,727,2543,6725,13430,23077,34863,56351,81997,118226,165386,226713
72,"Indonesia",34,311,893,1790,3293,5516,7775,10118,12776,16006,20162,24538,28818
73,"Iran",10075,18407,29406,50468,66220,77995,87026,94640,103135,114533,129341,143849,164270
74,"Iraq",71,192,382,772,1232,1434,1677,2085,2543,3143,3877,5457,8840
75,"Ireland",43,557,1819,3849,6574,13271,17607,20612,22385,23827,24391,24841,25142
76,"Israel",100,427,2693,6857,9968,12758,14803,15946,16381,16579,16683,16872,17495
77,"Italy",15113,41035,80589,115242,143626,168941,189973,205463,215858,223096,228006,231732,234013
78,"Jamaica",2,15,26,47,63,143,257,422,488,509,534,569,591
79,"Japan",639,924,1387,2495,4667,8626,12368,14088,15477,16120,16424,16598,16911
80,"Jordan",1,69,212,299,372,402,437,453,494,586,684,728,765
81,"Kazakhstan",0,44,111,435,781,1402,2289,3402,4578,5571,7234,9576,12067
82,"Kenya",0,7,31,110,184,234,320,396,607,758,1109,1618,2340
83,"Korea, South",7869,8565,9241,9976,10423,10613,10708,10774,10822,11018,11142,11402,11668
84,"Kuwait",80,148,208,342,910,1524,2399,4024,6567,11975,18609,24112,29921
85,"Kyrgyzstan",0,3,44,116,280,466,631,746,895,1082,1313,1594,1899
86,"Latvia",10,86,244,458,589,675,778,858,909,962,1025,1061,1082
87,"Lebanon",61,157,368,494,582,663,688,725,784,886,1024,1168,1306
88,"Liberia",0,2,3,6,31,59,101,141,189,215,240,269,321
89,"Liechtenstein",1,28,56,75,78,79,81,82,82,82,82,82,82
90,"Lithuania",3,36,299,649,955,1128,1398,1385,1433,1511,1593,1656,1687
91,"Luxembourg",19,335,1453,2487,3115,3444,3665,3784,3859,3915,3980,4008,4027
