id,Region,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26
0,Washington,NaN,NaN,0.261385511560328,0.166725381990867,0.103315235861649,0.0481206607719116,0.0409044676464777,0.0444172916026906,0.0535854683416079,0.053143147563518,0.0420173002255723,0.0397082165164563,0.0270476864066598,0.0311731527391571,0.0224488655073249,0.0205283447985714,0.0205069169733837,0.0201916228924341,0.0136705906485042,0.0157132561810482,0.0174142161012474,0.0171179094793382,0.0144905821288634,0.0120870055151744,0.00963952484806398,0.010473342625532,0.00990008796676282,0.0138745222515743,0.014953159206667,0.0136886612893288,0.0149314797100787,0.0129350972390671,0.012564724141614,0.0163657863414263,0.0144704259654228,0.0148315263041837,0.0140054128335045,0.0101174791242241,0.0117708664561401,0.00584962070789207,0.00783661506841806,0.0127815968463483
1,Illinois,NaN,NaN,NaN,NaN,0.213839514513956,0.1201601775553,0.0821382475835986,0.0731149281897161,0.0697151217323571,0.0549802930520114,0.0418916195738148,0.0354438827656611,0.035354244690484,0.0347496812529673,0.0380511470728901,0.0426149037970412,0.0333449320144548,0.0433689372580338,0.0229838981304462,0.018397135113963,0.0154208538449541,0.0150555671839091,0.0125365433159652,0.013342666411759,0.0114081635782287,0.0121139465769382,0.0117700816039076,0.012954923111789,0.0125816487078516,0.0141265282440414,0.0148060515040332,0.0162426516790268,0.0192157136598297,0.0162108702151945,0.0161264256661249,0.0163861508347459,0.0158054875626665,0.0129843069212428,0.0141243601871299,0.0148106953717996,0.0175918748523464,0.0150452068187911
2,California,NaN,NaN,NaN,0.230276306290631,0.120818359768887,0.0775754100718815,0.073654263789538,0.0636569504891249,0.0507826208701909,0.0487848443242439,0.0454050927258805,0.0358149754215015,0.0372007892428405,0.0314150654993516,0.0246270041504756,0.0215706894310668,0.0177282516738522,0.0211022436670258,0.0165903257737855,0.0134026135154869,0.0155000358384893,0.0151416090853893,0.015800188828548,0.015996131186823,0.0152756870760033,0.0151916761414126,0.0162958047795288,0.0212368366740483,0.0251034974738306,0.0236307869082974,0.0206095504524226,0.0157926228931338,0.0189378172223848,0.0162891763807289,0.012666109084247,0.0115288800214268,0.0125174940204014,0.0113863378728997,0.0106645654192534,0.0126484299320932,0.0116677126472188,0.0113711490643279
3,Arizona,NaN,NaN,NaN,NaN,0.161495526710794,0.0691767901995637,0.0681245227136516,0.0576316897757024,0.0884658898080572,0.0782999618714919,0.0645550469816445,0.0423529465069872,0.0555319783064504,0.0497865752587467,0.037219455722563,0.0307767654159493,0.0203854112725656,0.0161933430200917,0.0230250970341288,0.0227322495100365,0.0212787151442575,0.019705588866988,0.0189151466594906,0.0244369363983626,0.0399851650732472,0.0378945508187234,0.0194936107019175,0.0455089165908659,0.0578040204064975,0.0193046692731466,0.0186956441575451,0.0191111097119656,0.0196755172835497,0.0218703745909414,0.0261389415657247,0.0222952985187578,0.0161300992443075,0.0141739000830336,0.0153787338144614,0.0162185799786786,0.0207224850149463,0.0169020369443464
4,Massachusetts,NaN,NaN,NaN,0.15211018695472,0.118704841724031,0.0865522585077452,0.124118309931341,0.0850749889452413,0.0667858476645339,0.0731717621093504,0.0605020656052486,0.0570791971192104,0.0748927894348473,0.0687659648585163,0.0741286874277908,0.107683104786564,0.0717975476038407,0.123972945854735,0.096904244272042,0.0609942598109509,0.0724791021401602,0.0587979914499895,0.0540479501076841,0.0512089554594622,0.0528671171957891,0.04487030824645,0.044505234281315,0.0440321202261468,0.0415921819037745,0.0475736356985574,0.0323460083598218,0.0361170534470208,0.0329797167772763,0.0326626692650971,0.0260318059525332,0.0196846196742477,0.018668883049332,0.0138438068188468,0.0168314593151563,0.0178757348190351,0.0154625171874456,0.0119675279714311
5,Wisconsin,NaN,NaN,NaN,NaN,0.205538242613441,0.0835814997871955,0.0494177933335961,0.0603308821836328,0.0430229579870298,0.0324364257696344,0.0303551613290639,0.0372671570824508,0.0271489021270971,0.0170644901131595,0.0139827317650073,0.0156373869062862,0.0117721524051059,0.00816109079864698,0.00880053867549022,0.011444080688434,0.0101378169233326,0.0102649234590502,0.00881875988836183,0.00685147738531346,0.00798420669853976,0.00765376593831299,0.00863065333927167,0.00766183341552866,0.0084619967367454,0.00782010146689077,0.00898250176767153,0.0118390653244561,0.0153823551866021,0.0162853599139295,0.0124715597718037,0.00669878761653887,0.0102236095322226,0.00906530142776584,0.009751784679033,0.00931244215267923,0.0118477300576878,0.00997595230683963
6,Texas,NaN,NaN,NaN,NaN,0.147604855498929,0.0713532204158783,0.0429425006271828,0.0351576988524812,0.032921349309294,0.0398712647287835,0.030049819227353,0.0209097765336366,0.0245596401791166,0.0228141457186948,0.0225005179459888,0.0212138270498402,0.0204386060368891,0.0233881219490191,0.0229881706596371,0.0215533577123789,0.0212754748804727,0.0221480335578519,0.0245404301029926,0.0216214913650896,0.0214785501440417,0.0208258760631036,0.0185058555139047,0.0195674954233483,0.0245664967962433,0.02042968644089,0.0221378981013699,0.0178354812865405,0.0163659566785413,0.0179622963541956,0.0195201539799508,0.0169524632869732,0.0183051977567261,0.0144857268290417,0.0163361292482214,0.0150030441475902,0.0162833083166784,0.0147728025036702
7,Nebraska,NaN,NaN,NaN,NaN,NaN,NaN,0.0565480733362044,0.0347323378813103,0.0187732689445015,0.0205669723410469,0.0143058562508995,0.0118573241374873,0.00466301176056852,0.00826502077804087,0.0152632557496244,0.0168064743514625,0.0183444511021188,0.0361883293546728,0.0131805150244001,0.0119445918950939,0.00916493493748926,0.0110736623564777,0.00878858844764787,0.00607865103932162,0.00782445376012428,0.00835478114981287,0.0109483215576655,0.00797172993474783,0.00795738825801502,0.00774332348126554,0.00766244406103612,0.00712332475308607,0.0136967866209428,0.0106974724171899,0.00769779930574026,0.00968506773786524,0.0119238278899634,0.00801228117446923,0.010117258121435,0.0131302817443298,0.0103042908560993,0.00619802001196859
8,Utah,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174250224001784,0.0147470591103217,0.0141514624603584,0.0150532185873412,0.011063896055678,0.0126586708179067,0.0105637969418506,0.00655865495732405,0.00486516887694737,0.00864337670396016,0.00806766585386382,0.00785413960098634,0.0080946560629072,0.00688950686887942,0.00731404582356367,0.00796622482445955,0.00747975707275213,0.00585365898922937,0.00770019696126654,0.00343876289879948,0.00306140196670208,0.00620773026054649,0.00514154395512979,0.00504929578655968,0.00405507427826334,0.00386373782015727,0.0046030914319539,0.00481917805567298,0.00569085961304448,0.00484826520366888,0.0039104759682775,0.00447568924167916,0.00536635378259181,0.00440899557836412
9,Oregon,NaN,NaN,NaN,NaN,NaN,0.0599090808996197,0.057893334134318,0.0510477010839755,0.05010615025412,0.0497276049488159,0.0208454736039619,0.0141417378040564,0.0266800001728478,0.0349282975057687,0.0370131845508268,0.0231879718234455,0.00971603540243694,0.0150999797362627,0.0145478836681142,0.0146515202970017,0.0155612677998098,0.0132765351153775,0.0156827466533608,0.0137651773422657,0.0145295233746929,0.0151857082822112,0.0153095213234704,0.0150384386271153,0.0112605564524459,0.0142765799269136,0.0180227406070525,0.0105441544303208,0.0128838180208711,0.0128629769112567,0.0177145075063557,0.013414414380391,0.0116039536874109,0.0138390588355238,0.016927269451083,0.0157538467070021,0.0175237428822653,0.0110537531912322
10,Florida,NaN,NaN,NaN,0.23539300989948,0.110128206604894,0.0650958591407116,0.0471981941888135,0.0474069521551014,0.0520700104142315,0.0482505665527818,0.0618548585165545,0.0526568787914807,0.0524645573885331,0.0512933490147206,0.0382284457843188,0.0294805003756427,0.0194154661842847,0.0160896069984272,0.0147088667282569,0.0139687538431902,0.0161734575784506,0.0162528363762585,0.016018671932494,0.0161518448299552,0.0189866006738128,0.0225204193397424,0.0306827822824851,0.0393253075446775,0.0390812006742602,0.0377415410699159,0.034305236285086,0.0397110781153637,0.0346871068019508,0.0219231453000478,0.0171362577065361,0.0158712289349036,0.0140226789695502,0.0146278017694835,0.0148459007487584,0.0130579090621314,0.0120100766462102,0.0109228087773228
