id,Region,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21
0,Washington,0.115350947540121,0.027480455289659,NaN,0.00927607128793873,0.00623099964869755,NaN,0.0331743686068532,0.00280275212226333,NaN,0.0041114410857831,0.00296398462374625,0.00472180142994971,0.00548823255132058,0.00162731598361865,0.00443698330931563,0.216119308481465,0.00638934414504089,0.021049031152097,0.00182184132097674,0.00369150286470177,0.00141938638108741,0.00886721382161704,0.0037085975660357,NaN,0.0041219247826314,NaN,0.172167709077784,0.0206641435586578,0.000680406245740173,0.00913309915262084,0.0110892561874094,0.00242234826691745,0.00812694112758239,0.00357800764421623,0.00203130990207345,0.00397347762549982,NaN
1,Illinois,0.282187350113748,0.254605125790484,0.0195183345738501,NaN,NaN,NaN,0.0236950667145577,0.00655372418622902,0.00407188899097255,0.00187703188947264,0.00326555123733963,0.362023910701813,NaN,0.00421051191252952,0.0122084602208531,0.0320611935169763,0.00388507393561022,0.00142258258872374,0.00647251015260819,0.00372657716886371,0.00351876209270641,0.00305392557696882,0.0029080771197505,0.00233882961733922,0.00155915364874359,0.00236526920748004,NaN,0.0209880884989364,0.00218695575330097,0.00346710733333699,0.00160838225530235,0.0031410148027331,0.00503328097744737,NaN,NaN,0.00230481968406293,0.0363845426143654
2,California,0.0273583847376495,0.016834057259796,0.064909505250039,NaN,NaN,0.00305888209030158,0.0560354599342425,0.00731740179956597,NaN,NaN,0.0154298316859227,0.00265323694758468,0.00537272784772713,0.00293982404324034,0.00243554398433465,0.00149561959272315,0.0114860916928374,0.00404379385928544,0.009365180599884,NaN,0.00312630618735965,0.00362765998923342,0.0153163549068631,0.00753519785284995,0.140491593745371,0.00684691933583403,0.0016253842051821,0.0142595323162651,0.0022456265853219,0.00460425130681519,0.00125427601248029,0.0022029951159096,0.00124895644949352,0.00728020763708948,0.000795384486503403,0.173865556503855,0.00229472799566688
3,Arizona,0.105459391946354,1.16991894014887,0.0186079795536553,0.0136715911150511,0.00319656993511686,0.00611066688017625,0.0118434080384011,0.00499904186096956,0.00556991677911989,0.00675208348301437,0.00553758367995461,0.0258084115828694,0.00571241881402806,0.0201928932067652,NaN,0.0241915548607181,NaN,0.00419403328323065,0.00262710653716725,0.00373066760810215,NaN,0.00492520370136784,0.00472302568320992,0.00841862882020938,0.00971089660485247,0.020163451835097,NaN,0.001676403303837,0.00790584298469943,0.00248718864794406,0.00260098555811838,NaN,0.00620307855526669,0.00142013201016988,0.00230893834673451,0.00219872272516364,0.00191644765625476
4,Massachusetts,0.0292194934457601,NaN,0.0157954979354402,NaN,NaN,0.00886927255301795,NaN,NaN,0.00418287696564046,NaN,0.00370229298508273,0.00517999872070296,0.00487677375698092,NaN,0.00194592125785098,0.0365864102970563,0.0356113108754168,0.003905146837069,0.00674638473623645,NaN,0.00303372650133427,0.00439024891178419,NaN,0.00415020149631273,0.00243846401075143,0.0137788120363052,0.0282786371883735,0.00485120282020968,0.00549018411491198,0.00180488919053268,0.0264470073167395,0.174018374861785,0.00119843801123554,0.00214043297927224,NaN,0.00289124661018136,0.0299746750016687
5,Wisconsin,0.0461810095489468,0.0295791746653264,0.0192863043169034,0.0152402504610027,0.0128800354034434,0.00352031247023676,0.0599880528157999,0.00794048155470684,0.039492296250059,0.00272579789299399,0.0291637286988022,0.886832955884235,0.00957251536087023,0.00393504216921237,NaN,0.00348658804526503,0.00455422692794794,NaN,NaN,0.0129870120782496,0.00197770069581948,0.00205152987904622,0.00297068554917768,0.0055010634350382,0.00362520205017169,0.00332626681292192,0.00613282888817435,0.00398778299107505,0.00506135628960247,0.00156314964513049,0.0207770051921199,0.00277905907881126,0.00352101492612422,0.00267266920578546,0.000567073203044943,NaN,0.142169764788679
6,Texas,0.081806719340209,NaN,0.0242596265732307,NaN,NaN,NaN,0.00388705511020349,0.0556794916430567,0.0234367388803838,0.00179796921806585,NaN,0.00759959587208814,0.00484226628775097,0.00980853120592506,NaN,NaN,0.0153563540330062,NaN,NaN,NaN,0.303197183049215,0.00961208671945479,0.0088154262486464,0.0023634474043277,0.00777251258607692,NaN,0.00467031510299887,0.00359381136738302,0.0026928704768352,NaN,0.00364368022091333,0.151733021029036,0.00349641615440222,0.00231916381960162,0.00113939036657573,0.00211241675610752,0.0029279963749167
7,Nebraska,0.0378863564960259,0.0329637251625747,0.0378753548402457,1.08756954633092,0.0106800787470704,0.0191547712064624,0.00546667945471935,0.044072780633831,0.0132034843094329,NaN,0.00489532104860935,0.00403204791261957,0.00669068342706591,0.00379569538410895,NaN,0.0395879816633286,0.00366170656906473,NaN,0.00205017310336819,0.00292027390520166,0.00745384411755512,0.0175471224165931,0.00420384260205997,0.0157833697274555,0.00236621940515747,0.00599259426999077,0.777958820701613,0.00723608913414764,0.00339725820117476,0.000819229811567679,NaN,0.00651772312390198,0.00570198564192803,NaN,0.00276028126977224,0.00545629826404093,0.00112652316058215
8,Utah,0.147299341985742,0.0442456571020799,0.0176606535687023,0.00950837559605078,0.0127180247642393,0.0146668841311167,0.0619156183203777,0.0097468548716837,0.116785036669368,0.0031851550991886,0.0332600899595668,0.0298784688306211,0.00821548847509868,0.0304672092107796,0.00475630979983555,NaN,0.00309464591443409,0.00084591339382456,0.00415919061416159,0.00371048858077239,0.00455392632185758,0.00724856205133984,0.00309565261310074,NaN,0.00334300135410848,0.000801754278431765,NaN,0.00245646072071337,0.0105012169965004,0.00420317037179752,0.00402272728081021,0.00197555782111358,NaN,0.00240807489422434,0.00177202907750451,0.00250451662219708,NaN
9,Oregon,0.0131336838896916,0.0745695090469383,0.0633931772415695,0.0165196733445112,0.00488889481757682,NaN,NaN,0.00200452592504274,0.00262237367691243,0.0469602167296626,0.0660473676526765,NaN,0.00393815047730017,0.0137963170294835,NaN,NaN,0.00588497909711005,0.0284099878305626,0.0022922851537579,0.0017437508985878,0.00180025063203781,0.00224820502088963,0.00385752789576066,0.00159488444404143,0.00303985314460609,NaN,0.00302095101350919,0.0161672821482021,0.00297183551391456,0.00633512832164995,0.00244994966428536,0.00379139745016976,0.00229986914967295,0.00820078882185871,0.0021406381441913,0.00212372119357696,0.00233776074318848
