,from_city,from_country,to_city,to_country,num_flights
1,Sochi,Russia,Kazan,Russia,1
2,Astrakhan,Russia,Kazan,Russia,1
3,Astrakhan,Russia,Mineralnye Vody,Russia,1
4,Chelyabinsk,Russia,Kazan,Russia,1
5,Chelyabinsk,Russia,Novosibirsk,Russia,2
6,Moscow,Russia,Kazan,Russia,5
7,Moscow,Russia,Nizhnekamsk,Russia,2
8,Moscow,Russia,Bugulma,Russia,1
9,Belgorod,Russia,Kaliningrad,Russia,1
10,Belgorod,Russia,Kazan,Russia,1
11,Baku,Azerbaijan,Nizhnekamsk,Russia,1
12,Kaliningrad,Russia,Belgorod,Russia,1
13,Kazan,Russia,Sochi,Russia,1
14,Kazan,Russia,Astrakhan,Russia,1
15,Kazan,Russia,Chelyabinsk,Russia,1
16,Kazan,Russia,Moscow,Russia,5
17,Kazan,Russia,Belgorod,Russia,1
18,Kazan,Russia,St. Petersburg,Russia,3
19,Kazan,Russia,Yekaterinburg,Russia,1
20,St. Petersburg,Russia,Kazan,Russia,3
21,St. Petersburg,Russia,Nizhnekamsk,Russia,1
22,St. Petersburg,Russia,Bugulma,Russia,1
23,Mineralnye Vody,Russia,Astrakhan,Russia,1
24,Nizhnekamsk,Russia,Moscow,Russia,2
25,Nizhnekamsk,Russia,Baku,Azerbaijan,1
26,Nizhnekamsk,Russia,St. Petersburg,Russia,1
27,Nizhnekamsk,Russia,Yekaterinburg,Russia,1
28,Nizhnevartovsk,Russia,Yekaterinburg,Russia,2
29,Nizhnevartovsk,Russia,Bugulma,Russia,2
30,Novy Urengoy,Russia,Yekaterinburg,Russia,2
31,Novosibirsk,Russia,Chelyabinsk,Russia,2
32,Novosibirsk,Russia,Yekaterinburg,Russia,5
33,Yekaterinburg,Russia,Kazan,Russia,1
34,Yekaterinburg,Russia,Nizhnekamsk,Russia,1
35,Yekaterinburg,Russia,Nizhnevartovsk,Russia,2
36,Yekaterinburg,Russia,Novy Urengoy,Russia,2
37,Yekaterinburg,Russia,Novosibirsk,Russia,5
38,Bugulma,Russia,Moscow,Russia,1
39,Bugulma,Russia,St. Petersburg,Russia,1
40,Bugulma,Russia,Nizhnevartovsk,Russia,2
41,Bratsk,Russia,Irkutsk,Russia,1
42,Bratsk,Russia,Novosibirsk,Russia,1
43,Chita,Russia,Irkutsk,Russia,2
44,Irkutsk,Russia,Bratsk,Russia,1
45,Irkutsk,Russia,Chita,Russia,2
46,Irkutsk,Russia,Bodaibo,Russia,2
47,Irkutsk,Russia,Novosibirsk,Russia,3
48,Irkutsk,Russia,Ust-Kut,Russia,2
49,Irkutsk,Russia,Lensk,Russia,3
50,Irkutsk,Russia,Yakutsk,Russia,3
51,Mirnyj,Russia,Novosibirsk,Russia,2
52,Bodaibo,Russia,Irkutsk,Russia,2
53,Novosibirsk,Russia,Bratsk,Russia,1
54,Novosibirsk,Russia,Irkutsk,Russia,3
55,Ust-Kut,Russia,Irkutsk,Russia,2
56,Lensk,Russia,Irkutsk,Russia,3
57,Yakutsk,Russia,Irkutsk,Russia,3
58,Ayacucho,Peru,Lima,Peru,2
59,Cuzco,Peru,Lima,Peru,4
60,Cuzco,Peru,Puerto Maldonado,Peru,2
61,Huánuco,Peru,Lima,Peru,2
62,Iquitos,Peru,Pucallpa,Peru,2
63,Iquitos,Peru,Tarapoto,Peru,2
64,Lima,Peru,Ayacucho,Peru,2
