,from_city,from_country,to_city,to_country,num_flights
581,Beihai,China,Xi'an,China,1
582,Guangzhou,China,Chongqing,China,8
583,Guangzhou,China,Chengdu,China,6
585,Zhengzhou,China,Changchun,China,3
586,Zhengzhou,China,Chongqing,China,6
587,Zhengzhou,China,Chengdu,China,5
588,Zhengzhou,China,Hangzhou,China,10
589,Zhengzhou,China,Harbin,China,7
590,Zhengzhou,China,Kunming,China,7
591,Zhengzhou,China,Urumqi,China,9
592,Changchun,China,Zhengzhou,China,3
593,Changchun,China,Nanjing,China,5
594,Changchun,China,Jinan,China,5
595,Changchun,China,Tianjin,China,2
596,Chongqing,China,Guangzhou,China,8
597,Chongqing,China,Zhengzhou,China,6
598,Chongqing,China,Changcha,China,6
599,Chongqing,China,Chengdu,China,1
600,Chongqing,China,Changzhou,China,2
601,Chongqing,China,Dalian,China,1
602,Chongqing,China,Dayong,China,2
603,Chongqing,China,Haikou,China,5
604,Chongqing,China,Hangzhou,China,6
606,Chongqing,China,Yinchuan,China,4
607,Chongqing,China,Nanchang,China,4
608,Chongqing,China,Kunming,China,9
609,Chongqing,China,Lanzhou,China,3
610,Chongqing,China,Lijiang,China,7
611,Chongqing,China,Lhasa,China,8
612,Chongqing,China,Ninbo,China,3
613,Chongqing,China,Nanjing,China,5
614,Chongqing,China,Nanning,China,4
615,Chongqing,China,Beijing,China,8
616,Chongqing,China,Shanghai,China,14
617,Chongqing,China,Panzhihua,China,1
618,Chongqing,China,Shantou,China,1
620,Chongqing,China,Sanya,China,5
621,Chongqing,China,Shenzhen,China,6
622,Chongqing,China,Jinan,China,5
624,Chongqing,China,Tianjin,China,7
625,Chongqing,China,Taiyuan,China,3
626,Chongqing,China,Urumqi,China,6
627,Chongqing,China,Wuhan,China,6
628,Chongqing,China,Wuxi,China,4
629,Chongqing,China,Xi'an,China,10
630,Chongqing,China,Xining,China,7
631,Chongqing,China,Yichang,China,3
632,Chongqing,China,Zhanjiang,China,1
633,Changcha,China,Chongqing,China,6
634,Changcha,China,Chengdu,China,6
635,Changcha,China,Fuzhou,China,6
636,Changcha,China,Kunming,China,8
637,Changcha,China,Shenyang,China,1
638,Changcha,China,Wenzhou,China,4
639,Changcha,China,Xiamen,China,8
640,Chengdu,China,Guangzhou,China,6
641,Chengdu,China,Zhengzhou,China,5
642,Chengdu,China,Chongqing,China,1
643,Chengdu,China,Changcha,China,6
644,Chengdu,China,Daocheng,China,4
645,Chengdu,China,Dongsheng,China,1
646,Chengdu,China,Haikou,China,5
647,Chengdu,China,Handan,China,1
648,Chengdu,China,Hohhot,China,3
649,Chengdu,China,Hefei,China,5
650,Chengdu,China,Hangzhou,China,9
654,Chengdu,China,Yinchuan,China,3
655,Chengdu,China,Jinghonggasa,China,2
656,Chengdu,China,Qianjiang,China,1
657,Chengdu,China,Jiuzhaigou,China,7
658,Chengdu,China,Nanchang,China,4
659,Chengdu,China,Kunming,China,9
660,Chengdu,China,Ganzhou,China,1
661,Chengdu,China,Guiyang,China,6
662,Chengdu,China,Lanzhou,China,4
663,Chengdu,China,Lijiang,China,5
664,Chengdu,China,Luxi,China,1
665,Chengdu,China,Lhasa,China,5
666,Chengdu,China,Nyingchi,China,4
668,Chengdu,China,Nanjing,China,5
669,Chengdu,China,Nanning,China,3
670,Chengdu,China,Beijing,China,8
671,Chengdu,China,Shanghai,China,14
672,Chengdu,China,Panzhihua,China,3
673,Chengdu,China,Shenyang,China,3
674,Chengdu,China,Shijiazhuang,China,3
675,Chengdu,China,Sanya,China,5
676,Chengdu,China,Shenzhen,China,7
677,Chengdu,China,Qingdao,China,5
678,Chengdu,China,Jinan,China,8
680,Chengdu,China,Tianjin,China,6
681,Chengdu,China,Taiyuan,China,5
682,Chengdu,China,Urumqi,China,5
683,Chengdu,China,Wenzhou,China,4
684,Chengdu,China,Wuhan,China,7
685,Chengdu,China,Wuxi,China,4
686,Chengdu,China,Wanxian,China,1
687,Chengdu,China,Xichang,China,3
688,Chengdu,China,Xi'an,China,8
689,Chengdu,China,Xiamen,China,6
690,Chengdu,China,Xining,China,5
691,Chengdu,China,Xuzhou,China,1
692,Chengdu,China,Yichang,China,1
693,Chengdu,China,Yangzhou,China,1
694,Changzhou,China,Chongqing,China,2
695,Changzhou,China,Harbin,China,3
696,Changzhou,China,Xiamen,China,2
697,Changzhou,China,Zhuhai,China,1
698,Datong,China,Taiyuan,China,3
699,Daocheng,China,Chengdu,China,4
700,Dalian,China,Chongqing,China,1
701,Dalian,China,Hangzhou,China,10
702,Dalian,China,Harbin,China,3
703,Dalian,China,Jinan,China,6
704,Dalian,China,Xuzhou,China,1
705,Dunhuang,China,Lanzhou,China,2
706,Dongsheng,China,Chengdu,China,1
707,Dongsheng,China,Shenyang,China,1
708,Dayong,China,Chongqing,China,2
709,Dayong,China,Nanjing,China,2
710,Fuzhou,China,Changcha,China,6
711,Fuzhou,China,Xi'an,China,5
712,Xiahe city,China,Lhasa,China,1
713,Xiahe city,China,Xi'an,China,1
714,Haikou,China,Chongqing,China,5
715,Haikou,China,Chengdu,China,5
716,Haikou,China,Hangzhou,China,7
717,Haikou,China,Ninbo,China,2
718,Haikou,China,Zhuhai,China,3
719,Handan,China,Chengdu,China,1
720,Hohhot,China,Chengdu,China,3
721,Hefei,China,Chengdu,China,4
722,Hangzhou,China,Zhengzhou,China,10
723,Hangzhou,China,Chongqing,China,6
724,Hangzhou,China,Chengdu,China,9
725,Hangzhou,China,Dalian,China,10
726,Hangzhou,China,Haikou,China,7
727,Hangzhou,China,Guiyang,China,6
728,Hangzhou,China,Tianjin,China,5
729,Hangzhou,China,Taiyuan,China,5
735,Harbin,China,Zhengzhou,China,7
736,Harbin,China,Changzhou,China,3
737,Harbin,China,Dalian,China,3
738,Harbin,China,Yinchuan,China,1
739,Harbin,China,Ninbo,China,2
