52,59,66,73,80,87,94,101,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,213,220,227,234,241,248,255,262,269,276,283,290,297,304
30.929,18.86,9.1182,5.1149,3.5664,3.1815,2.8317,2.6085,2.5711,2.5236,2.523,2.4058,2.2744,2.1371,1.9678,1.781,1.5894,1.4288,1.2174,1.0811,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1
29.5,28.768,27.658,27.208,27.208,25.21,17.923,12.798,9.8427,8.1009,6.9487,6.2989,5.9048,5.7049,5.5811,5.43,5.2423,5.0817,5.0751,5.0731,5.0671,4.8164,4.5434,4.257,4.0136,3.7542,3.6617,3.6607,3.6531,3.6181,3.5272,3.3972,3.2709,3.1716,3.0227,2.8416,1.5
21.098,9.8279,4.7968,4.7962,4.646,4.6379,4.3767,4.3619,4.2027,4.1829,4.1509,4.0734,4.0517,4.0493,4.0483,3.5276,2.9533,2.343,1.9617,1.6945,1.6933,1.6637,1.6554,1.6551,1.6547,1.6542,1.654,1.6535,1.653,1.6526,1.6519,1.6516,1.6489,1.6486,1.6481,1.6476,1.5
101.15,101.15,78.804,44.498,28.422,20.641,15.518,11.662,8.9033,7.153,6.5001,6.315,5.1289,3.7886,2.6199,1.8728,1.3887,1.0997,1.0025,1.0025,1.0024,1.0024,1.0023,1.0022,1.0022,1.0022,1.0022,1.0022,1.0003,1.0003,1.0002,1.0002,1.0002,1.0001,1.0001,1.0001,1
95.234,95.234,28.012,12.94,7.2062,4.6183,3.4239,2.8151,2.5133,2.4253,2.3043,2.3043,2.2907,2.2843,2.2834,2.2834,2.2817,2.2591,2.2265,2.1914,2.1517,2.129,2.1252,2.1187,2.1164,2.1164,2.1073,2.1073,2.0958,2.064,2.064,2.0311,1.9499,1.8647,1.8645,1.8412,1.5
82.025,81.772,81.604,76.891,53.487,41.305,30.524,22.662,17.484,14.282,11.707,9.5542,8.4727,7.8443,7.8443,7.8443,7.1732,6.2597,5.3836,4.6706,4.1896,4.0271,3.9694,3.9688,3.9682,3.9681,3.917,3.5122,3.0792,2.686,2.429,2.3041,2.0538,2.0513,2.004,1.9461,1.5
45.573,45.573,45.573,45.573,42.047,30.287,23.752,18.666,15.049,12.178,10.664,10.664,10.664,9.24,7.3527,5.5261,4.155,3.1676,2.4638,2.0647,1.8183,1.8182,1.8178,1.8133,1.8097,1.8051,1.8039,1.8038,1.7831,1.7831,1.7809,1.7748,1.7656,1.7594,1.7512,1.7414,1.5
12.006,11.999,11.11,9.0999,8.9674,8.9233,5.5265,3.0877,2.3189,2.2271,2.086,1.8478,1.6683,1.6148,1.5825,1.5248,1.461,1.3813,1.2904,1.1892,1.0996,1.0336,1.0007,1.0007,1.0007,1.0007,1.0006,1.0006,1.0006,1.0005,1.0005,1.0005,1.0004,1.0004,1.0003,1.0002,1.0001
18.012,18.011,15.027,14.989,14.923,14.793,14.031,13.883,13.875,13.826,12.275,10.654,8.6088,7.2648,5.9512,4.9242,4.1393,3.521,3.048,2.7022,2.5391,2.4767,2.4767,2.4763,2.4116,2.2958,2.1778,1.9836,1.7936,1.6503,1.5547,1.5471,1.5432,1.5311,1.5091,1.4742,1.4558
