id,Country,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06
108,Nicaragua,17152,17165,17181,17197,17213,17228,17242,17257,17270,17284,17297,17310,17322,17334,17345,17357,17368,17378,17389,17399,17409,17418,17428,17437,17446,17454,17463,17471,17479,17486,17494,17501,17508,17515,17522,17528,17535,17541,17547,17553,17558,17564,17569,17574,17579,17584,17589,17594,17598,17603,17607,17611,17615,17619,17623,17627,17630,17634,17637,17641,17644,17647,17650,17653,17656,17659,17661,17664,17667,17669,17672,17674,17676,17679,17681,17683,17685,17687,17689,17691,17693,17695,17696,17698,17700,17701,17703,17704,17706,17707,17709,17710,17711,17713,17714,17715,17716,17718,17719,17720,17721
109,Niger,6921,6938,6956,6974,6992,7010,7028,7045,7063,7080,7097,7114,7131,7148,7165,7182,7198,7215,7231,7248,7264,7280,7296,7312,7328,7344,7359,7375,7390,7406,7421,7436,7451,7466,7481,7496,7511,7525,7540,7555,7569,7583,7598,7612,7626,7640,7654,7667,7681,7695,7708,7722,7735,7749,7762,7775,7788,7801,7814,7827,7840,7853,7865,7878,7890,7903,7915,7927,7940,7952,7964,7976,7988,7999,8011,8023,8035,8046,8058,8069,8080,8092,8103,8114,8125,8136,8147,8158,8169,8180,8190,8201,8212,8222,8233,8243,8253,8264,8274,8284,8294
110,Nigeria,213883,213925,213977,214027,214077,214125,214173,214219,214264,214308,214352,214394,214435,214475,214515,214553,214590,214627,214663,214698,214732,214765,214798,214830,214861,214891,214921,214950,214979,215006,215033,215060,215085,215111,215135,215159,215183,215206,215228,215250,215271,215292,215313,215332,215352,215371,215389,215407,215425,215442,215459,215476,215492,215508,215523,215538,215553,215567,215581,215594,215608,215621,215633,215646,215658,215670,215681,215693,215704,215714,215725,215735,215745,215755,215764,215774,215783,215792,215800,215809,215817,215825,215833,215841,215848,215856,215863,215870,215877,215883,215890,215896,215902,215909,215914,215920,215926,215932,215937,215943,215948
111,Macedonia,214213,214582,214973,215361,215745,216126,216502,216874,217241,217604,217963,218316,218665,219009,219349,219683,220013,220338,220659,220975,221285,221591,221892,222189,222480,222767,223049,223326,223598,223864,224125,224381,224632,224878,225118,225355,225586,225813,226035,226252,226464,226672,226875,227073,227266,227455,227640,227820,227995,228166,228333,228496,228654,228808,228958,229104,229246,229385,229519,229650,229777,229900,230020,230136,230249,230359,230465,230568,230668,230765,230859,230950,231038,231124,231207,231287,231364,231439,231511,231581,231649,231715,231778,231839,231898,231955,232010,232064,232115,232165,232212,232258,232303,232346,232387,232427,232466,232504,232542,232579,232616
112,Norway,257309,260017,262516,265031,267554,270080,272603,275118,277618,280098,282552,284976,287366,289717,292027,294290,296504,298664,300769,302818,304811,306747,308624,310443,312202,313902,315545,317132,318663,320140,321558,322920,324231,325493,326708,327876,329001,330083,331125,332127,333092,334020,334914,335775,336604,337403,338173,338916,339631,340321,340987,341629,342249,342847,343426,343984,344524,345045,345549,346037,346508,346965,347412,347847,348268,348676,349062,349419,349764,350098,350421,350733,351036,351328,351612,351886,352152,352409,352659,352900,353134,353361,353580,353793,353999,354199,354393,354581,354763,354939,355111,355277,355438,355594,355745,355893,356037,356178,356318,356456,356593
113,Oman,304519,304525,304531,304538,304545,304551,304557,304563,304569,304575,304581,304586,304591,304597,304602,304607,304611,304616,304621,304625,304629,304634,304638,304642,304646,304650,304653,304657,304661,304664,304668,304671,304674,304677,304680,304683,304686,304689,304692,304695,304697,304700,304702,304705,304707,304709,304712,304714,304716,304718,304720,304722,304724,304726,304728,304730,304732,304733,304735,304737,304738,304740,304741,304743,304744,304746,304747,304748,304750,304751,304752,304753,304755,304756,304757,304758,304759,304760,304761,304762,304763,304764,304765,304766,304767,304768,304768,304769,304770,304771,304772,304772,304773,304774,304774,304775,304776,304776,304777,304777,304778
114,Pakistan,1283886,1284101,1284391,1284672,1284944,1285206,1285461,1285707,1285946,1286178,1286403,1286621,1286834,1287041,1287243,1287439,1287631,1287819,1288002,1288181,1288355,1288524,1288689,1288849,1289003,1289153,1289298,1289439,1289576,1289708,1289836,1289960,1290081,1290198,1290312,1290422,1290529,1290633,1290733,1290831,1290926,1291018,1291107,1291193,1291277,1291357,1291436,1291511,1291585,1291656,1291724,1291791,1291855,1291918,1291978,1292036,1292093,1292147,1292200,1292251,1292301,1292349,1292395,1292440,1292484,1292526,1292566,1292605,1292643,1292680,1292715,1292749,1292783,1292815,1292846,1292875,1292904,1292932,1292959,1292985,1293011,1293035,1293059,1293081,1293103,1293125,1293145,1293165,1293184,1293203,1293220,1293238,1293254,1293271,1293286,1293301,1293316,1293330,1293345,1293359,1293373
115,Panama,477096,477281,477459,477638,477817,477997,478178,478359,478541,478723,478906,479088,479271,479455,479638,479821,480004,480188,480371,480554,480736,480919,481101,481283,481464,481645,481825,482005,482184,482363,482541,482719,482895,483071,483247,483421,483595,483768,483940,484111,484281,484450,484619,484786,484953,485118,485283,485446,485609,485770,485930,486090,486248,486405,486561,486716,486870,487023,487174,487325,487474,487622,487769,487915,488060,488203,488345,488487,488627,488766,488903,489040,489175,489309,489442,489574,489705,489834,489963,490090,490216,490341,490465,490587,490709,490829,490948,491066,491183,491299,491413,491527,491639,491750,491861,491970,492078,492186,492293,492400,492507
116,Papua New Guinea,34906,34988,35105,35219,35329,35436,35539,35639,35735,35829,35919,36006,36090,36172,36250,36326,36400,36471,36539,36606,36670,36732,36792,36850,36906,36960,37013,37064,37113,37160,37206,37251,37294,37335,37375,37414,37452,37488,37523,37557,37590,37622,37653,37683,37712,37740,37767,37793,37818,37843,37867,37890,37912,37933,37954,37974,37994,38013,38031,38049,38066,38083,38099,38114,38129,38144,38158,38172,38185,38198,38210,38222,38234,38245,38256,38267,38277,38287,38296,38306,38315,38324,38332,38340,38348,38356,38363,38371,38378,38384,38391,38397,38403,38409,38415,38421,38426,38432,38437,38442,38448
117,Paraguay,462605,462664,462722,462779,462837,462893,462950,463005,463059,463111,463163,463212,463259,463305,463348,463389,463427,463462,463495,463526,463553,463579,463602,463623,463642,463659,463674,463688,463700,463711,463720,463729,463737,463744,463750,463755,463760,463764,463768,463772,463775,463778,463780,463782,463784,463786,463788,463789,463790,463792,463793,463793,463794,463795,463796,463796,463797,463797,463798,463798,463798,463798,463799,463799,463799,463799,463799,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800,463800
