"Geography","Week_Ending_Sat","rsv_cov_infants_pes","rsv_cov_infants_opt","rsv_cov_over60_pes","rsv_cov_over60_opt","fips","rsv_n_dose_infants_pes","rsv_n_dose_infants_opt","age","pop_0_6m"
"United States","2023-08-05",0,0,0,0,"US",0,0,0,1841556.5
"United States","2023-08-12",0,0,0,0,"US",0,0,0,1841556.5
"United States","2023-08-19",0,0,0,0,"US",0,0,0,1841556.5
"United States","2023-08-26",0,0,0,0,"US",0,0,0,1841556.5
"United States","2023-09-02",0,0,0,0,"US",0,0,0,1841556.5
"United States","2023-09-09",0,0,0.000241075250900754,0.000482150501801509,"US",0,0,0,1841556.5
"United States","2023-09-16",0,0,0.00243402667259533,0.00486805334519066,"US",0,0,0,1841556.5
"United States","2023-09-23",0.000295557251814517,0.000886671755443574,0.00540020555213482,0.0108004111042696,"US",544,1633,0,1841556.5
"United States","2023-09-30",0.00166839176921933,0.00500517530765801,0.00928729394105558,0.0185745878821112,"US",3072,9217,0,1841556.5
"United States","2023-10-07",0.00359695935419479,0.0107908780625844,0.0141992135633891,0.0283984271267783,"US",6624,19872,0,1841556.5
"United States","2023-10-14",0.00616089897448951,0.0184826969234686,0.0201794992687897,0.0403589985375794,"US",11346,34037,0,1841556.5
"United States","2023-10-21",0.00940936560267547,0.0282280968080265,0.0272034009878938,0.0544068019757875,"US",17328,51984,0,1841556.5
"United States","2023-10-28",0.013374574593119,0.0401237237793571,0.0351751264578958,0.0703502529157917,"US",24630,73890,0,1841556.5
"United States","2023-11-04",0.0180679011533471,0.0542037034600414,0.0439273611474425,0.087854722294885,"US",33273,99819,0,1841556.5
"United States","2023-11-11",0.0234730743175885,0.0704192229527655,0.0532217205855276,0.106443441171055,"US",43227,129681,0,1841556.5
"United States","2023-11-18",0.0295424522922158,0.0886273568766475,0.0627566620348053,0.125513324069611,"US",54404,163212,0,1841556.5
"United States","2023-11-25",0.036194971298538,0.108584913895614,0.0721999591628698,0.14439991832574,"US",66655,199965,0,1841556.5
"United States","2023-12-02",0.0433146939188719,0.129944081756616,0.0812370449577114,0.162474089915423,"US",79766,239299,0,1841556.5
"United States","2023-12-09",0.0507496634325111,0.152248990297533,0.0896133363047162,0.179226672609432,"US",93458,280375,0,1841556.5
"United States","2023-12-16",0.0583150699168689,0.174945209750607,0.0971522819023462,0.194304563804692,"US",107390,322171,0,1841556.5
"United States","2023-12-23",0.0658104259493209,0.197431277847963,0.103754307966575,0.20750861593315,"US",121194,363581,0,1841556.5
"United States","2023-12-30",0.0730458588161641,0.219137576448492,0.109392199772107,0.218784399544214,"US",134518,403554,0,1841556.5
"United States","2024-01-06",0.0798652104550519,0.239595631365156,0.116919220280498,0.233838440560997,"US",147076,441229,0,1841556.5
"United States","2024-01-13",0.0861555855310776,0.258466756593233,0.119002569640052,0.238005139280105,"US",158660,475981,0,1841556.5
"United States","2024-01-20",0.0918458924732762,0.275537677419829,0.120738811366215,0.24147762273243,"US",169139,507418,0,1841556.5
"United States","2024-01-27",0.0969031366842028,0.290709410052608,0.122329596724806,0.244659193449612,"US",178453,535358,0,1841556.5
"United States","2024-02-03",0.101327450386714,0.303982351160143,0.123966993134697,0.247933986269393,"US",186600,559801,0,1841556.5
"United States","2024-02-10",0.105144590757433,0.3154337722723,0.125625393896085,0.25125078779217,"US",193630,580889,0,1841556.5
"United States","2024-02-17",0.108396488076863,0.325189464230589,0.127240860528229,0.254481721056458,"US",199618,598855,0,1841556.5
"United States","2024-02-24",0.111133001840178,0.333399005520534,0.128790237357458,0.257580474714916,"US",204658,613973,0,1841556.5
"United States","2024-03-02",0.112914283508234,0.338742850524702,0.130250368710101,0.260500737420202,"US",207938,623814,0,1841556.5
"United States","2024-03-09",0.11477831699141,0.344334950974229,0.131679278202085,0.263358556404169,"US",211371,634112,0,1841556.5
"United States","2024-03-16",0.116497364166228,0.349492092498683,0.133136715406488,0.266273430812975,"US",214536,643609,0,1841556.5
"United States","2024-03-23",0.118063223658311,0.354189670974932,0.134507033919801,0.269014067839601,"US",217420,652260,0,1841556.5
"United States","2024-03-30",0.119467694093281,0.358403082279844,0.135672008994049,0.271344017988099,"US",220007,660020,0,1841556.5
"United States","2024-04-06",0.119467694093281,0.358403082279844,0.136628575986564,0.273257151973128,"US",220007,660020,0,1841556.5
"United States","2024-04-13",0.119467694093281,0.358403082279844,0.137521783717268,0.275043567434537,"US",220007,660020,0,1841556.5
"United States","2024-04-20",0.119467694093281,0.358403082279844,0.138354744566701,0.276709489133402,"US",220007,660020,0,1841556.5
"United States","2024-04-27",0.119467694093281,0.358403082279844,0.139127775225759,0.278255550451517,"US",220007,660020,0,1841556.5
"United States","2024-05-04",0.119467694093281,0.358403082279844,0.139857732396605,0.27971546479321,"US",220007,660020,0,1841556.5
"United States","2024-05-11",0.119467694093281,0.358403082279844,0.140651707463348,0.281303414926696,"US",220007,660020,0,1841556.5
"United States","2024-05-18",0.119467694093281,0.358403082279844,0.141463296352247,0.282926592704494,"US",220007,660020,0,1841556.5
"United States","2024-05-25",0.119467694093281,0.358403082279844,0.142212309216938,0.284424618433875,"US",220007,660020,0,1841556.5
"United States","2024-06-01",0.119467694093281,0.358403082279844,0.142820996477298,0.285641992954595,"US",220007,660020,0,1841556.5
"California","2023-08-05",0,0,0,0,"06",0,0,0,212574.5
"California","2023-08-12",0,0,0,0,"06",0,0,0,212574.5
"California","2023-08-19",0,0,0,0,"06",0,0,0,212574.5
"California","2023-08-26",0,0,0,0,"06",0,0,0,212574.5
"California","2023-09-02",0,0,0,0,"06",0,0,0,212574.5
"California","2023-09-09",0,0,0.00154754407235144,0.00309508814470289,"06",0,0,0,212574.5
"California","2023-09-16",0,0,0.0043510954532378,0.0087021909064756,"06",0,0,0,212574.5
"California","2023-09-23",0.000526692421406336,0.00158007726421902,0.00798795558758796,0.0159759111751759,"06",112,336,0,212574.5
"California","2023-09-30",0.002233819827491,0.00670145948247301,0.012591640987884,0.025183281975768,"06",475,1425,0,212574.5
"California","2023-10-07",0.00461177863001997,0.0138353358900599,0.018250176953729,0.036500353907458,"06",980,2941,0,212574.5
"California","2023-10-14",0.00775096702666092,0.0232529010799828,0.0249935750568575,0.0499871501137151,"06",1648,4943,0,212574.5
"California","2023-10-21",0.0116974553174818,0.0350923659524454,0.03278739402475,0.0655747880494999,"06",2487,7460,0,212574.5
"California","2023-10-28",0.016453591145682,0.0493607734370459,0.0415296842706726,0.0830593685413452,"06",3498,10493,0,212574.5
"California","2023-11-04",0.0219838656146185,0.0659515968438556,0.0510493024645369,0.102098604929074,"06",4673,14020,0,212574.5
"California","2023-11-11",0.0282196716592275,0.0846590149776824,0.0611049108811124,0.122209821762225,"06",5999,17996,0,212574.5
"California","2023-11-18",0.0350625646382332,0.1051876939147,0.0713903526926461,0.142780705385292,"06",7453,22360,0,212574.5
"California","2023-11-25",0.0423861975578155,0.127158592673447,0.0815604982600468,0.163120996520094,"06",9010,27031,0,212574.5
"California","2023-12-02",0.050037426149036,0.150112278447108,0.0912709976533092,0.182541995306618,"06",10637,31910,0,212574.5
"California","2023-12-09",0.0578377164825411,0.173513149447623,0.10021493963106,0.20042987926212,"06",12295,36884,0,212574.5
"California","2023-12-16",0.0655892171025907,0.196767651307772,0.108143787803692,0.216287575607385,"06",13943,41828,0,212574.5
"California","2023-12-23",0.0730932970829364,0.219279891248809,0.11488237936572,0.22976475873144,"06",15538,46613,0,212574.5
"California","2023-12-30",0.0801761545397042,0.240528463619113,0.120348120256052,0.240696240512104,"06",17043,51130,0,212574.5
"California","2024-01-06",0.0867096329030586,0.260128898709176,0.1294,0.2588,"06",18432,55297,0,212574.5
