"SUMLEV","REGION","DIVISION","STATE","NAME","SEX","AGE","POPEST2010_CIV","POPEST2011_CIV","POPEST2012_CIV","POPEST2013_CIV","POPEST2014_CIV","POPEST2015_CIV","POPEST2016_CIV","POPEST2017_CIV","POPEST2018_CIV","POPEST2019_CIV","POPEST2020_CIV","POPEST2021_CIV","POPEST2022_CIV"
10,0,0,0,"United States",0,0,3951495,3963264,3926731,3931411,3954973,3984144,3963268,3882437,3826908,3762227,3669863,3570131,3683113
10,0,0,0,"United States",0,1,3957904,3966768,3978210,3943348,3949559,3973828,4003586,3981864,3897917,3842257,3719267,3675382,3588817
10,0,0,0,"United States",0,2,4090799,3971498,3980139,3993047,3960015,3967672,3992657,4021261,3996742,3911822,3807454,3725597,3693362
10,0,0,0,"United States",0,3,4111869,4102429,3983007,3992839,4007852,3976277,3984985,4009060,4035053,4009037,3885476,3813656,3742836
10,0,0,0,"United States",0,4,4077511,4122252,4112849,3994539,4006407,4022785,3992241,4000394,4021907,4045996,3987970,3891463,3830225
10,0,0,0,"United States",0,5,4064653,4087770,4132349,4123745,4007123,4020489,4038022,4007233,4012789,4032231,4023811,3993711,3907298
10,0,0,0,"United States",0,6,4073031,4075153,4097860,4142923,4135738,4020428,4034969,4052428,4019106,4022432,4012049,4029311,4008898
10,0,0,0,"United States",0,7,4043100,4083399,4085255,4108453,4154947,4148711,4034355,4048430,4063647,4027876,3999001,4017311,4043729
10,0,0,0,"United States",0,8,4025624,4053313,4093553,4096033,4120476,4167765,4162142,4047130,4059209,4071894,4006214,4004132,4031341
10,0,0,0,"United States",0,9,4125413,4035854,4063662,4104437,4107986,4133426,4181069,4175085,4058207,4067320,4050595,4011235,4017929
10,0,0,0,"United States",0,10,4187075,4135768,4046381,4074286,4116331,4121033,4147144,4194214,4186406,4066272,4135255,4055389,4024547
10,0,0,0,"United States",0,11,4115507,4197598,4146575,4057122,4086146,4128897,4134412,4159828,4205105,4194335,4223965,4139966,4068564
10,0,0,0,"United States",0,12,4113297,4126187,4208490,4157448,4068827,4098625,4142365,4147046,4170603,4213041,4385948,4228509,4152811
10,0,0,0,"United States",0,13,4119616,4124224,4136911,4219450,4169630,4082044,4112882,4155487,4158257,4178933,4378112,4390229,4240884
10,0,0,0,"United States",0,14,4145529,4131249,4135486,4148681,4232826,4184014,4097197,4126881,4167471,4167472,4305343,4382415,4403033
10,0,0,0,"United States",0,15,4230914,4158618,4143832,4148777,4164200,4249506,4201142,4113009,4140321,4178242,4266157,4309985,4396566
