,Region,03-17-2020,03-20-2020,03-27-2020,03-22-2020,03-29-2020,04-1-2020,03-18-2020,04-3-2020,03-30-2020,03-21-2020,03-28-2020,04-10-2020,03-24-2020,04-5-2020,04-6-2020,04-7-2020,04-11-2020,04-8-2020,04-2-2020,03-26-2020,04-9-2020,03-23-2020,03-16-2020,03-31-2020,04-4-2020,04-12-2020,03-19-2020,03-25-2020,04-13-2020
60,Lakewood,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,7,0,1,0,0,0,0,0,4,0
61,Long Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Compton,0,0,7,0,11,19,0,26,13,0,9,54,1,34,36,38,54,44,24,5,49,1,0,16,31,64,0,2,65
63,Willowbrook,0,0,1,0,1,5,0,8,2,0,1,20,1,12,14,15,20,19,6,1,20,0,0,2,10,21,0,1,21
64,Carson,1,3,21,4,28,44,0,63,35,3,26,113,8,83,93,96,113,104,55,21,103,6,0,39,69,118,1,9,121
65,Rancho Palos Verdes,0,0,7,1,8,16,0,22,10,0,8,36,3,28,33,34,36,35,20,6,35,1,0,13,27,39,0,5,42
66,Lomita,0,5,0,8,0,0,0,6,0,7,0,18,9,9,11,13,18,13,0,12,17,8,0,0,7,21,5,9,22
67,Torrance,1,2,21,3,34,63,2,76,43,2,32,125,5,86,92,101,125,111,69,14,121,4,2,53,85,143,2,9,145
68,Redondo Beach,0,1,23,4,29,50,0,60,34,2,24,81,7,64,67,68,81,73,54,20,78,5,0,39,62,84,0,9,85
69,Manhattan Beach,4,6,22,7,27,41,4,45,31,7,23,53,11,46,48,51,53,52,43,21,52,9,3,40,46,54,5,17,54
70,El Segundo,0,1,0,1,0,0,0,5,0,2,0,10,2,7,7,8,10,8,0,2,9,1,0,0,6,11,0,2,11
71,Hawthorne,0,2,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,9,0,3,0,0,0,0,1,8,0
72,Lawndale,0,1,2,1,4,7,0,10,4,1,3,24,2,13,16,20,24,22,8,2,22,2,0,6,10,25,1,1,27
73,Gardena,1,1,5,1,6,14,1,20,7,1,6,53,1,30,30,37,53,42,17,4,47,1,1,12,23,74,1,1,74
74,Athens-Westmont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Inglewood,1,2,12,3,20,37,1,55,26,2,14,105,5,69,78,85,105,92,44,12,99,3,2,31,62,116,2,5,121
76,Culver City,2,4,6,4,9,17,0,20,14,4,7,31,7,26,27,29,31,29,19,8,30,5,0,15,23,31,3,6,32
77,Santa Monica,1,4,28,7,41,53,3,62,47,5,38,88,16,68,74,77,88,81,56,21,82,12,1,49,65,92,2,18,92
78,Beverly Hills,0,0,21,8,24,39,0,53,28,7,21,71,12,65,65,70,71,71,45,15,71,12,0,35,60,74,0,13,74
79,San Pedro,1,1,8,1,10,14,1,25,11,1,9,39,2,26,31,31,39,36,19,5,37,2,1,14,25,45,1,4,50
80,Wilmington,0,0,5,1,10,13,0,16,10,0,7,28,4,19,20,21,28,22,13,5,25,3,0,12,19,33,0,4,33
81,Harbor City,0,0,1,0,2,7,0,15,4,0,1,23,0,19,20,21,23,21,8,1,22,0,0,5,18,24,0,0,24
82,Harbor Gateway,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
83,Century Palms/Cove,0,1,3,1,8,11,1,13,8,1,5,26,1,17,19,21,26,21,11,3,23,1,0,10,15,28,0,3,30
84,Watts,0,0,1,0,2,7,0,12,2,0,1,24,0,15,16,19,24,20,11,1,23,0,0,7,14,27,0,1,29
85,Vermont Vista,0,0,2,1,5,7,0,8,5,1,3,21,3,14,14,16,21,18,7,5,20,1,0,6,11,24,0,3,27
86,Vermont Knolls,0,1,0,1,0,5,0,7,0,1,0,16,1,12,13,14,16,15,7,3,15,1,0,0,10,15,1,1,15
87,Harvard Park,0,0,1,0,2,4,0,8,3,0,2,24,0,16,19,18,24,22,5,0,22,0,0,4,12,25,0,0,27
88,Hyde Park,0,0,2,0,4,8,0,10,6,0,2,16,1,14,14,14,16,15,10,1,16,1,0,7,11,15,0,1,16
89,Westchester,2,3,8,3,17,18,2,22,17,3,12,31,3,24,25,25,31,28,18,7,30,3,1,17,23,32,3,5,32
90,Playa Vista,0,1,5,2,5,7,0,8,5,2,5,10,4,8,10,10,10,10,7,8,10,3,0,7,8,10,1,5,10
91,Del Rey,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,9,0,2,0,0,0,0,0,5,0
92,Venice,2,4,11,7,17,18,4,20,18,6,13,34,8,25,26,28,34,29,20,11,31,7,1,18,20,35,4,9,35
93,Mar Vista,1,3,8,5,9,18,1,23,13,4,8,34,6,25,26,28,34,31,21,8,32,6,0,13,24,34,1,6,34
94,Palms,0,1,12,1,20,27,0,33,21,1,15,62,6,41,46,48,62,50,28,10,51,2,0,25,39,67,1,8,69
95,Century City,0,4,6,4,8,17,0,19,9,4,8,24,6,23,23,23,24,23,17,9,23,4,0,13,21,27,0,7,27
96,Beverlywood,0,0,8,6,11,15,0,16,11,5,10,19,7,17,17,18,19,19,15,10,19,7,0,13,16,20,0,8,20
97,Crestview,0,1,7,5,11,15,0,20,13,4,9,35,7,23,29,31,35,31,17,9,33,6,0,13,20,42,1,7,43
98,Park La Brea,0,4,0,4,0,5,0,6,0,4,0,9,8,8,9,9,9,9,6,8,9,6,0,0,6,9,0,8,9
99,Miracle Mile,0,1,7,4,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,13,0,5,0,0,0,0,0,8,0
100,Cloverdale/Cochran,0,0,0,0,0,5,0,8,0,0,0,11,2,10,10,10,11,10,5,3,10,1,0,0,10,11,0,3,12
101,Baldwin Hills,0,0,5,0,9,13,1,14,9,0,7,28,0,20,21,24,28,26,13,4,27,0,0,11,18,31,0,3,33
102,Leimert Park,0,0,0,0,0,7,0,12,0,0,0,23,0,17,18,20,23,21,10,2,23,0,0,0,15,24,0,0,25
