id,Country,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01
10,Azerbaijan,516325,516767,518846,520956,523156,525386,527707,530058,532506,534986,537568,540182,542902,545656,548520,551418,554433,557481,560651,563855,567185,570550,574045,577577,581243,584945,588787,592664,596686,600744,604950,609192,613587,618016,622602,627222,632003,636816,641794,646802,651979,657184,662560,667962,673539,679138,684913,690708,696682,702671,708840,715020,721381,727748,734296,740846,747576,754302,761208,768103,775177,782233,789465,796674,804055,811405,818925,826405,834051,841650,849409,857113,864972,872767,880711,888583,896597,904530,912599,920577,928684,936692,944819,952840,960973,968990,977111,985108,993199,1001160,1009206,1017115,1025099,1032939,1040847,1048603,1056419,1064077,1071787,1079333,1086922
11,The Bahamas,22179,21920,21980,22042,22111,22183,22263,22347,22440,22536,22644,22755,22880,23009,23152,23301,23467,23638,23829,24027,24247,24474,24726,24987,25277,25576,25908,26250,26629,27019,27451,27895,28385,28888,29442,30011,30636,31276,31977,32693,33477,34274,35144,36027,36987,37958,39011,40071,41216,42365,43600,44834,46155,47467,48866,50249,51715,53157,54676,56163,57721,59236,60814,62341,63922,65441,67005,68499,70029,71482,72960,74355,75768,77094,78429,79676,80924,82085,83241,84311,85373,86351,87317,88204,89077,89875,90658,91372,92070,92705,93324,93885,94431,94925,95405,95838,96257,96636,97001,97331,97649
12,Bahrain,276571,276550,276599,276645,276691,276735,276778,276819,276861,276900,276939,276976,277013,277048,277083,277116,277149,277180,277212,277241,277271,277299,277327,277354,277380,277405,277431,277454,277478,277501,277523,277544,277566,277586,277606,277625,277644,277662,277680,277697,277715,277731,277747,277762,277777,277792,277806,277820,277834,277847,277860,277872,277884,277896,277907,277918,277929,277940,277950,277960,277970,277979,277988,277997,278006,278014,278023,278030,278038,278046,278053,278060,278067,278074,278081,278087,278093,278099,278105,278111,278117,278122,278127,278132,278137,278142,278147,278151,278156,278160,278165,278169,278173,278176,278180,278184,278188,278191,278194,278198,278201
13,Bangladesh,1567692,1567970,1568234,1568490,1568734,1568970,1569191,1569392,1569585,1569768,1569944,1570111,1570271,1570423,1570570,1570709,1570842,1570969,1571091,1571207,1571318,1571424,1571526,1571622,1571715,1571804,1571889,1571969,1572047,1572121,1572192,1572260,1572325,1572387,1572447,1572503,1572558,1572610,1572660,1572707,1572753,1572797,1572839,1572879,1572917,1572954,1572989,1573023,1573055,1573086,1573116,1573144,1573171,1573197,1573222,1573246,1573269,1573291,1573312,1573332,1573352,1573370,1573388,1573405,1573421,1573437,1573452,1573466,1573480,1573493,1573506,1573518,1573530,1573541,1573552,1573562,1573572,1573582,1573591,1573599,1573608,1573616,1573623,1573631,1573638,1573645,1573651,1573657,1573663,1573669,1573675,1573680,1573685,1573690,1573695,1573699,1573703,1573708,1573712,1573715,1573719
14,Barbados,15341,15601,15943,16286,16632,16979,17328,17678,18030,18382,18735,19088,19443,19796,20151,20504,20858,21209,21561,21911,22260,22607,22952,23295,23637,23975,24311,24644,24975,25302,25627,25947,26265,26578,26888,27193,27495,27793,28087,28375,28660,28940,29217,29487,29754,30016,30273,30525,30774,31016,31255,31488,31717,31940,32159,32373,32583,32788,32988,33184,33375,33561,33744,33921,34094,34263,34428,34588,34745,34897,35045,35189,35330,35467,35600,35729,35855,35977,36096,36211,36323,36432,36538,36640,36740,36837,36931,37022,37110,37196,37279,37360,37438,37514,37587,37658,37728,37794,37859,37922,37983
15,Belarus,586234,587983,589965,591933,593904,595859,597818,599760,601704,603632,605562,607476,609391,611289,613188,615070,616952,618817,620682,622530,624377,626206,628035,629845,631654,633445,635235,637006,638775,640526,642274,644004,645731,647439,649145,650831,652515,654179,655839,657481,659119,660738,662352,663948,665539,667111,668678,670226,671770,673294,674814,676314,677809,679285,680755,682207,683653,685080,686501,687904,689300,690678,692050,693403,694751,696079,697402,698706,700004,701283,702557,703812,705060,706291,707516,708722,709922,711105,712280,713439,714591,715726,716854,717965,719069,720157,721238,722303,723361,724402,725437,726456,727468,728465,729455,730429,731396,732349,733294,734225,735149
16,Belgium,1312360,1312523,1317586,1322849,1328457,1334288,1340509,1346978,1353889,1361095,1368823,1376894,1385573,1394654,1404450,1414721,1425843,1437530,1450231,1463610,1478207,1493621,1510508,1528389,1548059,1568940,1592005,1616547,1643764,1672790,1705095,1739615,1778157,1819406,1865584,1915057,1970551,2030029,2096823,2168385,2248766,2334776,2431297,2534338,2649724,2772466,2909431,3054405,3215361,3384619,3571275,3765939,3978799,4198552,4436385,4678982,4938391,5199352,5474614,5747262,6030584,6306546,6588807,6858953,7130832,7386469,7639677,7873685,8101979,8309570,8509290,8688248,8858302,9008726,9150146,9273877,9389162,9489113,9581557,9661114,9734259,9796837,9854099,9902860,9947314,9985030,10019314,10048321,10074628,10096837,10116946,10133893,10148588,10161163,10171747,10181306,10189346,10196603,10202702,10208205,10212828
17,Benin,24560,24563,24566,24567,24569,24570,24571,24572,24573,24573,24574,24575,24575,24576,24576,24576,24577,24577,24577,24578,24578,24578,24578,24578,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24579,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580
18,Bhutan,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617
19,Bolivia,509919,510315,510798,511286,511781,512281,512787,513299,513817,514341,514871,515407,515949,516498,517053,517614,518182,518756,519337,519924,520518,521119,521726,522340,522961,523590,524225,524867,525516,526172,526836,527506,528185,528870,529563,530264,530972,531687,532410,533141,533880,534626,535381,536143,536913,537692,538478,539273,540075,540886,541705,542533,543369,544213,545066,545927,546797,547675,548562,549458,550363,551276,552198,553129,554069,555018,555976,556942,557918,558903,559897,560900,561912,562934,563965,565005,566054,567113,568181,569258,570344,571440,572546,573661,574785,575919,577062,578215,579377,580549,581730,582920,584120,585330,586549,587778,589016,590263,591520,592787,594063
