id,Country,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11
10,Azerbaijan,222200,222389,222568,222772,223007,223263,223523,223789,224071,224338,224594,224850,225145,225479,225851,226257,226657,227030,227369,227679,227962,228217,228446,228650,228832,228990,229129,229246,229344,229430,229515,229603,229692,229782,229872,229949,230014,230066,230107,230137,230156,230168,230169,230169,230169,230170,230181,230201,230231,230272,230321,230367,230408,230442,230471,230496,230517,230533,230545,230553,230557,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559,230559
11,The Bahamas,7945,7955,7963,7972,7982,7991,8000,8009,8019,8028,8037,8046,8054,8063,8072,8081,8089,8098,8106,8115,8123,8131,8139,8147,8154,8163,8171,8179,8185,8194,8200,8209,8216,8224,8230,8238,8246,8252,8260,8267,8274,8280,8287,8293,8300,8307,8314,8320,8327,8332,8339,8345,8351,8357,8363,8369,8376,8381,8388,8393,8398,8405,8411,8416,8422,8427,8433,8439,8443,8449,8455,8460,8465,8470,8475,8480,8485,8490,8495,8500,8504,8509,8514,8518,8523,8527,8531,8536,8541,8544,8549,8553,8556,8558,8558,8558
12,Bahrain,94284,94469,94654,94837,95016,95189,95359,95524,95684,95843,95999,96152,96304,96451,96595,96737,96877,97013,97147,97278,97408,97535,97659,97782,97900,98018,98133,98246,98357,98465,98572,98677,98778,98879,98978,99075,99168,99262,99354,99442,99529,99615,99699,99782,99862,99942,100019,100095,100169,100242,100314,100384,100453,100521,100587,100651,100715,100776,100838,100897,100956,101013,101068,101124,101177,101230,101281,101333,101381,101430,101478,101524,101570,101615,101658,101701,101743,101784,101824,101864,101903,101940,101978,102014,102050,102083,102117,102151,102183,102215,102247,102279,102309,102339,102367,102394
13,Bangladesh,518898,519808,520695,521559,522397,523217,524020,524805,525574,526324,527056,527771,528470,529152,529819,530471,531108,531729,532336,532929,533507,534072,534625,535164,535690,536203,536704,537194,537671,538138,538593,539037,539471,539894,540306,540708,541101,541484,541858,542221,542576,542923,543260,543589,543910,544223,544526,544824,545113,545395,545669,545938,546198,546451,546698,546938,547173,547400,547621,547837,548046,548250,548449,548641,548828,549010,549187,549359,549527,549688,549845,549999,550146,550291,550430,550565,550695,550823,550945,551064,551180,551291,551399,551503,551604,551701,551795,551886,551975,552064,552148,552232,552314,552393,552471,552546
14,Barbados,743,778,817,859,908,961,1019,1085,1159,1242,1335,1437,1551,1679,1821,1978,2155,2350,2568,2809,3077,3376,3707,4073,4479,4929,5427,5977,6585,7253,7991,8802,9693,10668,11737,12904,14176,15559,17058,18680,20428,22307,24320,26466,28747,31160,33699,36363,39139,42018,44987,48032,51134,54276,57440,60604,63747,66851,69898,72867,75744,78516,81170,83696,86088,88342,90456,92427,94259,95952,97513,98947,100259,101455,102544,103531,104422,105228,105953,106603,107187,107707,108172,108585,108952,109277,109563,109815,110037,110228,110397,110541,110666,110770,110857,110927
15,Belarus,204958,206777,208589,210390,212183,213970,215755,217536,219316,221093,222866,224638,226406,228167,229922,231671,233412,235146,236872,238591,240303,242007,243703,245390,247070,248747,250419,252087,253749,255402,257046,258680,260306,261922,263530,265128,266716,268295,269864,271425,272975,274515,276045,277566,279075,280575,282064,283544,285013,286473,287920,289358,290785,292201,293608,295002,296387,297760,299123,300475,301816,303146,304466,305775,307072,308359,309634,310900,312154,313398,314629,315851,317061,318261,319450,320627,321794,322951,324096,325230,326354,327467,328568,329661,330742,331812,332872,333921,334959,335986,337002,338007,339002,339985,340958,341920
16,Belgium,655732,657104,658454,659789,661121,662446,663753,665042,666305,667569,668822,670052,671258,672436,673586,674711,675812,676891,677946,678977,679986,680972,681937,682880,683802,684704,685586,686448,687290,688114,688920,689706,690476,691228,691962,692682,693382,694068,694738,695393,696034,696658,697269,697866,698448,699018,699575,700118,700649,701168,701674,702169,702652,703124,703585,704035,704474,704903,705322,705731,706131,706522,706903,707275,707637,707992,708339,708677,709007,709329,709643,709952,710250,710543,710828,711108,711380,711646,711905,712159,712406,712647,712882,713112,713336,713556,713769,713977,714181,714380,714574,714764,714948,715128,715304,715475
17,Benin,3304,3309,3315,3321,3327,3334,3341,3348,3353,3359,3365,3371,3377,3383,3387,3393,3399,3405,3410,3415,3421,3427,3432,3437,3443,3448,3454,3458,3463,3468,3473,3478,3484,3489,3494,3500,3504,3510,3514,3518,3523,3528,3533,3538,3542,3546,3550,3554,3559,3562,3567,3571,3575,3580,3583,3587,3591,3595,3599,3603,3607,3611,3614,3618,3622,3626,3630,3635,3638,3641,3644,3649,3653,3657,3660,3663,3666,3669,3673,3676,3679,3682,3685,3688,3691,3694,3697,3700,3703,3706,3709,3712,3715,3715,3715,3715
18,Bhutan,755,765,775,784,791,800,807,816,822,828,834,840,844,849,852,854,856,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858,858
19,Bolivia,166981,167751,168531,169320,170120,170935,171747,172548,173340,174134,174931,175729,176525,177318,178110,178900,179690,180478,181266,182053,182837,183620,184401,185182,185962,186739,187515,188289,189062,189834,190604,191372,192139,192904,193667,194429,195188,195946,196702,197458,198210,198960,199709,200457,201202,201944,202686,203425,204163,204898,205631,206362,207091,207818,208544,209266,209986,210704,211420,212134,212846,213555,214262,214968,215670,216369,217068,217763,218456,219146,219834,220521,221203,221884,222563,223238,223912,224583,225250,225916,226579,227240,227898,228553,229205,229856,230503,231148,231790,232429,233066,233701,234333,234962,235589,236213
