,from_city,from_country,to_city,to_country,num_flights
165,Kodiak,United States,Larsen Bay,United States,1
166,Larsen Bay,United States,Karluk,United States,1
247,Burlington,United States,Chicago,United States,2
248,Burlington,United States,St. Louis,United States,1
249,Decatur,United States,Chicago,United States,1
250,Decatur,United States,St. Louis,United States,1
251,Jonesboro,United States,St. Louis,United States,1
252,Chicago,United States,Burlington,United States,2
253,Chicago,United States,Decatur,United States,1
254,St. Louis,United States,Burlington,United States,1
255,St. Louis,United States,Decatur,United States,1
256,St. Louis,United States,Jonesboro,United States,1
257,Ketchikan,United States,Metakatla,United States,3
258,Metakatla,United States,Ketchikan,United States,3
420,Atlanta,United States,Lewisburg,United States,1
421,Atlanta,United States,Macon,United States,1
422,Atlanta,United States,Meridian,United States,1
423,Atlanta,United States,Muscle Shoals,United States,1
424,Atlanta,United States,Hattiesburg/Laurel,United States,1
425,Atlanta,United States,Tupelo,United States,1
429,Key West,United States,Fort Lauderdale,United States,2
430,Key West,United States,Fort Myers,United States,2
431,Key West,United States,Tampa,United States,4
434,Fort Lauderdale,United States,Key West,United States,2
438,Fort Lauderdale,United States,Orlando,United States,3
441,Fort Lauderdale,United States,Tampa,United States,5
446,Greenville,United States,Tupelo,United States,1
447,Gainesville,United States,Orlando,United States,2
448,Gainesville,United States,Tampa,United States,2
450,Jacksonville,United States,Tampa,United States,2
451,Lewisburg,United States,Atlanta,United States,1
452,Macon,United States,Atlanta,United States,1
453,Macon,United States,Orlando,United States,1
454,Orlando,United States,Fort Lauderdale,United States,3
455,Orlando,United States,Gainesville,United States,2
456,Orlando,United States,Macon,United States,1
458,Orlando,United States,Pensacola,United States,2
459,Orlando,United States,Fort Myers,United States,2
460,Orlando,United States,Tallahassee,United States,2
461,Meridian,United States,Atlanta,United States,1
466,Muscle Shoals,United States,Atlanta,United States,1
469,West Palm Beach,United States,Tampa,United States,2
470,Hattiesburg/Laurel,United States,Atlanta,United States,1
471,Pensacola,United States,Orlando,United States,2
472,Pensacola,United States,Tampa,United States,2
473,Fort Myers,United States,Key West,United States,2
474,Fort Myers,United States,Orlando,United States,2
476,Tallahassee,United States,Orlando,United States,2
477,Tallahassee,United States,Tampa,United States,2
478,Tampa,United States,Key West,United States,4
479,Tampa,United States,Fort Lauderdale,United States,5
480,Tampa,United States,Gainesville,United States,2
481,Tampa,United States,Jacksonville,United States,2
482,Tampa,United States,West Palm Beach,United States,2
483,Tampa,United States,Pensacola,United States,2
484,Tampa,United States,Tallahassee,United States,2
485,Tupelo,United States,Atlanta,United States,1
486,Tupelo,United States,Greenville,United States,1
969,Las Vegas,United States,Los Angeles,United States,9
970,Los Angeles,United States,Las Vegas,United States,9
973,Mcgrath,United States,Nikolai,United States,1
974,Nikolai,United States,Mcgrath,United States,1
975,Tatalina,United States,Mcgrath,United States,1
1653,Anaktuvuk Pass,United States,Fairbanks,United States,2
1654,Bettles,United States,Anaktuvuk Pass,United States,2
1655,Central,United States,Circle,United States,1
1656,Chalkyitsik,United States,Fairbanks,United States,1
1657,Chalkyitsik,United States,Fort Yukon,United States,1
1658,Fairbanks,United States,Bettles,United States,2
1659,Fairbanks,United States,Central,United States,1
1660,Fairbanks,United States,Chalkyitsik,United States,1
1661,Fairbanks,United States,Fort Yukon,United States,3
1662,Fairbanks,United States,Manley Hot Springs,United States,1
1663,Fairbanks,United States,Beaver,United States,1
1664,Fort Yukon,United States,Chalkyitsik,United States,1
1665,Fort Yukon,United States,Fairbanks,United States,3
1666,Circle,United States,Fairbanks,United States,1
1667,Beaver,United States,Fairbanks,United States,1
1668,Bethel,United States,Eek,United States,2
1669,Bethel,United States,Kipnuk,United States,1
1670,Bethel,United States,Quinhagak,United States,2
1671,Bethel,United States,Kwethluk,United States,2
1672,Bethel,United States,Marshall,United States,2
1673,Bethel,United States,Nightmute,United States,2
1674,Bethel,United States,Napakiak,United States,1
1675,Chefornak,United States,Bethel,United States,2
1676,Eek,United States,Bethel,United States,1
1677,Eek,United States,Quinhagak,United States,2
1678,Kongiganak,United States,Kwigillingok,United States,2
1679,Kipnuk,United States,Chefornak,United States,2
1680,Kwigillingok,United States,Bethel,United States,2
1681,Quinhagak,United States,Bethel,United States,2
1682,Quinhagak,United States,Eek,United States,1
1683,Nightmute,United States,Toksook Bay,United States,2
1684,Napaskiak,United States,Bethel,United States,1
1685,Port Moller,United States,Bethel,United States,1
1686,Napakiak,United States,Napaskiak,United States,1
2351,Ambler,United States,Kotzebue,United States,2
2352,Ambler,United States,Shungnak,United States,2
2353,Kodiak,United States,Anchorage,United States,2
2354,Wainwright,United States,Atqasuk,United States,1
2355,Wainwright,United States,Barrow,United States,1
2356,Anchorage,United States,Kodiak,United States,2
2357,Anchorage,United States,Aniak,United States,3
2358,Anchorage,United States,Bethel,United States,2
2359,Anchorage,United States,Cordova,United States,2
2360,Anchorage,United States,Kenai,United States,3
2361,Anchorage,United States,Fairbanks,United States,2
2362,Anchorage,United States,Homer,United States,2
2363,Anchorage,United States,St Mary's,United States,2
2364,Anchorage,United States,Unalakleet,United States,3
2365,Anchorage,United States,Valdez,United States,2
2366,Aniak,United States,Anchorage,United States,3
2367,Aniak,United States,Chuathbaluk,United States,1
2368,Aniak,United States,Holy Cross,United States,2
2369,Aniak,United States,Kalskag,United States,2
2370,Aniak,United States,Russian Mission,United States,1
2371,Aniak,United States,Shageluk,United States,1
