,State,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
10,Florida,28621.0,29383.5,30126.0,30863.5,31587.5,32302.0,33007.0,33702.5,34390.0,35069.0,35740.5,36405.0,37062.0,37712.5,38357.5
11,New York,256540.0,260870.0,264855.0,268695.0,272490.0,276085.0,279530.0,282875.0,286130.0,289270.0,292330.0,295315.0,298225.0,301065.0,303850.0
12,Rhode Island,5849.35,6228.05,6690.9,7143.25,7588.65,8096.95,8645.05,9184.95,9760.0,10395.5,11049.0,11719.0,12447.0,13221.5,14015.0
13,Georgia,19864.0,20543.0,21203.0,21869.0,22529.5,23181.5,23823.5,24452.0,25072.0,25688.5,26297.0,26896.5,27487.5,28070.5,28646.5
14,New Hampshire,1540.7,1590.95,1643.4,1697.3000000000002,1751.55,1809.1,1866.65,1926.4,1985.85,2045.4,2103.05,2158.35,2213.45,2268.8500000000004,2324.1000000000004
15,North Carolina,7191.85,7429.6,7662.95,7895.55,8140.85,8380.7,8593.9,8821.05,9062.75,9312.400000000001,9584.15,9850.5,10098.75,10340.5,10569.0
16,New Jersey,95941.5,99579.0,103190.0,106875.0,110550.0,114320.0,118080.0,121885.0,125745.0,129620.0,133525.0,137460.0,141425.0,145420.0,149450.0
17,Colorado,10805.5,11160.5,11516.5,11881.0,12235.0,12599.0,12963.0,13329.0,13698.0,14066.0,14438.5,14810.5,15186.5,15563.0,15941.5
18,Maryland,14887.0,15530.5,16190.5,16840.0,17493.5,18154.0,18814.0,19473.0,20137.0,20802.0,21469.0,22138.0,22810.0,23484.0,24160.0
19,Nevada,4053.6499999999996,4144.5,4225.4,4319.049999999999,4444.4,4534.4,4630.05,4716.6,4809.35,4909.15,4991.15,5067.45,5151.299999999999,5256.950000000001,5338.049999999999
20,Tennessee,7546.85,7769.85,7977.700000000001,8262.45,8472.9,8699.7,8906.9,9179.5,9389.5,9617.1,9822.75,10088.9,10297.5,10524.5,10728.5
21,Hawaii,586.685,591.49,596.115,600.505,604.9449999999999,608.9100000000001,612.825,616.66,620.3299999999999,623.785,627.06,630.0150000000001,632.87,635.64,638.37
22,Indiana,12548.5,13035.5,13555.5,14086.5,14623.5,15142.0,15651.5,16150.5,16661.5,17194.0,17749.0,18315.5,18881.5,19439.5,19990.5
23,Kentucky,3350.85,3532.4,3741.7,3881.8,4065.0,4259.65,4445.35,4676.75,4843.1,5054.1,5290.9,5492.9,5747.950000000001,5951.9,6191.450000000001
24,Minnesota,2700.35,2847.55,2997.25,3149.8,3296.2,3441.95,3592.45,3754.45,3931.45,4113.45,4295.65,4477.799999999999,4662.55,4857.15,5063.25
25,Oklahoma,2909.3500000000004,3010.85,3121.0,3245.8,3376.4,3513.55,3660.55,3818.0,3987.75,4170.5,4367.0,4579.1,4808.55,5057.4,5327.25
26,Pennsylvania,36765.5,38115.0,39460.0,40847.5,42240.5,43641.5,45058.0,46491.5,47936.0,49393.0,50865.0,52350.5,53849.0,55361.0,56887.0
27,South Carolina,4742.7,4897.75,5024.55,5145.65,5268.5,5381.799999999999,5520.9,5649.7,5778.2,5896.25,6007.5,6127.7,6244.45,6369.15,6486.05
28,District of Columbia,3255.8,3413.45,3576.3,3745.45,3918.5,4097.1,4282.0,4471.55,4664.65,4863.15,5064.6,5271.6,5484.3,5701.299999999999,5923.8
29,Kansas,2217.2,2319.0,2425.8,2531.4,2639.8999999999996,2751.8500000000004,2867.8,2986.95,3110.1000000000004,3235.95,3362.7,3492.3,3625.6,3760.3,3898.65
30,Missouri,6085.7,6213.15,6336.049999999999,6455.15,6572.15,6682.200000000001,6789.0,6892.8,6993.6,7091.1,7186.1,7278.7,7369.05,7457.25,7543.5
31,Vermont,822.98,825.98,828.465,830.985,833.81,836.24,838.575,840.895,843.175,845.3399999999999,847.4449999999999,849.5,851.485,853.41,855.275
32,Virginia,10193.5,10749.5,11417.5,12171.5,12888.5,13581.0,14344.0,15153.5,15930.5,16784.5,17767.0,18780.5,19754.0,20756.5,21839.0
33,Connecticut,21764.0,22594.5,24116.0,24997.5,26498.0,27516.0,29070.5,30168.0,31768.5,32969.5,34625.5,35921.0,37639.0,39033.0,40817.5
34,Iowa,4083.95,4548.15,5093.35,5722.0,6508.25,7402.05,8389.4,9521.65,10695.5,12046.0,13574.5,15350.5,17472.5,19849.5,22600.5
35,Louisiana,25305.0,25679.0,26092.5,26454.5,26825.0,27179.0,27525.5,27858.5,28183.5,28499.0,28805.0,29101.5,29389.5,29669.0,29940.5
36,Ohio,14970.5,16304.5,17706.0,19195.0,20867.0,22674.5,24636.5,26767.0,29084.5,31593.0,34285.5,37166.5,40259.5,43615.0,47242.5
37,Michigan,33681.5,34413.0,35142.0,35879.0,36591.5,37297.0,37984.0,38659.5,39311.5,39954.5,40590.5,41222.0,41850.5,42462.5,43066.0
38,South Dakota,1831.5500000000002,1901.1,1967.0,2034.1999999999998,2100.75,2165.0,2228.0,2290.45,2351.75,2411.85,2471.0,2529.25,2586.65,2643.1000000000004,2698.8
39,Arkansas,2481.8500000000004,2790.6,3193.9,3682.3,4291.9,5067.15,6056.75,7326.75,8959.25,11071.55,13811.45,17369.3,21995.95,28013.7,35834.05
40,Delaware,3093.3999999999996,3233.1000000000004,3409.9,3610.6000000000004,3798.05,3979.4,4159.799999999999,4375.35,4577.2,4777.85,4993.2,5223.95,5459.6,5686.75,5924.9
41,Mississippi,4965.75,5246.049999999999,5497.75,5757.55,6042.3,6335.0,6620.1,6922.0,7237.55,7557.75,7882.200000000001,8222.8,8572.5,8929.25,9295.95
42,New Mexico,2155.75,2251.8,2367.8500000000004,2469.5,2566.3,2677.25,2794.05,2900.75,3011.1000000000004,3132.6,3253.05,3369.1,3492.2,3621.8999999999996,3748.95
43,North Dakota,683.5799999999999,720.2850000000001,764.575,830.885,886.51,933.405,966.02,1002.4000000000001,1040.4499999999998,1088.15,1159.35,1220.4,1274.25,1312.6999999999998,1352.85
44,Wyoming,326.89,331.15999999999997,334.72,338.225,341.71000000000004,345.44,349.115,352.34000000000003,355.235,358.08,360.98,363.94,366.73,369.275,371.66499999999996
45,Alaska,332.145,337.1,341.92999999999995,346.94500000000005,351.495,355.79,360.04999999999995,364.21500000000003,368.19,372.06,375.77,379.4,382.94,386.47,389.85
46,Maine,899.845,910.23,918.865,927.755,936.005,943.62,950.75,957.6500000000001,964.21,970.47,976.47,982.31,987.9,993.315,998.5649999999999
47,Alabama,5562.950000000001,5827.8,6122.549999999999,6459.3,6830.0,7249.15,7724.4,8265.45,8881.45,9586.85,10397.05,11329.35,12405.3,13649.05,15089.5
48,Idaho,1685.65,1709.2,1735.35,1756.4,1775.55,1795.0,1814.3,1832.1,1849.5,1866.0500000000002,1881.9,1896.75,1910.9,1924.35,1937.25
49,Montana,440.735,444.35,447.68,450.53,453.07,455.53999999999996,457.72,460.21000000000004,462.53999999999996,464.70000000000005,466.71500000000003,468.525,470.28499999999997,472.0,473.66999999999996
50,Puerto Rico,902.51,883.89,854.48,817.0799999999999,801.0899999999999,784.525,768.3,754.225,743.9549999999999,734.625,726.475,719.645,714.0,709.11,704.94
51,Virgin Islands,54.208,54.3065,54.4185,54.4765,54.542500000000004,54.589,54.628,54.6575,54.682500000000005,54.702,54.7175,54.730000000000004,54.739999999999995,54.748000000000005,54.7545
52,Guam,894.78,923.605,949.1949999999999,975.625,986.105,992.805,1002.925,1017.47,1028.145,1033.97,1038.7150000000001,1042.3200000000002,1051.1,1069.52,1088.335
53,West Virginia,968.6,1005.65,1034.7,1068.65,1103.1,1135.1,1168.05,1202.1,1235.05,1268.15,1301.8,1335.05,1368.3,1401.9,1435.35
54,Northern Mariana Islands,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
