,State,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
12,Rhode Island,7777.5,10059.4,12804.5,15914.0,19382.5,23142.0,27114.5,31646.0,37687.0,45735.0,56215.5,69974.0,87582.0,108970.0,134260.0,162585.0,194495.0,231385.0,274710.0,325490.0
13,Georgia,23678.0,28223.5,34009.5,40168.5,46365.0,55655.5,69688.5,87756.5,109641.0,136635.5,172289.5,223562.0,293834.0,381281.0,488470.0,621850.0,794150.0,1020800.0,1304330.0,1640335.0
14,New Hampshire,1769.55,2026.3,2384.1,2821.1499999999996,3340.8500000000004,3927.8999999999996,4575.95,5311.65,6158.55,7107.35,8168.6,9488.85,11200.05,13508.25,16624.4,20816.55,26327.65,33243.25,41701.3,51796.8
15,North Carolina,8621.400000000001,10446.6,12938.5,15865.3,19151.2,23063.2,27875.5,34771.0,44752.0,59247.0,79547.5,105957.5,139609.0,181771.0,235572.5,306909.5,402911.0,532433.5,703223.5,920666.5
16,New Jersey,122175.0,162020.0,223485.0,304690.0,409265.0,550115.0,742240.0,1015695.0,1400400.0,1926950.0,2614050.0,3454450.0,4410000.0,5407850.0,6360200.0,7182850.0,7825700.0,8277750.0,8562500.0,8723300.0
17,Colorado,12536.0,14761.5,17735.0,21186.5,25120.0,29667.5,34901.5,41857.0,51163.5,62586.0,76274.5,93289.0,114600.0,140350.0,171510.0,210785.0,260090.0,320330.0,394050.0,484520.0
18,Maryland,21135.0,28931.0,38716.5,50144.0,62732.5,75965.0,89565.5,109015.0,137160.0,178035.0,235510.0,312665.0,411560.0,533325.0,683085.0,866510.0,1090550.0,1364800.0,1698800.0,2096950.0
19,Nevada,4307.049999999999,4602.25,4999.45,5514.15,6179.55,7005.15,8022.3,9270.1,10798.1,12623.95,14799.3,17573.05,21145.5,25655.75,31376.35,38640.5,47815.5,59313.0,73663.5,91470.5
20,Tennessee,9183.3,11002.5,13384.0,16259.0,19716.5,24209.0,30186.0,39046.0,51784.5,69224.5,92810.5,124610.0,167935.0,226685.0,306430.0,414000.0,557185.0,745540.0,991185.0,1307900.0
21,Hawaii,658.0899999999999,746.9300000000001,862.8199999999999,1014.0350000000001,1209.62,1441.6799999999998,1717.535,2074.965,2538.955,3179.79,4069.735,5308.725,7018.9,9360.65,12534.95,16726.3,22246.8,29558.75,39213.35,51855.35
22,Indiana,17134.5,23659.5,33092.0,45801.0,62608.5,84320.5,113800.0,153220.0,205475.0,276000.0,371545.0,501805.0,679645.0,920795.0,1242000.0,1657950.0,2173350.0,2777600.0,3440800.0,4113650.0
23,Kentucky,3855.7,4475.65,5291.85,6288.25,7504.9,9006.65,10860.5,13112.5,15836.0,19145.5,23208.5,28425.0,35193.0,43887.0,54972.0,68893.5,86311.5,108045.0,135025.0,168350.0
24,Minnesota,3015.05,3420.5,4050.25,4916.05,6060.85,7500.8,9293.0,11481.4,14141.35,17597.7,22242.0,28519.0,37024.0,48444.5,63629.5,83550.0,109448.0,143075.0,186775.0,243710.0
25,Oklahoma,3157.75,3515.0,4026.6,4669.05,5458.3,6387.400000000001,7471.65,8694.7,10056.75,11744.3,13959.8,17079.25,21531.7,27684.15,35974.05,46798.9,60559.75,77602.6,98410.35,123628.15
26,Pennsylvania,44030.0,53146.0,64852.0,77721.0,91647.0,111413.5,139979.5,181050.0,237049.5,305453.0,389094.0,498600.0,646555.0,849000.0,1114085.0,1444190.0,1844135.0,2316560.0,2870585.0,3504105.0
