,Country,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
0,Afghanistan,1290.1,1401.4,1515.25,1631.65,1753.35,1874.6,1997.2,2141.2,2307.0,2494.45,2700.4,2937.2,3202.05,3474.7,3762.05,4071.3,4409.75,4782.4,5200.5,5673.15
1,Albania,659.725,685.38,712.22,740.2,769.515,800.41,832.97,867.365,903.755,942.105,983.055,1027.605,1075.55,1126.45,1180.5,1237.9499999999998,1299.0,1364.0500000000002,1433.4,1507.25
2,Algeria,3357.45,3839.2,4339.1,4887.4,5745.25,6657.15,7876.8,9495.05,11748.25,14166.0,17521.5,21725.5,27521.0,34250.0,43478.0,54730.5,69716.0,87798.0,112331.0,142420.0
3,Andorra,812.985,909.52,1012.53,1159.375,1358.785,1573.9499999999998,1825.3999999999999,2137.85,2502.15,2948.2,3507.0,4196.55,5053.5,6167.8,7576.35,9323.45,11499.55,14177.45,17377.5,21070.5
4,Angola,26.6115,29.7805,34.977000000000004,43.533,57.6575,80.6785,118.4465,180.65,283.3485,453.0815,734.2,1200.0335,1971.7665,3249.25,5363.5835,8863.6665,14655.75,24238.3335,40086.4165,66279.0
5,Antigua and Barbuda,23.878500000000003,24.0445,24.171,24.2835,24.383,24.491999999999997,24.6125,24.7455,24.8935,25.0465,25.205,25.375999999999998,25.5565,25.7385,25.9245,26.118,26.320999999999998,26.536,26.762999999999998,27.002
6,Argentina,3698.1499999999996,4300.2,5050.35,5990.4,7173.6,8688.0,10626.85,13113.5,16314.0,20348.5,25459.0,31920.5,40107.0,50723.0,64456.0,82257.5,105321.5,134895.0,172870.0,221675.0
7,Armenia,1646.85,1937.4,2334.8,2840.55,3454.95,4174.1,5003.1,5981.0,7145.65,8630.4,10622.5,13385.5,17240.25,22561.05,29771.0,39219.0,51256.0,66263.5,84769.5,107569.0
8,Australia,6891.75,7141.15,7412.2,7714.5,8056.8,8450.45,8897.9,9410.55,10143.45,11140.7,12459.5,14177.5,16387.5,19193.0,22720.0,26954.0,32157.0,38650.5,46839.5,57235.0
9,Austria,15127.5,15336.0,15570.5,15839.5,16159.5,16544.0,17004.0,17559.0,18235.0,19062.5,20076.5,21324.0,22859.0,24719.5,26978.0,29722.5,33060.5,37121.5,42064.0,48078.5
10,Azerbaijan,1647.65,1771.25,1891.5500000000002,2062.9,2248.0,2433.8999999999996,2647.6,2912.9,3261.05,3634.3,4063.15,4618.8,5235.15,5908.55,6791.7,7815.75,8985.3,10400.0,12065.0,14004.5
11,Bahamas,71.65,76.744,82.9485,90.31800000000001,99.119,109.7855,122.869,138.90550000000002,158.619,183.01999999999998,213.195,250.875,298.14,356.96000000000004,430.28,521.795,636.15,779.165,958.05,1182.025
12,Bahrain,2169.95,2266.95,2363.2,2461.95,2563.65,2670.7,2781.8999999999996,2904.45,3038.85,3182.7,3335.7,3502.3,3683.35,3876.6499999999996,4083.7000000000003,4306.6,4546.700000000001,4805.4,5084.55,5386.15
13,Bangladesh,4396.4,5230.5,6314.25,7670.5,9330.25,11288.5,13524.5,16121.5,19254.0,23120.5,27947.5,34009.0,41580.5,50857.5,62094.0,75650.5,92048.0,111985.0,136365.0,166290.0
14,Barbados,77.1275,79.4345,82.64949999999999,87.138,93.651,103.334,117.7285,139.2825,171.72299999999998,220.501,293.82,404.065,569.75,817.8249999999999,1189.07,1744.1399999999999,2572.53,3805.3849999999998,5632.365,8320.83
15,Belarus,8024.7,8863.099999999999,9730.85,10569.45,11522.0,12662.0,13933.0,15248.5,16691.0,18354.0,20223.5,22263.5,24531.0,27081.5,29954.5,33127.5,36621.5,40520.5,44897.5,49773.5
16,Belgium,44874.5,48007.0,51101.5,54176.0,58751.0,64805.0,71039.0,77721.0,86032.5,97447.0,110705.0,125335.0,142825.0,165160.0,192560.0,223550.0,259370.0,303150.0,357045.0,420120.0
17,Benin,56.4795,59.3355,62.8725,67.2525,72.67699999999999,79.39500000000001,87.715,97.565,109.31,123.4,140.4,160.995,186.505,217.5,255.21,301.065,356.805,424.54,506.82,606.75
18,Bhutan,6.4792000000000005,6.62695,6.7527,6.8731,6.98575,7.09585,7.20895,7.32915,7.475350000000001,7.6533999999999995,7.8652999999999995,8.10175,8.344249999999999,8.59925,8.844850000000001,9.08385,9.3077,9.51755,9.712250000000001,9.89415
19,Bolivia,688.2850000000001,746.405,811.315,879.88,955.425,1033.78,1112.45,1200.9,1302.9,1419.9,1552.0,1701.35,1868.5,2048.1,2242.8,2458.05,2699.0,2970.6,3276.5,3619.3999999999996
20,Bosnia and Herzegovina,1520.25,1675.05,1844.5,2026.3,2229.15,2531.6,2947.6,3501.4,4208.7,5017.0,6018.85,7323.0,9069.15,11398.0,14342.0,18007.0,22574.0,28349.0,35846.5,45552.5
21,Brazil,61996.5,81413.5,105448.0,135490.0,172525.0,218360.0,283805.0,375395.0,501630.0,673955.0,906795.0,1219085.0,1641600.0,2214500.0,2993050.0,4049750.0,5469650.0,7371300.0,9910700.0,13287500.0
22,Brunei,138.24,138.41,138.555,138.76,139.0,139.205,139.41,139.64,139.85,140.04500000000002,140.26,140.5,140.76,141.01999999999998,141.305,141.60500000000002,141.91,142.23,142.565,142.91
23,Bulgaria,1110.65,1197.3,1281.05,1382.5500000000002,1522.65,1664.9,1815.0,2018.75,2271.1,2530.3,2830.8500000000004,3236.6,3705.3,4205.45,4824.25,5607.55,6473.9,7448.5,8679.8,10160.55
24,Burkina Faso,661.255,728.96,815.37,923.0350000000001,1061.6,1253.75,1506.1,1842.05,2298.95,2927.7,3801.55,4997.4,6620.35,8818.5,11798.0,15845.5,21337.0,28789.0,38917.5,52688.5
