,Country,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
0,Afghanistan,1210.2,1240.8,1265.0,1290.8,1313.0,1336.0,1357.1,1378.6,1399.0,1419.6,1439.7,1459.8,1479.6,1499.5,1519.2,1538.9,1558.5,1578.2,1597.7,1617.4
1,Albania,648.2,660.9,673.8,687.8,697.7,707.4,717.0,726.0,735.1,745.1,752.1,758.9,765.7,772.3,778.9,786.1,791.0,795.9,800.7,805.4
2,Algeria,2938.8,2969.6,2992.6,3016.0,3035.4,3053.9,3070.2,3081.4,3091.7,3099.0,3106.2,3112.2,3118.0,3123.2,3128.2,3132.9,3136.4,3139.8,3142.3,3144.7
3,Andorra,721.4,721.7,721.8,721.9,721.9,721.9,721.9,721.9,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0
4,Angola,25.3,26.5,28.5,30.7,33.1,35.0,36.6,37.5,38.4,39.8,42.3,46.0,50.6,55.6,60.3,64.3,67.6,70.5,74.3,79.6
5,Antigua and Barbuda,23.9,24.1,24.3,24.6,24.8,25.1,25.5,25.8,26.2,26.7,27.1,27.7,28.3,29.0,29.8,30.7,31.6,32.8,34.0,35.4
6,Argentina,3280.0,3353.1,3423.9,3495.2,3575.9,3636.2,3697.8,3756.3,3812.8,3867.6,3922.2,3980.3,4028.5,4078.4,4126.4,4173.0,4218.5,4263.5,4310.8,4352.2
7,Armenia,1498.5,1530.2,1562.6,1594.7,1625.5,1656.9,1690.3,1723.3,1744.4,1765.2,1786.8,1807.8,1829.9,1852.8,1875.8,1899.5,1925.2,1951.1,1967.3,1983.0
8,Australia,6663.9,6674.0,6683.3,6691.6,6698.6,6704.4,6708.6,6712.3,6715.5,6718.6,6721.6,6724.3,6726.6,6728.7,6730.4,6732.0,6733.3,6734.6,6735.7,6736.7
9,Austria,14949.0,14967.0,14975.0,14984.5,14989.0,14993.5,14996.0,14998.5,14999.5,15001.0,15001.5,15002.0,15002.5,15003.0,15003.0,15003.0,15003.0,15003.5,15003.5,15003.5
10,Azerbaijan,1530.5,1545.1,1557.2,1568.4,1578.0,1587.4,1594.6,1601.4,1606.0,1610.4,1614.4,1618.1,1621.4,1624.7,1627.4,1630.2,1632.2,1634.2,1635.6,1637.1
11,Bahamas,69.2,70.9,72.8,74.8,76.5,78.5,81.0,83.5,86.6,89.4,91.6,93.7,95.8,97.9,100.2,102.4,104.6,107.2,110.0,113.1
12,Bahrain,2115.9,2168.1,2205.7,2244.9,2282.1,2322.3,2354.1,2387.2,2419.5,2455.7,2483.4,2512.6,2541.8,2574.1,2600.2,2627.3,2653.9,2682.5,2706.9,2732.0
13,Bangladesh,3950.7,4071.1,4162.9,4248.2,4306.0,4352.4,4393.2,4423.1,4446.2,4466.8,4482.2,4494.2,4504.7,4512.9,4519.2,4524.6,4528.9,4532.3,4535.2,4537.6
14,Barbados,75.4,75.5,75.6,75.7,75.7,75.8,75.9,75.9,76.0,76.0,76.1,76.1,76.2,76.2,76.3,76.3,76.4,76.4,76.5,76.5
15,Belarus,7510.8,7612.5,7675.5,7714.0,7737.6,7752.2,7761.2,7766.7,7770.1,7772.2,7773.5,7774.3,7774.8,7775.2,7775.3,7775.4,7775.5,7775.6,7775.6,7775.6
16,Belgium,42442.5,42971.0,43383.0,43735.5,44048.0,44328.0,44553.5,44756.0,44946.0,45119.0,45269.5,45401.5,45519.5,45626.5,45722.0,45808.5,45887.0,45958.0,46021.5,46079.0
17,Benin,55.9,58.7,61.8,66.8,73.9,80.1,86.1,92.7,98.1,103.7,112.8,123.7,136.4,153.0,170.2,185.8,203.3,222.7,243.4,271.0
18,Bhutan,6.6,6.9,7.4,8.0,8.8,9.9,11.4,13.4,16.0,19.4,24.0,30.1,38.3,49.4,64.1,83.9,110.5,146.1,193.9,258.0
19,Bolivia,657.2,669.4,679.9,692.1,699.1,705.3,712.6,716.7,720.3,724.7,727.1,729.2,731.9,733.3,734.6,736.2,737.1,737.8,738.8,739.3
20,Bosnia and Herzegovina,1388.7,1401.9,1414.0,1422.1,1430.3,1435.9,1441.3,1446.3,1449.9,1453.4,1456.3,1459.0,1461.0,1462.5,1464.0,1465.2,1466.4,1467.4,1468.2,1468.7
21,Brazil,47702.5,49196.0,50797.5,52446.5,54026.0,55533.5,56996.0,58455.0,59655.5,60524.0,61447.0,62452.5,63558.5,64756.5,65966.0,67130.5,68258.5,69378.0,70403.5,71183.0
22,Brunei,138.1,138.4,138.8,139.2,139.5,139.9,140.0,140.1,140.2,140.5,140.9,141.4,141.9,142.3,142.7,142.8,142.9,143.1,143.5,144.1
23,Bulgaria,1055.7,1084.0,1115.9,1153.5,1192.4,1230.9,1269.2,1307.0,1348.3,1386.4,1413.6,1445.1,1477.2,1515.9,1558.8,1606.4,1653.5,1700.2,1746.3,1794.8
24,Burkina Faso,614.8,621.0,625.5,630.2,634.5,638.7,641.7,644.9,648.0,650.8,652.9,655.1,657.2,659.2,660.6,662.2,663.6,664.9,665.9,667.0
25,Cabo Verde,76.5,79.2,81.4,83.4,85.4,87.4,88.8,90.1,91.5,92.9,93.9,94.9,96.0,97.1,98.1,99.0,99.9,100.8,101.6,102.4
26,Cambodia,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.1,122.1,122.1,122.2,122.3,122.4,122.5,122.8
27,Cameroon,1256.5,1286.2,1324.3,1360.1,1412.0,1449.0,1492.1,1545.8,1586.8,1622.2,1670.4,1709.5,1761.3,1809.9,1875.7,1925.7,1986.7,2052.7,2106.3,2158.5
28,Canada,42393.0,43150.5,43917.5,44716.5,45447.0,46209.0,46986.0,47717.5,48440.5,49107.5,49681.0,50190.0,50639.0,51020.0,51405.0,51803.5,52218.0,52653.0,53107.0,53572.5
29,Central African Republic,15.6,16.9,18.2,19.8,21.2,22.6,23.7,25.0,26.1,27.4,29.0,31.2,33.6,36.2,38.9,41.8,45.0,48.6,52.6,57.2
30,Chad,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
31,Chile,11515.0,11674.0,11833.0,11994.5,12129.5,12257.5,12387.5,12483.0,12552.0,12618.0,12677.0,12737.5,12799.0,12857.5,12914.5,12970.5,13020.5,13059.5,13090.5,13119.0
32,China,83880.5,83892.5,83904.5,83916.0,83925.0,83933.0,83939.5,83946.5,83953.0,83959.0,83964.5,83970.0,83975.0,83979.5,83984.5,83989.0,83993.0,83997.0,84000.5,84004.5
33,Colombia,4464.5,4571.5,4687.9,4801.4,4927.6,5058.7,5182.2,5304.0,5433.3,5524.9,5619.2,5710.8,5802.3,5898.3,5991.1,6089.3,6190.8,6284.0,6376.7,6473.0
34,Congo (Brazzaville),188.4,200.4,216.6,236.9,259.1,279.0,297.5,314.1,329.0,342.4,354.1,366.8,381.1,398.9,422.2,451.4,483.7,517.5,550.0,580.1
35,Congo (Kinshasa),371.8,381.5,391.6,401.3,410.4,416.9,424.4,432.1,441.6,451.8,461.7,471.6,480.1,486.8,491.2,497.0,503.2,509.2,515.3,521.0
36,Costa Rica,682.8,686.0,689.7,693.4,696.1,698.8,701.2,703.0,704.8,706.4,707.5,708.7,709.7,710.6,711.4,712.1,712.6,713.3,713.9,714.5
37,Cote d'Ivoire,991.7,1028.7,1072.7,1119.5,1160.3,1185.0,1210.0,1239.0,1270.6,1308.4,1349.2,1387.6,1416.2,1443.9,1471.3,1499.4,1532.3,1567.9,1602.9,1632.4
38,Croatia,1960.8,1969.6,1978.7,1987.8,1993.0,1998.5,2004.0,2007.2,2010.5,2013.8,2015.7,2017.7,2019.7,2020.9,2022.1,2023.3,2024.1,2024.8,2025.5,2025.9
39,Diamond Princess,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0
40,Cuba,1211.3,1236.5,1262.3,1289.0,1315.9,1342.9,1368.8,1390.7,1403.7,1416.1,1428.2,1440.8,1453.6,1466.8,1480.0,1493.2,1505.3,1515.6,1522.1,1528.3
41,Cyprus,794.1,798.2,801.6,804.7,807.6,810.2,812.6,814.6,816.3,817.7,818.9,819.8,820.5,821.1,821.6,822.0,822.4,822.8,823.2,823.6
42,Czechia,7166.6,7211.0,7250.2,7290.9,7332.7,7369.8,7404.5,7438.1,7459.4,7475.7,7493.3,7510.9,7527.9,7546.4,7566.6,7585.6,7603.5,7621.2,7633.4,7642.4
43,Denmark,8187.1,8260.6,8316.0,8371.0,8414.0,8459.2,8493.2,8518.1,8544.5,8571.0,8587.6,8603.2,8618.7,8631.9,8642.6,8651.9,8659.8,8667.8,8674.4,8679.3
