,State,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
0,Washington,12682.0,12745.5,12792.5,12829.0,12857.0,12878.5,12894.5,12906.5,12916.0,12923.0,12928.5,12933.0,12936.0,12938.0,12940.0,12942.0,12943.0,12943.0,12944.0,12945.0
1,Illinois,35917.5,36801.0,37431.0,38081.5,38719.0,39345.5,39807.0,40266.5,40703.0,41114.5,41432.0,41750.0,42058.5,42357.5,42592.5,42823.5,43045.0,43256.5,43427.0,43593.0
2,California,38723.0,39841.5,41022.5,42076.0,43061.5,44060.0,45145.5,46318.5,47475.0,48486.5,49331.0,50159.5,51013.0,51847.5,52674.0,53501.5,54338.0,55214.5,56135.0,57093.5
3,Arizona,5613.65,5739.800000000000,5850.7,5963.3,6066.6,6169.6,6267.85,6366.700000000000,6462.35,6563.5,6668.6,6774.5,6880.5,6987.300000000000,7094.65,7203.15,7312.75,7423.95,7536.75,7651.65
4,Massachusetts,44253.5,44912.5,45521.5,46030.0,46443.5,46786.5,47084.5,47342.5,47568.0,47759.0,47923.0,48065.0,48186.5,48292.5,48385.5,48465.5,48536.0,48597.5,48650.5,48697.0
5,Wisconsin,4929.7,4988.300000000000,5035.5,5085.35,5122.55,5152.7,5180.1,5202.0,5221.1,5237.5,5250.1,5261.65,5271.8,5279.4,5286.15,5292.35,5297.15,5301.15,5304.85,5307.9
6,Texas,22078.0,22370.0,22570.5,22785.0,22944.5,23114.5,23218.5,23333.5,23407.5,23487.0,23543.5,23603.0,23649.5,23697.5,23731.0,23767.5,23792.5,23819.0,23838.0,23858.0
7,Nebraska,2001.95,2071.6,2144.8,2232.4,2315.05,2394.7,2486.65,2564.1000000000000,2617.3,2670.3,2724.35,2783.05,2850.5,2924.85,3002.75,3086.45,3170.8,3241.6,3300.65,3357.75
8,Utah,3526.15,3581.7,3633.3500000000000,3681.3,3721.6000000000000,3761.5,3803.65,3846.8,3893.9,3943.95,3991.55,4037.75,4085.95,4122.65,4145.85,4170.3,4197.3,4224.25,4249.200000000000,4272.05
9,Oregon,2090.1500000000000,2118.3,2145.05,2172.15,2199.6,2218.95,2238.55,2258.55,2278.9000000000000,2298.45,2318.15,2338.05,2353.7,2369.45,2385.4,2401.5,2417.1500000000000,2432.8,2448.5,2462.05
10,Florida,28959.0,29295.0,29580.0,29846.5,30085.0,30304.5,30504.5,30688.0,30855.0,31005.5,31144.5,31269.0,31389.5,31506.0,31615.0,31717.5,31814.0,31904.0,31987.5,32066.5
11,New York,259755.0,261305.0,262655.0,263810.0,264475.0,265125.0,265705.0,266105.0,266430.0,266715.0,266900.0,267075.0,267225.0,267325.0,267415.0,267485.0,267540.0,267585.0,267625.0,267655.0
12,Rhode Island,6071.1,6277.700000000000,6495.8,6624.6,6745.700000000000,6872.65,7000.75,7135.5,7220.300000000000,7296.4,7374.85,7454.25,7537.450000000000,7592.800000000000,7640.75,7689.35,7738.55,7789.9,7825.75,7856.050000000000
13,Georgia,20477.5,20865.5,21231.5,21610.5,21876.0,22127.5,22371.0,22592.5,22794.0,23002.5,23150.5,23291.0,23427.5,23552.0,23669.0,23787.5,23871.5,23951.0,24027.0,24097.0
14,New Hampshire,1618.35,1643.85,1669.65,1695.8000000000000,1716.25,1736.35,1756.25,1772.4500000000000,1787.85,1802.75,1815.35,1827.0500000000000,1837.9,1847.5500000000000,1856.75,1865.75,1873.75,1881.45,1888.75,1895.45
15,North Carolina,7437.65,7584.25,7729.85,7877.4,8011.200000000000,8143.3,8275.95,8393.4,8507.05,8618.05,8717.600000000000,8814.1,8907.8,8998.5,9090.15,9180.9,9267.2,9351.9,9434.95,9515.1
16,New Jersey,97781.5,99483.5,101155.0,102890.0,104580.0,106270.0,108020.0,109280.0,110525.0,111760.0,113020.0,114260.0,115555.0,116715.0,117725.0,118700.0,119390.0,120030.0,120655.0,121270.0
17,Colorado,11040.0,11170.0,11290.5,11404.5,11493.5,11574.5,11650.5,11713.0,11769.5,11822.5,11867.0,11907.5,11945.0,11977.5,12007.5,12035.0,12059.5,12081.5,12102.0,12120.5
18,Maryland,15191.0,15394.0,15557.0,15695.5,15796.0,15876.5,15946.5,15998.5,16038.0,16072.5,16099.0,16119.5,16136.0,16149.5,16159.5,16168.0,16174.5,16180.0,16184.5,16187.5
19,Nevada,4115.85,4151.75,4177.65,4202.0,4219.75,4236.25,4248.6,4259.55,4268.1,4275.7,4281.6,4286.9,4291.15,4294.9,4297.95,4300.65,4302.85,4304.8,4306.4,4307.8
20,Tennessee,7909.45,8096.300000000000,8202.15,8334.95,8444.650000000000,8582.400000000000,8651.7,8738.900000000000,8816.4,8913.35,8962.5,9024.600000000000,9079.6,9148.35,9182.8,9226.3,9266.0,9315.8,9340.25,9371.25
21,Hawaii,588.76,591.86,594.665,597.245,599.48,601.315,602.89,604.26,605.4650000000000,606.52,607.505,608.465,609.395,610.24,611.015,611.7150000000000,612.3500000000000,612.925,613.45,613.925
22,Indiana,12679.5,12826.5,12958.5,13094.0,13228.5,13363.0,13488.0,13606.0,13701.0,13775.5,13827.0,13877.0,13926.0,13977.0,14030.5,14088.0,14145.5,14201.5,14253.0,14297.0
23,Kentucky,3458.8,3553.0,3651.95,3756.9000000000000,3863.55,3941.3,4011.75,4063.3,4120.75,4182.35,4248.05,4315.6,4374.75,4431.1,4472.55,4512.25,4549.75,4590.4,4632.9,4673.45
24,Minnesota,2848.25,2955.85,3065.25,3176.45,3294.5,3392.8,3490.7,3592.45,3696.15,3801.2,3906.9,4019.8,4126.7,4234.1,4345.45,4460.15,4577.7,4698.1,4822.65,4944.5
25,Oklahoma,2960.95,3013.9,3063.95,3106.8,3151.55,3192.1000000000000,3231.55,3269.3,3303.25,3338.8,3364.0,3389.55,3411.8,3432.25,3453.45,3474.5,3494.6,3511.3500000000000,3527.75,3545.1000000000000
26,Pennsylvania,37587.0,38365.5,39134.0,39884.0,40610.0,41304.0,41877.0,42218.0,42594.5,42993.5,43399.0,43799.5,44186.5,44564.5,44888.0,45175.5,45358.5,45556.5,45765.5,45977.0
27,South Carolina,4847.55,4937.550000000000,5029.45,5116.75,5192.300000000000,5267.55,5342.35,5376.300000000000,5421.35,5469.05,5519.2,5570.45,5619.15,5661.25,5703.2,5744.95,5763.9,5788.950000000000,5815.55,5843.5
28,District of Columbia,3286.55,3356.8,3426.25,3503.45,3582.8500000000000,3662.3,3741.8,3812.4000000000000,3880.75,3923.3,3963.4500000000000,4001.75,4041.95,4082.8,4128.2,4175.45,4221.450000000000,4268.0,4312.3,4355.3
