,Country,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
0,Afghanistan,1146.7,1210.6,1273.6,1340.3,1405.3,1471.2,1533.6,1597.5,1660.1,1724.1,1788.9,1859.2,1931.2,2008.4,2086.6
1,Albania,631.1,653.3,676.6,700.9,725.5,750.3,775.6,801.8,828.7,856.3,884.6,913.9,944.0,975.2,1007.5
2,Algeria,2904.3,2999.6,3098.1,3198.4,3296.2,3391.8,3488.7,3585.5,3684.0,3784.9,3885.4,3984.9,4082.5,4178.7,4274.2
3,Andorra,720.6,723.5,726.3,729.1,730.7,732.1,733.2,734.4,735.7,736.9,737.9,738.7,739.4,740.0,740.5
4,Angola,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
5,Antigua and Barbuda,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
6,Argentina,3124.9,3213.3,3292.0,3373.3,3446.9,3516.7,3592.1,3657.6,3728.1,3800.0,3863.9,3925.4,3983.9,4042.8,4103.8
7,Armenia,1459.6,1518.9,1576.5,1634.1,1695.9,1762.9,1831.5,1899.5,1967.0,2036.9,2113.0,2194.8,2278.9,2363.1,2448.6
8,Australia,6547.8,6550.1,6551.9,6552.6,6552.8,6552.9,6553.0,6553.2,6553.4,6553.6,6553.6,6553.7,6553.7,6553.7,6553.7
9,Austria,14931.5,14987.5,15038.5,15087.5,15133.5,15176.5,15216.0,15253.0,15288.0,15320.5,15351.0,15380.0,15406.5,15432.5,15456.0
10,Azerbaijan,1517.1,1557.1,1593.9,1625.7,1658.1,1693.1,1726.8,1760.0,1792.3,1821.4,1849.1,1877.9,1906.7,1935.1,1962.8
11,Bahamas,67.9,70.6,73.0,75.3,77.5,79.7,82.0,84.5,86.9,89.2,91.7,94.2,96.9,99.7,102.7
12,Bahrain,2043.8,2121.2,2196.2,2273.8,2349.5,2424.9,2494.5,2560.5,2624.0,2689.9,2758.2,2829.5,2901.0,2976.4,3054.5
13,Bangladesh,3948.6,4587.5,5338.1,6233.8,7296.1,8516.4,9941.6,11625.0,13639.0,16009.0,18829.5,22123.0,25975.0,30413.0,35635.0
14,Barbados,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
15,Belarus,7478.7,8032.3,8655.3,9266.6,9921.2,10587.7,11105.7,11461.0,12088.5,12851.5,13825.0,14506.0,15262.0,16053.0,16975.5
16,Belgium,42160.0,43344.0,44436.0,45519.5,46566.5,47614.0,48650.0,49636.0,50627.0,51592.5,52526.0,53447.5,54347.0,55233.5,56101.5
17,Benin,54.8,54.9,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
18,Bhutan,6.3,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
19,Bolivia,642.3,685.1,727.8,768.9,810.9,851.9,896.3,943.4,993.7,1044.7,1097.6,1151.4,1206.9,1265.1,1326.5
20,Bosnia and Herzegovina,1370.3,1398.0,1424.6,1450.2,1475.2,1498.5,1520.6,1541.0,1561.0,1580.4,1598.9,1616.6,1633.6,1649.8,1665.3
21,Brazil,45409.0,47787.5,50464.5,53206.0,56020.5,59100.5,62141.5,65024.5,68027.0,71235.0,74310.5,77425.0,80757.5,84197.0,87815.5
22,Brunei,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
23,Bulgaria,1011.2,1049.0,1085.9,1123.3,1160.5,1198.3,1236.8,1275.5,1314.1,1351.9,1389.2,1426.6,1464.8,1503.1,1541.2
