,State,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
0,Washington,13276.0,14346.5,15498.5,17010.0,18817.0,20944.5,23173.0,25771.5,28338.0,31359.0,34759.5,38682.5,43524.5,48960.5,55217.0
1,Illinois,42255.0,53654.5,68088.0,84840.5,103810.0,131972.0,173171.5,233118.5,317322.5,430519.0,583057.5,781703.0,1041445.5,1384485.0,1826521.5
2,California,41050.5,46966.0,53451.0,60789.0,68917.0,77718.5,87225.0,99600.5,115024.0,135260.0,161575.0,194235.0,234110.0,279460.0,331375.0
3,Arizona,6360.35,7982.4,10495.3,14255.0,19881.5,28211.0,40441.5,58537.0,85272.0,124556.5,182125.0,266395.0,389000.0,566015.0,818175.0
4,Massachusetts,53326.5,67019.0,82499.0,99270.0,117770.0,139845.0,166645.0,196670.0,228305.0,264725.0,309125.0,366305.0,437270.0,525380.0,633720.0
5,Wisconsin,4999.6,5526.0,6207.5,7043.700000000001,8047.75,9370.5,11242.75,13774.5,17162.0,21601.5,27469.5,35332.0,45861.0,59895.0,78541.0
6,Texas,29748.0,41849.5,58352.0,79958.0,107843.5,149355.0,211185.0,303535.0,440065.0,637495.0,921565.0,1328100.0,1907050.0,2727150.0,3872300.0
7,Nebraska,1907.4,2122.3,2350.45,2616.35,2911.95,3263.2,3612.3500000000004,4036.05,4521.65,5039.35,5630.3,6320.75,7111.4,7974.1,8982.6
8,Utah,3873.1000000000004,4479.95,5184.5,6127.5,7307.5,8799.35,10759.85,13135.5,15994.2,19866.65,25049.0,31498.0,39630.0,50171.5,63741.5
9,Oregon,2373.1000000000004,2724.9,3066.8,3454.65,3878.6499999999996,4347.25,4869.7,5395.700000000001,6101.45,7114.5,8417.0,9981.15,11896.0,14109.5,16687.0
10,Florida,33169.0,39697.0,48113.5,58148.5,70165.0,88482.0,116103.5,152364.5,199094.5,258509.0,336988.0,448436.5,602549.0,805345.5,1066292.0
11,New York,319900.0,427235.0,590445.0,805230.0,1079150.0,1470195.0,2044700.0,2904250.0,4136500.0,5739250.0,7666800.0,9821050.0,12060850.0,14211000.0,16057500.0
12,Rhode Island,7368.15,9399.5,11536.0,13939.0,16625.0,19721.0,23391.5,27660.5,33354.0,40541.0,49562.0,61271.0,75983.0,93254.5,113385.0
13,Georgia,23964.5,28367.0,33124.0,40124.0,49400.0,62704.5,80442.0,99597.5,124890.5,162277.0,211461.5,275535.0,358885.0,466050.0,610910.0
14,New Hampshire,1689.1,1932.4499999999998,2240.8,2579.8500000000004,2935.75,3362.1499999999996,3888.45,4632.45,5682.1,6978.6,8540.7,10364.1,12539.85,15375.5,19144.6
15,North Carolina,8662.25,10676.3,12985.0,15560.5,18829.0,23813.0,31093.0,40863.0,53736.0,71115.5,95354.0,127770.0,171135.0,228880.0,306675.0
16,New Jersey,130040.0,168405.0,208045.0,280250.0,387350.0,529470.0,736340.0,1035875.0,1451000.0,2019350.0,2778750.0,3731000.0,4857500.0,6075750.0,7215050.0
17,Colorado,12842.0,15845.0,19547.0,24035.5,29111.0,34578.5,40368.0,48219.5,58930.0,73136.0,91856.5,114980.0,142660.0,176725.0,219485.0
18,Maryland,20382.0,27402.0,34791.0,44465.5,57775.0,74959.0,97717.0,127855.0,167920.0,223995.0,297145.0,388730.0,507160.0,666335.0,873290.0
19,Nevada,4451.45,5003.8,5645.6,6495.65,7466.95,8489.75,9744.0,11578.2,13855.9,16402.5,19690.65,24260.65,29777.7,36203.65,44700.65
20,Tennessee,9411.55,11731.0,14644.0,18729.5,23970.5,30860.5,40353.0,54099.0,73391.5,99686.5,136176.5,187675.0,258590.0,353990.0,483380.0
21,Hawaii,670.78,754.515,844.4499999999999,966.6399999999999,1119.2350000000001,1350.085,1680.74,2095.86,2643.475,3420.65,4498.35,5975.75,7997.25,10750.15,14530.75
22,Indiana,16350.5,23387.5,35313.5,54365.0,84779.0,132775.0,206805.0,319595.0,489260.0,739320.0,1097550.0,1592750.0,2238450.0,3012400.0,3838100.0
23,Kentucky,4143.4,5349.35,6817.4,8681.7,10952.05,13924.5,17811.5,22659.5,28776.5,36596.5,46674.0,60035.0,77697.5,100870.0,131255.0
24,Minnesota,2797.9,3074.95,3456.15,3938.3500000000004,4522.4,5201.7,5965.4,6917.4,8086.9,9517.55,11348.65,13650.5,16517.4,20013.25,24261.2
25,Oklahoma,3246.25,3797.7,4468.4,5205.45,6025.0,6910.25,7790.7,8684.05,9626.55,10954.85,12902.0,15782.6,19896.15,25489.7,32751.2
26,Pennsylvania,44478.5,57969.5,78225.5,104612.0,138116.0,182334.5,241990.0,326445.0,446355.0,611755.0,836120.0,1140425.0,1550065.0,2096850.0,2809300.0
27,South Carolina,5785.700000000001,7036.5,8517.6,10424.15,12870.8,16710.0,22441.0,29842.0,39558.5,52628.5,70661.0,96486.5,132572.5,181690.0,248240.0
28,District of Columbia,4153.8,5116.15,6103.15,7288.1,8746.15,10968.65,13937.0,17032.0,20550.5,25136.5,31130.0,39284.0,49350.5,61324.0,76228.5
29,Kansas,2712.9,3390.8,4123.6,4958.950000000001,5886.35,7227.9,9092.15,11638.4,14999.55,19093.5,24278.0,31375.5,41066.5,53705.5,69793.5
30,Missouri,8223.35,10577.8,13163.5,17882.5,25148.0,34178.0,47913.0,69568.0,100376.0,142823.0,206210.0,299775.0,431365.0,617730.0,881000.0
31,Vermont,978.755,1179.1,1420.5500000000002,1697.5,2015.25,2472.8,3166.25,4172.4,5600.0,7581.200000000001,10333.8,14029.0,19054.5,26036.5,35728.0
32,Virginia,11954.5,14682.5,18044.0,22324.0,27607.0,33703.0,40719.0,48963.5,58571.0,70833.5,86326.0,105929.5,130772.0,162203.0,201258.5
33,Connecticut,22809.0,25390.0,28460.0,32137.5,36216.0,41605.0,49638.5,59541.5,71785.0,86341.0,103677.5,126090.5,154541.5,189581.0,231349.0
34,Iowa,4435.95,5364.6,6475.799999999999,7960.0,9846.15,12193.0,15157.5,19031.5,24050.5,30443.5,38779.5,49687.5,63809.5,82187.0,106070.0
35,Louisiana,28815.0,33694.0,39983.5,48924.5,61771.5,79033.0,102521.5,135186.5,180103.0,240130.5,320060.0,428365.0,571435.0,753745.0,979995.0
36,Ohio,17436.0,23365.0,32164.5,43969.5,59860.0,81306.5,109530.0,148965.0,205935.0,286490.0,397360.0,549365.0,757720.0,1040135.0,1417300.0
37,Michigan,39567.0,48547.0,60679.5,80288.5,111793.5,161675.0,241163.0,367244.5,564398.5,865911.5,1310032.5,1922262.0,2692750.0,3535497.0,4277702.5
38,South Dakota,1927.25,2115.15,2342.4,2567.45,2804.25,3069.85,3397.45,3743.75,4126.2,4526.5,4925.95,5328.9,5723.5,6135.5,6614.700000000001
39,Arkansas,2799.8,3447.25,4327.1,5509.65,6943.200000000001,8938.85,11818.65,15991.55,21820.0,30028.0,41606.5,57577.0,79558.5,109944.5,151936.0
40,Delaware,3485.1,4198.95,4972.75,5834.35,6792.55,8154.8,10285.8,13090.95,16530.9,20573.05,25462.65,32058.85,41005.85,52611.7,66906.9
41,Mississippi,6750.75,10009.1,15099.5,23606.5,37889.0,60789.5,97339.0,156870.0,252345.0,401590.0,627665.0,952230.0,1378500.0,1867200.0,2329400.0
42,New Mexico,2576.0,3268.2,4214.65,5412.8,6830.35,8521.25,10471.55,12824.5,15766.5,19519.0,24462.5,30975.5,39538.5,50560.0,64586.5
43,North Dakota,801.94,1037.835,1358.65,1767.0,2227.8,2795.3,3545.6,4654.0,6244.549999999999,8328.45,11001.55,14462.8,19084.5,25364.0,33894.5
44,Wyoming,349.735,379.635,413.08500000000004,451.525,496.71999999999997,545.895,599.6800000000001,655.49,714.21,774.74,837.885,914.325,1007.855,1122.975,1266.39
45,Alaska,378.06,443.54999999999995,531.545,645.515,794.165,1024.075,1370.9299999999998,1849.8400000000001,2511.8,3462.4,4851.3,6883.3,9814.85,13989.85,19966.0
46,Maine,988.965,1140.59,1356.545,1623.87,1947.8400000000001,2331.88,2782.6200000000003,3298.2749999999996,3882.67,4629.925,5624.855,6980.93,8816.315,11264.52,14482.06
47,Alabama,6298.75,7466.0,8879.35,10682.45,13031.2,16245.25,20546.85,25881.5,32586.0,41466.5,53223.0,68690.0,88791.0,114814.0,148750.0
48,Idaho,1888.4,2152.7,2480.55,2897.95,3469.05,4322.950000000001,5574.2,7300.15,9720.9,13088.6,17833.0,24531.5,33931.5,47082.5,65392.0
49,Montana,495.565,542.97,592.92,651.335,712.54,830.315,981.88,1153.535,1393.6,1669.98,2041.95,2566.75,3197.75,4044.4500000000003,5139.6
50,Puerto Rico,996.81,1186.845,1532.225,1968.8999999999999,2371.7,2707.4,2820.135,3163.78,3999.831,5367.66,7341.88,9698.5,12334.775,15370.965,19389.8
51,Virgin Islands,59.2455,62.2445,68.235,72.3575,82.458,89.32650000000001,107.4545,117.0735,144.75,159.76500000000001,210.735,234.065,321.875,359.145,513.645
52,Guam,1009.825,1172.665,1348.505,1625.095,1997.86,2367.4700000000003,2795.1150000000002,3416.165,4164.9400000000005,5044.299999999999,6219.66,7780.66,9681.665,12020.665,14993.165
53,West Virginia,1091.855,1366.105,1836.85,2538.65,3550.3,5023.8,7190.95,10437.35,15311.95,22642.05,33606.75,49863.85,73681.95,107962.6,156015.15
54,Northern Mariana Islands,15.4995,17.749000000000002,21.122,26.1805,33.7655,44.388,60.31,84.17,119.91,173.4,253.375,372.265,549.35,812.1,1199.8
