,Country,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
1,Albania,628.9,649.7,671.1,693.0,715.7,739.4,763.4,787.7,812.9,839.5,867.2,895.5,924.6,954.7,985.8
2,Algeria,3254.8,3755.1,4288.0,5108.0,6259.3,7502.7,9312.1,12026.3,15217.0,19539.5,25883.0,33920.0,44342.5,59695.0,79919.0
6,Argentina,3576.5,4162.0,4787.7,5481.1,6240.5,7178.2,8425.7,9918.8,11748.2,13973.5,16640.5,19931.5,23998.0,29166.5,35667.0
7,Armenia,1538.5,1690.5,1872.4,2114.1,2390.3,2728.1,3136.1,3614.1,4187.6,4858.3,5676.4,6664.3,7860.6,9350.4,11178.5
8,Australia,6877.6,7202.4,7530.7,7886.0,8265.8,8699.5,9191.2,9739.8,10603.6,11833.9,13474.5,15623.0,18383.5,21874.0,26244.0
9,Austria,15106.5,15343.0,15597.0,15883.5,16219.5,16603.0,17047.0,17564.0,18170.0,18890.0,19745.0,20766.5,21986.0,23415.0,25095.5
12,Bahrain,2072.9,2169.9,2262.2,2359.1,2454.7,2552.4,2647.6,2752.0,2863.4,2979.9,3099.7,3228.0,3363.2,3504.4,3651.4
15,Belarus,7847.2,8844.2,10242.9,11634.5,13430.0,15353.5,17706.0,20320.5,23436.0,27020.0,31296.5,36138.0,41831.0,48399.0,56056.0
16,Belgium,45000.5,49536.0,54667.0,60348.0,66985.5,75071.5,84853.5,97353.0,112850.0,131730.0,154245.0,181300.0,214260.0,254415.0,303555.0
21,Brazil,56962.0,73520.0,93094.0,115941.5,143100.0,175825.0,222720.0,287950.0,375620.0,490405.0,639530.0,830920.0,1081770.0,1414000.0,1855250.0
22,Brunei,138.5,138.8,138.9,139.2,139.5,139.8,140.0,140.4,140.7,141.0,141.2,141.5,141.7,142.0,142.3
23,Bulgaria,1049.8,1159.7,1284.1,1433.8,1609.5,1812.9,2047.7,2334.4,2695.7,3124.2,3673.3,4338.9,5137.1,6106.7,7276.9
28,Canada,43564.0,48613.0,55052.5,63210.5,73606.0,86865.5,103885.0,125540.0,153295.0,189000.0,235015.0,294215.0,370450.0,468025.0,592775.0
31,Chile,12152.5,13550.5,15147.0,16976.0,19497.5,22736.0,26873.5,31703.0,37785.5,45631.5,55934.0,68899.5,85218.5,105742.5,132155.5
32,China,83935.5,84024.0,84087.0,84151.5,84220.5,84295.5,84377.0,84459.0,84530.0,84606.0,84687.0,84773.0,84863.5,84956.5,85053.0
33,Colombia,4771.7,5580.7,6636.7,8222.8,10536.0,13857.0,18747.5,25977.0,36651.0,52555.0,76270.5,111769.0,165030.0,245005.0,365185.0
36,Costa Rica,738.9,811.0,895.1,991.4,1106.2,1241.3,1397.8,1588.0,1818.2,2092.1,2469.7,2972.1,3641.7,4517.1,5609.8
38,Croatia,2030.1,2190.3,2413.9,2727.4,3176.4,3827.1,4782.7,6193.5,8296.2,11447.2,16185.5,23349.0,34212.5,50695.0,75749.5
39,Diamond Princess,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0
42,Czechia,7612.9,8176.8,8770.8,9388.3,10069.7,11191.5,12638.0,14134.0,16169.5,18449.0,21243.0,25220.5,29659.5,35187.5,42346.0
43,Denmark,8061.5,8235.7,8410.0,8585.3,8759.7,8930.6,9103.5,9276.9,9452.4,9627.2,9806.5,9990.5,10177.4,10365.6,10556.0
46,Ecuador,12143.5,14054.0,16899.0,21040.0,27217.0,36439.0,50231.5,70895.0,101985.5,148679.5,218830.5,323847.5,480269.5,710254.5,1043370.0
47,Egypt,3808.3,4148.3,4496.3,4916.3,5364.7,5803.9,6317.4,6865.0,7464.9,8204.1,8967.9,9927.0,11018.5,12129.3,13443.0
51,Estonia,1577.8,1600.2,1625.5,1650.6,1675.1,1701.9,1728.2,1754.2,1782.9,1810.5,1839.4,1872.1,1906.4,1942.0,1979.7
55,Finland,4557.4,5152.3,5790.9,6530.7,7359.0,8328.4,9421.6,10673.5,12062.8,13593.9,15289.8,17521.7,20384.0,24050.0,28755.5
56,France,168545.0,177960.0,188685.0,198920.0,210255.0,222950.0,237480.0,253100.0,271125.0,292155.0,316205.0,344090.0,376415.0,412980.0,454380.0
60,Germany,152115.0,156120.0,160600.0,165690.0,171640.0,178785.0,187160.0,197110.0,208905.0,223180.0,240510.0,261590.0,287345.0,318195.0,355205.0
62,Greece,2444.1,2486.9,2528.9,2572.4,2617.9,2666.4,2718.2,2774.6,2836.5,2904.2,2972.5,3046.8,3118.8,3194.4,3274.1
69,Hungary,2301.5,2500.6,2738.6,3012.2,3337.8,3732.7,4188.9,4740.0,5392.8,6169.0,7103.5,8217.1,9553.4,11140.2,13024.0
70,Iceland,1798.5,1816.3,1835.9,1861.8,1889.3,1920.2,1959.4,2004.2,2054.6,2116.6,2189.7,2275.6,2379.5,2501.9,2644.3
71,India,24118.5,29742.5,37600.5,47853.5,61004.0,77128.0,97179.5,121592.5,151330.0,187765.0,232470.0,287780.0,355980.0,439815.0,542990.0
72,Indonesia,8155.4,9245.0,10331.5,11561.5,13314.5,15683.5,18528.5,21584.5,25295.0,30264.0,36810.5,44666.5,53872.0,65120.0,79695.0
73,Iran,86383.0,87936.5,89455.5,90961.5,92456.5,93950.5,95451.0,96959.5,98486.0,100044.5,101641.5,103294.0,105002.5,106744.0,108529.0
74,Iraq,1641.9,1683.0,1723.5,1765.0,1808.7,1854.3,1903.1,1954.9,2008.1,2064.1,2123.6,2186.3,2253.3,2323.7,2397.8
75,Ireland,17429.0,18921.0,20641.5,22667.0,25052.0,27916.0,31355.0,35566.5,40751.5,47152.0,55110.0,65027.0,77382.0,92499.5,110998.5
76,Israel,14731.0,15692.5,16920.5,18479.5,20480.0,23060.5,26416.0,30830.5,36661.0,44364.0,54566.5,68089.5,86021.0,109643.0,140765.0
77,Italy,190565.0,197570.0,205020.0,213125.0,222100.0,232140.0,243345.0,255850.0,269910.0,285815.0,304005.0,324885.0,348560.0,375135.0,405020.0
79,Japan,11648.5,12135.5,12764.0,13394.0,14018.5,14477.5,14917.5,15349.0,15816.0,16336.0,16900.0,17535.5,18132.5,18667.5,19140.0
80,Jordan,434.3,441.2,448.2,455.5,463.8,472.9,483.1,495.1,508.8,524.5,542.5,563.2,587.4,615.1,646.7
83,South Korea,10701.0,10717.5,10734.0,10749.0,10764.0,10777.5,10790.0,10802.0,10813.5,10824.5,10835.5,10846.5,10857.0,10867.5,10878.0
84,Kuwait,2194.5,2336.0,2472.8,2619.1,2779.0,2935.0,3101.3,3275.1,3465.2,3660.9,3868.9,4088.1,4318.4,4558.7,4812.7
86,Latvia,777.1,809.1,858.4,905.2,958.6,1028.4,1105.3,1201.7,1320.7,1460.3,1625.1,1837.6,2078.3,2373.2,2727.9
87,Lebanon,720.7,758.3,799.3,839.7,880.6,921.2,969.8,1029.0,1087.3,1146.7,1212.7,1273.4,1330.1,1424.4,1561.8
