,Country,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06
0,Afghanistan,1124.0,1155.7,1187.2,1218.4,1248.4,1278.1,1306.0,1333.7,1360.6,1388.5,1415.9,1444.3,1472.3,1500.2,1528.4
1,Albania,628.9,649.7,671.1,693.0,715.7,739.4,763.4,787.7,812.9,839.5,867.2,895.5,924.6,954.7,985.8
2,Algeria,3254.8,3755.1,4288.0,5108.0,6259.3,7502.7,9312.1,12026.3,15217.0,19539.5,25883.0,33920.0,44342.5,59695.0,79919.0
3,Andorra,808.2,892.9,973.5,1075.2,1202.1,1323.5,1445.3,1627.7,1855.9,2104.0,2419.2,2823.2,3305.2,3870.3,4555.8
4,Angola,26.5,31.5,41.5,61.5,101.5,181.5,341.4,661.3,1301.0,2577.8,5131.0,10236.0,20439.5,40822.0,81492.0
5,Antigua and Barbuda,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
6,Argentina,3576.5,4162.0,4787.7,5481.1,6240.5,7178.2,8425.7,9918.8,11748.2,13973.5,16640.5,19931.5,23998.0,29166.5,35667.0
7,Armenia,1538.5,1690.5,1872.4,2114.1,2390.3,2728.1,3136.1,3614.1,4187.6,4858.3,5676.4,6664.3,7860.6,9350.4,11178.5
8,Australia,6877.6,7202.4,7530.7,7886.0,8265.8,8699.5,9191.2,9739.8,10603.6,11833.9,13474.5,15623.0,18383.5,21874.0,26244.0
9,Austria,15106.5,15343.0,15597.0,15883.5,16219.5,16603.0,17047.0,17564.0,18170.0,18890.0,19745.0,20766.5,21986.0,23415.0,25095.5
10,Azerbaijan,1657.0,1848.3,2006.0,2189.9,2410.0,2628.5,2918.2,3264.6,3575.7,4049.6,4597.4,5118.1,5876.4,6783.8,7741.7
11,Bahamas,68.6,75.3,81.7,89.4,100.4,110.8,125.2,142.9,161.7,187.5,217.3,252.1,297.0,347.6,410.0
12,Bahrain,2072.9,2169.9,2262.2,2359.1,2454.7,2552.4,2647.6,2752.0,2863.4,2979.9,3099.7,3228.0,3363.2,3504.4,3651.4
13,Bangladesh,4186.3,5201.0,6465.2,8024.6,9924.1,12271.0,15169.0,18769.0,23374.5,29156.5,36426.5,45536.0,56932.0,71178.0,88991.5
14,Barbados,75.9,76.8,77.8,78.7,79.7,80.8,82.1,83.5,85.1,87.0,89.3,92.0,95.2,98.9,103.0
15,Belarus,7847.2,8844.2,10242.9,11634.5,13430.0,15353.5,17706.0,20320.5,23436.0,27020.0,31296.5,36138.0,41831.0,48399.0,56056.0
16,Belgium,45000.5,49536.0,54667.0,60348.0,66985.5,75071.5,84853.5,97353.0,112850.0,131730.0,154245.0,181300.0,214260.0,254415.0,303555.0
17,Benin,55.0,55.8,56.6,57.4,58.3,59.3,60.4,61.5,62.7,64.0,65.4,66.2,67.1,68.0,68.9
18,Bhutan,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.3,6.5,6.5
19,Bolivia,663.0,735.1,818.9,916.3,1010.9,1104.2,1202.5,1315.7,1444.4,1602.3,1802.4,2029.7,2290.6,2572.8,2863.7
20,Bosnia and Herzegovina,1424.2,1515.4,1614.2,1717.4,1834.0,1967.3,2129.6,2321.1,2545.7,2806.0,3114.5,3484.3,3931.1,4464.4,5100.3
