id,Country,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14
0,Afghanistan,153962,154044,154125,154208,154291,154375,154458,154542,154625,154709,154793,154877,154960,155044,155127,155211,155294,155378,155460,155544,155626,155709,155790,155872,155953,156035,156115,156196,156275,156355,156434,156512,156590,156668,156744,156821,156896,156971,157045,157119,157192,157265,157336,157407,157477,157547,157615,157683,157750,157816,157881,157946,158010,158073,158135,158196,158256,158316,158374,158432,158488,158544,158599,158653,158706,158758,158809,158860,158909,158958,159005,159052,159097,159142,159186,159229,159271,159312,159352,159392,159430,159468,159505,159541,159576,159610,159644,159676,159708,159739,159769,159799,159827,159855,159882,159909
1,Albania,155293,156660,158065,159526,161023,162580,164173,165827,167518,169271,171059,172910,174795,176744,178726,180771,182847,184985,187152,189381,191635,193949,196285,198680,201093,203562,206044,208580,211124,213718,216317,218961,221604,224288,226966,229681,232384,235117,237835,240577,243298,246039,248752,251480,254175,256879,259546,262216,264845,267471,270051,272625,275148,277660,280118,282561,284947,287313,289620,291905,294127,296324,298458,300564,302606,304617,306564,308478,310328,312145,313897,315615,317270,318890,320448,321970,323432,324859,326227,327560,328842,330090,331289,332455,333572,334659,335698,336708,337673,338608,339513,340388,341233,342048,342833,343588
2,Algeria,199560,199893,200219,200538,200848,201150,201443,201729,202006,202276,202538,202793,203041,203282,203516,203745,203966,204182,204391,204596,204793,204986,205174,205356,205533,205706,205873,206036,206194,206349,206498,206644,206785,206923,207057,207187,207314,207437,207557,207673,207786,207896,208003,208107,208208,208307,208402,208495,208586,208674,208759,208842,208923,209002,209078,209153,209225,209295,209363,209430,209494,209557,209618,209678,209735,209791,209846,209899,209951,210001,210049,210097,210143,210188,210231,210274,210315,210355,210394,210432,210469,210505,210540,210573,210606,210638,210669,210700,210729,210758,210786,210813,210839,210865,210889,210911
3,Andorra,15083,15087,15092,15097,15102,15107,15111,15116,15120,15125,15129,15133,15137,15141,15145,15149,15153,15156,15160,15164,15167,15171,15174,15178,15181,15184,15187,15191,15194,15197,15200,15203,15205,15208,15211,15214,15217,15220,15222,15225,15228,15231,15233,15235,15237,15239,15242,15244,15246,15248,15250,15251,15253,15255,15257,15259,15261,15263,15264,15266,15267,15269,15270,15272,15274,15275,15277,15279,15280,15281,15282,15283,15285,15286,15287,15288,15289,15290,15291,15292,15293,15294,15295,15296,15296,15297,15298,15299,15300,15301,15301,15302,15303,15304,15305,15306
4,Angola,49943,50191,50442,50699,50959,51224,51493,51768,52047,52331,52619,52913,53212,53516,53825,54139,54459,54784,55115,55451,55793,56141,56494,56854,57219,57592,57969,58354,58744,59142,59546,59957,60374,60799,61230,61669,62114,62568,63028,63496,63972,64456,64947,65447,65954,66470,66994,67527,68068,68618,69176,69745,70321,70908,71503,72108,72722,73347,73981,74625,75279,75944,76619,77305,78001,78708,79426,80156,80896,81649,82412,83188,83974,84775,85585,86410,87246,88096,88957,89833,90721,91623,92538,93468,94410,95367,96338,97324,98323,99339,100368,101413,102473,103549,104639,105748
5,Antigua and Barbuda,2059,2111,2165,2223,2284,2349,2417,2489,2565,2645,2728,2815,2906,3002,3103,3209,3320,3437,3559,3687,3820,3960,4105,4258,4416,4582,4754,4934,5120,5315,5516,5726,5942,6167,6399,6640,6887,7144,7407,7679,7958,8246,8539,8842,9149,9466,9787,10117,10450,10792,11136,11488,11841,12201,12563,12929,13296,13667,14037,14410,14782,15155,15526,15897,16264,16631,16993,17354,17708,18061,18406,18748,19083,19413,19736,20053,20362,20666,20960,21249,21528,21801,22065,22322,22570,22812,23044,23270,23486,23696,23897,24092,24278,24458,24630,24795
6,Argentina,5221809,5225019,5228145,5231187,5234145,5237019,5239809,5242515,5245137,5247675,5250129,5252499,5254785,5256987,5259105,5261139,5263089,5264955,5266743,5268452,5270089,5271652,5273148,5274576,5275941,5277243,5278486,5279671,5280802,5281879,5282906,5283883,5284814,5285699,5286541,5287341,5288103,5288825,5289512,5290163,5290781,5291367,5291923,5292449,5292948,5293419,5293866,5294289,5294689,5295066,5295423,5295760,5296078,5296378,5296661,5296928,5297179,5297416,5297639,5297849,5298046,5298232,5298406,5298570,5298724,5298868,5299004,5299131,5299250,5299361,5299466,5299564,5299655,5299741,5299821,5299895,5299965,5300030,5300091,5300148,5300201,5300250,5300296,5300339,5300378,5300415,5300450,5300482,5300511,5300539,5300565,5300589,5300611,5300631,5300649,5300665
7,Armenia,247666,248372,249090,249821,250563,251318,252084,252864,253654,254458,255273,256101,256939,257791,258653,259529,260414,261312,262220,263142,264072,265015,265967,266932,267905,268890,269884,270889,271901,272925,273956,274998,276046,277104,278169,279243,280322,281411,282504,283605,284711,285824,286940,288064,289190,290322,291456,292596,293736,294881,296027,297176,298324,299476,300627,301779,302930,304082,305230,306380,307526,308671,309812,310952,312086,313219,314346,315470,316587,317701,318807,319909,321003,322093,323173,324248,325313,326373,327422,328465,329497,330523,331536,332543,333537,334524,335499,336465,337422,338370,339309,340239,341160,342072,342975,343869
8,Australia,71987,74416,76792,79115,81385,83602,85766,87877,89935,91940,93892,95791,97637,99430,101170,102857,104491,106072,107600,109075,110497,111866,113182,114445,115655,116812,117916,118967,119966,120913,121809,122652,123447,124192,124889,125539,126145,126707,127227,127707,128149,128554,128925,129264,129572,129852,130105,130333,130538,130722,130887,131035,131166,131282,131385,131476,131556,131626,131687,131740,131786,131825,131859,131889,131914,131935,131953,131968,131981,131992,132001,132009,132015,132020,132024,132027,132030,132032,132034,132036,132037,132038,132039,132040,132041,132042,132042,132042,132043,132044,132044,132044,132045,132047,132050,132054
9,Austria,705913,707767,709660,711587,713567,715581,717651,719758,721922,724125,726389,728691,731058,733465,735939,738456,741041,743671,746372,749120,751942,754811,757758,760753,763829,766954,770163,773423,776769,780166,783652,787191,790821,794505,798281,802112,806038,810018,814095,818227,822457,826741,831124,835561,840098,844687,849377,854119,858960,863851,868842,873880,879017,884199,889478,894798,900213,905666,911212,916792,922461,928160,933944,939752,945643,951551,957537,963536,969607,975684,981827,987970,994174,1000371,1006621,1012858,1019141,1025404,1031706,1037980,1044287,1050558,1056854,1063107,1069379,1075600,1081831,1088006,1094183,1100362,1106543,1112726,1118911,1125098,1131287,1137478
