"","Geography","season","date.wk_end","MMWR.week","cum.death","cum.hosp","cum.visit","cum.sympt","incident.death","incident.hosp","incident.visit","incident.sympt","rate.incident.death","rate.incident.hosp","rate.incident.visit","rate.incident.sympt"
"1","United States","2018-2019",2018-12-08,"49",1065,15700,724000,1465000,1065,15700,724000,1465000,0.323644346443653,4.77109506024916,220.017377300662,445.200908488218
"2","United States","2018-2019",2018-12-15,"50",1631,23700,1135000,2320000,566,8000,411000,855000,0.172002535293059,2.43113124089129,124.89936750079,259.827151370257
"3","United States","2018-2019",2018-12-29,"52",3086,44200,2205000,4495000,1455,20500,1070000,2175000,0.442161994437104,6.22977380478394,325.16380346921,660.96380611732
"4","United States","2018-2019",2019-01-05,"1",5412,76400,3215000,6715000,2326,32200,1010000,2220000,0.706851408289143,9.78530324458745,306.930319162526,674.638919347334
"5","United States","2018-2019",2019-01-12,"2",7514,104500,4230000,8925000,2102,28100,1015000,2210000,0.638779733544187,8.53934848363066,308.449776188083,671.600005296219
"6","United States","2018-2019",2019-01-19,"3",9089,124500,5000000,10595000,1575,20000,770000,1670000,0.478628963050473,6.07782810222823,233.996381935787,507.498646536057
"7","United States","2018-2019",2019-01-26,"4",9600,129500,5175000,10900000,511,5000,175000,305000,0.155288508011931,1.51945702555706,53.180995894497,92.6868785589805
"8","United States","2018-2019",2019-02-02,"5",12750,170500,6695000,14200000,3150,41000,1520000,3300000,0.957257926100946,12.4595476095679,461.914935769346,1002.84163686766
"9","United States","2018-2019",2019-02-09,"6",15350,202500,7805000,16600000,2600,32000,1110000,2400000,0.79011765328967,9.72452496356517,337.319459673667,729.339372267388
"10","United States","2018-2019",2019-02-16,"7",17950,235000,8925000,19050000,2600,32500,1120000,2450000,0.79011765328967,9.87647066612087,340.358373724781,744.533942522958
"11","United States","2018-2019",2019-02-23,"8",21550,277000,10290000,22000000,3600,42000,1365000,2950000,1.09400905840108,12.7634390146793,414.811767977077,896.479645078664
"12","United States","2018-2019",2019-03-02,"9",25050,318000,11500000,24550000,3500,41000,1210000,2550000,1.06361991788994,12.4595476095679,367.708600184808,774.923083034099
"13","United States","2018-2019",2019-03-09,"10",28500,360500,12800000,27400000,3450,42500,1300000,2850000,1.04842534763437,12.915384717235,395.058826644835,866.090504567523
"14","United States","2018-2019",2019-03-16,"11",33250,414500,14300000,30650000,4750,54000,1500000,3250000,1.4434841742792,16.4101358760162,455.837107667117,987.647066612087
"15","United States","2018-2019",2019-03-23,"12",37400,463500,15600000,33550000,4150,49000,1300000,2900000,1.26114933121236,14.8906788504592,395.058826644835,881.285074823093
"16","United States","2018-2019",2019-03-30,"13",40750,500500,16550000,35650000,3350,37000,950000,2100000,1.01803620712323,11.2439819891222,288.696834855841,638.171950733964
"17","United States","2018-2019",2019-04-06,"14",43850,533500,17450000,37500000,3100,33000,900000,1850000,0.942063355845376,10.0284163686766,273.50226460027,562.199099456111
